lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
abgebrüht	ADJA	1947	2	2532889X_1947-07-06_01_083.tcf.xml-23-39	 	Erwin Biegel als der fröhlich-melancholische Trinker, Franz Stein als Muriels Vater, Ilya Guenten als die um eigenes Familienglück 'betrogene „alte Jungfer", Ulrich Hoffmann, der • smarte Studiosus, und Otto Matthies, der abgebrühte Kellner, schufen besonders lebensvolle Charakterstudlen.	222:232	0:289	Erwin Biegel als der fröhlich-melancholische Trinker , Franz Stein als Muriels Vater , Ilya Guenten als die um eigenes Familienglück 'betrogene „ alte Jungfer " , Ulrich Hoffmann , der • smarte Studiosus , und Otto Matthies , der abgebrühte Kellner , schufen besonders lebensvolle Charakterstudlen .	39	0:47	Erwin Biegel als d fröhlich-melancholisch Trinker , Franz Stein als Muriel Vater , Ilya Guenten als d um eigen Familienglück 'betrogene „ alt Jungfer " , Ulrich Hoffmann , d • smart Studiosus , und Otto Matthies , d abgebrüht Kellner , schaffen besonders lebensvoll Charakterstudlen .	NE NE KOUS ART ADJA NN $, NE NN KOKOM NE NN $, NE NE KOUS ART APPR ADJA NN NE $( ADJA NN $( $, NE NE $, ART $( ADJA NE $, KON NE NE $, ART ADJA NN $, VVFIN ADV ADJA NN $.	
abgebrüht	ADJA	1948	2	2532889X_1948-12-23_01_078.tcf.xml-2-92	 	Unter -dem Motto „Eine Hand wäscht die andere krempelte ein unappetitlicher Schwarzmarktjunglinß sein ausgefranstes rechtes Hosenbein hoch und offerierte einem „Kollegen", dem die Ware ausgegangen war. aus seinen „sauberen" Socken zwei Camel-Päckchen und vier Schokoladenstreifen, -Sicher ist sicher", aaste sich der andere Schncllgerichtsaspirant und praktizierte die Sachen, naeh dem Begebenen Beispiel zwischen Strumpf und Unterhose Bezahlte, ohne zu handeln, unter Brüdern mit Rabatt versteht sich, und verdrückte sich mit dein unschuldigsten Gesiehf, wie es nur ein abgebrühter Ganove aufsetzen kann.	571:582	0:605	Unter - dem Motto „ Eine Hand wäscht die andere krempelte ein unappetitlicher Schwarzmarktjunglinß sein ausgefranstes rechtes Hosenbein hoch und offerierte einem „ Kollegen " , dem die Ware ausgegangen war . aus seinen „ sauberen " Socken zwei Camel-Päckchen und vier Schokoladenstreifen , -Sicher ist sicher " , aaste sich der andere Schncllgerichtsaspirant und praktizierte die Sachen , naeh dem Begebenen Beispiel zwischen Strumpf und Unterhose Bezahlte , ohne zu handeln , unter Brüdern mit Rabatt versteht sich , und verdrückte sich mit dein unschuldigsten Gesiehf , wie es nur ein abgebrühter Ganove aufsetzen kann .	92	0:97	unter - d Motto „ eine Hand waschen d andere krempeln eine unappetitlich Schwarzmarktjunglinß sein ausgefranst recht Hosenbein hoch und offerieren eine „ Kollege " , die d Ware ausgehen sein . aus seine „ sauber " Socken zwei Camel-Päckchen und vier Schokoladenstreifen , -Sicher sein sicher " , aasen sich d ander Schncllgerichtsaspirant und praktiziert d Sache , Naeh d begeben Beispiel zwischen Strumpf und Unterhose Bezahlte , ohne zu handeln , unter Bruder mit Rabatt verstehen sich , und verdrücken sich mit dein unschuldig Gesiehf , wie es nur eine abgebrüht Ganove aufsetzen können .	APPR $( ART NN $( ART NN VVFIN ART PIS VVFIN ART ADJA NN PPOSAT ADJA ADJA NN PTKVZ KON VVFIN ART $( NN $( $, PRELS ART NN VVPP VAFIN $. APPR PPOSAT $( ADJA $( NN CARD NN KON CARD NN $, NN VAFIN ADJD $( $, VVFIN PRF ART ADJA NN KON ADJA ART NN $, NE ART ADJA NN APPR NN KON NN NN $, KOUI PTKZU VVINF $, APPR NN APPR NN VVFIN PRF $, KON VVFIN PRF APPR PPOSAT ADJA NN $, PWAV PPER ADV ART ADJA NN VVINF VMFIN $.	
abgebrüht	ADJA	1951	2	2532889X_1951-06-24_01_118.tcf.xml-11-23	 	Das Blatt schreibt, dah.daher in der nächsten Zeit Proteste der Sowjetunion und der Volksdemokratien gegen diese Einflüge laut werden dürften Die abgebrühte Kaltschnäuzigkeil derer, die gewohnt sind, aus Blut Dollar zu machen, bringt die Zeitung mit den Worten zum Ausdruck:. Es kann zwar nicht offiziell zugegeben werden, aber es wird sich hierbei um Flugzeuge handeln, die im Rahmen der psychologischen Kriegführung Agenten absetzen sowie Anweisungen und Geldmittel für Saboteure abwerfen.	146:156	0:491	Das Blatt schreibt , dah .daher in der nächsten Zeit Proteste der Sowjetunion und der Volksdemokratien gegen diese Einflüge laut werden dürften Die abgebrühte Kaltschnäuzigkeil derer , die gewohnt sind , aus Blut Dollar zu machen , bringt die Zeitung mit den Worten zum Ausdruck : . Es kann zwar nicht offiziell zugegeben werden , aber es wird sich hierbei um Flugzeuge handeln , die im Rahmen der psychologischen Kriegführung Agenten absetzen sowie Anweisungen und Geldmittel für Saboteure abwerfen .	23	0:80	d Blatt schreiben , dah .daher in d nächst Zeit Protest d Sowjetunion und d Volksdemokratie gegen diese Einflug laut werden dürfen d abgebrüht Kaltschnäuzigkeil die , die gewohnen sein , aus Blut Dollar zu machen , bringen d Zeitung mit d Wort zum Ausdruck : . es können zwar nicht offiziell zugeben werden , aber es werden sich hierbei um Flugzeug handeln , die im Rahmen d psychologisch Kriegführung Agent absetzen sowie Anweisung und Geldmittel für Saboteur abwerfen .	ART NN VVFIN $, XY XY APPR ART ADJA NN NN ART NE KON ART NN APPR PDAT NN ADJD VAINF VMFIN ART ADJA NN PDS $, PRELS VVPP VAFIN $, APPR NN NN PTKZU VVINF $, VVFIN ART NN APPR ART NN APPRART NN $. $. PPER VMFIN ADV PTKNEG ADJD VVPP VAINF $, KON PPER VAFIN PRF ADV APPR NN VVINF $, PRELS APPRART NN ART ADJA NN NN VVINF KON NN KON NN APPR NN VVINF $.	
abgebrüht	ADJA	1959	2	2532889X_1959-04-28_01_013.tcf.xml-1-26	 	Vielen einen Umfang muß der Sumpi * » der politischen Korruption und moralischen Degradation unter den herrschenden Kreisen Bonns angenommen haben, wenn er selbst den abgebrühtesten Journalisten der Westpresse in die keineswegs empfindlichen Nasen zu steigen beginnt?	167:181	0:267	Vielen einen Umfang muß der Sumpi * » der politischen Korruption und moralischen Degradation unter den herrschenden Kreisen Bonns angenommen haben , wenn er selbst den abgebrühtesten Journalisten der Westpresse in die keineswegs empfindlichen Nasen zu steigen beginnt ?	26	0:39	viel eine Umfang müssen d sumpi * » d politisch Korruption und moralisch Degradation unter d herrschend Kreis Bonn annehmen haben , wenn er selbst d abgebrüht Journalist d Westenpresse in d keineswegs empfindlich Nase zu steigen beginnen ?	PIAT ART NN VMFIN ART XY XY $( ART ADJA NN KON ADJA NN APPR ART ADJA NN NE VVPP VAINF $, KOUS PPER ADV ART ADJA NN ART NN APPR ART ADV ADJA NN PTKZU VVINF VVFIN $.	
abgebrüht	ADJA	1961	2	2532889X_1961-09-16_01_006.tcf.xml-7-11	 	Es gibt die unterschiedlichsten Angaben iiber Startplatz und Flugroute, Besonders abgebrühte Lügner erzählen Märchen von einem ominösen Funkleitstrahl, auf dem die Maschinen „möglicherweise In den Osten gelockt" wurden.	82:92	0:219	Es gibt die unterschiedlichsten Angaben iiber Startplatz und Flugroute , Besonders abgebrühte Lügner erzählen Märchen von einem ominösen Funkleitstrahl , auf dem die Maschinen „ möglicherweise In den Osten gelockt " wurden .	11	0:33	es geben d unterschiedlich Angabe Iiber Startplatz und Flugroute , besonders abgebrüht Lügner erzählen Märchen von eine ominös Funkleitstrahl , auf die d Maschine „ möglicherweise in d Osten locken " werden .	PPER VVFIN ART ADJA NN NE NN KON NN $, ADV ADJA NN VVFIN NN APPR ART ADJA NN $, APPR PRELS ART NN $( ADV APPR ART NN VVPP $( VAFIN $.	
abgebrüht	ADJA	1963	2	2532889X_1963-03-21_01_008.tcf.xml-8-12	 	Das Blatt schreibt, „die Montagsvorstellung im Bundestag mußte selbst die abgebrühtesten Beobachter erschüttern".	74:88	0:113	Das Blatt schreibt , „ die Montagsvorstellung im Bundestag mußte selbst die abgebrühtesten Beobachter erschüttern " .	12	0:17	d Blatt schreiben , „ d Montagsvorstellung im Bundestag müssen selbst d abgebrüht Beobachter erschüttern " .	ART NN VVFIN $, $( ART NN APPRART NN VMFIN ADV ART ADJA NN VVINF $( $.	
abgebrüht	ADJD	1963	2	2532889X_1963-12-14_01_038.tcf.xml-22-3	 	Manche sind ganz abgebrüht, die machen dann montags frei.	17:26	0:57	Manche sind ganz abgebrüht , die machen dann montags frei .	3	0:11	manche sein ganz abgebrüht , d machen dann montags frei .	PIS VAFIN ADV ADJD $, ART VVFIN ADV ADV ADJD $.	
abgebrüht	ADJA	1966	2	2532889X_1966-03-19_01_022.tcf.xml-20-14	 	Feine Komplicen also: der Hitleranbeter Ky, „Freiheitsheld" Johnson und dieser abgebrühte Held der westlichen Welt.	79:89	0:115	Feine Komplicen also : der Hitleranbeter Ky , „ Freiheitsheld " Johnson und dieser abgebrühte Held der westlichen Welt .	14	0:20	fein Komplice also : d Hitleranbeter Ky , „ Freiheitsheld " Johnson und diese abgebrüht Held d westlich Welt .	ADJA NN ADV $. ART NN NE $, $( NN $( NE KON PDAT ADJA NN ART ADJA NN $.	
abgebrüht	ADJA	1990	2	2532889X_1990-08-03_01_044.tcf.xml-3-14	 	Was die Bonner Parteien und ihre ostlichen Ziehkinder gegenwärtig veranstalten, kann jedenfalls auch abgebrühten Naturen die Schamröte ins Gesicht treiben.	101:112	0:155	Was die Bonner Parteien und ihre ostlichen Ziehkinder gegenwärtig veranstalten , kann jedenfalls auch abgebrühten Naturen die Schamröte ins Gesicht treiben .	14	0:22	was d Bonner Partei und ihr ostlich Ziehkind gegenwärtig veranstalten , können jedenfalls auch abgebrüht Natur d Schamröte ins Gesicht treiben .	PWS ART ADJA NN KON PPOSAT ADJA NN ADJD VVFIN $, VMFIN ADV ADV ADJA NN ART NN APPRART NN VVINF $.	
abgebrüht	ADJA	1953	2	26120215_1953_05_27_01_094.tcf.xml-4-9	 	Oft nkbt man es. daß die Betrüger mit abgebrühter Frechheit vor den Schranken des Gerichts stehen und höhnisch bi richten, wie sie in Saus und Braus Gelebt haben und in welche dunklen Kanäle der westlichen Schieberwelt sie das, was der fleißige Arbeiter an der Wcrkbink schuf, gebracht haben.	38:49	0:292	Oft nkbt man es . daß die Betrüger mit abgebrühter Frechheit vor den Schranken des Gerichts stehen und höhnisch bi richten , wie sie in Saus und Braus Gelebt haben und in welche dunklen Kanäle der westlichen Schieberwelt sie das , was der fleißige Arbeiter an der Wcrkbink schuf , gebracht haben .	9	0:53	oft nkbt man es . daß d Betrüger mit abgebrüht Frechheit vor d Schranke d Gericht stehen und höhnisch bi richten , wie sie in Saus und Braus leben haben und in welche dunkel Kanal d westlich Schieberwelt sie die , was d fleißig Arbeiter an d Wcrkbink schaffen , bringen haben .	ADV VVFIN PIS PPER $. KOUS ART NN APPR ADJA NN APPR ART NN ART NN VVFIN KON ADJD ADJD VVINF $, PWAV PPER APPR NN KON NN VVPP VAFIN KON APPR PWAT ADJA NN ART ADJA NN PPER PDS $, PRELS ART ADJA NN APPR ART NN VVFIN $, VVPP VAINF $.	
