identifier	lemma	identifier_sense	comment	annotator
2532889X_1988-08-20_01_267.tcf.xml-12-30	artikulieren	sense1	metaphorisch	annotatorA
26120215_1982_11_29_01_097.tcf.xml-47-17	artikulieren	sense1	 	annotatorA
2532889X_1987-01-26_01_063.tcf.xml-22-22	artikulieren	sense1	 	annotatorA
goerres_volksbuecher_1807-152-102	artikulieren	sense1	 	annotatorA
nn_nrhz090_1848-614-7	artikulieren	sense2	 	annotatorA
blumenbach_anatomie_1815-806-31	artikulieren	sense2	 	annotatorA
26120215_1988_08_20_01_052.tcf.xml-20-32	artikulieren	sense1	 	annotatorA
munzinger_japaner_1898-466-14	artikulieren	sense1	 	annotatorA
vischer_aesthetik030204_1857-1991-49	artikulieren	sense1	 	annotatorA
goethe_farbenlehre01_1810-4726-57	artikulieren	sense1	 	annotatorA
26120215_1973_08_31_01_082.tcf.xml-4-24	artikulieren	sense1	 	annotatorA
2532889X_1982-11-11_01_053.tcf.xml-14-7	artikulieren	sense1	 	annotatorA
blumenbach_anatomie2_1805-776-31	artikulieren	sense2	 	annotatorA
vischer_aesthetik030204_1857-537-2	artikulieren	sense1	 	annotatorA
treviranus_biologie03_1805-380-35	artikulieren	sense2	 	annotatorA
clodius_poetik01_1804-3105-11	artikulieren	sense1	 	annotatorA
26120215_1972_08_21_01_116.tcf.xml-14-27	artikulieren	sense1	 	annotatorA
beyer_poetik01_1882-7479-21	artikulieren	sense1	 	annotatorA
26120215_1988_07_30_01_137.tcf.xml-5-23	artikulieren	sense1	 	annotatorA
26120215_1989_07_29_01_027.tcf.xml-44-1	artikulieren	sense1	 	annotatorA
26120215_1990_04_07_01_173.tcf.xml-55-0	artikulieren	sense2	 	annotatorA
2532889X_1981-06-09_01_110.tcf.xml-14-1	artikulieren	sense1	 	annotatorA
2532889X_1966-07-09_01_121.tcf.xml-18-14	artikulieren	sense1	 	annotatorA
blumenbach_knochen_1807-1442-28	artikulieren	sense2	 	annotatorA
2532889X_1985-12-07_01_368.tcf.xml-21-8	artikulieren	sense1	 	annotatorA
2532889X_1987-09-18_01_055.tcf.xml-5-5	artikulieren	sense1	 	annotatorA
blumenbach_anatomie2_1805-645-20	artikulieren	sense2	 	annotatorA
26120215_1976_12_07_01_188.tcf.xml-12-11	artikulieren	sense1	 	annotatorA
vogt_briefe02_1851-5741-27	artikulieren	sense1	 	annotatorA
2532889X_1990-01-17_01_045.tcf.xml-71-15	artikulieren	sense1	 	annotatorA
treviranus_biologie06_1822-2300-25	artikulieren	sense2	 	annotatorA
26120215_1990_01_11_01_089.tcf.xml-68-1	artikulieren	sense1	 	annotatorA
2532889X_1981-03-21_01_043.tcf.xml-24-31	artikulieren	sense1	 	annotatorA
holtei_vagabunden02_1852-1389-8	artikulieren	sense1	 	annotatorA
treviranus_biologie03_1805-825-9	artikulieren	sense2	 	annotatorA
wernicke_symptomencomplex_1874-837-40	artikulieren	sense1	 	annotatorA
treviranus_biologie03_1805-447-3	artikulieren	sense2	 	annotatorA
26120215_1988_09_02_01_087.tcf.xml-15-1	artikulieren	sense1	 	annotatorA
2532889X_1978-12-20_01_052.tcf.xml-23-1	artikulieren	sense1	 	annotatorA
nn_nrhz067b2_1848-252-31	artikulieren	sense1	 	annotatorA
2532889X_1990-06-05_01_087.tcf.xml-33-37	artikulieren	sense1	 	annotatorA
26120215_1989_12_09_01_378.tcf.xml-211-27	artikulieren	sense1	 	annotatorA
2532889X_1987-08-21_01_113.tcf.xml-26-18	artikulieren	sense1	 	annotatorA
blumenbach_anatomie_1824-720-20	artikulieren	sense2	 	annotatorA
blumenbach_anatomie_1805-773-31	artikulieren	sense2	 	annotatorA
26120215_1973_04_10_01_136.tcf.xml-13-5	artikulieren	sense1	 	annotatorA
blumenbach_anatomie_1824-618-52	artikulieren	sense2	 	annotatorA
vogt_briefe02_1851-535-61	artikulieren	sense2	 	annotatorA
blumenbach_anatomie_1805-533-78	artikulieren	sense2	 	annotatorA
2532889X_1980-03-05_01_060.tcf.xml-18-5	artikulieren	sense1	 	annotatorA
2532889X_1988-08-20_01_267.tcf.xml-12-30	artikulieren	sense1	 	annotatorB
26120215_1982_11_29_01_097.tcf.xml-47-17	artikulieren	sense1	 	annotatorB
2532889X_1987-01-26_01_063.tcf.xml-22-22	artikulieren	sense1	 	annotatorB
goerres_volksbuecher_1807-152-102	artikulieren	sense1	 	annotatorB
nn_nrhz090_1848-614-7	artikulieren	sense1	 	annotatorB
blumenbach_anatomie_1815-806-31	artikulieren	sense2	 	annotatorB
26120215_1988_08_20_01_052.tcf.xml-20-32	artikulieren	sense1	 	annotatorB
munzinger_japaner_1898-466-14	artikulieren	sense1	 	annotatorB
vischer_aesthetik030204_1857-1991-49	artikulieren	sense1	 	annotatorB
goethe_farbenlehre01_1810-4726-57	artikulieren	sense1	 	annotatorB
26120215_1973_08_31_01_082.tcf.xml-4-24	artikulieren	sense1	 	annotatorB
2532889X_1982-11-11_01_053.tcf.xml-14-7	artikulieren	sense1	 	annotatorB
blumenbach_anatomie2_1805-776-31	artikulieren	None	gleicher Satz wie 7	annotatorB
vischer_aesthetik030204_1857-537-2	artikulieren	sense1	 	annotatorB
treviranus_biologie03_1805-380-35	artikulieren	sense2	 	annotatorB
clodius_poetik01_1804-3105-11	artikulieren	sense1	 	annotatorB
26120215_1972_08_21_01_116.tcf.xml-14-27	artikulieren	sense1	 	annotatorB
beyer_poetik01_1882-7479-21	artikulieren	sense1	 	annotatorB
26120215_1988_07_30_01_137.tcf.xml-5-23	artikulieren	sense1	 	annotatorB
26120215_1989_07_29_01_027.tcf.xml-44-1	artikulieren	sense1	 	annotatorB
26120215_1990_04_07_01_173.tcf.xml-55-0	artikulieren	sense1	 	annotatorB
2532889X_1981-06-09_01_110.tcf.xml-14-1	artikulieren	sense1	 	annotatorB
2532889X_1966-07-09_01_121.tcf.xml-18-14	artikulieren	sense1	 	annotatorB
blumenbach_knochen_1807-1442-28	artikulieren	sense2	 	annotatorB
2532889X_1985-12-07_01_368.tcf.xml-21-8	artikulieren	sense1	 	annotatorB
2532889X_1987-09-18_01_055.tcf.xml-5-5	artikulieren	sense1	 	annotatorB
blumenbach_anatomie2_1805-645-20	artikulieren	sense2	 	annotatorB
26120215_1976_12_07_01_188.tcf.xml-12-11	artikulieren	sense1	 	annotatorB
vogt_briefe02_1851-5741-27	artikulieren	sense1	 	annotatorB
2532889X_1990-01-17_01_045.tcf.xml-71-15	artikulieren	sense1	 	annotatorB
treviranus_biologie06_1822-2300-25	artikulieren	sense2	 	annotatorB
26120215_1990_01_11_01_089.tcf.xml-68-1	artikulieren	sense1	 	annotatorB
2532889X_1981-03-21_01_043.tcf.xml-24-31	artikulieren	sense1	 	annotatorB
holtei_vagabunden02_1852-1389-8	artikulieren	sense1	 	annotatorB
treviranus_biologie03_1805-825-9	artikulieren	sense2	 	annotatorB
wernicke_symptomencomplex_1874-837-40	artikulieren	sense1	 	annotatorB
treviranus_biologie03_1805-447-3	artikulieren	sense2	 	annotatorB
26120215_1988_09_02_01_087.tcf.xml-15-1	artikulieren	sense1	 	annotatorB
2532889X_1978-12-20_01_052.tcf.xml-23-1	artikulieren	sense1	 	annotatorB
nn_nrhz067b2_1848-252-31	artikulieren	sense1	 	annotatorB
2532889X_1990-06-05_01_087.tcf.xml-33-37	artikulieren	sense1	 	annotatorB
26120215_1989_12_09_01_378.tcf.xml-211-27	artikulieren	sense1	 	annotatorB
2532889X_1987-08-21_01_113.tcf.xml-26-18	artikulieren	sense1	 	annotatorB
blumenbach_anatomie_1824-720-20	artikulieren	sense2	 	annotatorB
blumenbach_anatomie_1805-773-31	artikulieren	None	gleicher Satz wie 7	annotatorB
26120215_1973_04_10_01_136.tcf.xml-13-5	artikulieren	sense1	 	annotatorB
blumenbach_anatomie_1824-618-52	artikulieren	sense2	 	annotatorB
vogt_briefe02_1851-535-61	artikulieren	sense2	 	annotatorB
blumenbach_anatomie_1805-533-78	artikulieren	sense2	 	annotatorB
2532889X_1980-03-05_01_060.tcf.xml-18-5	artikulieren	sense1	 	annotatorB
2532889X_1988-08-20_01_267.tcf.xml-12-30	artikulieren	sense0	 	annotatorC
26120215_1982_11_29_01_097.tcf.xml-47-17	artikulieren	sense1	 	annotatorC
2532889X_1987-01-26_01_063.tcf.xml-22-22	artikulieren	sense1	 	annotatorC
