identifier	lemma	identifier_sense	comment	annotator
26120215_1988_12_20_01_113.tcf.xml-11-4	ausspannen	sense1	 	annotatorA
blumenbach_knochen_1807-4106-61	ausspannen	sense2	 	annotatorA
schroeder_logik01_1890-906-70	ausspannen	sense2	 	annotatorA
2532889X_1982-03-23_01_152.tcf.xml-37-11	ausspannen	sense1	 	annotatorA
2532889X_1961-02-17_01_046.tcf.xml-35-11	ausspannen	sense4	 	annotatorA
2532889X_1981-05-02_01_137.tcf.xml-113-29	ausspannen	sense1	 	annotatorA
26120215_1955_05_26_01_040.tcf.xml-48-36	ausspannen	None	unklar	annotatorA
2532889X_1954-09-12_01_130.tcf.xml-15-16	ausspannen	sense2	 	annotatorA
2532889X_1988-09-29_01_066.tcf.xml-14-10	ausspannen	sense4	 	annotatorA
hug_familie_1896-6016-3	ausspannen	sense2	 	annotatorA
wundt_medizinische_1867-3076-13	ausspannen	sense2	 	annotatorA
schubert_naturwissenschaft_1808-1556-30	ausspannen	sense2	 	annotatorA
eckstein_dudler_1893-128-6	ausspannen	sense3	 	annotatorA
26120215_1960_04_15_01_377.tcf.xml-13-12	ausspannen	sense3	 	annotatorA
26120215_1954_01_26_01_178.tcf.xml-21-9	ausspannen	sense2	 	annotatorA
blumenbach_knochen_1807-2733-21	ausspannen	sense2	 	annotatorA
rueckert_brahmane05_1839-2336-9	ausspannen	sense2	 	annotatorA
2532889X_1969-03-19_01_076.tcf.xml-69-7	ausspannen	sense1	 	annotatorA
2532889X_1953-02-14_01_066.tcf.xml-30-15	ausspannen	sense4	 	annotatorA
gottschalck_sagen_1814-2045-46	ausspannen	sense4	 	annotatorA
26120215_1947_10_31_01_042.tcf.xml-21-32	ausspannen	sense2	 	annotatorA
26120215_1985_11_06_01_226.tcf.xml-36-23	ausspannen	sense2	 	annotatorA
laube_europa0201_1837-327-10	ausspannen	sense1	 	annotatorA
26120215_1985_09_12_01_093.tcf.xml-45-28	ausspannen	sense2	 	annotatorA
blumenbach_naturgeschichte_1807-823-25	ausspannen	sense2	 	annotatorA
wrangel_luxusfuhrwerk_1898-454-27	ausspannen	sense1	 	annotatorA
26120215_1955_12_18_02_208.tcf.xml-34-10	ausspannen	sense2	 	annotatorA
2532889X_1966-01-11_01_157.tcf.xml-24-12	ausspannen	sense4	 	annotatorA
2532889X_1961-10-28_01_150.tcf.xml-8-8	ausspannen	sense4	 	annotatorA
26120215_1975_09_02_01_194.tcf.xml-13-12	ausspannen	sense4	 	annotatorA
2532889X_1973-06-04_01_063.tcf.xml-13-23	ausspannen	sense2	 	annotatorA
26120215_1970_06_01_01_089.tcf.xml-75-11	ausspannen	sense4	 	annotatorA
schwab_sagen01_1838-3289-48	ausspannen	sense2	 	annotatorA
tieck_phantasus01_1812-2957-35	ausspannen	sense2	 	annotatorA
26120215_1973_08_22_01_053.tcf.xml-18-4	ausspannen	sense4	 	annotatorA
alexis_ruhe04_1852-4102-41	ausspannen	sense2	 	annotatorA
26120215_1968_11_17_01_570.tcf.xml-28-9	ausspannen	sense4	 	annotatorA
clodius_poetik01_1804-3729-19	ausspannen	sense2	 	annotatorA
vogt_briefe02_1851-227-17	ausspannen	sense2	 	annotatorA
varnhagen_rahel03_1834-2258-33	ausspannen	sense4	 	annotatorA
boerne_paris01_1832-2103-9	ausspannen	sense1	 	annotatorA
alexis_ruhe03_1852-4633-13	ausspannen	None	unklar	annotatorA
fontane_brandenburg04_1882-617-18	ausspannen	sense1	 	annotatorA
vogt_briefe02_1851-2090-25	ausspannen	sense2	 	annotatorA
baumstark_encyclopaedie_1835-8093-35	ausspannen	sense2	 	annotatorA
26120215_1977_10_15_01_409.tcf.xml-12-6	ausspannen	sense1	 	annotatorA
blumenbach_naturgeschichte_1816-481-20	ausspannen	sense2	 	annotatorA
keller_seldwyla_1856-2820-11	ausspannen	sense2	 	annotatorA
2532889X_1959-08-15_01_134.tcf.xml-39-12	ausspannen	sense4	 	annotatorA
2532889X_1980-10-18_01_072.tcf.xml-9-15	ausspannen	sense3	 	annotatorA
26120215_1988_12_20_01_113.tcf.xml-11-4	ausspannen	sense1	 	annotatorB
blumenbach_knochen_1807-4106-61	ausspannen	sense2	 	annotatorB
schroeder_logik01_1890-906-70	ausspannen	sense2	 	annotatorB
2532889X_1982-03-23_01_152.tcf.xml-37-11	ausspannen	sense1	 	annotatorB
2532889X_1961-02-17_01_046.tcf.xml-35-11	ausspannen	sense4	 	annotatorB
2532889X_1981-05-02_01_137.tcf.xml-113-29	ausspannen	sense1	 	annotatorB
26120215_1955_05_26_01_040.tcf.xml-48-36	ausspannen	sense1	 	annotatorB
2532889X_1954-09-12_01_130.tcf.xml-15-16	ausspannen	sense2	 	annotatorB
2532889X_1988-09-29_01_066.tcf.xml-14-10	ausspannen	sense4	 	annotatorB
hug_familie_1896-6016-3	ausspannen	sense2	 	annotatorB
wundt_medizinische_1867-3076-13	ausspannen	sense2	 	annotatorB
schubert_naturwissenschaft_1808-1556-30	ausspannen	sense2	 	annotatorB
eckstein_dudler_1893-128-6	ausspannen	sense1	 	annotatorB
26120215_1960_04_15_01_377.tcf.xml-13-12	ausspannen	sense3	 	annotatorB
26120215_1954_01_26_01_178.tcf.xml-21-9	ausspannen	sense2	 	annotatorB
blumenbach_knochen_1807-2733-21	ausspannen	sense2	 	annotatorB
rueckert_brahmane05_1839-2336-9	ausspannen	sense2	 	annotatorB
2532889X_1969-03-19_01_076.tcf.xml-69-7	ausspannen	sense1	 	annotatorB
2532889X_1953-02-14_01_066.tcf.xml-30-15	ausspannen	sense3	 	annotatorB
gottschalck_sagen_1814-2045-46	ausspannen	sense2	 	annotatorB
26120215_1947_10_31_01_042.tcf.xml-21-32	ausspannen	sense2	 	annotatorB
26120215_1985_11_06_01_226.tcf.xml-36-23	ausspannen	sense2	 	annotatorB
laube_europa0201_1837-327-10	ausspannen	sense1	 	annotatorB
26120215_1985_09_12_01_093.tcf.xml-45-28	ausspannen	sense2	 	annotatorB
blumenbach_naturgeschichte_1807-823-25	ausspannen	sense2	 	annotatorB
wrangel_luxusfuhrwerk_1898-454-27	ausspannen	sense1	 	annotatorB
26120215_1955_12_18_02_208.tcf.xml-34-10	ausspannen	sense2	 	annotatorB
2532889X_1966-01-11_01_157.tcf.xml-24-12	ausspannen	sense4	 	annotatorB
2532889X_1961-10-28_01_150.tcf.xml-8-8	ausspannen	sense4	 	annotatorB
26120215_1975_09_02_01_194.tcf.xml-13-12	ausspannen	sense4	 	annotatorB
2532889X_1973-06-04_01_063.tcf.xml-13-23	ausspannen	sense2	 	annotatorB
26120215_1970_06_01_01_089.tcf.xml-75-11	ausspannen	sense4	 	annotatorB
schwab_sagen01_1838-3289-48	ausspannen	sense2	 	annotatorB
tieck_phantasus01_1812-2957-35	ausspannen	sense2	 	annotatorB
26120215_1973_08_22_01_053.tcf.xml-18-4	ausspannen	sense4	 	annotatorB
alexis_ruhe04_1852-4102-41	ausspannen	sense2	 	annotatorB
26120215_1968_11_17_01_570.tcf.xml-28-9	ausspannen	sense4	 	annotatorB
clodius_poetik01_1804-3729-19	ausspannen	sense2	 	annotatorB
vogt_briefe02_1851-227-17	ausspannen	sense2	 	annotatorB
varnhagen_rahel03_1834-2258-33	ausspannen	sense3	Vermutung, da Kontext sehr schwer verständlich	annotatorB
boerne_paris01_1832-2103-9	ausspannen	sense1	 	annotatorB
alexis_ruhe03_1852-4633-13	ausspannen	sense2	 	annotatorB
fontane_brandenburg04_1882-617-18	ausspannen	sense1	 	annotatorB
vogt_briefe02_1851-2090-25	ausspannen	sense2	 	annotatorB
baumstark_encyclopaedie_1835-8093-35	ausspannen	sense2	 	annotatorB
26120215_1977_10_15_01_409.tcf.xml-12-6	ausspannen	sense4	 	annotatorB
blumenbach_naturgeschichte_1816-481-20	ausspannen	sense2	 	annotatorB
keller_seldwyla_1856-2820-11	ausspannen	sense1	 	annotatorB
2532889X_1959-08-15_01_134.tcf.xml-39-12	ausspannen	sense4	 	annotatorB
2532889X_1980-10-18_01_072.tcf.xml-9-15	ausspannen	sense3	 	annotatorB
26120215_1988_12_20_01_113.tcf.xml-11-4	ausspannen	sense1	 	annotatorC
blumenbach_knochen_1807-4106-61	ausspannen	sense2	 	annotatorC
schroeder_logik01_1890-906-70	ausspannen	sense2	 	annotatorC
2532889X_1982-03-23_01_152.tcf.xml-37-11	ausspannen	sense1	 	annotatorC
2532889X_1961-02-17_01_046.tcf.xml-35-11	ausspannen	sense4	 	annotatorC
2532889X_1981-05-02_01_137.tcf.xml-113-29	ausspannen	sense1	 	annotatorC
26120215_1955_05_26_01_040.tcf.xml-48-36	ausspannen	sense1	 	annotatorC
2532889X_1954-09-12_01_130.tcf.xml-15-16	ausspannen	sense2	 	annotatorC
2532889X_1988-09-29_01_066.tcf.xml-14-10	ausspannen	sense4	 	annotatorC
hug_familie_1896-6016-3	ausspannen	sense2	 	annotatorC
wundt_medizinische_1867-3076-13	ausspannen	sense2	 	annotatorC
schubert_naturwissenschaft_1808-1556-30	ausspannen	sense2	 	annotatorC
eckstein_dudler_1893-128-6	ausspannen	sense3	 	annotatorC
26120215_1960_04_15_01_377.tcf.xml-13-12	ausspannen	sense3	 	annotatorC
26120215_1954_01_26_01_178.tcf.xml-21-9	ausspannen	sense2	 	annotatorC
blumenbach_knochen_1807-2733-21	ausspannen	sense2	 	annotatorC
rueckert_brahmane05_1839-2336-9	ausspannen	sense0	 	annotatorC
2532889X_1969-03-19_01_076.tcf.xml-69-7	ausspannen	sense3	 	annotatorC
2532889X_1953-02-14_01_066.tcf.xml-30-15	ausspannen	sense4	 	annotatorC
gottschalck_sagen_1814-2045-46	ausspannen	sense0	 	annotatorC
26120215_1947_10_31_01_042.tcf.xml-21-32	ausspannen	sense0	 	annotatorC
26120215_1985_11_06_01_226.tcf.xml-36-23	ausspannen	sense2	 	annotatorC
laube_europa0201_1837-327-10	ausspannen	sense1	 	annotatorC
26120215_1985_09_12_01_093.tcf.xml-45-28	ausspannen	sense2	 	annotatorC
blumenbach_naturgeschichte_1807-823-25	ausspannen	sense2	 	annotatorC
wrangel_luxusfuhrwerk_1898-454-27	ausspannen	sense1	 	annotatorC
26120215_1955_12_18_02_208.tcf.xml-34-10	ausspannen	sense2	 	annotatorC
2532889X_1966-01-11_01_157.tcf.xml-24-12	ausspannen	sense4	 	annotatorC
2532889X_1961-10-28_01_150.tcf.xml-8-8	ausspannen	sense4	 	annotatorC
26120215_1975_09_02_01_194.tcf.xml-13-12	ausspannen	sense4	 	annotatorC
2532889X_1973-06-04_01_063.tcf.xml-13-23	ausspannen	sense0	 	annotatorC
26120215_1970_06_01_01_089.tcf.xml-75-11	ausspannen	sense4	 	annotatorC
schwab_sagen01_1838-3289-48	ausspannen	sense2	 	annotatorC
tieck_phantasus01_1812-2957-35	ausspannen	sense2	 	annotatorC
26120215_1973_08_22_01_053.tcf.xml-18-4	ausspannen	sense4	 	annotatorC
alexis_ruhe04_1852-4102-41	ausspannen	sense2	 	annotatorC
26120215_1968_11_17_01_570.tcf.xml-28-9	ausspannen	sense0	 	annotatorC
clodius_poetik01_1804-3729-19	ausspannen	sense2	 	annotatorC
vogt_briefe02_1851-227-17	ausspannen	sense2	 	annotatorC
varnhagen_rahel03_1834-2258-33	ausspannen	sense4	 	annotatorC
boerne_paris01_1832-2103-9	ausspannen	sense3	 	annotatorC
alexis_ruhe03_1852-4633-13	ausspannen	sense0	 	annotatorC
fontane_brandenburg04_1882-617-18	ausspannen	sense1	 	annotatorC
vogt_briefe02_1851-2090-25	ausspannen	sense2	 	annotatorC
