lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
packen	VVFIN	1947	2	2532889X_1947-03-08_01_058.tcf.xml-22-1	 	Bertha packte ihn und warf ihn wieder aufs Brett; auch ihr war ängstlich zumute, aber sie unterdrückte das.	7:13	0:107	Bertha packte ihn und warf ihn wieder aufs Brett ; auch ihr war ängstlich zumute , aber sie unterdrückte das .	1	0:21	Bertha packen er und werfen er wieder aufs Brett ; auch sie sein ängstlich zumute , aber sie unterdrücken die .	NE VVFIN PPER KON VVFIN PPER ADV APPRART NN $. ADV PPER VAFIN ADJD ADV $, KON PPER VVFIN PDS $.	
packen	VVFIN	1947	2	2532889X_1947-07-22_01_135.tcf.xml-13-2	 	Ein.Geschäftsreisender packt seine über die Zonengrenze geschmuggelte Ware aus und spendiert Schnaps an die umstehenden Mitrtlsenden. tiOOQ Zigaretten und einen Hoffer wA \ Schnaps hil er ohne. aufzujaUmi fübergebrachl '..	23:28	0:222	Ein .Geschäftsreisender packt seine über die Zonengrenze geschmuggelte Ware aus und spendiert Schnaps an die umstehenden Mitrtlsenden . tiOOQ Zigaretten und einen Hoffer wA \ Schnaps hil er ohne . aufzujaUmi fübergebrachl ' . .	2	0:35	eine .geschäftsreisender packen seine über d Zonengrenze geschmuggelt Ware aus und spendieren Schnaps an d umstehend Mitrtlsenden . tiooq Zigarette und eine Hoffer Wa \ Schnaps hil er ohne . Aufzujaumi Fübergebrachl ' . .	ART NE VVFIN PPOSAT APPR ART NN ADJA NN PTKVZ KON VVFIN NN APPR ART ADJA NN $. ADJA NN KON ART NN NE $( NN VVFIN PPER APPR $. NE NE $( $. $.	
packen	VVFIN	1951	2	2532889X_1951-12-20_01_089.tcf.xml-1-62	 	Der Präsident der Deutschen Demokratisch en Republik, Wilhelm Piedc, und der Oberbürgermeister von Groß=Berlin, Friedrich Ebert, begrüßten am Mittwoch im Neuen Stadthaus 175 Kinder aus allen Sektoren Berlins zur alljährlichen Weihnachtsfeier des demokratischen Magistrats.-Waisenkinder aus den Heimen des demokratischen Sektors und Kinder aus Westberlin, deren ' Eltern als Friedenskämpfer von der Reuterverwaltung eingekerkert wurden, packten nach der Bescherung strahlend ihre riesigen.	436:443	0:488	Der Präsident der Deutschen Demokratisch en Republik , Wilhelm Piedc , und der Oberbürgermeister von Groß=Berlin , Friedrich Ebert , begrüßten am Mittwoch im Neuen Stadthaus 175 Kinder aus allen Sektoren Berlins zur alljährlichen Weihnachtsfeier des demokratischen Magistrats .- Waisenkinder aus den Heimen des demokratischen Sektors und Kinder aus Westberlin , deren ' Eltern als Friedenskämpfer von der Reuterverwaltung eingekerkert wurden , packten nach der Bescherung strahlend ihre riesigen .	62	0:70	d Präsident d Deutsche demokratisch en Republik , Wilhelm Piedc , und d Oberbürgermeister von Groß=berlin , Friedrich Ebert , begrüßen am Mittwoch im neu Stadthaus 175 Kind aus alle Sektor Berlin zur alljährlich Weihnachtsfeier d demokratisch Magistrat .- Waisenkind aus d Heim d demokratisch Sektor und Kind aus Westberlin , die ' Eltern als Friedenskämpfer von d Reuterverwaltung einkerkern werden , packen nach d Bescherung strahlend ihr riesig .	ART NN ART NN ADJD FM NN $, NE NE $, KON ART NN APPR NE $, NE NE $, VVFIN APPRART NN APPRART ADJA NN CARD NN APPR PIAT NN NE APPRART ADJA NN ART ADJA NN $( NN APPR ART NN ART ADJA NN KON NN APPR NE $, PRELAT $( NN KOUS NN APPR ART NN VVPP VAFIN $, VVFIN APPR ART NN ADJD PPOSAT ADJA $.	
packen	VVPP	1957	2	2532889X_1957-10-25_01_016.tcf.xml-7-30	 	Die Westberliner Bevölkerung nimmt mit großer Verbitterung und Empörung von -dieser Teuerung Kenntnis, zumal sie weiß, daß im demokratischen Berlin der Preis pro Zentner Briketts frei Keller gepackt lediglich 2,39 DM beträgt -s also fast um zwei Mark niedriger ist Dieser neuen Teuerung in Westberlin sind Preiserhöhungen in Westdeutschland vorausgegangen.	191:198	0:356	Die Westberliner Bevölkerung nimmt mit großer Verbitterung und Empörung von - dieser Teuerung Kenntnis , zumal sie weiß , daß im demokratischen Berlin der Preis pro Zentner Briketts frei Keller gepackt lediglich 2,39 DM beträgt -s also fast um zwei Mark niedriger ist Dieser neuen Teuerung in Westberlin sind Preiserhöhungen in Westdeutschland vorausgegangen .	30	0:54	d Westberliner Bevölkerung nehmen mit groß Verbitterung und Empörung von - diese Teuerung Kenntnis , zumal sie wissen , daß im demokratisch Berlin d Preis pro Zentner Brikett frei Keller packen lediglich 2,39 DM betragen -s also fast um zwei Mark niedrig sein diese neu Teuerung in Westberlin sein Preiserhöhung in Westdeutschland vorausgehen .	ART ADJA NN VVFIN APPR ADJA NN KON NN APPR $( PDAT NN NN $, KOUS PPER VVFIN $, KOUS APPRART ADJA NE ART NN APPR NN NN ADJD NN VVPP ADV CARD NN VVFIN TRUNC ADV ADV APPR CARD NN ADJD VAFIN PDAT ADJA NN APPR NE VAFIN NN APPR NE VVPP $.	
packen	VVFIN	1959	2	2532889X_1959-03-25_01_085.tcf.xml-14-5	 	MIT VIEL EIFER UND LIEBE packen Junge Pionlete der Berliner Wllhelm-Pieck-Sehule Geschenkpakete für westdeutsche Kinder, deren Eltern durch die Krise Im Ruhrkohlebergbau und in der westdeutschen Eisen-und Stahlindustrie.	25:31	0:220	MIT VIEL EIFER UND LIEBE packen Junge Pionlete der Berliner Wllhelm-Pieck-Sehule Geschenkpakete für westdeutsche Kinder , deren Eltern durch die Krise Im Ruhrkohlebergbau und in der westdeutschen Eisen- und Stahlindustrie .	5	0:31	Massachussetts_Institute_Of_Technology VIEL Eifer und Liebe packen jung Pionlete d Berliner wllhelm-pieck-sehule Geschenkpaket für westdeutsch Kind , die Eltern durch d Krise im Ruhrkohlebergbau und in d westdeutsch eisen- und Stahlindustrie .	NE ADJA NN KON NN VVFIN ADJA NN ART ADJA ADJA NN APPR ADJA NN $, PRELAT NN APPR ART NN APPRART NN KON APPR ART ADJA TRUNC KON NN $.	
packen	VVFIN	1959	2	2532889X_1959-06-24_01_096.tcf.xml-61-1	 	Damals packte ich mein Bündel und zog nach Zwickau, wo ich an der Erweiterung des Bahnhofes arbeiten konnte.	7:13	0:108	Damals packte ich mein Bündel und zog nach Zwickau , wo ich an der Erweiterung des Bahnhofes arbeiten konnte .	1	0:20	damals packen ich mein Bündel und ziehen nach Zwickau , wo ich an d Erweiterung d Bahnhof arbeiten können .	ADV VVFIN PPER PPOSAT NN KON VVFIN APPR NE $, PWAV PPER APPR ART NN ART NN VVINF VMFIN $.	
packen	VVFIN	1965	2	2532889X_1965-12-14_01_170.tcf.xml-69-10	 	Dipl.-Ing. Karl Sträube, Stellvertreter des Vorsitzenden des Volkswirtschaftsrates, packte das Thema von einer anderen Seite: Vereinbarungen und enge; Kontakte zwischen den Fachverbänden der KDT und den Industrieabteilungen des Volkswirtschaftsrates-Vereinbarungen zwischen den Industriezweigvorständen und den Leitungen der WB — auf diese Weise lösen wir die Hauptprobleme des Planes am besten.	84:90	0:395	Dipl.-Ing. Karl Sträube , Stellvertreter des Vorsitzenden des Volkswirtschaftsrates , packte das Thema von einer anderen Seite : Vereinbarungen und enge; Kontakte zwischen den Fachverbänden der KDT und den Industrieabteilungen des Volkswirtschaftsrates- Vereinbarungen zwischen den Industriezweigvorständen und den Leitungen der WB — auf diese Weise lösen wir die Hauptprobleme des Planes am besten .	10	0:54	Dipl.-Ing. Karl sträuben , Stellvertreter d Vorsitzende d Volkswirtschaftsrat , packen d Thema von eine ander Seite : Vereinbarung und enge; Kontakt zwischen d Fachverband d KDT und d Industrieabteilung d volkswirtschaftsrates- Vereinbarung zwischen d Industriezweigvorstand und d Leitung d WB — auf diese Weise lösen wir d Hauptproblem d Plan am gut .	NE NE VVFIN $, NN ART NN ART NN $, VVFIN ART NN APPR ART ADJA NN $. NN KON ADJA NN APPR ART NN ART NE KON ART NN ART TRUNC NN APPR ART NN KON ART NN ART NE $( APPR PDAT NN VVFIN PPER ART NN ART NN PTKA ADJD $.	
packen	VVFIN	1966	2	2532889X_1966-07-31_01_255.tcf.xml-18-1	 	Er packte Mr. Quick am Rockärmel und Wies zitternd auf einen Straßenbeleuchtungsmast.	3:9	0:85	Er packte Mr. Quick am Rockärmel und Wies zitternd auf einen Straßenbeleuchtungsmast .	1	0:13	er packen Mr. Quick am Rockärmel und Wies zittern auf eine Straßenbeleuchtungsmast .	PPER VVFIN NN NE APPRART NN KON NN VVPP APPR ART NN $.	
packen	VVFIN	1967	2	2532889X_1967-02-26_01_030.tcf.xml-16-11	 	In Altenkirchen, wo die Schule in Mitleidenschaft gezogen wurde, packen Einwohner tatkräftig zu, damit am Montag der Unterricht weitergehen kann.	65:71	0:145	In Altenkirchen , wo die Schule in Mitleidenschaft gezogen wurde , packen Einwohner tatkräftig zu , damit am Montag der Unterricht weitergehen kann .	11	0:24	in Altenkirchen , wo d Schule in Mitleidenschaft ziehen werden , packen Einwohner tatkräftig zu , damit am Montag d Unterricht weitergehen können .	APPR NE $, PWAV ART NN APPR NN VVPP VAFIN $, VVFIN NN ADJD PTKVZ $, KOUS APPRART NN ART NN VVINF VMFIN $.	
packen	VVPP	1968	2	2532889X_1968-09-30_01_074.tcf.xml-75-0	 	Packend in ihrer unbeugsamen Härte und fanatischen Besessenheit gestaltete Erika Pelikowsky die alte Leßtorff -Bäuerin.	0:7	0:119	Packend in ihrer unbeugsamen Härte und fanatischen Besessenheit gestaltete Erika Pelikowsky die alte Leßtorff -Bäuerin .	0	0:16	packen in ihr unbeugsam Härte und fanatisch Besessenheit gestalten Erika Pelikowsky d alt Leßtorff -bäuerin .	VVPP APPR PPOSAT ADJA NN KON ADJA NN VVFIN NE NE ART ADJA NN TRUNC $.	
