lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
zersetzen	VVFIN	1948	2	2532889X_1948-02-11_01_009.tcf.xml-174-75	 	Aus alledem ist ersichtlich: die historische Wahrheit besteht darin, daß' die HHIer-v Aggression erstens dadurch möglich wurde, daß die USA den Deutschen halfen, binnen einer kurzen Zeit die militärische und wirtschaftliche Basis der deutschen Aggression zu schaffen und somit diese Aggressoren bewaffneten und zweitens dadurch, daß der Verzicht der, britisch-französischen regierenden Kreise auf kollektive Sicherheit die Reihen der friedliebenden Länder verwirrte, die Einheitsfront dieser Lander gegen die Aggression zersetzte. den Weg für die deutsche Aggression freimachte und Hitler den zweiten Weltkrieg entfesseln half.	520:529	0:627	Aus alledem ist ersichtlich : die historische Wahrheit besteht darin , daß' die HHIer-v Aggression erstens dadurch möglich wurde , daß die USA den Deutschen halfen , binnen einer kurzen Zeit die militärische und wirtschaftliche Basis der deutschen Aggression zu schaffen und somit diese Aggressoren bewaffneten und zweitens dadurch , daß der Verzicht der , britisch-französischen regierenden Kreise auf kollektive Sicherheit die Reihen der friedliebenden Länder verwirrte , die Einheitsfront dieser Lander gegen die Aggression zersetzte . den Weg für die deutsche Aggression freimachte und Hitler den zweiten Weltkrieg entfesseln half .	75	0:92	aus alledem sein ersichtlich : d historisch Wahrheit bestehen darin , Daß' d hhier-v Aggression erstens dadurch möglich werden , daß d Usa d Deutsche helfen , binnen eine kurz Zeit d militärisch und wirtschaftlich Basis d deutsch Aggression zu schaffen und somit diese Aggressor bewaffnet und zweitens dadurch , daß d Verzicht d , britisch-französisch regierend Kreis auf kollektiv Sicherheit d Reihe d friedeliebend Land verwirren , d Einheitsfront diese Lander gegen d Aggression zersetzen . d Weg für d deutsch Aggression freimachen und Hitler d zweit Weltkrieg entfesseln helfen .	APPR PIS VAFIN ADJD $. ART ADJA NN VVFIN PAV $, NE ART ADJA NN ADV PAV ADJD VAFIN $, KOUS ART NE ART NN VVFIN $, APPR ART ADJA NN ART ADJA KON ADJA NN ART ADJA NN PTKZU VVINF KON ADV PDAT NN ADJA KON ADV PAV $, KOUS ART NN ART $, ADJA ADJA NN APPR ADJA NN ART NN ART ADJA NN VVFIN $, ART NN PDAT NN APPR ART NN VVFIN $. ART NN APPR ART ADJA NN VVFIN KON NE ART ADJA NN VVINF VVFIN $.	
zersetzen	VVPP	1948	2	2532889X_1948-08-08_01_035.tcf.xml-369-60	 	Sympathie gegenüber dem Proletariat, der Haß gegen Kriegsgewinnler, Junker Und Bürokratie Waren auch in weiten Kreisen der bürgerlichen Bevölkerung und der Bauern-* Schaft während des Krieges im Wachsen, Da * mit War eine empfindliche Schwächung des Klassenfeindes des Proletariats und e ne Stärkung seiner eigenen Kräfte eingetreten; Die Armee war in Auflösung oder doch bereits stark zersetzt, Sympathisierte in weiten Teilet! mit der Arbeiterschaft.	386:394	0:452	Sympathie gegenüber dem Proletariat , der Haß gegen Kriegsgewinnler , Junker Und Bürokratie Waren auch in weiten Kreisen der bürgerlichen Bevölkerung und der Bauern-* Schaft während des Krieges im Wachsen , Da * mit War eine empfindliche Schwächung des Klassenfeindes des Proletariats und e ne Stärkung seiner eigenen Kräfte eingetreten ; Die Armee war in Auflösung oder doch bereits stark zersetzt , Sympathisierte in weiten Teilet ! mit der Arbeiterschaft .	60	0:71	Sympathie gegenüber d Proletariat , d Haß gegen Kriegsgewinnler , Junker und Bürokratie sein auch in weit Kreis d bürgerlich Bevölkerung und d bauern-* Schaft während d Krieg im Wachs , da * mit sein eine empfindlich Schwächung d Klassenfeind d Proletariat und e ne Stärkung seine eigen Kraft eintreten ; d Armee sein in Auflösung oder doch bereits stark zersetzen , sympathisieren in weit teilen ! mit d Arbeiterschaft .	NN APPR ART NN $, ART NN APPR NN $, NN KON NN VAFIN ADV APPR ADJA NN ART ADJA NN KON ART ADJA NN APPR ART NN APPRART NN $, KOUS XY APPR VAFIN ART ADJA NN ART NN ART NN KON FM FM NN PPOSAT ADJA NN VVPP $. ART NN VAFIN APPR NN KON ADV ADV ADJD VVPP $, VVFIN APPR ADJA VVFIN $. APPR ART NN $.	
zersetzen	VVINF	1948	2	2532889X_1948-10-15_01_038.tcf.xml-20-16	 	sie wollen die Parteibetriebseruppe in der Richtung des Kampfes gegen die SU beeinflussen, die Partei zersetzen und in den Augen der sowjetischen Besatzungsmacht diskreditieren.	102:111	0:177	sie wollen die Parteibetriebseruppe in der Richtung des Kampfes gegen die SU beeinflussen , die Partei zersetzen und in den Augen der sowjetischen Besatzungsmacht diskreditieren .	16	0:26	sie wollen d Parteibetriebseruppe in d Richtung d Kampf gegen d Su beeinflussen , d Partei zersetzen und in d Auge d sowjetisch Besatzungsmacht diskreditieren .	PPER VMFIN ART NN APPR ART NN ART NN APPR ART NE VVINF $, ART NN VVINF KON APPR ART NN ART ADJA NN VVINF $.	
zersetzen	VVINF	1949	2	2532889X_1949-09-08_01_010.tcf.xml-5-12	 	Die Bemühungen der trotzkistischen Führer von Belgrad, die Demokratische Armee zu zersetzen, eine Verleumdungskampagne zu organisieren und die Öffnung der jugoslawischen Grenze für Monarcho-Faschisten bei Kaimaksalan, wo sie unseren Kräften in den Rücken fielen, haben uns gezwungen, einen Teil unserer Truppen entlang der jugoslawischen Grenze einzusetzen.	82:91	0:357	Die Bemühungen der trotzkistischen Führer von Belgrad , die Demokratische Armee zu zersetzen , eine Verleumdungskampagne zu organisieren und die Öffnung der jugoslawischen Grenze für Monarcho- Faschisten bei Kaimaksalan , wo sie unseren Kräften in den Rücken fielen , haben uns gezwungen , einen Teil unserer Truppen entlang der jugoslawischen Grenze einzusetzen .	12	0:53	d Bemühung d trotzkistisch Führer von Belgrad , d demokratisch Armee zu zersetzen , eine Verleumdungskampagne zu organisieren und d Öffnung d jugoslawisch Grenze für monarcho- Faschist bei Kaimaksalan , wo sie unsere Kraft in d Rücken fallen , haben wir zwingen , eine Teil unsere Truppe entlang d jugoslawisch Grenze einsetzen .	ART NN ART ADJA NN APPR NE $, ART ADJA NN PTKZU VVINF $, ART NN PTKZU VVINF KON ART NN ART ADJA NN APPR TRUNC NN APPR NE $, PWAV PPER PPOSAT NN APPR ART NN VVFIN $, VAFIN PPER VVPP $, ART NN PPOSAT NN APPR ART ADJA NN VVIZU $.	
zersetzen	VVPP	1950	2	2532889X_1950-01-07_01_043.tcf.xml-58-4	 	Diese „westliche Scheinkultur zersetzt und zerstört die kulturellen Kräfte des deutschen Volkes und erleichtert die geistige und wirtschaftliche Versklavung, die Herabwürdigung Deutschlands zu einer Kolonie ohne Bewußtsein einer eigenen Kulturtradition und ohne Weiterentwicklung einer nationalen Kultur.	30:38	0:304	Diese „ westliche Scheinkultur zersetzt und zerstört die kulturellen Kräfte des deutschen Volkes und erleichtert die geistige und wirtschaftliche Versklavung , die Herabwürdigung Deutschlands zu einer Kolonie ohne Bewußtsein einer eigenen Kulturtradition und ohne Weiterentwicklung einer nationalen Kultur .	4	0:39	diese „ westlich Scheinkultur zersetzen und zerstören d kulturell Kraft d deutsch Volk und erleichtern d geistig und wirtschaftlich Versklavung , d Herabwürdigung Deutschland zu eine Kolonie ohne Bewußtsein eine eigen Kulturtradition und ohne Weiterentwicklung eine national Kultur .	PDAT $( ADJA NN VVPP KON VVPP ART ADJA NN ART ADJA NN KON VVFIN ART ADJA KON ADJA NN $, ART NN NE APPR ART NN APPR NN ART ADJA NN KON APPR NN ART ADJA NN $.	
zersetzen	VVINF	1950	2	2532889X_1950-03-29_01_082.tcf.xml-6-48	 	Wie der Staatsanwalt in seiner Anklagerede behauptete, seien die Klebezettel mit der Aufschrift wie „Nicht Amisöldner, sondern Aktivisten des Aufbaüs wollen wir sein" und „Westberliner Jugend kämpft um Lehrstellen und Arbeitsplätze" dazu angetan, die Moral (!) der Besatzungssoldaten zu zersetzen und die öffentliche Sicherheit in Westberlin zu gefährden.	287:296	0:355	Wie der Staatsanwalt in seiner Anklagerede behauptete , seien die Klebezettel mit der Aufschrift wie „ Nicht Amisöldner , sondern Aktivisten des Aufbaüs wollen wir sein " und „ Westberliner Jugend kämpft um Lehrstellen und Arbeitsplätze " dazu angetan , die Moral ( ! ) der Besatzungssoldaten zu zersetzen und die öffentliche Sicherheit in Westberlin zu gefährden .	48	0:58	wie d Staatsanwalt in seine Anklagerede behaupten , sein d Klebezettel mit d Aufschrift wie „ nicht Amisöldner , sondern Aktivist d Aufbaüs wollen wir sein " und „ Westberliner Jugend kämpfen um Lehrstelle und Arbeitsplatz " dazu antuen , d Moral ( ! ) d Besatzungssoldat zu zersetzen und d öffentlich Sicherheit in Westberlin zu gefährden .	PWAV ART NN APPR PPOSAT NN VVFIN $, VAFIN ART NN APPR ART NN KOKOM $( PTKNEG NE $, KON NN ART NN VMFIN PPER VAINF $( KON $( ADJA NN VVFIN APPR NN KON NN $( PAV VVPP $, ART NN $( $. $( ART NN PTKZU VVINF KON ART ADJA NN APPR NE PTKZU VVINF $.	
zersetzen	VVPP	1951	2	2532889X_1951-02-28_01_035.tcf.xml-19-30	 	Die amerikanischen Kriegstreiber und ihre Agenten hatten davon geträumt, daß mit Hilfe der tschechischen Verschwörer ihre Positionen weit nach Osten vorgeschoben und dadurch auch die Reihen der deutschen Friedenskräfte zersetzt werden könnten.	219:227	0:243	Die amerikanischen Kriegstreiber und ihre Agenten hatten davon geträumt , daß mit Hilfe der tschechischen Verschwörer ihre Positionen weit nach Osten vorgeschoben und dadurch auch die Reihen der deutschen Friedenskräfte zersetzt werden könnten .	30	0:34	d amerikanisch Kriegstreiber und ihr Agent haben davon träumen , daß mit Hilfe d tschechisch Verschwörer ihr Position weit nach Osten vorschieben und dadurch auch d Reihe d deutsch Friedenskraft zersetzen werden können .	ART ADJA NN KON PPOSAT NN VAFIN PAV VVPP $, KOUS APPR NN ART ADJA NN PPOSAT NN ADJD APPR NN VVPP KON PAV ADV ART NN ART ADJA NN VVPP VAINF VMFIN $.	
zersetzen	VVFIN	1952	2	2532889X_1952-12-04_01_034.tcf.xml-131-16	 	Gegenüber dem völlig zerrütteten, durch die amerikanische Aggressions-und Ausplünderungspolitik von schärfsten Widersprüchen und Gegensätzen zersetzten kapitalistischen System der Weltwirtschaft bietet das von der Sowjetunion geführte Lager von Staaten das Bild einer festen brüderlichen Einheit von Landern, die von demselben Streben beseelt sind, nämlich der Welt den Frieden zu erhalten und die Werktätigen dem Sozialismus entgegenzuführen.	141:151	0:443	Gegenüber dem völlig zerrütteten , durch die amerikanische Aggressions- und Ausplünderungspolitik von schärfsten Widersprüchen und Gegensätzen zersetzten kapitalistischen System der Weltwirtschaft bietet das von der Sowjetunion geführte Lager von Staaten das Bild einer festen brüderlichen Einheit von Landern , die von demselben Streben beseelt sind , nämlich der Welt den Frieden zu erhalten und die Werktätigen dem Sozialismus entgegenzuführen .	16	0:60	gegenüber d völlig zerrüttet , durch d amerikanisch aggressions- und Ausplünderungspolitik von scharf Widerspruch und Gegensatz zersetzen kapitalistisch System d Weltwirtschaft bieten d von d Sowjetunion geführt Lager von Staat d Bild eine fest brüderlich Einheit von Lander , die von demselben Strebe beseelen sein , nämlich d Welt d Frieden zu erhalten und d Werktätige d Sozialismus entgegenführen .	APPR ART ADJD ADJA $, APPR ART ADJA TRUNC KON NN APPR ADJA NN KON NN VVFIN ADJA NN ART NN VVFIN ART APPR ART NE ADJA NN APPR NN ART NN ART ADJA ADJA NN APPR NN $, PRELS APPR PDAT NN VVPP VAFIN $, ADV ART NN ART NN PTKZU VVINF KON ART NN ART NN VVIZU $.	
zersetzen	VVPP	1953	2	2532889X_1953-02-08_01_037.tcf.xml-142-13	 	Gegenüber der Behauptung in aer Anklageschrift, die Kommunisten hätten die Weimarer Verfassung zersetzt, antwortete Ernst That mann in seinen Notizen zur Anklageschrift:	95:103	0:169	Gegenüber der Behauptung in aer Anklageschrift , die Kommunisten hätten die Weimarer Verfassung zersetzt , antwortete Ernst That mann in seinen Notizen zur Anklageschrift :	13	0:25	gegenüber d Behauptung in Aer Anklageschrift , d Kommunist haben d Weimarer Verfassung zersetzen , antworten Ernst that mann in seine Notiz zur Anklageschrift :	APPR ART NN APPR NE NN $, ART NN VAFIN ART ADJA NN VVPP $, VVFIN NE FM FM APPR PPOSAT NN APPRART NN $.	
zersetzen	VVINF	1953	2	2532889X_1953-11-21_01_040.tcf.xml-49-28	 	„Schon ' allein die Existenz der UdSSR als eines Landes des im Aufbau befindlichen Sozialismus trägt als einer der mächtigsten Faktoren dazu bei. den Weltimperiahsmus zu zersetzen und seine Stabilität, sowohl in Europa als auch m den Kolonien zu untergraben.	170:179	0:258	„ Schon ' allein die Existenz der UdSSR als eines Landes des im Aufbau befindlichen Sozialismus trägt als einer der mächtigsten Faktoren dazu bei . den Weltimperiahsmus zu zersetzen und seine Stabilität , sowohl in Europa als auch m den Kolonien zu untergraben .	28	0:44	„ schon ' allein d Existenz d UdSSR als eine Land d im Aufbau befindlich Sozialismus tragen als eine d mächtig Faktor dazu bei . d Weltimperiahsmus zu zersetzen und seine Stabilität , sowohl in Europa als auch M d Kolonie zu untergraben .	$( ADV $( ADV ART NN ART NE KOUS ART NN ART APPRART NN ADJA NN VVFIN KOUS PIS ART ADJA NN PAV PTKVZ $. ART NN PTKZU VVINF KON PPOSAT NN $, KON APPR NE KOKOM ADV NN ART NN PTKZU VVFIN $.	
