identifier	lemma	identifier_sense	comment	annotator
siemens_telegraphie_1866-270-10	überspannen	sense3	 	annotatorA
vischer_aesthetik030201_1852-537-25	überspannen	sense3	 	annotatorA
fouque_frauen_1826-1436-57	überspannen	sense0	 	annotatorA
menzel_maurer_1847-3296-7	überspannen	sense3	 	annotatorA
brehm_thierleben04_1867-8357-1	überspannen	sense3	 	annotatorA
gutzkow_serapionsbrueder01_1877-96-45	überspannen	sense0	 	annotatorA
26120215_1979_01_09_01_052.tcf.xml-67-14	überspannen	sense2	 	annotatorA
bluntschli_staatslehre_1875-4658-26	überspannen	sense3	 	annotatorA
2532889X_1981-02-14_01_071.tcf.xml-7-20	überspannen	sense3	 	annotatorA
2532889X_1981-03-17_01_086.tcf.xml-42-16	überspannen	sense0	 	annotatorA
2532889X_1975-10-22_01_155.tcf.xml-2-23	überspannen	sense3	 	annotatorA
26120215_1966_10_16_01_006.tcf.xml-38-16	überspannen	sense3	 	annotatorA
herbart_psychologie02_1825-45-36	überspannen	sense0	 	annotatorA
2532889X_1952-10-14_01_100.tcf.xml-139-10	überspannen	sense2	 	annotatorA
menzel_literatur02_1828-938-3	überspannen	sense0	 	annotatorA
26120215_1972_03_18_01_077.tcf.xml-34-2	überspannen	sense4	 	annotatorA
2532889X_1968-05-03_01_252.tcf.xml-6-9	überspannen	sense4	 	annotatorA
vischer_aesthetik030201_1852-1472-56	überspannen	sense3	 	annotatorA
burckhardt_cicerone_1855-1498-18	überspannen	sense3	 	annotatorA
26120215_1968_09_23_01_096.tcf.xml-3-4	überspannen	sense4	 	annotatorA
wackernagel_poetik_1873-3635-58	überspannen	sense2	 	annotatorA
beck_eisen04_1899-5268-44	überspannen	sense3	 	annotatorA
26120215_1978_11_27_01_139.tcf.xml-13-12	überspannen	sense3	 	annotatorA
2532889X_1987-11-30_01_052.tcf.xml-106-18	überspannen	sense3	 	annotatorA
2532889X_1968-06-17_01_062.tcf.xml-8-6	überspannen	sense4	 	annotatorA
2532889X_1964-11-23_01_007.tcf.xml-3-10	überspannen	sense3	 	annotatorA
26120215_1967_06_18_01_186.tcf.xml-2-9	überspannen	sense3	 	annotatorA
2532889X_1980-05-10_01_109.tcf.xml-5-7	überspannen	sense3	 	annotatorA
muellner_kaliber_1829-736-4	überspannen	sense2	 	annotatorA
rosegger_waldschulmeister_1875-504-12	überspannen	sense2	 	annotatorA
2532889X_1965-09-11_01_085.tcf.xml-16-8	überspannen	sense2	 	annotatorA
berlepsch_alpen_1861-2780-36	überspannen	sense4	 	annotatorA
bluntschli_voelkerrecht_1868-7175-2	überspannen	sense0	 	annotatorA
