lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
afternoon_nn	nnt1	1857	1	nf_1857_753133.txt-1759-5	 	One little incident in our afternoon travel I will mention, as it appeared to afford more pleasure to the rest of the passengers than it did to me.	27:36	0:147	One little incident in our afternoon travel I will mention , as it appeared to afford more pleasure to the rest of the passengers than it did to me .	5	0:30	one little incident in our afternoon travel i will mention , as it appear to afford more pleasure to the rest of the passenger than it do to me .	pn1_mc1 da1_jj nn1 ii appge nnt1 vv0_nn1 ppis1 vm vvi y csa pph1 vvd to vvi dar nn1 ii at nn1 io at nn2 csn pph1 vdd ii ppio1 y
afternoon_nn	nnt1	1855	1	fic_1855_2965.txt-1490-13	 	Substituting it for the gold ring, he wore it to school that afternoon; and a little negotiation, after school was dismissed, settled the business -- the coveted dog-collar was his!	61:70	0:181	Substituting it for the gold ring , he wore it to school that afternoon ; and a little negotiation , after school was dismissed , settled the business -- the coveted dog-collar was his !	13	0:35	substitute it for the gold ring , he wear it to school that afternoon ; and a little negotiation , after school be dismiss , settle the business -- the covete dog-collar be his !	vvg pph1 if at nn1 nn1 y pphs1 vvd pph1 ii nn1 dd1 nnt1 y cc at1 jj nn1 y cs_ii nn1 vbdz vvn y vvd_vvn at nn1_<sub> y_<sub> dd_<sub> jj nn1 vbdz ppge@ !
afternoon_nn	nnt1	1839	1	fic_1839_7352.txt-2123-7	 	On one occasion they started on their afternoon expedition in an unusually cheerful mood.	38:47	0:89	On one occasion they started on their afternoon expedition in an unusually cheerful mood .	7	0:15	on one occasion they start on their afternoon expedition in an unusually cheerful mood .	ii mc1 nn1 pphs2 vvd ii_rp@ appge nnt1 nn1 ii at1 rr jj nn1 y
afternoon_nn	nnt1	1849	1	nf_1849_749269.txt-3206-13	 	At noon we stopped by some pools of rain-water, and in the afternoon again set forward.	59:68	0:87	At noon we stopped by some pools of rain-water , and in the afternoon again set forward .	13	0:18	at noon we stop by some pool of rain-water , and in the afternoon again set forward .	ii nnt1 ppis2 vvd ii dd nn2 io nn1 y cc ii at nnt1 rt vv0_vvd_vvn rl y
afternoon_nn	nnt1	1838	1	fic_1838_7174.txt-193-12	 	I doubt the brow of our brave dame hath been cloudy this afternoon.	57:66	0:67	I doubt the brow of our brave dame hath been cloudy this afternoon .	12	0:14	i doubt the brow of our brave dame have be cloudy this afternoon .	ppis1 vv0 at nn1 io appge jj nn1 vhz vbn jj dd1 nnt1 y
afternoon_nn	nnt1	1852	1	fic_1852_593.txt-3856-10	 	It is an absurd thing for a man in his afternoon, - - a man of the world, moreover, with these three white hairs in his brown mustache and that deepening track of a crow's-foot on each temple, an absurd thing ever to have happened, and quite the absurdest for an old bachelor, like me, to talk about.	39:48	0:300	It is an absurd thing for a man in his afternoon , - - a man of the world , moreover , with these three white hairs in his brown mustache and that deepening track of a crow's-foot on each temple , an absurd thing ever to have happened , and quite the absurdest for an old bachelor , like me , to talk about .	10	0:66	it be an absurd thing for a man in his afternoon , - - a man of the world , moreover , with these three white hair in his brown mustache and that deepen track of a crow's-foot on each temple , an absurd thing ever to have happen , and quite the absurde for an old bachelor , like me , to talk about .	pph1 vbz at1 jj nn1 if at1 nn1 ii appge nnt1 y y_<sub> y_<sub> dd_<sub> nn1 io at nn1 y rr y iw dd2 mc jj nn2 ii appge jj nn1 cc dd1_cst jj nn1 io at1 nn1_jj ii dd1 nn1 y dd_<sub> jj nn1 rr to vhi vvn@ y cc rr@_rg at jjt if at1 jj nn1 y ii_vv0@ ppio1 y to vvi ii y
afternoon_nn	nnt1	1860	1	fic_1860_615.txt-1132-40	 	Owing, it may be, to this moral estrangement, - - this chill remoteness of their position, - - there have come to us but a few vague whisperings of what passed in Miriam's interview that afternoon with the sinister personage who had dogged her footsteps ever since the visit to the catacomb.	187:196	0:291	Owing , it may be , to this moral estrangement , - - this chill remoteness of their position , - - there have come to us but a few vague whisperings of what passed in Miriam 's interview that afternoon with the sinister personage who had dogged her footsteps ever since the visit to the catacomb .	40	0:58	owe , it may be , to this moral estrangement , - - this chill remoteness of their position , - - there have come to us but a few vague whispering of what pass in miriam 's interview that afternoon with the sinister personage who have dog her footstep ever since the visit to the catacomb .	jj_vvg y pph1 vm vbi y ii dd1 jj nn1 y y_<sub> y_<sub> dd_<sub> nn1_jj@ nn1 io appge nn1 y y_<sub> y_<sub> ex_<sub> vh0 vvn ii ppio2 ccb at1 da2 jj nn2 io ddq vvd ii np1 ge nn1 dd1 nnt1 iw at jj nn1 pnqs vhd vvn appge nn2 rr cs_ii@ at nn1 ii at nn1 y
afternoon_nn	nnt1	1845	1	fic_1845_7262.txt-903-32	 	When I left my inn, " said Fleetwood, " it was with the intention of bidding you farewell, Miss Adelaide, and quitting this place for the city this afternoon. "	148:157	0:160	When I left my inn , " said Fleetwood , " it was with the intention of bidding you farewell , Miss Adelaide , and quitting this place for the city this afternoon . "	32	0:35	when i leave my inn , " say fleetwood , " it be with the intention of bid you farewell , miss adelaide , and quit this place for the city this afternoon . "	cs_rrq ppis1 vvd appge nn1 y " vvd np1 y " pph1 vbdz iw at nn1 io vvg_nn1 ppy nn1 y nnb np1 y cc vvg dd1 nn1 if at nn1 dd1 nnt1 y "
afternoon_nn	nnt1	1839	1	nf_1839_747920.txt-1978-13	 	In the forenoon Mr. Ewing offered his resolution; and, in the afternoon	62:71	0:71	In the forenoon Mr. Ewing offered his resolution ; and , in the afternoon	13	0:14	in the forenoon mr.- ewing offer his resolution ; and , in the afternoon	ii at nn1 nnb np1 vvd appge nn1 y cc y ii at nnt1
afternoon_nn	nnt1	1832	1	fic_1832_7176.txt-2021-12	 	Ned and myself had put him, in the course of the afternoon, to some	49:58	0:67	Ned and myself had put him , in the course of the afternoon , to some	12	0:16	ned and myself have put him , in the course of the afternoon , to some	np1 cc ppx1 vhd vvn ppho1 y ii at nn1 io at nnt1 y ii dd
