lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
attack_nn	nn1	1835	1	fic_1835_7016.txt-2023-9	 	As the stranger fell to the earth under an attack so impetuous and unexpected, he uttered an exclamation in which Juan recognized the language of Mexico.	43:49	0:153	As the stranger fell to the earth under an attack so impetuous and unexpected , he uttered an exclamation in which Juan recognized the language of Mexico .	9	0:28	as the stranger fall to the earth under an attack so impetuous and unexpected , he utter an exclamation in which juan recognize the language of mexico .	ii_csa at nn1_jjr vvd_nn1@ ii at nn1 ii at1 nn1 rg_rr jj cc jj y pphs1 vvd at1 nn1 ii ddq np1 vvd at nn1 io np1 y
attack_nn	nn1	1834	1	mag_1834_554263.txt-306-48	 	The great object with each party seemed to be to make the other begin the attack: the English would not do this, because they saw that their artillery was rapidly thinning the ranks of their enemies; and Charles was under the necessity of making the attack.	250:256	0:257	The great object with each party seemed to be to make the other begin the attack : the English would not do this , because they saw that their artillery was rapidly thinning the ranks of their enemies ; and Charles was under the necessity of making the attack .	48	0:50	the great object with each party seem to be to make the other begin the attack : the english would not do this , because they see that their artillery be rapidly thin the rank of their enemy ; and charles be under the necessity of make the attack .	at jj nn1 iw dd1 nn1 vvd to vbi to vvi at jj_nn1@ vv0 at nn1 y at nn1 vm xx vdi dd1 y cs pphs2 vvd cst appge nn1 vbdz rr vvg at nn2 io appge nn2 y cc np1 vbdz ii at nn1 io vvg at nn1 y
attack_nn	nn1	1838	1	mag_1838_586307.txt-86-4	 	A system of personal attack was, therefore, organized against Mr. Porter, of the most profligate and disgraceful description.	21:27	0:125	A system of personal attack was , therefore , organized against Mr. Porter , of the most profligate and disgraceful description .	4	0:22	a system of personal attack be , therefore , organize against mr.- porter , of the most profligate and disgraceful description .	at1 nn1 io jj nn1 vbdz y rr y vvn_vvd ii nnb np1 y io at rgt jj cc jj nn1 y
attack_nn	nn1	1846	1	mag_1846_555400.txt-243-7	 	Ridicule is, of all modes of attack, that least readily forgiven, particularly when directed by an inferior.	29:35	0:108	Ridicule is , of all modes of attack , that least readily forgiven , particularly when directed by an inferior .	7	0:21	ridicule be , of all mode of attack , that least readily forgive , particularly when direct by an inferior .	nn1_vv0_np1@ vbz y io db nn2 io nn1 y dd1 rgt rr vvn y rr cs vvn ii at1 jj y
attack_nn	nn1	1846	1	fic_1846_7679.txt-262-9	 	Such there have been, who met the fierce attack, Rushed on opposing troops, and drove them trembling back.	41:47	0:106	Such there have been , who met the fierce attack , Rushed on opposing troops , and drove them trembling back .	9	0:22	such there have be , who meet the fierce attack , rush on oppose troop , and drive them tremble back .	da rl vh0 vbn y pnqs vvd at jj nn1 y vvn_vvd ii jj_vvg nn2 y cc vvn ppho2 vvg rp y
attack_nn	nn1	1841	1	nf_1841_762742.txt-1051-5	 	A In referring to this attack and the movements of general Wayne, Withers, in his " Chronicles of Border Warfare, " says: " Before the troops marched from fort Washington, it was deemed advisable to have an abundant supply of provisions in the different forts in advance of this, as well for the support of their respective garrisons, as for the subsistence of the general army, in the	23:29	0:385	A In referring to this attack and the movements of general Wayne , Withers , in his " Chronicles of Border Warfare , " says : " Before the troops marched from fort Washington , it was deemed advisable to have an abundant supply of provisions in the different forts in advance of this , as well for the support of their respective garrisons , as for the subsistence of the general army , in the	5	0:76	a in refer to this attack and the movement of general wayne , withers , in his " chronicle of border warfare , " say : " before the troop march from fort washington , it be deem advisable to have an abundant supply of provision in the different fort in advance of this , as well for the support of their respective garrison , as for the subsistence of the general army , in the	zz1 ii vvg ii dd1 nn1 cc at nn2 io jj_nn1 np1 y np1 y ii appge " nn2 io nn1 nn1 y " vvz y " cs_ii at nn2 vvn_vvd ii nn1 np1 y pph1 vbdz vvn jj to vhi at1 jj nn1 io nn2 ii at jj nn2 ii nn1 io dd1 y rr21 rr22 if at nn1 io appge jj nn2 y ii21_csa ii22_if at nn1 io at jj_nn1 nn1 y ii at
attack_nn	nn1	1853	1	fic_1853_2486.txt-330-33	 	, like the rest of the building, were rendered, by their thickness, bullet proof -- so that when closed and bolted, the house was capable of withstanding an ordinary attack of the Indians.	166:172	0:188	, like the rest of the building , were rendered , by their thickness , bullet proof -- so that when closed and bolted , the house was capable of withstanding an ordinary attack of the Indians .	33	0:38	, like the rest of the building , be render , by their thickness , bullet proof -- so that when close and bolt , the house be capable of withstand an ordinary attack of the indian .	y ii at nn1 io at nn1 y vbdr vvn y ii appge nn1 y nn1 nn1_<sub> y_<sub> rr_<sub> cst_dd1 cs jj_vvn cc vvd_vvn y at nn1 vbdz jj io vvg at1 jj nn1 io at nn2 y
attack_nn	nn1	1853	1	mag_1853_590163.txt-199-32	 	If nations be at war, we are not judges of the question of right, in that war; we must acknowledge, in both parties, the mutual right of attack, and the mutual right of conquest.	137:143	0:178	If nations be at war , we are not judges of the question of right , in that war ; we must acknowledge , in both parties , the mutual right of attack , and the mutual right of conquest .	32	0:41	if nation be at war , we be not judge of the question of right , in that war ; we must acknowledge , in both party , the mutual right of attack , and the mutual right of conquest .	cs nn2 vbi ii nn1 y ppis2 vbr xx nn2 io at nn1 io nn1_jj_rr y ii dd1 nn1 y ppis2 vm vvi y ii db2 nn2 y at jj nn1 io nn1 y cc at jj nn1 io nn1 y
attack_nn	nn1	1849	1	mag_1849_525337.txt-118-18	 	Mr. Calhoun has replied to Mr. Benton's attack upon him, and the reply, like the attack, is tedious and minute To the ears of our Northern readers, the report of this distant cannonading sounds very faint and far, and it is probable that few of them will have the leisure or the patience to wade through the periods of Mr. Calhoun's reply.	81:87	0:339	Mr. Calhoun has replied to Mr. Benton 's attack upon him , and the reply , like the attack , is tedious and minute To the ears of our Northern readers , the report of this distant cannonading sounds very faint and far , and it is probable that few of them will have the leisure or the patience to wade through the periods of Mr. Calhoun 's reply .	18	0:70	mr.- calhoun have reply to mr.- benton 's attack upon him , and the reply , like the attack , be tedious and minute to the ear of our northern reader , the report of this distant cannonading sound very faint and far , and it be probable that few of them will have the leisure or the patience to wade through the period of mr.- calhoun 's reply .	nnb np1 vhz vvn ii nnb np1 ge nn1 ii ppho1 y cc at nn1 y ii at nn1 y vbz jj cc nnt1_jj@ ii at nn2 io appge jj nn2 y at nn1 io dd1 jj nn1@_jj@ vvz_nn2 rg jj cc rr_jj y cc pph1 vbz jj cst da2 io ppho2 vm vhi at nn1 cc at nn1 to vvi ii at nn2 io nnb np1 ge nn1 y
attack_nn	nn1	1833	1	fic_1833_7239.txt-1694-15	 	cried his antagonist, following him and standing over him, ready to renew the attack if he stirred with an evil purpose.	78:84	0:120	cried his antagonist , following him and standing over him , ready to renew the attack if he stirred with an evil purpose .	15	0:24	cry his antagonist , follow him and stand over him , ready to renew the attack if he stir with an evil purpose .	vvd appge nn1 y vvg ppho1 cc vvg_nn1 ii ppho1 y jj_rr@ to vvi at nn1 cs pphs1 vvd iw at1 jj_nn1 nn1 y
