lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
chef_nn	nn1	1848	1	fic_1848_1108.txt-892-14	 	" I'll give you thutty-seven dollas and a half, " said the chef. "	59:63	0:66	" I 'll give you thutty-seven dollas and a half , " said the chef . "	14	0:17	" i will give you thutty-seven dollas and a half , " say the chef . "	" ppis1 vm vvi ppy jj_<sub> nn2 cc at1 nn1@_db_rr@ y " vvd at nn1 y "
chef_nn	nn1	1827	1	mag_1827_553811.txt-241-8	 	That brave general added to his rank of chef de brigade that of adjutant general, and made him one of his family during the time he was at Rennes, the head quarters of the army destined for the invasion.	40:44	0:203	That brave general added to his rank of chef de brigade that of adjutant general , and made him one of his family during the time he was at Rennes , the head quarters of the army destined for the invasion .	8	0:42	that brave general add to his rank of chef de brigade that of adjutant general , and make him one of his family during the time he be at rennes , the head quarter of the army destine for the invasion .	dd1 jj nn1 vvn_vvd ii appge nn1 io nn1 np1_fw nn1 dd1 io nn1 nn1 y cc vvd ppho1 mc1 io appge nn1 ii at nnt1 pphs1 vbdz ii np2_nn2@ y at jj nn io at nn1 vvn if at nn1 y
chef_nn	nn1	1858	1	mag_1858_556623.txt-365-50	 	remains the best of his historical series, and we do not anticipate that this new work upon the famous Cardinal will eclipse the admirable fantasia dedicated to the lover of la belle Gabrielle, which even Michelet's enemies were obliged to admire, and to admit as a chef d'oeuvre of a portrait.	266:270	0:294	remains the best of his historical series , and we do not anticipate that this new work upon the famous Cardinal will eclipse the admirable fantasia dedicated to the lover of la belle Gabrielle , which even Michelet 's enemies were obliged to admire , and to admit as a chef d'oeuvre of a portrait .	50	0:56	remain the best of his historical series , and we do not anticipate that this new work upon the famous cardinal will eclipse the admirable fantasia dedicate to the lover of la belle gabrielle , which even michelet 's enemy be oblige to admire , and to admit as a chef d'oeuvre of a portrait .	vvz at jjt_rrt io appge jj nn y cc ppis2 vd0 xx vvi cst dd1 jj nn1 ii at jj nn1 vm vvi at jj nn1 vvn_vvd ii at nn1 io fw nn1 np1_nn1@ y ddq rr_vv0% np1_nn1 ge nn2 vbdr vvn to vvi y cc to vvi ii at1 nn1 nn1_<sub> io at1 nn1 y
chef_nn	nn1	1819	1	fic_1819_8988.txt-1529-15	 	-- If, during the night, no force appear, in the direction of Chef Menteur; require that he join me with his whole command.	62:66	0:123	-- If , during the night , no force appear , in the direction of Chef Menteur ; require that he join me with his whole command .	15	0:28	-- if , during the night , no force appear , in the direction of chef menteur ; require that he join me with his whole command .	z cs y ii at nnt1 y at nn1 vv0 y ii at nn1 io nn1 nn1_np1 y vv0 cst pphs1 vv0 ppio1 iw appge jj nn1 y
chef_nn	nn2	1843	1	fic_1843_7026.txt-476-36	 	These praises were not lost on the Canadian; though born and educated amidst the snows and forests of the St. Lawrence, he had wandered through the galleries of the Louvre, where all those chefs d'oeuvre were assembled, which, after the fall of Napoleon, were restored to the cities that bemoaned	189:194	0:296	These praises were not lost on the Canadian ; though born and educated amidst the snows and forests of the St. Lawrence , he had wandered through the galleries of the Louvre , where all those chefs d'oeuvre were assembled , which , after the fall of Napoleon , were restored to the cities that bemoaned	36	0:56	these praise be not lose on the canadian ; though born and educate amidst the snow and forest of the <nul> lawrence , he have wander through the gallery of the louvre , where all those chef d'oeuvre be assemble , which , after the fall of napoleon , be restore to the city that bemoan	dd2 nn2 vbdr xx vvn ii at nn1_jj y cs_rr@ vvn cc vvn_jj ii at nn2 cc nn2 io at np1 np1 y pphs1 vhd vvn ii at nn2 io at np1 y cs_rrq db dd2 nn2 nn1 vbdr vvn_jj y ddq y cs_ii at nn1 io np1 y vbdr vvn ii at nn2 cst vvd
chef_nn	nn1	1852	1	fic_1852_9031.txt-1189-25	 	If I do succeed, and you ever write that book you were speaking of, I bespeak a prominent place in it for my chef d ' oeuvre of stratagem.	109:113	0:138	If I do succeed , and you ever write that book you were speaking of , I bespeak a prominent place in it for my chef d ' oeuvre of stratagem .	25	0:32	if i do succeed , and you ever write that book you be speak of , i bespeak a prominent place in it for my chef d ' oeuvre of stratagem .	cs ppis1 vd0 vvi y cc ppy rr vvi dd1_cst nn1_vv0% ppy vbdr vvg io y ppis1 vv0 at1 jj nn1 ii pph1 if appge nn1 zz1 ge nn1 io nn1 y
chef_nn	nn1	1848	1	fic_1848_1108.txt-902-6	 	This man, " said the chef, indicating Fane, " says you can tell moa lies to the square inch than any man out o ' Boston. "	21:25	0:122	This man , " said the chef , indicating Fane , " says you can tell moa lies to the square inch than any man out o ' Boston . "	6	0:31	this man , " say the chef , indicate fane , " say you can tell moa lie to the square inch than any man out o ' boston . "	dd1 nn1 y " vvd at nn1 y vvg np1 y " vvz ppy vm vvi nn1 vvz_nn2 ii at jj nnu1 csn dd nn1 rp_ii% zz1 ge np1 y "
chef_nn	nn1	1844	1	nf_1844_747533.txt-1857-4	 	t And among these chef d'auvres I hesitate not to name the " Camp-Meeting Hymn, " commencing, " O Thou in whose presence, " the authorship of which is unknown to me.	18:22	0:165	t And among these chef d'auvres I hesitate not to name the " Camp-Meeting Hymn , " commencing , " O Thou in whose presence , " the authorship of which is unknown to me .	4	0:36	t and among these chef d'auvres i hesitate not to name the " camp-meeting hymn , " commence , " o thou in whose presence , " the authorship of which be unknown to me .	zz1 cc ii dd2 nn1 vvz_<sub> ppis1 vv0 xx to vvi at " jj_nn1 nn1 y " vvg y " uh ppy ii ddqge nn1 y " at nn1 io ddq vbz jj ii ppio1 y
chef_nn	nn1	1840	1	fic_1840_7057.txt-1784-63	 	On arriving at the house, he entered the comtoir, and found himself, after passing an antechamber, in a large apartment filled with clerks behind high desks and counters; he inquired for Mr. Khl, and was asked for his card, which the young man, after reading, not without marks of interest, carried into his chef.	308:312	0:313	On arriving at the house , he entered the comtoir , and found himself , after passing an antechamber , in a large apartment filled with clerks behind high desks and counters ; he inquired for Mr. Khl , and was asked for his card , which the young man , after reading , not without marks of interest , carried into his chef .	63	0:65	on arrive at the house , he enter the comtoir , and find himself , after pass an antechamber , in a large apartment fill with clerk behind high desk and counter ; he inquire for mr.- khl , and be ask for his card , which the young man , after read , not without marks of interest , carry into his chef .	ii vvg ii at nn1 y pphs1 vvd at nn1_<sub> y cc vvd ppx1 y ii vvg at1 nn1 y ii at1 jj nn1 vvn_vvd iw nn2 ii jj nn2 cc nn2 y pphs1 vvd if nnb np1 y cc vbdz vvn@ if appge nn1 y ddq at jj nn1 y ii vvg y xx iw nn2 io nn1 y vvn_vvd ii appge nn1 y
chef_nn	nn1	1848	1	fic_1848_1108.txt-886-11	 	said the shoeman, with an eye that dwelt upon the chef's official white cap and apron, " You talk English,	50:54	0:106	said the shoeman , with an eye that dwelt upon the chef 's official white cap and apron , " You talk English ,	11	0:24	say the shoeman , with an eye that dwell upon the chef 's official white cap and apron , " you talk english ,	vvd at nn1 y iw at1 nn1 cst_dd1 vvd@_vvn ii at nn1 ge_vbz jj jj nn1 cc nn1 y " ppy vv0 nn1_jj y
chef_nn	nn1	1827	1	fic_1827_7168.txt-1724-40	 	, mellowness of finish, for it is coloured the very counterpart of the original, which brought five hundred louis at the auction of the famous collection of the Duc de Montmorenci, and is now one of the chef d'oeuvres in the gallery of the Luxemburgh -- bauble!	203:207	0:261	, mellowness of finish , for it is coloured the very counterpart of the original , which brought five hundred louis at the auction of the famous collection of the Duc de Montmorenci , and is now one of the chef d'oeuvres in the gallery of the Luxemburgh -- bauble !	40	0:51	, mellowness of finish , for it be color the very counterpart of the original , which bring five hundred louis at the auction of the famous collection of the duc de montmorenci , and be now one of the chef d'oeuvres in the gallery of the luxemburgh -- bauble !	y nn1 io nn1 y if_cs% pph1 vbz vvn at jj nn1 io at jj_nn1@ y ddq vvd mc m nn1 ii at nn1 io at jj nn1 io at nn1 np1_fw np1 y cc vbz rt mc1 io at nn1 nn2 ii at nn1 io at np1_<sub> z nn1_vv0 !
chef_nn	nn1	1848	1	fic_1848_1108.txt-1251-25	 	Rumor of the fact could not fail to go through the house, and long before his day's work was done it reached the chef, and amused him as a piece of the Boss's luck.	113:117	0:164	Rumor of the fact could not fail to go through the house , and long before his day 's work was done it reached the chef , and amused him as a piece of the Boss 's luck .	25	0:39	rumor of the fact could not fail to go through the house , and long before his day 's work be do it reach the chef , and amuse him as a piece of the boss 's luck .	nn1 io at nn1 vm xx vvi to vvi ii at nn1 y cc rr_jj ii_cs appge nnt1 ge nn1 vbdz vdn pph1 vvd at nn1 y cc vvd@ ppho1 ii_csa at1 nn1 io at nn1_np1@ ge nn1 y
