lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
circle_vb	vvi	1854	1	fic_1854_70.txt-2975-7	 	When compelled to rise they would sometimes circle round and round and over the pond at a considerable height, from which they could easily see to other ponds and the river, like black motes in the sky; and, when I thought they had gone off thither long since, they would settle down by a slanting flight of a quarter of a mile on to a distant part which was left free; but what beside safety they got by sailing in the middle of Walden I do not know, unless they love its water for the same reason that I do	44:50	0:508	When compelled to rise they would sometimes circle round and round and over the pond at a considerable height , from which they could easily see to other ponds and the river , like black motes in the sky ; and , when I thought they had gone off thither long since , they would settle down by a slanting flight of a quarter of a mile on to a distant part which was left free ; but what beside safety they got by sailing in the middle of Walden I do not know , unless they love its water for the same reason that I do	7	0:107	when compel to rise they would sometimes circle round and round and over the pond at a considerable height , from which they could easily see to other pond and the river , like black mote in the sky ; and , when i think they have go off thither long since , they would settle down by a slant flight of a quarter of a mile on to a distant part which be leave free ; but what beside safety they get by sail in the middle of walden i do not know , unless they love its water for the same reason that i do	cs vvn to vvi pphs2 vm rt vvi rp cc jj_rp cc ii_rp at nn1 ii at1 jj nn1 y ii ddq pphs2 vm rr vvi ii jj nn2 cc at nn1 y ii jj nn2 ii at nn1 y cc y cs_rrq ppis1 vvd pphs2 vhd vvn rp_ii rl rr cs_rr@ y pphs2 vm vvi rp ii at1 jj@_nn1@ nn1 io at1 nn1 io at1 nnu1 ii21_rp ii22_ii at1 jj nn1 ddq vbdz vvn_jj jj y ccb ddq ii nn1 pphs2 vvd ii vvg_nn1 ii at nn1 io np1 ppis1 vd0 xx vvi y cs pphs2 vv0 appge nn1 if at da nn1 cst ppis1 vd0
circle_vb	vvg_jj@	1847	1	fic_1847_7152.txt-1569-4	 	came a broad and circling glare, blinding the pale daylight; a sharp stunning roar, succeeded by an awful rushing sound -- and the rocks reeled like drunken men!	17:25	0:161	came a broad and circling glare , blinding the pale daylight ; a sharp stunning roar , succeeded by an awful rushing sound -- and the rocks reeled like drunken men !	4	0:32	come a broad and circle glare , blind the pale daylight ; a sharp stunning roar , succeed by an awful rush sound -- and the rock reel like drunken man !	vvd at1 jj cc vvg_jj@ nn1 y vvg@ at jj nn1 y at1 jj jj nn1 y vvn ii at1 jj jj@_vvg nn1_jj@ z cc at nn2 vvd_vvn@ ii jj nn2 !
circle_vb	vvd_jj@	1832	1	fic_1832_7054.txt-378-54	 	Warriors portrayed, in tales of other climes, Numidia, Arcady or Syrian realms, The splendor of the spoil, the gems and gold, The perfumes, luxuries and regal robes, Fair slaves and diamonds, wafted from the shores Of the Orient, in homage to the diadem That circled nations.	259:266	0:275	Warriors portrayed , in tales of other climes , Numidia , Arcady or Syrian realms , The splendor of the spoil , the gems and gold , The perfumes , luxuries and regal robes , Fair slaves and diamonds , wafted from the shores Of the Orient , in homage to the diadem That circled nations .	54	0:57	warrior portray , in tale of other clime , numidia , arcady or syrian realm , the splendor of the spoil , the gem and gold , the perfume , luxury and regal robe , fair slave and diamond , waft from the shore of the orient , in homage to the diadem that circle nation .	nn2 vvn_vvd@ y ii nn2 io jj nn2 y np1 y np1_jj_nn1 cc jj nn2 y at nn1 io at nn1 y at nn2 cc nn1 y at nn2 y nn2 cc jj nn2 y jj nn2 cc nn2 y vvd_vvn@ ii at nn2 io at np1 y ii nn1 ii at nn1 cst vvd_jj@ nn2 y
circle_vb	vvg	1848	1	fic_1848_7992.txt-315-50	 	As the rivers, farthest flowing, In the highest hills have birth; As the banyan, broadest growing, Oftenest bows its head to earth, -- So the noblest minds press onward, Channels far of good to trace; So the largest hearts bend downward, Circling all the human race; Thus, by Iron's aid, pursuing Through the earth their plans of love, Men our Father's will are doing, Here, as angels do above!	238:246	0:394	As the rivers , farthest flowing , In the highest hills have birth ; As the banyan , broadest growing , Oftenest bows its head to earth , -- So the noblest minds press onward , Channels far of good to trace ; So the largest hearts bend downward , Circling all the human race ; Thus , by Iron 's aid , pursuing Through the earth their plans of love , Men our Father 's will are doing , Here , as angels do above !	50	0:87	as the river , far flow , in the high hill have birth ; as the banyan , broad growing , oftenest bow its head to earth , -- so the noble mind press onward , channel far of good to trace ; so the large heart bend downward , circle all the human race ; thus , by iron 's aid , pursue through the earth their plan of love , man our father 's will be do , here , as angel do above !	ii_csa at nn2 y rrt_jjt vvg_jj y ii at jjt nn2 vh0 nn1 y ii_csa at nn1_jj y jjt jj_nn1@ y np1 vvz appge nn1 ii nn1 y z cs@_rr at jjt nn2 vv0 rl y nn2 rr_jj io jj to vvi y rr_cs@ at jjt nn2 vv0 rl@_jj y vvg db at jj_nn1 nn1 y rr y ii nn1 ge nn1 y vvg ii at nn1 appge nn2 io nn1 y nn2 appge nn1 ge nn1@ vbr vdg y rl y csa nn2 vd0 jj@_ii_rl !
circle_vb	vvg	1849	1	fic_1849_2605.txt-638-26	 	I love to see him track the street, With his wary eye and active feet; And I often watch him as he springs, Circling the steeples with easy wings, Till across the dial his shade has pass'd, And the belfry edge is gained at last. '	108:116	0:230	I love to see him track the street , With his wary eye and active feet ; And I often watch him as he springs , Circling the steeples with easy wings , Till across the dial his shade has pass 'd , And the belfry edge is gained at last . '	26	0:53	i love to see him track the street , with his wary eye and active foot ; and i often watch him as he spring , circle the steeple with easy wing , till across the dial his shade have pass have , and the belfry edge be gain at last . '	ppis1 vv0 to vvi ppho1 vvi at nn1 y iw appge jj nn1 cc jj nn2 y cc ppis1 rr vv0 ppho1 csa pphs1 vvz@ y vvg at nn2 iw jj nn2 y cs ii at nn1_vv0 appge nn1 vhz nn1 vhn y cc at nn1 nn1 vbz vvn rr21 rr22 y "@
circle_vb	vvd_vvn@	1848	1	fic_1848_7186.txt-245-10	 	Giant oaks, not more than twenty in number, circled on a space some three hundred yards square.	44:51	0:95	Giant oaks , not more than twenty in number , circled on a space some three hundred yards square .	10	0:20	giant oak , not more than twenty in number , circle on a space some three hundred yard square .	jj_nn1 nn2 y xx dar csn mc ii nn1 y vvd_vvn@ ii_rp@ at1 nn1 dd mc m nn2 nn1_vv0@_jj_rr@ y
circle_vb	vvd	1840	1	fic_1840_7164.txt-2707-5	 	a part of his men circled the dwelling and galloped up a lane which would lead them directly across the lawn toward the front door of the house, while the rest, wheeling off among the meadows, presented themselves at the same time in the rear.	18:25	0:243	a part of his men circled the dwelling and galloped up a lane which would lead them directly across the lawn toward the front door of the house , while the rest , wheeling off among the meadows , presented themselves at the same time in the rear .	5	0:49	a part of his man circle the dwell and gallop up a lane which would lead them directly across the lawn toward the front door of the house , while the rest , wheel off among the meadow , present themselves at the same time in the rear .	at1 nn1 io appge nn2 vvd at nn1 cc vvn_vvd ii at1 nn1 ddq vm vvi ppho2 rr ii at nn1 ii at jj_nn1 nn1 io at nn1 y cs at nn1 y vvg rp ii at nn2 y vvd_vvn ppx2 ii at da nnt1 ii at nn1_jj y
circle_vb	vvd@_jj	1853	1	fic_1853_7455.txt-317-9	 	So she stood in this Palace of Pleasure, Circled round by the Swans of Delight.	41:48	0:79	So she stood in this Palace of Pleasure , Circled round by the Swans of Delight .	9	0:17	so she stand in this palace of pleasure , circle round by the swan of delight .	rr pphs1 vvd ii_rp@ dd1 nn1 io nn1 y vvd@_jj rp ii at nn2 io nn1 y
circle_vb	vv0@_nn1	1827	1	nf_1827_747521.txt-163-33	 	Let 6/, be the central hne; divide it into four parts, and at one fourth make the hne a b across the column; on c, make the half circle a e b; with the distance / 1, at the neck of the column, and on 1, on the central hne, make the points 1, 1, on the circle; divide from 1 to c,	129:135	0:279	Let 6/ , be the central hne ; divide it into four parts , and at one fourth make the hne a b across the column ; on c , make the half circle a e b ; with the distance / 1 , at the neck of the column , and on 1 , on the central hne , make the points 1 , 1 , on the circle ; divide from 1 to c ,	33	0:77	let 6/ , be the central hne ; divide it into four part , and at one fourth make the hne a b across the column ; on c , make the half circle a e b ; with the distance / 1 , at the neck of the column , and on 1 , on the central hne , make the point 1 , 1 , on the circle ; divide from 1 to c ,	vv0 fo y vbi at jj nn1 y vv0 pph1 ii mc nn2 y cc ii mc1_pn1 md vv0 at nn1 at1 zz1 ii at nn1 y ii zz1 y vv0 at db_nn1@_rr@ vv0@_nn1 at1 zz1 zz1 y iw at nn1 fo mc1 y ii at nn1 io at nn1 y cc ii mc1 y ii at jj nn1 y vv0 at nn2 mc1 y mc1 y ii at nn1 y vv0_nn1 ii mc1 ii zz1 y
circle_vb	vvd	1835	1	fic_1835_7142.txt-918-31	 	distance, broke the silence -- again and again it pealed -- louder and louder yet, till the affrighted martins, fluttering down from their nests on the minster-towers, circled, with startled wing and short shrill cry, above our heads in the lurid torch-light.	168:175	0:259	distance , broke the silence -- again and again it pealed -- louder and louder yet , till the affrighted martins , fluttering down from their nests on the minster-towers , circled , with startled wing and short shrill cry , above our heads in the lurid torch-light .	31	0:49	distance , break the silence -- again and again it peal -- louder and louder yet , till the affright martin , flutter down from their nest on the minster-towers , circle , with startle wing and short shrill cry , above our head in the lurid torch-light .	nn1 y vvd at nn1 z rt cc rt pph1 vvd z jjr_rrr@ cc jjr_rrr@ rr y cs_ii at jj@ nn2 y vvg rp ii appge nn2 ii at nn2_<sub> y vvd y iw jj nn1 cc jj_rr@ jj nn1 y ii appge nn2 ii at jj nn1 y
