identifier1	identifier2	annotator	judgment	comment	lemma	round
nf_1843_748690.txt-1151-22	fic_1860_615.txt-1436-40	annotator2	4.0	 	donkey_nn	3
fic_1856_7698.txt-435-19	fic_1854_3384.txt-1965-12	annotator2	4.0	 	donkey_nn	3
fic_1835_8114.txt-1986-49	fic_1838_7085.txt-1618-2	annotator2	4.0	 	donkey_nn	3
fic_1994_41307.txt-1046-52	fic_1848_7193.txt-1295-33	annotator2	4.0	 	donkey_nn	3
fic_1994_41307.txt-1046-52	fic_1848_7193.txt-1295-33	annotator6	4.0	 	donkey_nn	3
fic_1856_7698.txt-435-19	fic_1854_3384.txt-1965-12	annotator6	2.0	 	donkey_nn	3
fic_1987_782034.txt-8660-41	fic_1843_7039.txt-3001-5	annotator6	2.0	 	donkey_nn	3
mag_1847_524175.txt-916-3	mag_1966_211235.txt-8-4	annotator6	2.0	 	donkey_nn	3
mag_1999_404075.txt-254-9	nf_1843_748690.txt-1154-34	annotator6	2.0	 	donkey_nn	3
nf_1856_755595.txt-89-1	mag_1966_211235.txt-8-4	annotator5	4.0	 	donkey_nn	3
fic_1987_782034.txt-8660-41	fic_1843_7039.txt-3001-5	annotator5	2.0	 	donkey_nn	3
nf_1990_774020.txt-1017-3	fic_1980_10659.txt-2248-7	annotator5	3.0	 	donkey_nn	3
news_1993_655718.txt-34-45	fic_1838_7085.txt-1618-2	annotator5	3.0	 	donkey_nn	3
mag_1966_211235.txt-8-4	nf_1856_755595.txt-2253-41	annotator0	4.0	 	donkey_nn	3
fic_2005_50069.txt-390-5	fic_1860_9072.txt-3702-25	annotator0	4.0	 	donkey_nn	3
fic_1992_16254.txt-518-11	fic_1852_3609.txt-1151-3	annotator0	4.0	 	donkey_nn	3
mag_1856_505599.txt-27-8	fic_1843_7208.txt-2343-17	annotator0	4.0	 	donkey_nn	3
fic_1984_10723.txt-770-21	nf_1838_747585.txt-435-20	annotator2	4.0	 	donkey_nn	2
fic_1971_10544.txt-4957-8	fic_1839_7352.txt-1973-3	annotator2	4.0	 	donkey_nn	2
fic_1993_53894.txt-128-12	nf_1852_752548.txt-796-22	annotator2	4.0	 	donkey_nn	2
news_1984_671409.txt-15-28	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
news_2007_637936.txt-36-12	nf_1838_747585.txt-435-20	annotator2	4.0	 	donkey_nn	2
fic_1969_10510.txt-1234-4	nf_1838_747585.txt-3-21	annotator2	4.0	 	donkey_nn	2
nf_1999_774012.txt-1341-9	fic_1855_602.txt-4503-54	annotator2	4.0	 	donkey_nn	2
fic_1855_9053.txt-3687-7	fic_1855_602.txt-4503-54	annotator2	4.0	 	donkey_nn	2
fic_1984_10723.txt-926-4	fic_1993_1040075.txt-591-5	annotator2	4.0	 	donkey_nn	2
fic_1852_3609.txt-300-19	fic_1993_1040075.txt-591-5	annotator2	4.0	 	donkey_nn	2
fic_1984_10723.txt-1931-32	fic_1860_616.txt-3124-92	annotator2	4.0	 	donkey_nn	2
fic_1990_53195.txt-165-1	fic_1984_10723.txt-1278-9	annotator2	4.0	 	donkey_nn	2
mag_1978_479996.txt-153-1	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
news_2007_637936.txt-33-7	fic_1860_616.txt-3124-92	annotator2	4.0	 	donkey_nn	2
fic_1852_3609.txt-1151-3	nf_1843_748690.txt-1154-34	annotator2	4.0	 	donkey_nn	2
fic_1839_7352.txt-891-11	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
fic_1847_7124.txt-543-5	nf_1838_747585.txt-435-20	annotator2	4.0	 	donkey_nn	2
fic_1855_9053.txt-137-57	nf_1838_747585.txt-438-30	annotator2	4.0	 	donkey_nn	2
fic_1839_1484.txt-1830-35	fic_1860_616.txt-3124-92	annotator2	4.0	 	donkey_nn	2
mag_1852_504502.txt-398-19	fic_1832_8862.txt-325-57	annotator2	4.0	 	donkey_nn	2
mag_1848_565755.txt-432-16	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
fic_1983_10710.txt-2763-15	nf_1838_747482.txt-1930-7	annotator2	4.0	 	donkey_nn	2
fic_1999_30759.txt-67-16	mag_1963_269445.txt-16-39	annotator2	4.0	 	donkey_nn	2
fic_1975_10601.txt-83-16	mag_1966_211235.txt-8-4	annotator2	4.0	 	donkey_nn	2
fic_1994_41271.txt-167-5	fic_1994_41307.txt-1046-52	annotator2	4.0	 	donkey_nn	2
fic_1970_782001.txt-2725-9	nf_1838_747585.txt-438-30	annotator2	4.0	 	donkey_nn	2
fic_1852_2751.txt-4862-10	fic_1987_782034.txt-8660-41	annotator2	4.0	 	donkey_nn	2
fic_1843_7208.txt-11924-17	fic_1993_1040075.txt-591-5	annotator2	4.0	 	donkey_nn	2
fic_1855_604.txt-809-10	fic_1855_602.txt-4503-54	annotator2	4.0	 	donkey_nn	2
news_2007_637936.txt-36-12	fic_1843_7208.txt-12805-16	annotator2	4.0	 	donkey_nn	2
nf_1856_755595.txt-2253-41	mag_1966_211235.txt-8-4	annotator2	4.0	 	donkey_nn	2
fic_1993_1040057.txt-226-29	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
mag_1848_565755.txt-398-1	nf_1852_752548.txt-796-22	annotator2	4.0	 	donkey_nn	2
nf_1838_747585.txt-1531-29	mag_1966_211235.txt-8-4	annotator2	4.0	 	donkey_nn	2
fic_1854_9218.txt-1169-19	nf_1838_747482.txt-1930-7	annotator2	4.0	 	donkey_nn	2
nf_1852_752548.txt-798-31	fic_1993_1040075.txt-591-5	annotator2	4.0	 	donkey_nn	2
fic_1843_7208.txt-2343-17	fic_1984_10723.txt-1278-9	annotator2	4.0	 	donkey_nn	2
mag_1845_587513.txt-290-8	nf_1838_747585.txt-438-30	annotator2	4.0	 	donkey_nn	2
fic_1988_13990.txt-761-6	nf_1859_748120.txt-0-25	annotator2	4.0	 	donkey_nn	2
fic_1835_8114.txt-1961-4	fic_1997_54593.txt-116-14	annotator2	4.0	 	donkey_nn	2
nf_1988_773806.txt-873-15	nf_1852_752548.txt-796-22	annotator2	4.0	 	donkey_nn	2
news_2007_637936.txt-1-10	nf_1838_747585.txt-3-21	annotator2	4.0	 	donkey_nn	2
fic_1970_10536.txt-1122-9	fic_1839_7352.txt-1973-3	annotator2	4.0	 	donkey_nn	2
fic_1966_781993.txt-2170-9	mag_1963_269445.txt-16-39	annotator2	4.0	 	donkey_nn	2
nf_1990_774020.txt-815-7	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
fic_1838_7085.txt-1618-2	fic_1994_41307.txt-1046-52	annotator2	4.0	 	donkey_nn	2
fic_1969_10510.txt-1908-23	fic_1993_1040075.txt-591-5	annotator2	4.0	 	donkey_nn	2
mag_1853_504777.txt-20-0	nf_1838_747585.txt-438-30	annotator2	4.0	 	donkey_nn	2
mag_1848_565755.txt-420-24	nf_1843_748690.txt-1154-34	annotator2	4.0	 	donkey_nn	2
mag_1852_504502.txt-398-19	nf_1838_747585.txt-3-21	annotator2	4.0	 	donkey_nn	2
fic_1850_2535.txt-154-28	fic_1839_7352.txt-1973-3	annotator2	4.0	 	donkey_nn	2
fic_1983_10704.txt-9963-35	mag_1966_211235.txt-8-4	annotator2	4.0	 	donkey_nn	2
mag_1853_590188.txt-55-11	fic_1993_1040075.txt-591-5	annotator2	4.0	 	donkey_nn	2
nf_1990_774020.txt-757-13	nf_1838_747585.txt-438-30	annotator2	4.0	 	donkey_nn	2
fic_1984_10723.txt-565-8	fic_1987_782034.txt-8660-41	annotator2	3.0	 	donkey_nn	2
fic_1988_13990.txt-761-6	fic_1987_782034.txt-8660-41	annotator2	3.0	 	donkey_nn	2
nf_1838_747482.txt-1930-7	mag_1999_404075.txt-254-9	annotator2	4.0	 	donkey_nn	2
fic_1983_10710.txt-482-40	fic_1994_54030.txt-305-13	annotator2	4.0	 	donkey_nn	2
nf_1856_755595.txt-89-1	nf_1838_747482.txt-1930-7	annotator2	4.0	 	donkey_nn	2
fic_1860_616.txt-1354-0	nf_1838_747585.txt-438-30	annotator2	4.0	 	donkey_nn	2
fic_2008_36244.txt-94-2	fic_1855_602.txt-4503-54	annotator2	4.0	 	donkey_nn	2
