lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
grain_nn	nn1	1838	1	fic_1838_7145.txt-337-28	 	The Lord hath borne it in upon our hearts, that we shall purge the field -- that we shall purify the threshing-floor, setting apart the good grain from the sinful weeds -- that so we may not die, but live! "	141:146	0:207	The Lord hath borne it in upon our hearts , that we shall purge the field -- that we shall purify the threshing-floor , setting apart the good grain from the sinful weeds -- that so we may not die , but live ! "	28	0:45	the lord have bear it in upon our heart , that we shall purge the field -- that we shall purify the threshing-floor , set apart the good grain from the sinful weed -- that so we may not die , but live ! "	at nn1_np1 vhz vvn pph1 rp@ ii appge nn2 y cst ppis2 vm vvi at nn1 z cst ppis2 vm vvi at nn1_jj y vvg rl at jj nn1 ii at jj nn2_vvz z cst cs@_rr ppis2 vm xx vvi y ccb vv0_rr@_jj ! "
grain_nn	nn1	1847	1	nf_1847_749455.txt-378-83	 	one channel or another, into the hands of the people.33 These magazines were found by the Spaniards, on their arrival, stored with all the various products and manufactures of the country, -- with maize, coca, quinua, woolen and cotton stuffs of the finest quality, with vases and utensils of gold, silver, and copper, in short, with every article of luxury or use within the compass of Peruvian skill.34 The magazines of grain, in particular, would frequently have sufficed for the consumption of the adjoining district for several years.35 An inventory of the various products of the country, and the quarters whence they were obtained, was every year taken by the royal officers, and recorded by the quipucamayus on their registers, with surprising regularity and precision.	422:427	0:777	one channel or another , into the hands of the people.33 These magazines were found by the Spaniards , on their arrival , stored with all the various products and manufactures of the country , -- with maize , coca , quinua , woolen and cotton stuffs of the finest quality , with vases and utensils of gold , silver , and copper , in short , with every article of luxury or use within the compass of Peruvian skill.34 The magazines of grain , in particular , would frequently have sufficed for the consumption of the adjoining district for several years.35 An inventory of the various products of the country , and the quarters whence they were obtained , was every year taken by the royal officers , and recorded by the quipucamayus on their registers , with surprising regularity and precision .	83	0:144	one channel or another , into the hand of the <nul> these magazine be find by the spaniard , on their arrival , store with all the various product and manufacture of the country , -- with maize , coca , quinua , woolen and cotton stuff of the fine quality , with vase and utensil of gold , silver , and copper , in short , with every article of luxury or use within the compass of peruvian <nul> the magazine of grain , in particular , would frequently have suffice for the consumption of the adjoin district for several <nul> an inventory of the various product of the country , and the quarter whence they be obtain , be every year take by the royal officer , and record by the quipucamayus on their register , with surprising regularity and precision .	mc1 nn1 cc dd1 y ii at nn2 io at fo dd2 nn2 vbdr vvn ii at nn2 y ii appge nn1 y vvn_vvd iw db at jj nn2 cc vvz io at nn1 y nn1_jj iw nn1 y nn1 y nn1 y jj cc nn1 nn2 io at jjt nn1 y iw nn2 cc nn2 io nn1 y nn1 y cc nn1 y rr21 rr22 y iw at1 nn1 io nn1_jj cc vv0_nn1 ii at nn1 io jj fo at nn2 io nn1 y rr21 rr22 y vm rr vhi vvn@ if at nn1 io at jj nn1 if da2 fo at1 nn1 io at jj nn2 io at nn1 y cc at nn2 rrq pphs2 vbdr vvn y vbdz at1 nnt1 vvn ii at jj nn2 y cc vvn ii at nn1_<sub> ii appge nn2 y iw jj nn1 cc nn1 y
grain_nn	nn2	1851	1	mag_1851_555704.txt-420-4	 	Her export of cereal grains, chiefly oats, and of other edible products of the soil, steadily increased, from less than eight millions of bushels in 1817, to twenty eight millions of bushels in 1838.	21:27	0:199	Her export of cereal grains , chiefly oats , and of other edible products of the soil , steadily increased , from less than eight millions of bushels in 1817 , to twenty eight millions of bushels in 1838 .	4	0:40	her export of cereal grain , chiefly oats , and of other edible product of the soil , steadily increase , from less than eight millions of bushel in 1817 , to twenty eight millions of bushel in 1838 .	appge nn1 io nn1 nn2 y rr nn1 y cc io jj jj nn2 io at nn1 y rr vvn_vvd_jj y ii dar csn mc m io nn2 ii mc y ii mc mc m io nn2 ii mc y
grain_nn	nn1	1847	1	nf_1847_748116.txt-1358-31	 	In the early summer morning he would be loitering around the stage-office to get a glimpse of the passengers who had lodged for the night; perhaps to snatch up a grain of news.	162:167	0:176	In the early summer morning he would be loitering around the stage-office to get a glimpse of the passengers who had lodged for the night ; perhaps to snatch up a grain of news .	31	0:35	in the early summer morning he would be loiter around the stage-office to get a glimpse of the passenger who have lodge for the night ; perhaps to snatch up a grain of news .	ii at jj nnt1 nnt1 pphs1 vm vbi vvg ii_rp at nn1_<sub> to vvi at1 nn1 io at nn2 pnqs vhd vvn if at nnt1 y rr to vvi rp at1 nn1 io nn1 y
grain_nn	nn1	1839	1	fic_1839_7352.txt-785-7	 	Her uncle's attempt to extract a grain or two of knowledge about the crops proved vain, as there was but one topic upon which they seemed inclined to enlarge, and this was the miracles of the patron Saint of their	33:38	0:213	Her uncle 's attempt to extract a grain or two of knowledge about the crops proved vain , as there was but one topic upon which they seemed inclined to enlarge , and this was the miracles of the patron Saint of their	7	0:43	her uncle 's attempt to extract a grain or two of knowledge about the crop prove vain , as there be but one topic upon which they seem inclined to enlarge , and this be the miracle of the patron saint of their	appge nn1 ge nn1 to vvi at1 nn1 cc mc io nn1 ii at nn2 vvd_vvn jj y csa ex vbdz ccb mc1 nn1 ii ddq pphs2 vvd jj to vvi y cc dd1 vbdz at nn2 io at nn1 np1 np1 appge
grain_nn	nn1	1851	1	fic_1851_201.txt-1081-37	 	Perhaps, now, you won't believe that I could have put more value on a little piece of paper, no bigger than the palm of your hand, than all these solid acres of grain, grass, and pasture-land would sell for? "	161:166	0:209	Perhaps , now , you wo n't believe that I could have put more value on a little piece of paper , no bigger than the palm of your hand , than all these solid acres of grain , grass , and pasture-land would sell for ? "	37	0:48	perhaps , now , you will n't believe that i could have put more value on a little piece of paper , no big than the palm of your hand , than all these solid acre of grain , grass , and pasture-land would sell for ? "	rr y rt y ppy vm xx vvi cst ppis1 vm vhi vvn dar_rrr nn1 ii at1 jj nn1 io nn1 y at jjr csn at nn1 io appge nn1 y csn db dd2 jj nnu2 io nn1 y nn1 y cc nn1 vm vvi if y "
grain_nn	nn1	1843	1	fic_1843_7051.txt-65-69	 	But Mrs. Martin's was not a mind to quail; she had not spoken hastily, nor without thought, when she had so solemnly promised her dying friend; she saw the difficulties of her situation, but should she desert the helpless orphans in their sore need, -- should she let them be cast forth to the cold mercy of the world, while a grain of meal was in her barrel, or a drop of oil in her cruse?	327:332	0:390	But Mrs. Martin 's was not a mind to quail ; she had not spoken hastily , nor without thought , when she had so solemnly promised her dying friend ; she saw the difficulties of her situation , but should she desert the helpless orphans in their sore need , -- should she let them be cast forth to the cold mercy of the world , while a grain of meal was in her barrel , or a drop of oil in her cruse ?	69	0:86	but mrs.- martin 's be not a mind to quail ; she have not speak hastily , nor without think , when she have so solemnly promise her die friend ; she see the difficulty of her situation , but should she desert the helpless orphan in their sore need , -- should she let them be cast forth to the cold mercy of the world , while a grain of meal be in her barrel , or a drop of oil in her cruse ?	ccb nnb np1 ge vbdz xx at1 nn1 to vvi y pphs1 vhd xx vvn rr y cc iw nn1 y cs_rrq pphs1 vhd rg_rr rr vvn appge_ppho1 jj_vvg nn1 y pphs1 vvd at nn2 io appge nn1 y ccb vm pphs1 vvi at jj nn2 ii appge jj nn1 y z vm pphs1 vvi ppho2 vbi vvn rr ii at jj_nn1 nn1 io at nn1 y cs at1 nn1 io nn1 vbdz ii appge nn1 y cc at1 nn1 io nn1 ii appge nn1 y
grain_nn	nn1	1852	1	fic_1852_69.txt-673-32	 	Howsomever, I'll do the very best I can in gettin ' Tom a good berth; as to my treatin ' on him bad, you needn't be a grain afeard.	118:123	0:131	Howsomever , I 'll do the very best I can in gettin ' Tom a good berth ; as to my treatin ' on him bad , you need n't be a grain afeard .	32	0:35	howsomever , i will do the very best i can in get ' tom a good berth ; as to my treatin ' on him bad , you need n't be a grain afeard .	vv0_nn1_np1@ y ppis1 vm vdi at rg rrt ppis1 vm_vv0% ii nn1 ge np1 at1 jj nn1 y ii21 ii22 appge nn1 ge ii ppho1 jj_rr% y ppy vm@_vv0 xx vbi at1 nn1 nn1 y
grain_nn	nn1	1833	1	fic_1833_7046.txt-1469-12	 	The double strips of silvery sand unite Above, below, each grain distinct and bright.	59:64	0:85	The double strips of silvery sand unite Above , below , each grain distinct and bright .	12	0:17	the double strip of silvery sand unite above , below , each grain distinct and bright .	at jj nn2 io jj nn1 vv0 rl y rl y dd1 nn1 jj cc jj y
grain_nn	nn1	1844	1	fic_1844_800.txt-1208-31	 	The point of distinction in all this class of names, as courtesy, chivalry, fashion, and the like, is that the flower and fruit, not the grain of the tree, are contemplated.	137:142	0:173	The point of distinction in all this class of names , as courtesy , chivalry , fashion , and the like , is that the flower and fruit , not the grain of the tree , are contemplated .	31	0:39	the point of distinction in all this class of name , as courtesy , chivalry , fashion , and the like , be that the flower and fruit , not the grain of the tree , be contemplate .	at nn1 io nn1 ii db dd1 nn1 io nn2 y csa nn1 y nn1 y nn1_vv0@ y cc at jj y vbz dd1 at nn1 cc nn y xx at nn1 io at nn1 y vbr vvn y
