lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
land_nn	nn1	1842	1	fic_1842_9749.txt-2070-15	 	Sir Ronald Thou art soaring away, beautiful bird, Upon thy pinions into distant land, Bathing thy downy bosom's loftiest flight In welkin zephyrs.	80:84	0:146	Sir Ronald Thou art soaring away , beautiful bird , Upon thy pinions into distant land , Bathing thy downy bosom 's loftiest flight In welkin zephyrs .	15	0:28	sir ronald thou art soar away , beautiful bird , upon thy pinion into distant land , bath thy downy bosom 's lofty flight in welkin zephyr .	nnb np1 ppy nn1 vvg rl y jj nn1 y ii appge nn2 ii jj nn1 y vvg appge jj_nn1 nn1 ge jjt nn1 ii nn1 nn2_vvz y
land_nn	nn1	1851	1	mag_1851_504052.txt-6-14	 	and bolted to its place; and the car is then drawn to the land, suspended by rings from a hawser which has previously been stretched from the ship to the shore.	58:62	0:160	and bolted to its place ; and the car is then drawn to the land , suspended by rings from a hawser which has previously been stretched from the ship to the shore .	14	0:34	and bolt to its place ; and the car be then draw to the land , suspend by ring from a hawser which have previously be stretch from the ship to the shore .	cc vvn_vvd ii appge nn1 y cc at nn1 vbz rt vvn ii at nn1 y vvn ii nn2 ii at1 nn1 ddq vhz rr vbn vvn ii at nn1 ii at nn1 y
land_nn	nn1	1843	1	fic_1843_7208.txt-637-6	 	A neighboring farmer, into whose land the acres in question made an awkward elbow, was anxious to buy Solomon's title, and dispossess the unlawful occupant.	33:37	0:156	A neighboring farmer , into whose land the acres in question made an awkward elbow , was anxious to buy Solomon 's title , and dispossess the unlawful occupant .	6	0:30	a neighboring farmer , into whose land the acre in question make an awkward elbow , be anxious to buy solomon 's title , and dispossess the unlawful occupant .	at1_zz1 jj@_nn1@ nn1 y ii ddqge nn1 at nnu2 ii nn1 vvd_vvn at1 jj nn1 y vbdz jj to vvi np1 ge nn1 y cc vvi at jj nn1 y
land_nn	nn1	1856	1	nf_1856_755595.txt-102-5	 	The day previous to our landing was a Sunday, and I was pleased to observe the decorum which pervaded the ship.	24:31	0:111	The day previous to our landing was a Sunday , and I was pleased to observe the decorum which pervaded the ship .	5	0:23	the day previous to our land be a sunday , and i be pleased to observe the decorum which pervade the ship .	at nnt1 jj ii appge nn1 vbdz at1 npd1 y cc ppis1 vbdz jj to vvi at nn1 ddq vvd at nn1 y
land_nn	nn2	1830	1	mag_1830_554083.txt-510-65	 	In the very paragraph of the compact which contains the stipulation, it is stated, by way of description and recital, that the President of the United States has directed that a treaty should be held with the Creeks; ' and, in a previous paragraph, the United States engage to open a land-office, for the disposition of the vacant lands thus ceded, to which the Indian title has been, or may hereafter be, extinguished. '	331:336	0:421	In the very paragraph of the compact which contains the stipulation , it is stated , by way of description and recital , that the President of the United States has directed that a treaty should be held with the Creeks ; ' and , in a previous paragraph , the United States engage to open a land-office , for the disposition of the vacant lands thus ceded , to which the Indian title has been , or may hereafter be , extinguished . '	65	0:85	in the very paragraph of the compact which contain the stipulation , it be state , by way of description and recital , that the president of the united state have direct that a treaty should be hold with the creek ; ' and , in a previous paragraph , the united state engage to open a land-office , for the disposition of the vacant land thus cede , to which the indian title have be , or may hereafter be , extinguish . '	ii at jj nn1 io at nn1 ddq vvz at nn1 y pph1 vbz vvn y ii31 ii32 ii33 nn1 cc nn1 y cst at nn1 io at np1 np1 vhz vvn cst at1 nn1 vm vbi vvn iw at nn2 y ge cc y ii at1 jj nn1 y at np1 np1 vv0 to vvi at1 nn1_jj y if at nn1 io at jj nn2 rr vvn_vvd y ii ddq at jj nn1 vhz vbn y cc vm rt vbi y vvd_vvn y "@_ge
land_nn	nn1	1843	1	fic_1843_7166.txt-602-12	 	The Pawnee and his bride enjoyed the blessings of summer in another land.	68:72	0:73	The Pawnee and his bride enjoyed the blessings of summer in another land .	12	0:14	the pawnee and his bride enjoy the blessing of summer in another land .	at nn1_np1 cc appge nn1 vvd_vvn at nn2 io nnt1 ii dd1 nn1 y
land_nn	nn1	1854	1	fic_1854_8328.txt-1758-14	 	Go, tourist, where the Genesee, In falling, shakes the solid land!	61:65	0:66	Go , tourist , where the Genesee , In falling , shakes the solid land !	14	0:16	go , tourist , where the genesee , in fall , shake the solid land !	vv0 y nn1 y cs_rrq at nn1_np1 y ii vvg y vvz at jj nn1 !
land_nn	nn1	1829	1	nf_1829_751465.txt-3079-38	 	The Catholic army (says Antonio Agapida) entered Moclin in solemn state, not as a licentious host intent upon plunder and desolation, but as a band of Christian warriors coming to purify and regenerate the land.	206:210	0:211	The Catholic army ( says Antonio Agapida ) entered Moclin in solemn state , not as a licentious host intent upon plunder and desolation , but as a band of Christian warriors coming to purify and regenerate the land .	38	0:40	the catholic army ( say antonio agapida ) enter moclin in solemn state , not as a licentious host intent upon plunder and desolation , but as a band of christian warrior come to purify and regenerate the land .	at jj_nn1 nn1 y vvz np1 np1_<sub> y vvd np1_<sub> ii jj nn1 y xx ii_csa at1 jj nn1 nn1 ii nn1 cc nn1 y ccb ii_csa at1 nn1 io jj nn2 vvg to vvi cc vvi at nn1 y
land_nn	nn2	1842	1	nf_1842_747853.txt-1755-20	 	He thus established and perfected an institution, which was to last through all ages, and extend over all lands, and be the means of completing the great work of redemption.	106:111	0:173	He thus established and perfected an institution , which was to last through all ages , and extend over all lands , and be the means of completing the great work of redemption .	20	0:34	he thus establish and perfect an institution , which be to last through all age , and extend over all land , and be the mean of complete the great work of redemption .	pphs1 rr vvd cc vvd_vvn at1 nn1 y ddq vbdz to vvi ii_rp@ db nn2 y cc vvi rp_ii db nn2 y cc vbi at nn io vvg at jj nn1 io nn1 y
land_nn	nn1	1847	1	mag_1847_555460.txt-176-1	 	The land rose with a gentle elevation from the river, was level, smooth, and covered with a verdure as rich and fragrant as can clothe the surface of nature beneath the warmth	4:8	0:175	The land rose with a gentle elevation from the river , was level , smooth , and covered with a verdure as rich and fragrant as can clothe the surface of nature beneath the warmth	1	0:35	the land rise with a gentle elevation from the river , be level , smooth , and cover with a verdure as rich and fragrant as can clothe the surface of nature beneath the warmth	at nn1 vvd_nn1 iw at1 jj nn1 ii at nn1 y vbdz jj_nn1 y jj_vv0@ y cc vvn_vvd iw at1 nn1 csa_rg@ jj cc jj csa vm vvi at nn1 io nn1 ii at nn1
land_nn	nn1	1836	1	fic_1836_7040.txt-1434-17	 	Athens, with all her faults, is still my own, my beautiful, my beloved land.	71:75	0:76	Athens , with all her faults , is still my own , my beautiful , my beloved land .	17	0:19	athens , with all her fault , be still my own , my beautiful , my beloved land .	np1 y iw db appge nn2 y vbz rr appge da y appge jj y appge jj nn1 y
land_nn	nn1	1845	1	fic_1845_8969.txt-967-62	 	Merely to die is nothing, for the firm confidence with which my soul hangs on that Saviour, at whose holy altar I once hoped myself to minister, removes all fear, and rather makes the summons welcome, as a call to brighter realms and higher joys; but the thought that I no more can help this bleeding land, nor prop its failing fortunes -- this is my grief, my bitter grief.	301:305	0:374	Merely to die is nothing , for the firm confidence with which my soul hangs on that Saviour , at whose holy altar I once hoped myself to minister , removes all fear , and rather makes the summons welcome , as a call to brighter realms and higher joys ; but the thought that I no more can help this bleeding land , nor prop its failing fortunes -- this is my grief , my bitter grief .	62	0:79	merely to die be nothing , for the firm confidence with which my soul hang on that saviour , at whose holy altar i once hope myself to minister , remove all fear , and rather make the summons welcome , as a call to brighter realm and high joy ; but the think that i no more can help this bleed land , nor prop its fail fortune -- this be my grief , my bitter grief .	rr to vvi vbz pn1 y if at jj_nn1 nn1 iw ddq appge nn1 vvz rp dd1_cst nn1 y ii ddqge jj nn1 ppis1 rr vvd_vvn ppx1 to vvi y vvz db_rr@ vv0_nn1 y cc rr@ vvz at nn1 nn1_vv0 y csa_ii at1 nn1 ii jjr nn2 cc jjr nn2 y ccb at nn1 cst ppis1 rr% dar_rrr vm vvi dd1 jj nn1 y cc vv0 appge jj@_vvg nn2 z dd1 vbz appge nn1 y appge jj nn1 y
land_nn	nn1	1843	1	fic_1843_7051.txt-2222-25	 	And Henry came, and the scene of his first detection, and the form of the friend he had betrayed, in a distant land.	111:115	0:116	And Henry came , and the scene of his first detection , and the form of the friend he had betrayed , in a distant land .	25	0:27	and henry come , and the scene of his first detection , and the form of the friend he have betray , in a distant land .	cc np1 vvd y cc at nn1 io appge md nn1 y cc at nn1 io at nn1 pphs1 vhd vvn y ii at1 jj nn1 y
land_nn	nn1	1836	1	fic_1836_7276.txt-1687-6	 	a blessing and honour to the land, made me more and more ashamed of myself.	29:33	0:75	a blessing and honour to the land , made me more and more ashamed of myself .	6	0:17	a blessing and honour to the land , make me more and more ashamed of myself .	at1 nn1 cc vv0_nn1 ii at nn1 y vvd ppio1 rrr cc rgr jj io ppx1 y
land_nn	nn1	1836	1	nf_1836_748113.txt-821-23	 	Very extensive mill privileges are gained by the aid of a cross dam, running from the principal one to a point of land in Roxbury, which divides the reserveir or full basin on the west, from the running or empty basin on the east.	114:118	0:230	Very extensive mill privileges are gained by the aid of a cross dam , running from the principal one to a point of land in Roxbury , which divides the reserveir or full basin on the west , from the running or empty basin on the east .	23	0:48	very extensive mill privilege be gain by the aid of a cross dam , run from the principal one to a point of land in roxbury , which divide the reserveir or full basin on the west , from the run or empty basin on the east .	rg jj nn1 nn2 vbr vvn ii at nn1 io at1 nn1_jj@ nn1 y vvg ii at jj pn1 ii at1 nn1 io nn1 ii np1 y ddq vvz at nn1_<sub> cc jj nn1 ii at nd1 y ii at nn1_jj cc jj nn1 ii at nd1 y
land_nn	nn1	1853	1	mag_1853_566282.txt-86-11	 	As private citizens are bound to obey those laws of the land which are not contrary to the will of God, so the ministers of justice are under a moral obligation to execute these laws; unless they are entrusted with discretionary powers to dispense with their execution in particular cases.	56:60	0:289	As private citizens are bound to obey those laws of the land which are not contrary to the will of God , so the ministers of justice are under a moral obligation to execute these laws ; unless they are entrusted with discretionary powers to dispense with their execution in particular cases .	11	0:53	as private citizen be bind to obey those law of the land which be not contrary to the will of god , so the minister of justice be under a moral obligation to execute these law ; unless they be entrust with discretionary power to dispense with their execution in particular case .	csa_rg@ jj nn2 vbr vvnk to vvi dd2 nn2 io at nn1 ddq vbr xx ii21 ii22 at nn1@ io np1 y cs@_rr at nn2 io nn1 vbr ii_rg@ at1 jj nn1 to vvi dd2 nn2 y cs pphs2 vbr vvn iw jj nn2 to vvi iw appge nn1 ii_rr21 jj_rr22 nn2 y
land_nn	nn1	1844	1	fic_1844_7189.txt-5141-3	 	It is the land of Death -- the land of the Grave.	10:14	0:49	It is the land of Death -- the land of the Grave .	3	0:13	it be the land of death -- the land of the grave .	pph1 vbz at nn1 io nn1 z at nn1 io at nn1_jj y
land_nn	nn1	1850	1	fic_1850_7304.txt-5022-30	 	The sea rose between the assailant and his prey, -- the storm parted them, and while the feebler vessels of Melendez, partially under the security of the land, swept back towards the settlement which he had made on shore, the brigantines and bateaux of Ribault were forced to rejoin their greater vessels, and they all bore away to sea before the gale.	154:158	0:352	The sea rose between the assailant and his prey , -- the storm parted them , and while the feebler vessels of Melendez , partially under the security of the land , swept back towards the settlement which he had made on shore , the brigantines and bateaux of Ribault were forced to rejoin their greater vessels , and they all bore away to sea before the gale .	30	0:69	the sea rise between the assailant and his prey , -- the storm part them , and while the feebl vessel of melendez , partially under the security of the land , sweep back towards the settlement which he have make on shore , the brigantine and bateaux of ribault be force to rejoin their great vessel , and they all bore away to sea before the gale .	at nn1 vvd_nn1 ii at nn1 cc appge nn1 y z at nn1 vvd_vvn ppho2 y cc cs at jjr nn2 io np1 y rr ii at nn1 io at nn1 y vvd_vvn rp ii at nn1 ddq pphs1 vhd vvn ii nn1 y at nn2 cc nn2 io np1_nn1 vbdr vvn to vvi appge jjr nn2 y cc pphs2 db_rr@ vv0_vvd rl ii nn1 ii_cs at nn1 y
land_nn	nn1	1852	1	mag_1852_504526.txt-390-17	 	Many animals were seen at different times in the vicinity of the sea, some on the land, and others flying freely over the water.	82:86	0:128	Many animals were seen at different times in the vicinity of the sea , some on the land , and others flying freely over the water .	17	0:27	many animal be see at different time in the vicinity of the sea , some on the land , and other fly freely over the water .	da2 nn2 vbdr vvn ii jj nnt2 ii at nn1 io at nn1 y dd ii at nn1 y cc nn2 vvg rr ii_rp at nn1 y
