identifier1	identifier2	annotator	judgment	comment	lemma	round
mag_2001_416328.txt-35-6	fic_2001_31316.txt-50-1	annotator2	2.0	 	ounce_nn	3
fic_2006_28074.txt-156-5	fic_1979_16029.txt-54-3	annotator2	3.0	 	ounce_nn	3
news_2000_621990.txt-6-3	nf_1853_748464.txt-1176-2	annotator2	4.0	 	ounce_nn	3
mag_1967_274923.txt-17-19	fic_1998_43217.txt-5-16	annotator2	2.0	 	ounce_nn	3
fic_1996_42182.txt-585-10	news_2005_623926.txt-191-27	annotator2	2.0	 	ounce_nn	3
fic_1856_2655.txt-1899-10	nf_1837_757476.txt-2144-13	annotator2	2.0	 	ounce_nn	3
mag_1967_274923.txt-17-19	fic_1833_7059.txt-366-53	annotator2	3.0	 	ounce_nn	3
news_2005_623926.txt-191-27	news_1997_610552.txt-116-41	annotator2	4.0	 	ounce_nn	3
fic_2006_28074.txt-156-5	nf_1824_747448.txt-3494-10	annotator2	2.0	 	ounce_nn	3
mag_1993_408277.txt-77-13	news_1988_670746.txt-75-16	annotator2	2.0	 	ounce_nn	3
fic_2006_28577.txt-54-7	mag_1849_525337.txt-223-10	annotator2	3.0	 	ounce_nn	3
fic_1858_1282.txt-4291-47	mag_1967_274923.txt-17-19	annotator2	2.0	 	ounce_nn	3
nf_1849_747900.txt-880-11	nf_1843_752682.txt-548-9	annotator2	3.0	 	ounce_nn	3
nf_1999_775061.txt-335-17	mag_1849_525380.txt-118-33	annotator2	3.0	 	ounce_nn	3
mag_2005_422919.txt-1-63	mag_1967_274923.txt-17-19	annotator2	4.0	 	ounce_nn	3
fic_1833_7059.txt-366-53	mag_1850_525559.txt-209-13	annotator2	2.0	 	ounce_nn	3
mag_2005_422919.txt-46-25	mag_1994_352087.txt-4-12	annotator2	2.0	 	ounce_nn	3
fic_1998_43217.txt-5-16	fic_2006_28074.txt-156-5	annotator2	4.0	 	ounce_nn	3
mag_1967_274923.txt-17-19	fic_1996_42182.txt-585-10	annotator2	2.0	 	ounce_nn	3
news_1997_610552.txt-116-41	fic_2006_28074.txt-156-5	annotator2	2.0	 	ounce_nn	3
fic_1833_7059.txt-366-53	fic_1996_42182.txt-585-10	annotator2	2.0	 	ounce_nn	3
nf_1844_747892.txt-594-56	news_1997_610552.txt-116-41	annotator2	4.0	 	ounce_nn	3
mag_1966_217503.txt-11-21	mag_2001_416328.txt-35-6	annotator2	2.0	 	ounce_nn	3
nf_1839_747610.txt-431-106	fic_1827_7168.txt-1308-148	annotator2	1.0	 	ounce_nn	3
mag_1973_431850.txt-80-8	nf_1999_775061.txt-335-17	annotator2	2.0	 	ounce_nn	3
mag_2001_416328.txt-35-6	mag_1849_525380.txt-118-33	annotator2	2.0	 	ounce_nn	3
mag_1849_525380.txt-118-33	mag_1967_274923.txt-17-19	annotator2	2.0	 	ounce_nn	3
fic_1981_10686.txt-851-4	fic_1833_7059.txt-366-53	annotator2	2.0	 	ounce_nn	3
nf_1844_747892.txt-594-56	mag_1996_65462.txt-65-39	annotator2	2.0	 	ounce_nn	3
mag_1993_408277.txt-77-13	news_1998_610641.txt-87-14	annotator2	2.0	 	ounce_nn	3
nf_1853_748464.txt-1893-11	nf_1830_754783.txt-1658-6	annotator2	4.0	 	ounce_nn	3
news_2005_623926.txt-191-27	mag_1994_399546.txt-22-13	annotator2	3.0	 	ounce_nn	3
mag_1994_399546.txt-22-13	nf_1844_747892.txt-594-56	annotator2	2.0	 	ounce_nn	3
nf_1999_775061.txt-335-17	fic_1981_10686.txt-851-4	annotator2	4.0	 	ounce_nn	3
