lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
rally_nn	nn1	1845	1	mag_1845_565477.txt-150-10	 	And this is no more of a mob than a rally of shepherds to chase a wolf out of their pastures would he one. "	36:41	0:108	And this is no more of a mob than a rally of shepherds to chase a wolf out of their pastures would he one . "	10	0:26	and this be no more of a mob than a rally of shepherd to chase a wolf out of their pasture would he one . "	cc dd1 vbz at dar io at1 nn1_jj@ csn at1 nn1 io nn2 to vvi at1 nn1 ii21 ii22 appge nn2 vm pphs1 pn1_mc1 y "
rally_nn	nn1_vv0	1846	1	mag_1846_565554.txt-266-14	 	Let, then, the people of Great Britain and of these United States rally around the standard of religious freedom for the world; let them lift up the cry of indignation at every infringement of the	66:71	0:196	Let , then , the people of Great Britain and of these United States rally around the standard of religious freedom for the world ; let them lift up the cry of indignation at every infringement of the	14	0:38	let , then , the people of great britain and of these united state rally around the standard of religious freedom for the world ; let them lift up the cry of indignation at every infringement of the	vv0 y rt y at nn io np1 np1 cc io dd2 np1 np1 nn1_vv0 ii_rp at nn1 io jj nn1 if at nn1 y vv0 ppho2 vvi rp_ii@ at nn1 io nn1 ii at1 nn1 io at
rally_nn	nn1_vv0	1860	1	fic_1860_8044.txt-3065-24	 	From mountain, from river, from valley, The songs of the true heart ascend, And the brave to the dread conflict rally, And the doom and the danger impend; The blood of the free streams like water, And the hills wear the garment of slaughter.	112:117	0:241	From mountain , from river , from valley , The songs of the true heart ascend , And the brave to the dread conflict rally , And the doom and the danger impend ; The blood of the free streams like water , And the hills wear the garment of slaughter .	24	0:52	from mountain , from river , from valley , the song of the true heart ascend , and the brave to the dread conflict rally , and the doom and the danger impend ; the blood of the free stream like water , and the hill wear the garment of slaughter .	ii nn1 y ii nn1 y ii nn1 y at nn2 io at jj nn1 vv0 y cc at jj_nn1@ ii at nn1_jj@ nn1 nn1_vv0 y cc at nn1 cc at nn1 vv0 y at nn1 io at jj nn2 ii nn1 y cc at nn2 vv0 at nn1 io nn1 y
rally_nn	nn1	1853	1	nf_1853_747555.txt-379-24	 	Where the petitioners are very /z/ numerous, what is a petition in form may assume, in fact, the character of a rally or a threat.	112:117	0:130	Where the petitioners are very /z/ numerous , what is a petition in form may assume , in fact , the character of a rally or a threat .	24	0:29	where the petitioner be very /z/ numerous , what be a petition in form may assume , in fact , the character of a rally or a threat .	cs at nn2 vbr rg jj jj y ddq vbz at1 nn1 ii nn1 vm vvi y ii nn1 y at nn1 io at1 nn1 cc at1 nn1 y
rally_nn	nn1	1860	1	mag_1860_506692.txt-83-4	 	In this last determined rally Pattie lost ten men, and received a wound himself.	24:29	0:80	In this last determined rally Pattie lost ten men , and received a wound himself .	4	0:16	in this last determine rally pattie lose ten man , and receive a wind himself .	ii dd1 md jj nn1 np1_nn1@ vvd mc nn2 y cc vvd_vvn at1 nn1 ppx1 y
rally_nn	nn1_vv0	1832	1	mag_1832_564427.txt-155-37	 	It was put down, not after a calm and deliberate examination of the measure, as one deserving thorough consideration, in the peculiar condition of the country; but it was met by a party rally; rejected, and thrown out; not merely as an extravagant and unprofitable suggestion, but as a heresy.	186:191	0:293	It was put down , not after a calm and deliberate examination of the measure , as one deserving thorough consideration , in the peculiar condition of the country ; but it was met by a party rally ; rejected , and thrown out ; not merely as an extravagant and unprofitable suggestion , but as a heresy .	37	0:59	it be put down , not after a calm and deliberate examination of the measure , as one deserving thorough consideration , in the peculiar condition of the country ; but it be meet by a party rally ; reject , and throw out ; not merely as an extravagant and unprofitable suggestion , but as a heresy .	pph1 vbdz vvn rp y xx ii_cs at1 jj_nn1 cc jj_vv0 nn1 io at nn1 y csa mc1 jj jj nn1 y ii at jj nn1 io at nn1 y ccb pph1 vbdz vvn ii at1 nn1 nn1_vv0 y vvd_vvn y cc vvn rp y xx rr ii_csa at1 jj cc jj nn1 y ccb ii_csa at1 nn1 y
rally_nn	nn1	1833	1	fic_1833_7059.txt-1591-113	 	the fight itself -- for placing vividly before you all the alternations between defeat and victory in a hard fought field -- for hurrying the reader breathlessly along with the current of events, so that he fancies himself a spectator of, almost an actor in the scene, and feels a personal interest in the fate of the several combatants -- for seizing instinctively on the strongest and most picturesque points of the combat -- for placing fair in view the wheeling, advancing, and retreating of the several squadrons and bodies of troops -- the dread closing and deadly strife of the mortal foes -- the charge, the rally, the rout, the flight, and the pursuit -- in all of these Scott has never been approached.	616:621	0:712	the fight itself -- for placing vividly before you all the alternations between defeat and victory in a hard fought field -- for hurrying the reader breathlessly along with the current of events , so that he fancies himself a spectator of , almost an actor in the scene , and feels a personal interest in the fate of the several combatants -- for seizing instinctively on the strongest and most picturesque points of the combat -- for placing fair in view the wheeling , advancing , and retreating of the several squadrons and bodies of troops -- the dread closing and deadly strife of the mortal foes -- the charge , the rally , the rout , the flight , and the pursuit -- in all of these Scott has never been approached .	113	0:135	the fight itself -- for place vividly before you all the alternation between defeat and victory in a hard fight field -- for hurry the reader breathlessly along with the current of event , so that he fancy himself a spectator of , almost an actor in the scene , and feel a personal interest in the fate of the several combatant -- for seize instinctively on the strong and most picturesque point of the combat -- for place fair in view the wheel , advancing , and retreating of the several squadron and body of troop -- the dread closing and deadly strife of the mortal foe -- the charge , the rally , the rout , the flight , and the pursuit -- in all of these scott have never be approach .	at nn1 ppx1 z if vvg rr cs ppy db at nn2 ii nn1 cc nn1 ii at1 rr vvn_vvd nn1 z if vvg at nn1 rr ii21 ii22 at nn1@_jj io nn2 y cs21 cs22 pphs1 vvz ppx1 at1 nn1 io y rr at1 nn1 ii at nn1 y cc vvz at1 jj nn1 ii at nn1 io at da2 nn2 z if vvg rr ii at jjt cc rgt_dat jj nn2 io at nn1 z if vvg jj_rr@ ii nn1 at nn1@_jj@ y jj_vvg@ y cc jj_vvg io at da2 nn2 cc nn2 io nn2 z at nn1_jj@ nn1_vvg cc jj nn1 io at jj_nn1 nn2 z at nn1 y at nn1 y at nn1 y at nn1 y cc at nn1 z ii db io dd2 np1 vhz rr vbn vvn y
rally_nn	nn1_vv0	1838	1	mag_1838_586167.txt-74-13	 	In prepa * ing sea-island cotton, the saw-gin is not gener * rally employed, as it breaks the long silky fibre which is one element ofits peeulic.r value.	61:66	0:154	In prepa * ing sea-island cotton , the saw-gin is not gener * rally employed , as it breaks the long silky fibre which is one element ofits peeulic.r value .	13	0:31	in prepa * ing sea-island cotton , the saw-gin be not gener * rally employ , as it break the long silky fibre which be one element ofits <nul> value .	ii jj_<sub> jj_<sub> vvg_<sub> jj_nn1 nn1 y at nn1_<sub> vbz xx jj_<sub> np1_<sub> nn1_vv0 vvd_vvn y csa pph1 vvz at jj jj nn1 ddq vbz mc1 nn1 vvz nnu nn1 y
rally_nn	nn1	1845	1	fic_1845_7162.txt-760-4	 	the quick sharp yelping rally of those two high-bred bitches.	24:29	0:61	the quick sharp yelping rally of those two high-bred bitches .	4	0:11	the quick sharp yelp rally of those two high-bred bitch .	at jj jj jj@_nn1@_vvg nn1 io dd2 mc jj_nn1 nn2 y
rally_nn	nn1	1854	1	fic_1854_3384.txt-7241-5	 	But when Freedom's champions rally ' Gainst the despot's sway, Then they mourn the friend and ally That has passed away.	29:34	0:120	But when Freedom 's champions rally ' Gainst the despot 's sway , Then they mourn the friend and ally That has passed away .	5	0:25	but when freedom 's champion rally ' gainst the despot 's sway , then they mourn the friend and ally that have pass away .	ccb cs nn1 ge nn2 nn1 ge nn1_vv0_np1 at nn1 ge nn1 y rt pphs2 vv0 at nn1 cc nn1_vv0@ cst_dd1 vhz vvn rl y
