lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
record_nn	nn2	1831	1	nf_1831_764842.txt-1011-24	 	Suppose all Mr. Wood's defamatory allegations to be true -- suppose him to be able to rake up against her out of the records of the Antigua police, or from the veracious testimony of his brother colonists, twenty stories as bad or worse than what he insinuates -- suppose the whole of her own statement to be false, and even the whole of her conduct since she came under our observation here to be a tissue of hypocrisy; -- suppose all this -- and leave the negro woman as black in character as in complexion, 21 -- yet it would affect not the main facts -- which are these.	117:124	0:574	Suppose all Mr. Wood 's defamatory allegations to be true -- suppose him to be able to rake up against her out of the records of the Antigua police , or from the veracious testimony of his brother colonists , twenty stories as bad or worse than what he insinuates -- suppose the whole of her own statement to be false , and even the whole of her conduct since she came under our observation here to be a tissue of hypocrisy ; -- suppose all this -- and leave the negro woman as black in character as in complexion , 21 -- yet it would affect not the main facts -- which are these .	24	0:116	suppose all mr.- wood 's defamatory allegation to be true -- suppose him to be able to rake up against her out of the record of the antigua police , or from the veracious testimony of his brother colonist , twenty story as bad or bad than what he insinuate -- suppose the whole of her own statement to be false , and even the whole of her conduct since she come under our observation here to be a tissue of hypocrisy ; -- suppose all this -- and leave the negro woman as black in character as in complexion , 21 -- yet it would affect not the main fact -- which be these .	vv0 db nnb np1 ge jj nn2 to vbi jj nn1 vv0 ppho1 to vbi jk to vvi rp ii ppho1 ii21 ii22 at nn2 io at np1 nn2 y cc ii at jj nn1 io appge nn1 nn2 y mc nn2 csa_rg@ jj cc jjr_rrr@ csn ddq pphs1 vvz nn1_jj vv0 at nn1 io appge da nn1 to vbi jj_rr@ y cc rr at nn1 io appge nn1 cs pphs1 vvd ii_rp@ appge nn1 rl to vbi at1 nn1 io nn1 y nn1_jj vv0 db dd1 nn1_jj cc vv0 at nn1 nn1 csa_rg@_ii@ jj ii nn1 csa ii nn1 y mc zz rr pph1 vm vvi xx at jj nn2 nn1_jj ddq vbr dd2 y
record_nn	nn2	1835	1	fic_1835_7353.txt-1855-15	 	It is historical, and the name and circumstances are to be found in the records of those times.	72:79	0:95	It is historical , and the name and circumstances are to be found in the records of those times .	15	0:20	it be historical , and the name and circumstance be to be find in the record of those time .	pph1 vbz jj y cc at nn1 cc nn2 vbr to vbi vvn ii at nn2 io dd2 nnt2 y
record_nn	nn1	1859	1	mag_1859_567046.txt-286-29	 	The Confucian school flourished in high esteem; about a hundred years after the death of its founder it produced its next most eminent sage, Mencius, the record of whose wisdom is included in, and closes, the sacred canon.	154:160	0:222	The Confucian school flourished in high esteem ; about a hundred years after the death of its founder it produced its next most eminent sage , Mencius , the record of whose wisdom is included in , and closes , the sacred canon .	29	0:44	the confucian school flourish in high esteem ; about a hundred year after the death of its founder it produce its next most eminent sage , mencius , the record of whose wisdom be include in , and close , the sacred canon .	at jj nn1 vvd_vvn@ ii_rp@ jj nn1 y rg at1 m nnt2 ii_cs at nn1 io appge nn1 pph1 vvd appge md rgt jj nn1 y np1 y at nn1 io ddqge nn1 vbz vvn rp@_ii y cc vvz y at jj nn1 y
record_nn	nn2	1842	1	nf_1842_747853.txt-355-15	 	/z/ Hence was it a principal design of the revelation of which we have the records in the books of the Old Testament, to teach the divine unity; to instruct men in the worship of one God, the eternal, unchangeable, almighty Maker, and Sovereign of the world, the only invisible object of the homage of men; and to draw them off from the imagination, that different beings preside over different parts of nature, or that good and evil spring from different and independent sources, and that the mixture of good and evil, which is seen in the universe, is to be traced to two self-existent, independent, and opposite principles.	75:82	0:626	/z/ Hence was it a principal design of the revelation of which we have the records in the books of the Old Testament , to teach the divine unity ; to instruct men in the worship of one God , the eternal , unchangeable , almighty Maker , and Sovereign of the world , the only invisible object of the homage of men ; and to draw them off from the imagination , that different beings preside over different parts of nature , or that good and evil spring from different and independent sources , and that the mixture of good and evil , which is seen in the universe , is to be traced to two self-existent , independent , and opposite principles .	15	0:125	/z/ hence be it a principal design of the revelation of which we have the record in the book of the old testament , to teach the divine unity ; to instruct man in the worship of one god , the eternal , unchangeable , almighty maker , and sovereign of the world , the only invisible object of the homage of man ; and to draw them off from the imagination , that different being preside over different part of nature , or that good and evil spring from different and independent source , and that the mixture of good and evil , which be see in the universe , be to be trace to two self-existent , independent , and opposite principle .	vv0 rr vbdz pph1 at1 jj_nn1 nn1 io at nn1 io ddq ppis2 vh0 at nn2 ii at nn2 io at jj nn1 y to vvi at jj nn1 y to vvi nn2 ii at nn1 io mc1 np1_nn1@ y at jj y jj y jj nn1 y cc nn1 io at nn1 y at jj jj nn1 io at nn1 io nn2 y cc to vvi ppho2 rp ii at nn1 y dd1_cst jj nn2 vv0 ii jj nn2 io nn1 y cc dd1_cst jj cc jj_nn1 nn1 ii jj cc jj nn2 y cc cst at nn1 io jj cc nn1_jj y ddq vbz vvn ii at nn1 y vbz to vbi vvn ii mc nn1_<sub> y jj y cc jj nn2 y
record_nn	nn1	1860	1	fic_1860_1171.txt-1939-20	 	Willoughby's as the family possess and will submit for examination, carefully searched, in the hope that some record may be found in his hand-writing, sufficiently clear to establish the fact that my mother was the wife of the elder Captain Allen.	110:116	0:247	Willoughby 's as the family possess and will submit for examination , carefully searched , in the hope that some record may be found in his hand-writing , sufficiently clear to establish the fact that my mother was the wife of the elder Captain Allen .	20	0:46	willoughby 's as the family possess and will submit for examination , carefully search , in the hope that some record may be find in his hand-writing , sufficiently clear to establish the fact that my mother be the wife of the elder captain allen .	np1 ge_vbz csa at nn1 vv0 cc vm vvi if nn1 y rr vvn_vvd y ii at nn1 cst dd nn1 vm vbi vvn ii appge nn1 y rr jj_vv0@ to vvi at nn1 cst appge nn1 vbdz at nn1 io at nn1_jjr nnb np1 y
record_nn	nn2	1839	1	nf_1839_747920.txt-1078-6	 	9, in relation to the records and copies of the records.	22:29	0:56	9 , in relation to the records and copies of the records .	6	0:13	9 , in relation to the record and copy of the record .	mc y ii31 ii32 ii33 at nn2 cc nn2 io at nn2 y
record_nn	nn2	1827	1	fic_1827_7169.txt-0-35	 	@@170 THE Buccaneers; A ROMANCE OF OUR OWN COUNTRY IN ITS ANCIENT DAY; ILLUSTRATED WITH DIVERS MARVELLOUS HISTORIES, AND ANTIQUE AND FACETIOUS EPISODES; GATHERED FROM THE MOST AUTHENTIC CHRONICLES &; AFFIRMED RECORDS EXTANT FROM THE Settlement of the Nieuw Nederlandts UNTIL THE TIMES OF THE FAMOUS RICHARD KID: CAREFULLY COLLATED FROM THE LABORIOUS RESEARCHES, AND MINUTE INVESTIGATIONS, OF THAT EXCELLENT ANTIQUARY AND SUBLIME PHILOSOPHER, YCLEPT TERENTIUS PHLOGOBOMBOS.	209:216	0:472	@@170 THE Buccaneers ; A ROMANCE OF OUR OWN COUNTRY IN ITS ANCIENT DAY ; ILLUSTRATED WITH DIVERS MARVELLOUS HISTORIES , AND ANTIQUE AND FACETIOUS EPISODES ; GATHERED FROM THE MOST AUTHENTIC CHRONICLES &; AFFIRMED RECORDS EXTANT FROM THE Settlement of the Nieuw Nederlandts UNTIL THE TIMES OF THE FAMOUS RICHARD KID : CAREFULLY COLLATED FROM THE LABORIOUS RESEARCHES , AND MINUTE INVESTIGATIONS , OF THAT EXCELLENT ANTIQUARY AND SUBLIME PHILOSOPHER , YCLEPT TERENTIUS PHLOGOBOMBOS .	35	0:76	<nul> the buccaneer ; a romance of our own country in its ancient day ; illustrate with diver marvellous history , and antique and facetious episode ; gather from the most authentic chronicle &; affirm record extant from the settlement of the nieuw nederlandts until the time of the famous richard kid : carefully collate from the laborious research , and minute investigation , of that excellent antiquary and sublime philosopher , yclept terentius phlogobombos .	mc at nn2 y at1@_zz1 nn1_jj io appge da nn1 ii appge jj nnt1 y vvn_vvd iw jj jj nn2 y cc jj_nn1 cc jj_np1 nn2 y vvn_vvd_jj ii at rgt jj nn2 np1_<sub> vvd_vvn nn2 jj ii at nn1 io at np1_nn1 np1_<sub> cs_ii@ at nnt2 io at jj np1 nn1 y rr vvd_vvn@_jj ii at jj nn2 y cc jj@_nnt1 nn2 y io dd1 jj nn1 cc jj nn1 y np1 np1_nn1 np1_<sub> y
record_nn	nn1	1858	1	mag_1858_556623.txt-177-11	 	The book remains, as we say, the most formidable record at present extant of the selfish ambition, the culpable folly, and the at last glaring incapacity of Napoleon Bonaparte.	49:55	0:176	The book remains , as we say , the most formidable record at present extant of the selfish ambition , the culpable folly , and the at last glaring incapacity of Napoleon Bonaparte .	11	0:34	the book remain , as we say , the most formidable record at present extant of the selfish ambition , the culpable folly , and the at last glaring incapacity of napoleon bonaparte .	at nn1 vvz y csa ppis2 vv0 y at rgt jj nn1 rr21 rr22 jj io at jj nn1 y at jj nn1 y cc at rr21 rr22 jj_vvg nn1 io np1 np1_nn1 y
record_nn	nn1	1853	1	mag_1853_555854.txt-325-5	 	Written laws are a // record of the state of parties and opinion at the time when they were made; however faithful and just, they cast no spell over the encroachments of time and the laws of political gravitation.	22:28	0:213	Written laws are a // record of the state of parties and opinion at the time when they were made ; however faithful and just , they cast no spell over the encroachments of time and the laws of political gravitation .	5	0:42	write law be a // record of the state of party and opinion at the time when they be make ; however faithful and just , they cast no spell over the encroachment of time and the law of political gravitation .	jj@_vvn nn2 vbr at1 jj_nn1 nn1 io at nn1 io nn2 cc nn1 ii at nnt1 rrq pphs2 vbdr vvn y rr jj cc rr y pphs2 vv0 at nn1 ii at nn2 io nnt1 cc at nn2 io jj nn1 y
record_nn	nn2	1834	1	fic_1834_7029.txt-401-36	 	I see thou art studying these evidences of years in my features as the forester examines the rings in the fallen tree to estimate its age, but these (pointing to the wrinkles) are records which years alone could not have wrought.	180:187	0:229	I see thou art studying these evidences of years in my features as the forester examines the rings in the fallen tree to estimate its age , but these ( pointing to the wrinkles ) are records which years alone could not have wrought .	36	0:45	i see thou art study these evidence of year in my feature as the forester examine the ring in the fall tree to estimate its age , but these ( point to the wrinkle ) be record which year alone could not have work .	ppis1 vv0 ppy nn1 vvg dd2 nn2 io nnt2 ii appge nn2 ii_csa at nn1 vvz at nn2 ii at jj% nn1 to vvi appge nn1 y ccb dd2 y vvg ii at nn2 y vbr nn2 ddq nnt2 jj vm xx vhi vvn y
