lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
risk_nn	nn1	1836	1	fic_1836_9497.txt-695-27	 	Mourad Ha, ha, poor Alcouz, it goes hard with you since you would pull your head out of the noose, even at the risk of choking yourself.	111:115	0:136	Mourad Ha , ha , poor Alcouz , it goes hard with you since you would pull your head out of the noose , even at the risk of choking yourself .	27	0:32	mourad ha , ha , poor alcouz , it go hard with you since you would pull your head out of the noose , even at the risk of choke yourself .	nn1 uh y uh y jj np1_<sub> y pph1 vvz rr_jj iw ppy cs ppy vm vvi appge nn1 ii21 ii22 at nn1 y rr ii at nn1 io vvg ppx1 y
risk_nn	nn1	1856	1	fic_1856_2367.txt-2709-6	 	Hunger tempted him to run the risk of exposure.	30:34	0:47	Hunger tempted him to run the risk of exposure .	6	0:10	hunger tempt him to run the risk of exposure .	nn1 vvd_vvn ppho1 to vvi at nn1 io nn1 y
risk_nn	nn1	1835	1	fic_1835_1103.txt-26-31	 	In a minute we were joined by her husband, who grasped my hand with warm feeling, or rather with the emotion one ought to feel who had witnessed the risk he had just run of losing an angel.	149:153	0:189	In a minute we were joined by her husband , who grasped my hand with warm feeling , or rather with the emotion one ought to feel who had witnessed the risk he had just run of losing an angel .	31	0:41	in a minute we be join by her husband , who grasp my hand with warm feel , or rather with the emotion one ought to feel who have witness the risk he have just run of lose an angel .	ii at1 nnt1 ppis2 vbdr vvn ii appge nn1 y pnqs vvd appge nn1 iw jj nn1 y cc rr@ iw at nn1 pn1 vmk to vvi pnqs vhd vvn at nn1 pphs1 vhd rr vvn_nn1_vv0 io vvg at1 nn1 y
risk_nn	nn1_vv0	1839	1	fic_1839_7477.txt-6475-44	 	But, with blindfold eyes, To seal conspiracy, pass desperate pledge With a mere stranger, sooth to say, whose name Bore not its old repute, whose fortunes seemed Given o'er to ruin, had not less been frenzy Than risk, for nought, my life on raging seas, Or, for the fallen, leap a precipice.	212:216	0:291	But , with blindfold eyes , To seal conspiracy , pass desperate pledge With a mere stranger , sooth to say , whose name Bore not its old repute , whose fortunes seemed Given o'er to ruin , had not less been frenzy Than risk , for nought , my life on raging seas , Or , for the fallen , leap a precipice .	44	0:65	but , with blindfold eye , to seal conspiracy , pass desperate pledge with a mere stranger , sooth to say , whose name bore not its old repute , whose fortune seem give over to ruin , have not less be frenzy than risk , for nought , my life on raging sea , or , for the fall , leap a precipice .	ccb y iw nn1_jj@ nn2 y to vvi nn1 y vv0 jj nn1 iw at1 jj nn1 y nn1 to vvi y ddqge nn1 vvd_vv0_nn1 xx appge jj nn1 y ddqge nn2 vvd vvn rp to vvi y vhd xx dar_rrr vbn nn1 csn nn1_vv0 y if_cs% pn1 y appge nn1 ii jj_vvg nn2 y cc y if at jj%_vvn y vv0 at1 nn1 y
risk_nn	nn1	1859	1	nf_1859_748098.txt-3007-26	 	There never were more peaceful places than our citizen armories, where our citizen soldiers assemble to carry on the picturesque part of war, without risk or peril.	150:154	0:164	There never were more peaceful places than our citizen armories , where our citizen soldiers assemble to carry on the picturesque part of war , without risk or peril .	26	0:30	there never be more peaceful place than our citizen armories , where our citizen soldier assemble to carry on the picturesque part of war , without risk or peril .	rl_ex rr vbdr rgr jj nn2 csn appge nn1 nn2 y cs_rrq appge nn1 nn2 vv0 to vvi rp at jj nn1 io nn1 y iw nn1 cc nn1 y
risk_nn	nn1	1834	1	mag_1834_554274.txt-303-2	 	At the risk of repeating what may be already quite familiar, we will give another example, which is equalled, we think, by few // in the whole compass of English poetry.	7:11	0:169	At the risk of repeating what may be already quite familiar , we will give another example , which is equalled , we think , by few // in the whole compass of English poetry .	2	0:36	at the risk of repeat what may be already quite familiar , we will give another example , which be equal , we think , by few // in the whole compass of english poetry .	ii at nn1 io vvg_jj ddq vm vbi rr rg jj y ppis2 vm vvi dd1 nn1 y ddq vbz vvn y ppis2 vv0 y ii da2 nn2_<sub> ii at jj nn1 io jj_nn1 nn1 y
risk_nn	nn1	1827	1	fic_1827_7169.txt-1435-11	 	Now Jan, although he ought to have known of the risk he was at of certain punishment for his crime, for had he tasked his memory he would have recollected how Hendrick Jansen, in the days of Wouter Van Twiller, was sentenced for scandalizing the governor to a heavy penalty, namely, to ride with face to the tail, behind the town crier, on a jackass through the principal streets, the libeller having a bridle in his mouth, a bunch of rods under his arm, and an appropriate label on his breast, and acknowledge that he lied falsely " dat de exegellenge did niet wears rood broeks nor was grate mit hish plack frouw. "	48:52	0:617	Now Jan , although he ought to have known of the risk he was at of certain punishment for his crime , for had he tasked his memory he would have recollected how Hendrick Jansen , in the days of Wouter Van Twiller , was sentenced for scandalizing the governor to a heavy penalty , namely , to ride with face to the tail , behind the town crier , on a jackass through the principal streets , the libeller having a bridle in his mouth , a bunch of rods under his arm , and an appropriate label on his breast , and acknowledge that he lied falsely " dat de exegellenge did niet wears rood broeks nor was grate mit hish plack frouw . "	11	0:127	now jan , although he ought to have know of the risk he be at of certain punishment for his crime , for have he task his memory he would have recollect how hendrick jansen , in the day of wouter van twiller , be sentence for scandalize the governor to a heavy penalty , namely , to ride with face to the tail , behind the town crier , on a jackass through the principal street , the libeller have a bridle in his mouth , a bunch of rod under his arm , and an appropriate label on his breast , and acknowledge that he lie falsely " that de exegellenge do niet wear rood broeks nor be grate mit hish plack frouw . "	rt_cs% np1@_npm1 y cs pphs1 vmk to vhi vvn io at nn1 pphs1 vbdz ii io jj nn1 if appge nn1 y if vhd pphs1 vvn appge nn1 pphs1 vm vhi vvn@ rrq np1 np1 y ii at nnt2 io np1 np1 np1_<sub> y vbdz vvn if vvg at nn1 ii at1 jj nn1 y rex y to vvi iw nn1 ii at nn1 y ii at nn1 nn1 y ii at1 nn1 ii at jj_nn1 nn2 y at nn1_<sub> vhg at1 nn1 ii appge nn1 y at1 nn1 io nn2 ii appge nn1 y cc at1 jj nn1 ii appge nn1 y cc vv0 cst pphs1 vvd rr " dd1 np1_fw nn1_<sub> vdd vvi nn2@ vv0 nn2_<sub> cc vbdz nn1 vv0_nn1 jj_vv0 nn1 nn1_<sub> y "
risk_nn	nn1	1852	1	nf_1852_771569.txt-554-1	 	The risk of detention in such a region can be understood by all; but few, perhaps, will appreciate the feeling of mingled passion and regret with which the leading vessel in such a mission as we had in hand found herself obliged to wait to close her consort, when all was water ahead, and the chances of it remaining so were but slight.	4:8	0:336	The risk of detention in such a region can be understood by all ; but few , perhaps , will appreciate the feeling of mingled passion and regret with which the leading vessel in such a mission as we had in hand found herself obliged to wait to close her consort , when all was water ahead , and the chances of it remaining so were but slight .	1	0:69	the risk of detention in such a region can be understand by all ; but few , perhaps , will appreciate the feel of mingle passion and regret with which the leading vessel in such a mission as we have in hand find herself oblige to wait to close her consort , when all be water ahead , and the chance of it remain so be but slight .	at nn1 io nn1 ii da at1 nn1 vm vbi vvn ii db y ccb da2 y rr y vm vvi at nn1 io jj nn1 cc vv0_nn1 iw ddq at jj nn1 ii da at1 nn1 csa ppis2 vhd ii nn1 vvd_vvn ppx1 vvn to vvi to vvi appge nn1 y cs_rrq db vbdz nn1 rl y cc at nn2 io pph1 vvg_jj rr vbdr ccb jj y
risk_nn	nn2	1839	1	fic_1839_7336.txt-2130-30	 	' No, no, Neshobee, it is impossible, ' replied Alma, after reflecting a moment on the proposal of her friend, who had run such risks to rescue her.	128:133	0:148	' No , no , Neshobee , it is impossible , ' replied Alma , after reflecting a moment on the proposal of her friend , who had run such risks to rescue her .	30	0:35	' no , no , neshobee , it be impossible , ' reply alma , after reflect a moment on the proposal of her friend , who have run such risk to rescue her .	"@_ge uh y uh y np1_<sub> y pph1 vbz jj y ge_"@ vvd np1 y ii vvg at1 nn1 ii at nn1 io appge nn1 y pnqs vhd vvn da nn2 to vvi ppho1 y
risk_nn	nn1	1827	1	mag_1827_553793.txt-242-1	 	the risk, while those to whom he is indebted, may feel the same doubts of him, have the same difficulty of transfer, and be also in their turn exposed to the same troubles in their transactions with others.	4:8	0:206	the risk , while those to whom he is indebted , may feel the same doubts of him , have the same difficulty of transfer , and be also in their turn exposed to the same troubles in their transactions with others .	1	0:43	the risk , while those to whom he be indebted , may feel the same doubt of him , have the same difficulty of transfer , and be also in their turn expose to the same trouble in their transaction with other .	at nn1 y cs dd2 ii pnqo pphs1 vbz jj y vm vvi at da nn2 io ppho1 y vh0 at da nn1 io nn1 y cc vbi rr ii appge nn1 vvn_vvd ii at da nn2 ii appge nn2 iw nn2 y
risk_nn	nn1	1852	1	nf_1852_771569.txt-687-11	 	Sometimes a bear would come in sight, and then his risk of being shot was not small, for twenty keen hands were out after the skin: it had been promised as a gage d'amour by one to his betrothed; to a sister by another; a third intended to open the purse-strings of a hard-hearted parent by such a proof of regard; and not a few were to go to the First Lord with it, in exchange for a piece of parchment, if he would not object to the	51:55	0:434	Sometimes a bear would come in sight , and then his risk of being shot was not small , for twenty keen hands were out after the skin : it had been promised as a gage d'amour by one to his betrothed ; to a sister by another ; a third intended to open the purse-strings of a hard-hearted parent by such a proof of regard ; and not a few were to go to the First Lord with it , in exchange for a piece of parchment , if he would not object to the	11	0:96	sometimes a bear would come in sight , and then his risk of be shoot be not small , for twenty keen hand be out after the skin : it have be promise as a gage d'amour by one to his betrothed ; to a sister by another ; a third intend to open the purse-string of a hard-hearted parent by such a proof of regard ; and not a few be to go to the first lord with it , in exchange for a piece of parchment , if he would not object to the	rt at1 nn1 vm vvi ii nn1 y cc rt appge nn1 io vbg vvn vbdz xx jj_rr% y if mc jj nn2 vbdr rp ii_cs at nn1 y pph1 vhd vbn vvn ii at1 nn1 nn1_vv0 ii pn1_mc1 ii appge jj@ y ii at1 nn1 ii dd1 y at1 md vvn_vvd to vvi at nn2 io at1 jj nn1 ii da at1 nn1 io nn1 y cc xx at1 da2 vbdr to vvi ii at md nn1 iw pph1 y ii nn1 if at1 nn1 io nn1 y cs pphs1 vm xx vvi ii at
risk_nn	nn1	1853	1	mag_1853_555862.txt-450-20	 	not exalt the human mind by recalling the names of Lord Bacon and of Robert Hall, but at the risk of hearing bribery laid at the door of the one, and opiumeating at that of the other.	93:97	0:183	not exalt the human mind by recalling the names of Lord Bacon and of Robert Hall , but at the risk of hearing bribery laid at the door of the one , and opiumeating at that of the other .	20	0:40	not exalt the human mind by recall the name of lord bacon and of robert hall , but at the risk of hear bribery lay at the door of the one , and opiumeating at that of the other .	xx vvi at jj_nn1 nn1 ii vvg at nn2 io nnb np1 cc io np1 nn1 y ccb ii at nn1 io vvg_nn1 nn1 vvn_vvd ii at nn1 io at pn1_mc1 y cc vvg_<sub> ii dd1 io at jj_nn1@ y
risk_nn	nn1	1834	1	fic_1834_2652.txt-5083-21	 	Besides, if we keep the look-out to-morrow, as we shall, we can settle the business without any such risk. "	101:105	0:108	Besides , if we keep the look-out to-morrow , as we shall , we can settle the business without any such risk . "	21	0:24	besides , if we keep the look-out tomorrow , as we shall , we can settle the business without any such risk . "	rr y cs ppis2 vv0 at nn1 rt y csa ppis2 vm y ppis2 vm vvi at nn1 iw dd da nn1 y "
risk_nn	nn1	1852	1	fic_1852_2477.txt-2210-8	 	" I know there is; and the risk increases with every moment of delay. "	27:31	0:71	" I know there is ; and the risk increases with every moment of delay . "	8	0:17	" i know there be ; and the risk increase with every moment of delay . "	" ppis1 vv0 ex_rl vbz y cc at nn1 vvz_nn2 iw at1 nn1 io nn1 y "
risk_nn	nn1	1838	1	fic_1838_7253.txt-2419-20	 	When once properly cured, they can be kept in a dry place for two or three years without any risk; but they should be examined once in every few months, say four times a year, to see if any dampness is likely to affect them. "	93:97	0:226	When once properly cured , they can be kept in a dry place for two or three years without any risk ; but they should be examined once in every few months , say four times a year , to see if any dampness is likely to affect them . "	20	0:51	when once properly cure , they can be keep in a dry place for two or three year without any risk ; but they should be examine once in every few month , say four time a year , to see if any dampness be likely to affect them . "	cs_rrq rr rr vvn_vvd y pphs2 vm vbi vvn ii at1 jj nn1 if mc cc mc nnt2 iw dd nn1 y ccb pphs2 vm vbi vvn rr ii at1 da2 nnt2 y vv0 mc nnt2 at1 nnt1 y to vvi csw@_cs dd nn1 vbz jj to vvi ppho2 y "
risk_nn	nn1	1833	1	mag_1833_554231.txt-975-40	 	It will go bard with Mr. Fidler, if be do not attain the same eminence in physiology with the prettiest piece of flesh in Messina; ' and we think that, at all events, be runs no risk of not being written down, in the way that seems to have been considered most desirable by that celebrated guardian of the night.	178:182	0:312	It will go bard with Mr. Fidler , if be do not attain the same eminence in physiology with the prettiest piece of flesh in Messina ; ' and we think that , at all events , be runs no risk of not being written down , in the way that seems to have been considered most desirable by that celebrated guardian of the night .	40	0:66	it will go bard with mr.- fidler , if be do not attain the same eminence in physiology with the pretty piece of flesh in messina ; ' and we think that , at all event , be run no risk of not be write down , in the way that seem to have be consider most desirable by that celebrate guardian of the night .	pph1 vm vvi nn1 iw nnb np1 y cs vbi vd0 xx vvi at da nn1 ii nn1 iw at jjt nn1 io nn1 ii np1 y ge cc ppis2 vv0 cst_dd1 y ii db nn2 y vbi nn2 at nn1 io xx vbg vvn rp y ii at nn1 cst_dd1 vvz to vhi vbn vvn dat_rgt jj ii dd1 jj nn1 io at nnt1 y
risk_nn	nn1	1828	1	fic_1828_7370.txt-1021-8	 	Stand aside, -- I will take the risk.	32:36	0:37	Stand aside , -- I will take the risk .	8	0:10	stand aside , -- i will take the risk .	vv0 rl y z ppis1 vm vvi at nn1 y
risk_nn	nn1	1850	1	fic_1850_7171.txt-8092-29	 	Thirdly, as a matter of expediency, it is better to avail one's self of a favorable wind and general convoy to fame, than run the risk of being becalmed, and perhaps devoured, on some private and unknown route.	130:134	0:210	Thirdly , as a matter of expediency , it is better to avail one 's self of a favorable wind and general convoy to fame , than run the risk of being becalmed , and perhaps devoured , on some private and unknown route .	29	0:45	thirdly , as a matter of expediency , it be better to avail one 's self of a favorable wind and general convoy to fame , than run the risk of be becalmed , and perhaps devour , on some private and unknown route .	rr y ii at1 nn1 io nn1 y pph1 vbz jjr to vvi pn1 ge nn1 io at1 jj nn1 cc jj_nn1 nn1 ii nn1 y csn vv0_vvn at nn1 io vbg jj y cc rr vvn_vvd y ii dd jj_nn1@ cc jj nn1 y
