lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
word_nn	nn1	1835	1	fic_1835_5605.txt-410-14	 	Young gentlemen, have a couple of eighteen-pound shot got up; pass the word, there, for the sail-maker's mate.	71:75	0:110	Young gentlemen , have a couple of eighteen-pound shot got up ; pass the word , there , for the sail-maker 's mate .	14	0:24	young gentleman , have a couple of eighteen-pound shot get up ; pass the word , there , for the sail-maker 's mate .	jj nn2 y vh0 at1 nn1 io jj_nn1 nn1 vvd_vvn rp y vv0 at nn1 y rl y if at nn1_<sub> ge nn1 y
word_nn	nn2	1853	1	fic_1853_9200.txt-1243-9	 	The agony which shook him was too deep for words.	43:48	0:49	The agony which shook him was too deep for words .	9	0:11	the agony which shake him be too deep for word .	at nn1 ddq vvd ppho1 vbdz rg rr_jj if nn2 y
word_nn	nn1	1843	1	fic_1843_7208.txt-6764-20	 	I know, " said Hobbleshank, pushing his open palm toward Puffer Hopkins, " don't say a word; I know all about it.	87:91	0:113	I know , " said Hobbleshank , pushing his open palm toward Puffer Hopkins , " do n't say a word ; I know all about it .	20	0:28	i know , " say hobbleshank , push his open palm toward puffer hopkins , " do n't say a word ; i know all about it .	ppis1 vv0 y " vvd np1_<sub> y vvg appge jj nn1 ii np1 np1 y " vd0 xx vvi at1 nn1 y ppis1 vv0 db_rr@ ii pph1 y
word_nn	nn1	1834	1	fic_1834_7252.txt-510-4	 	This day I sent word to Kincaid and old Chambers, that Andrews was in the mountains, and they informed his father-in-law, who immediately went out for him, and found him and Chambers at the forks of the caon.	16:20	0:208	This day I sent word to Kincaid and old Chambers , that Andrews was in the mountains , and they informed his father-in-law , who immediately went out for him , and found him and Chambers at the forks of the caon .	4	0:43	this day i send word to kincaid and old chambers , that andrews be in the mountain , and they inform his father-in-law , who immediately go out for him , and find him and chambers at the fork of the caon .	dd1 nnt1 ppis1 vvd nn1 ii np1 cc jj np1_nn2@ y cst np1 vbdz ii at nn2 y cc pphs2 vvd appge nn1 y pnqs rr vvd rp if ppho1 y cc vvd ppho1 cc np1_nn2@ ii at nn2 io at nn1 y
word_nn	nn1	1824	1	nf_1824_747448.txt-1102-17	 	/q/ " Few and short were the prayers we said, " And we spoke not a word of sorrow; " But we stedfastly gazed on the face of the dead, " And we bitterly thought of the moiTow. "	67:71	0:176	/q/ " Few and short were the prayers we said , " And we spoke not a word of sorrow ; " But we stedfastly gazed on the face of the dead , " And we bitterly thought of the moiTow . "	17	0:43	/q/ " few and short be the prayer we say , " and we speak not a word of sorrow ; " but we stedfastly gaze on the face of the dead , " and we bitterly think of the moitow . "	nn1_<sub> " da2 cc jj_rr@ vbdr at nn2 ppis2 vvd y " cc ppis2 vvd xx at1 nn1 io nn1 y " ccb ppis2 rr_<sub> vvd_vvn@ ii at nn1 io at jj y " cc ppis2 rr vvn_nn1_vvd io at nn1_<sub> y "
word_nn	nn2	1838	1	fic_1838_7145.txt-401-6	 	mark, I say, my words, for they are of the Lord -- the next campaign shall be	16:21	0:77	mark , I say , my words , for they are of the Lord -- the next campaign shall be	6	0:20	mark , i say , my word , for they be of the lord -- the next campaign shall be	vv0_nn1 y ppis1 vv0 y appge nn2 y cs pphs2 vbr io at nn1_np1 z at md nn1 vm vbi
word_nn	nn1	1852	1	fic_1852_2751.txt-7461-23	 	Was it the unrecognized, unallowed sense, that the one of all the world who most longed to have him obey that word, might be to- day beyond seeing him obey it -- for ever?	110:114	0:171	Was it the unrecognized , unallowed sense , that the one of all the world who most longed to have him obey that word , might be to- day beyond seeing him obey it -- for ever ?	23	0:38	be it the unrecognized , unallowed sense , that the one of all the world who most long to have him obey that word , might be to-- day beyond see him obey it -- for ever ?	vbdz pph1 at jj y jj nn1 y cst at mc1 io db at nn1 pnqs rrt@ vvn to vhi ppho1 vv0 dd1_cst nn1 y vm vbi jj nnt1 ii vvg ppho1 vvi pph1 z rr21 rr22 y
word_nn	nn2	1860	1	fic_1860_9168.txt-3768-13	 	He was standing without the door, so near that he heard the words, and in a moment he was at her side.	60:65	0:102	He was standing without the door , so near that he heard the words , and in a moment he was at her side .	13	0:25	he be stand without the door , so near that he hear the word , and in a moment he be at her side .	pphs1 vbdz vvg iw at nn1 y rr_rg vv0@_rl_jj@ cst pphs1 vvd at nn2 y cc ii at1 nn1 pphs1 vbdz ii appge nn1 y
word_nn	nn2	1856	1	fic_1856_3447.txt-6922-16	 	I scarcely ever spoke without watching the countenance of Ernest to see the effect of my words.	89:94	0:95	I scarcely ever spoke without watching the countenance of Ernest to see the effect of my words .	16	0:18	i scarcely ever speak without watch the countenance of ernest to see the effect of my word .	ppis1 rr rr vvd iw vvg at nn1 io np1 to vvi at nn1 io appge nn2 y
word_nn	nn1	1848	1	nf_1848_747434.txt-1185-25	 	Others suppose it was because the court had cognizance of a certain crime, the Latin name of which has a close affinity with the word star.	129:133	0:139	Others suppose it was because the court had cognizance of a certain crime , the Latin name of which has a close affinity with the word star .	25	0:28	other suppose it be because the court have cognizance of a certain crime , the latin name of which have a close affinity with the word star .	nn2 vv0 pph1 vbdz cs at nn1 vhd nn1 io at1 jj nn1 y at jj_nn1 nn1 io ddq vhz at1 jj nn1 iw at nn1 nn1 y
word_nn	nn1	1851	1	fic_1851_1253.txt-715-25	 	But the monarch had grown moody and thoughtful, as we have seen, when he realized that his slave loved another; and every word she now uttered in his behalf was bitterness to his very soul.	122:126	0:189	But the monarch had grown moody and thoughtful , as we have seen , when he realized that his slave loved another ; and every word she now uttered in his behalf was bitterness to his very soul .	25	0:39	but the monarch have grow moody and thoughtful , as we have see , when he realize that his slave love another ; and every word she now utter in his behalf be bitterness to his very soul .	ccb at nn1 vhd vvn jj cc jj y csa ppis2 vh0 vvn y cs_rrq pphs1 vvd cst appge nn1 vvd_vvn dd1 y cc at1 nn1 pphs1 rt vvn_vvd ii_rp@ appge nn1 vbdz nn1 ii appge jj@ nn1 y
word_nn	nn2	1853	1	fic_1853_9200.txt-674-17	 	I described my impressions frankly, and with what language I could command, concluding with the words, " In short, I do not like him.	96:101	0:133	I described my impressions frankly , and with what language I could command , concluding with the words , " In short , I do not like him .	17	0:29	i describe my impression frankly , and with what language i could command , conclude with the word , " in short , i do not like him .	ppis1 vvd appge nn2 rr y cc iw ddq nn1 ppis1 vm vvi y vvg iw at nn2 y " rr21 rr22 y ppis1 vd0 xx vvi ppho1 y
word_nn	nn2	1844	1	nf_1844_772692.txt-1792-1	 	The words of the last command have fallen from the lips of the ascended Saviour, and the apostles assemble to deliberate how they shall carry them into execution.	4:9	0:162	The words of the last command have fallen from the lips of the ascended Saviour , and the apostles assemble to deliberate how they shall carry them into execution .	1	0:30	the word of the last command have fall from the lip of the ascend saviour , and the apostle assemble to deliberate how they shall carry them into execution .	at nn2 io at md nn1 vh0 vvn ii at nn2 io at jj@ nn1 y cc at nn2 vv0 to vvi rrq pphs2 vm vvi ppho2 ii nn1 y
word_nn	nn1	1848	1	fic_1848_7193.txt-7814-10	 	Protestant, it is your boast to read the written word of God.	49:53	0:61	Protestant , it is your boast to read the written word of God .	10	0:14	protestant , it be your boast to read the write word of god .	nn1_jj y pph1 vbz appge nn1 to vvi at jj@ nn1 io np1_nn1@ y
word_nn	nn2	1840	1	nf_1840_771215.txt-1620-23	 	do not possess, and promising no fidelity, that circumstances may forbid you to manifest, and you will then speak the words due to merit, perfectly free from falsity, and acceptable in the sight of God.	118:123	0:202	do not possess , and promising no fidelity , that circumstances may forbid you to manifest , and you will then speak the words due to merit , perfectly free from falsity , and acceptable in the sight of God .	23	0:41	do not possess , and promise no fidelity , that circumstance may forbid you to manifest , and you will then speak the word due to merit , perfectly free from falsity , and acceptable in the sight of god .	vd0 xx vvi y cc vvg@ at nn1 y cst nn2 vm vvi ppy to vvi y cc ppy vm rt vvi at nn2 jj to vvi y rr jj_vv0@ ii nn1 y cc jj ii at nn1 io np1_nn1@ y
word_nn	nn2	1845	1	fic_1845_8969.txt-998-99	 	Yes, to my brethren now struggling in the field, to the unborn millions who from this land in future shall send up their orisons of praise for liberty and independence; to all who, free themselves, shall think of those who made them so, and bless me too, perhaps, among them, as a martyr-patriot; to them all -- now when death looks me in the face, in shape the most appalling, yet unappalled myself, and true as is the heaven in which I trust -- these parting words I leave for legacy: Would that I had another life to give thee, O my country!	461:466	0:544	Yes , to my brethren now struggling in the field , to the unborn millions who from this land in future shall send up their orisons of praise for liberty and independence ; to all who , free themselves , shall think of those who made them so , and bless me too , perhaps , among them , as a martyr-patriot ; to them all -- now when death looks me in the face , in shape the most appalling , yet unappalled myself , and true as is the heaven in which I trust -- these parting words I leave for legacy : Would that I had another life to give thee , O my country !	99	0:119	yes , to my brother now struggle in the field , to the unborn millions who from this land in future shall send up their orisons of praise for liberty and independence ; to all who , free themselves , shall think of those who make them so , and bless me too , perhaps , among them , as a martyr-patriot ; to them all -- now when death look me in the face , in shape the most appalling , yet unappalled myself , and true as be the heaven in which i trust -- these part word i leave for legacy : would that i have another life to give thee , o my country !	uh y ii appge nn2 rt vvg ii at nn1 y ii at jj m pnqs ii dd1 nn1 ii nn1 vm vvi rp appge nn2 io nn1 if nn1 cc nn1 y ii db pnqs y vv0@ ppx2 y vm vvi io dd2 pnqs vvd ppho2 rr y cc vv0 ppio1 rr@_rg y rr y ii ppho2 y csa_ii at1 nn1_<sub> y ii ppho2 db z rt cs_rrq nn1 vvz ppio1 ii at nn1 y ii nn1 at rgt jj y rr vvn_<sub> ppx1 y cc jj csa vbz at nn1 ii ddq ppis1 vv0 z dd2 vvg_jj@ nn2 ppis1 vv0 if nn1 y vm cst ppis1 vhd dd1 nn1 to vvi ppy y uh appge nn1 !
word_nn	nn2	1855	1	mag_1855_566562.txt-146-31	 	that men should do to you, do ye even so unto them, ' men listen with the highest admiration, so long as their attention is called to the words, as embodying a mere intellectual proposition.	138:143	0:190	that men should do to you , do ye even so unto them , ' men listen with the highest admiration , so long as their attention is called to the words , as embodying a mere intellectual proposition .	31	0:40	that man should do to you , do ye even so unto them , ' man listen with the high admiration , so long as their attention be call to the word , as embody a mere intellectual proposition .	cst nn2 vm vdi ii ppy y vd0 ppy rr21 rr22 ii ppho2 y ge nn2 vv0 iw at jjt nn1 y rg rr_jj csa appge nn1 vbz vvn ii at nn2 y csa vvg at1 jj jj_nn1 nn1 y
word_nn	nn2	1848	1	fic_1848_7265.txt-246-19	 	" You say that with rather guess feelings, Hal, from what I said, the very same words, down at the pond, " replied Clapham.	80:85	0:123	" You say that with rather guess feelings , Hal , from what I said , the very same words , down at the pond , " replied Clapham .	19	0:30	" you say that with rather guess feeling , hal , from what i say , the very same word , down at the pond , " reply clapham .	" ppy vv0 cst_dd1 iw rr@_rg vv0 nn2 y np1 y ii ddq ppis1 vvd y at rg da nn2 y rp ii at nn1 y " vvd np1 y
word_nn	nn1	1854	1	fic_1854_8328.txt-3278-15	 	he cast his vengeful eye Upon a group of captives nigh, Replying to the word of fear, And anguished cry with brutal jeer -- Surveying chain-encircled limb, And gaping wound with visage grim, Then murmuring with purpose dark -- " A pretty banquet for the shark! "	72:76	0:262	he cast his vengeful eye Upon a group of captives nigh , Replying to the word of fear , And anguished cry with brutal jeer -- Surveying chain-encircled limb , And gaping wound with visage grim , Then murmuring with purpose dark -- " A pretty banquet for the shark ! "	15	0:52	he cast his vengeful eye upon a group of captive nigh , reply to the word of fear , and anguished cry with brutal jeer -- survey chain-encircled limb , and gaping wind with visage grim , then murmur with purpose dark -- " a pretty banquet for the shark ! "	pphs1 vvd@ appge jj nn1 ii at1 nn1 io nn2 rl y vvg ii at nn1 io nn1 y cc jj nn1 iw jj nn1 z vvg jj_<sub> nn1 y cc jj nn1 iw nn1 jj y rt vvg iw nn1 nn1_jj z " zz1 jj nn1 if at nn1 ! "
word_nn	nn1	1848	1	fic_1848_7193.txt-10503-30	 	That lovely girl, whose face I had often seen, in the forest, although -- as she swept so proudly by me -- I had never exchanged a word with her. "	131:135	0:147	That lovely girl , whose face I had often seen , in the forest , although -- as she swept so proudly by me -- I had never exchanged a word with her . "	30	0:35	that lovely girl , whose face i have often see , in the forest , although -- as she sweep so proudly by me -- i have never exchange a word with her . "	dd1 jj nn1 y ddqge nn1 ppis1 vhd rr vvn y ii at nn1 y cs z csa pphs1 vvd rg rr ii ppio1 z ppis1 vhd rr vvn at1 nn1 iw ppho1 y "
word_nn	nn2	1856	1	mag_1856_590818.txt-123-3	 	Here are the words of the platform: " Resolved, That we recognize the right of the people of all the territories, including Kansas and Nebraska, acting through the fairly-expressed	13:18	0:180	Here are the words of the platform : " Resolved , That we recognize the right of the people of all the territories , including Kansas and Nebraska , acting through the fairly-expressed	3	0:33	here be the word of the platform : " resolve , that we recognize the right of the people of all the territory , including kansas and nebraska , act through the fairly-expressed	rl vbr at nn2 io at nn1 y " vvn_vvd_jj@ y cst ppis2 vv0 at nn1 io at nn io db at nn2 y ii np1 cc np1 y vvg ii at jj_<sub>
