lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
ball_nn	nn1	1851	1	fic_1851_2538.txt-2611-9	 	There was but a small quantity of powder and ball, few tools to build entrenchments with, and a great deficiency of provisions and clothes for the soldiers.	45:49	0:156	There was but a small quantity of powder and ball , few tools to build entrenchments with , and a great deficiency of provisions and clothes for the soldiers .	9	0:30	there be but a small quantity of powder and ball , few tool to build entrenchment with , and a great deficiency of provision and clothes for the soldier .	ex vbdz ccb at1 jj nn1 io nn1 cc nn1 y da2 nn2 to vvi nn2 iw y cc at1 jj nn1 io nn2 cc nn2 if at nn2 y
ball_nn	nn2	1847	1	fic_1847_1094.txt-1927-13	 	, and studded here and there with the ripened spheres, like gilded balls.	67:72	0:73	, and studded here and there with the ripened spheres , like gilded balls .	13	0:15	, and stud here and there with the ripened sphere , like gilded ball .	y cc vvd rl cc rl iw at jj% nn2 y ii jj nn2 y
ball_nn	nn2	1834	1	fic_1834_7252.txt-1700-18	 	such strange things as they know how to make, -- they know everything, -- calico and balls of thread, and a thousand things more strange. '	85:90	0:139	such strange things as they know how to make , -- they know everything , -- calico and balls of thread , and a thousand things more strange . '	18	0:30	such strange thing as they know how to make , -- they know everything , -- calico and ball of thread , and a thousand thing more strange . '	da jj nn2 csa pphs2 vv0 rrq to vvi y z pphs2 vv0 pn1 y z nn1 cc nn2 io nn1 y cc at1 m nn2 rgr jj y "@_ge
ball_nn	nn1	1854	1	fic_1854_9218.txt-3589-17	 	He never came near me all day, and toward night I began to dress for the ball.	73:77	0:78	He never came near me all day , and toward night I began to dress for the ball .	17	0:19	he never come near me all day , and toward night i begin to dress for the ball .	pphs1 rr vvd ii ppio1 db nnt1 y cc ii nnt1 ppis1 vvd to vvi if at nn1 y
ball_nn	nn1	1848	1	fic_1848_7005.txt-128-33	 	The lid of one eye was closed entirely; and that of the other so much so, as just to leave a dull, lead-colored rim of the lower part of the ball visible.	141:145	0:154	The lid of one eye was closed entirely ; and that of the other so much so , as just to leave a dull , lead-colored rim of the lower part of the ball visible .	33	0:36	the lid of one eye be close entirely ; and that of the other so much so , as just to leave a dull , lead-colored rim of the low part of the ball visible .	at nn1 io mc1 nn1 vbdz vvn rr y cc dd1 io at jj_nn1@ rg da1_rr rr y csa_rg@ rr_jj@ to vvi at1 jj y jj nn1 io at jjr nn1 io at nn1 jj y
ball_nn	nn2	1856	1	mag_1856_576366.txt-108-8	 	To be sure, he admitted, these balls were nothing to the times in spring, when the lumbermen came out of the woods, to these rural inns. "	31:36	0:138	To be sure , he admitted , these balls were nothing to the times in spring , when the lumbermen came out of the woods , to these rural inns . "	8	0:32	to be sure , he admit , these ball be nothing to the time in spring , when the lumbermen come out of the wood , to these rural inn . "	to vbi jj y pphs1 vvd y dd2 nn2 vbdr pn1 ii at nnt2 ii nn1 y cs_rrq at nn2 vvd ii21 ii22 at nn2 y ii dd2 jj nn2 y "
ball_nn	nn1	1859	1	fic_1859_9220.txt-2340-13	 	No, mother; if I do not mistake, the Bachelor's Ball comes up at another season; but however that may be, I am quite sure that any one of the score, to which we have	48:52	0:165	No , mother ; if I do not mistake , the Bachelor 's Ball comes up at another season ; but however that may be , I am quite sure that any one of the score , to which we have	13	0:41	no , mother ; if i do not mistake , the bachelor 's ball come up at another season ; but however that may be , i be quite sure that any one of the score , to which we have	uh y nn1 y cs ppis1 vd0 xx vvi y at np1_nn1 ge nn1 vvz rp ii dd1 nnt1 y ccb rr dd1_cst vm vbi y ppis1 vbm rg jj cst dd mc1 io at nn1 y ii ddq ppis2 vh0
ball_nn	nn1	1860	1	fic_1860_9165.txt-196-14	 	said Miss Gilbert; and out came a smart little chap with a smaller ball in his hand, and began walking obediently around the chalk circle next the sun. "	67:71	0:153	said Miss Gilbert ; and out came a smart little chap with a smaller ball in his hand , and began walking obediently around the chalk circle next the sun . "	14	0:32	say miss gilbert ; and out come a smart little chap with a small ball in his hand , and begin walk obediently around the chalk circle next the sun . "	vvd nnb np1 y cc rp vvd at1 jj jj nn1 iw at1 jjr nn1 ii appge nn1 y cc vvd vvg rr ii_rp at nn1 nn1 md at nn1 y "
ball_nn	nn1	1835	1	fic_1835_7272.txt-979-1	 	The ball is given in honour of her arrival, I hear. "	4:8	0:53	The ball is given in honour of her arrival , I hear . "	1	0:14	the ball be give in honor of her arrival , i hear . "	at nn1 vbz vvn ii nn1 io appge nn1 y ppis1 vv0 y "
ball_nn	nn2	1843	1	fic_1843_7074.txt-2889-5	 	i. e. potatoes rolled into balls as big as marbles, and baked brown.	27:32	0:68	i. e. potatoes rolled into balls as big as marbles , and baked brown .	5	0:15	i.- e. potato roll into ball as big as marble , and baked brown .	mc zz1 nn2 vvn_vvd ii nn2 rg jj csa nn2 y cc jj_vvd jj_nn1@ y
ball_nn	nn2	1839	1	fic_1839_7088.txt-3560-5	 	I believe a score of balls struck my person, yet they seemed to fall from my cloak harmlessly like hailstones. "	21:26	0:112	I believe a score of balls struck my person , yet they seemed to fall from my cloak harmlessly like hailstones . "	5	0:23	i believe a score of ball strike my person , yet they seem to fall from my cloak harmlessly like hailstone . "	ppis1 vv0 at1 nn1 io nn2 vvd_vvn appge nn1 y rr pphs2 vvd to vvi ii appge nn1 rr ii_jj@ nn2 y "
ball_nn	nn1	1835	1	mag_1835_554348.txt-508-19	 	The a-frighted birds fled swiftly, gathering themselves into a mass so dense, that it resembled a black ball.	104:108	0:109	The a-frighted birds fled swiftly , gathering themselves into a mass so dense , that it resembled a black ball .	19	0:21	the a-frighted bird flee swiftly , gather themselves into a mass so dense , that it resemble a black ball .	at jj_<sub> nn2 vvd_vvn rr y vvg ppx2 ii at1 nn1_jj rg_rr jj y cst pph1 vvd at1 jj nn1 y
