lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
donkey_nn	nn2	1838	1	nf_1838_747585.txt-481-57	 	Being far beyond the regular path for descending, and wishing to intercept the procession before its arrival at the burying ground, I had something like the wolf-race I had just beheld to get down in time; unluckily, I had sent Paul back to the place where we had left our cloaks, and donkeys, and the little girl, with directions to ride round the foot of the hill and meet me at the burying - - ground.	285:292	0:404	Being far beyond the regular path for descending , and wishing to intercept the procession before its arrival at the burying ground , I had something like the wolf-race I had just beheld to get down in time ; unluckily , I had sent Paul back to the place where we had left our cloaks , and donkeys , and the little girl , with directions to ride round the foot of the hill and meet me at the burying - - ground .	57	0:84	be far beyond the regular path for descend , and wish to intercept the procession before its arrival at the bury ground , i have something like the wolf-race i have just behold to get down in time ; unluckily , i have send paul back to the place where we have leave our cloak , and donkey , and the little girl , with direction to ride round the foot of the hill and meet me at the bury - - ground .	vbg rr_jj ii at jj nn1 if vvg_jj y cc vvg to vvi at nn1 ii_cs appge nn1 ii at jj%_vvg_nn1% nn1 y ppis1 vhd pn1 ii at nn1_<sub> ppis1 vhd rr vvn to vvi rp ii nnt1 y rr y ppis1 vhd vvn np1 nn1_rp ii at nn1 rrq ppis2 vhd vvn appge nn2 y cc nn2 y cc at jj nn1 y iw nn2 to vvi ii_rp at nn1 io at nn1 cc vv0 ppio1 ii at jj%_vvg_nn1% y_<sub> y_<sub> nn1_<sub> y
donkey_nn	nn1	1855	1	fic_1855_9053.txt-3687-7	 	The charcoal vender disappeared -- unhitched his donkey, and turned him with his head into the cart, his body being between the shafts, which position is considered absolutely essential to a valid sale of charcoal -- and this ceremony being gone through with, proceeded to fill the barrel which he afterwards brought in and emptied in the box prepared for it.	49:55	0:359	The charcoal vender disappeared -- unhitched his donkey , and turned him with his head into the cart , his body being between the shafts , which position is considered absolutely essential to a valid sale of charcoal -- and this ceremony being gone through with , proceeded to fill the barrel which he afterwards brought in and emptied in the box prepared for it .	7	0:66	the charcoal vender disappear -- unhitch his donkey , and turn him with his head into the cart , his body be between the shaft , which position be consider absolutely essential to a valid sale of charcoal -- and this ceremony be go through with , proceed to fill the barrel which he afterwards bring in and empty in the box prepare for it .	at nn1 nn1_vv0 vvd_jj@ z vvd_vvn appge nn1 y cc vvd ppho1 iw appge nn1 ii at nn1 y appge nn1 vbg ii at nn2 y ddq nn1_vv0@ vbz vvn rr jj ii at1 jj nn1 io nn1 z cc dd1 nn1 vbg vvn rp@ iw y vvd to vvi at nn1 ddq pphs1 rt vvd_vvn rp@_ii cc vvn_vvd ii at nn1 vvn if pph1 y
donkey_nn	nn1_np1	1843	1	nf_1843_748690.txt-1049-25	 	CHAPTER IX Badajoz -- Antonio the Gypsy -- Antonio's Proposal -- The Proposal Accepted -- Gypsy Breakfast -- Departure from Badajoz -- The Gypsy Donkey -- Merida -- The Ruined Wall -- The Crone -- The Land of the Moor - - The Black Men -- Life in the Desert -- The Supper.	145:151	0:272	CHAPTER IX Badajoz -- Antonio the Gypsy -- Antonio 's Proposal -- The Proposal Accepted -- Gypsy Breakfast -- Departure from Badajoz -- The Gypsy Donkey -- Merida -- The Ruined Wall -- The Crone -- The Land of the Moor - - The Black Men -- Life in the Desert -- The Supper .	25	0:55	chapter ix badajoz -- antonio the gypsy -- antonio 's proposal -- the proposal accepted -- gypsy breakfast -- departure from badajoz -- the gypsy donkey -- merida -- the ruin wall -- the crone -- the land of the moor - - the black man -- life in the desert -- the supper .	nn1 mc np1_vv0@ nn1_jj np1 at nn1 nn1_jj np1 ge nn1 nn1 at nn1 vvd_jj_vvn zz nn1 nn1 nn1_jj nn1 ii np1 nn1_jj at nn1 nn1_np1 nn1_jj np1_nn1@ nn1 at jj nn1 nn1 at nn1_np1 nn1 at nn1 io at nn1 y_<sub> y_<sub> dd_<sub> jj nn2 zz nn1 ii at nn1 nn1 at nn1 y
donkey_nn	nn2	1852	1	mag_1852_504526.txt-220-34	 	Their true character, however, very soon appeared; for, as they drew near, they were found to be a troop of laboring peasants of the neighborhood, mounted on peaceful donkeys, and coming down to the shore in search of salt; and so the alarm ended in a laugh.	167:174	0:258	Their true character , however , very soon appeared ; for , as they drew near , they were found to be a troop of laboring peasants of the neighborhood , mounted on peaceful donkeys , and coming down to the shore in search of salt ; and so the alarm ended in a laugh .	34	0:56	their true character , however , very soon appear ; for , as they draw near , they be find to be a troop of labor peasant of the neighborhood , mount on peaceful donkey , and come down to the shore in search of salt ; and so the alarm end in a laugh .	appge jj nn1 y rr y rg rr vvd_vvn@ y if y csa pphs2 vvd rl y pphs2 vbdr vvn to vbi at1 nn1 io vvg_jj@ nn2 io at nn1 y vvn_vvd ii jj nn2 y cc vvg rp ii at nn1 ii31 ii32 ii33 nn1 y cc rr_cs@ at nn1 vvn_vvd ii_rp@ at1 nn1@ y
donkey_nn	nn1	1843	1	nf_1843_748690.txt-1154-34	 	says the gypsy, and jumping upon its back, he puts it to its paces, first of all whispering something into its ears in Calo, and truly the paces of the donkey are most wonderful, such as I have never seen before. '	152:158	0:214	says the gypsy , and jumping upon its back , he puts it to its paces , first of all whispering something into its ears in Calo , and truly the paces of the donkey are most wonderful , such as I have never seen before . '	34	0:48	say the gypsy , and jump upon its back , he put it to its paces , first of all whisper something into its ear in calo , and truly the paces of the donkey be most wonderful , such as i have never see before . '	vvz at nn1 y cc vvg_nn1_jj ii appge nn1 y pphs1 vvz pph1 ii appge nn2 y md io db vvg_jj@ pn1 ii appge nn2 ii np1 y cc rr at nn2 io at nn1 vbr rgt jj y ii21 ii22 ppis1 vh0 rr vvn rt y "@_ge
donkey_nn	nn2	1838	1	nf_1838_747482.txt-1930-7	 	-- 13 /z/ end a number of donkeys, upon which they take a wholesome exercise, and acquire the elements of equitation at three sous a ride.	26:33	0:138	-- 13 /z/ end a number of donkeys , upon which they take a wholesome exercise , and acquire the elements of equitation at three sous a ride .	7	0:29	-- 13 /z/ end a number of donkey , upon which they take a wholesome exercise , and acquire the element of equitation at three sous a ride .	zz mc jj_nn1_vv0 nn1_vv0 at1 nn1 io nn2 y ii ddq pphs2 vv0 at1 jj nn1 y cc vv0 at nn2 io nn1 ii mc jj at1 nn1 y
donkey_nn	nn2	1859	1	nf_1859_748120.txt-0-25	 	@@748120 txt /q/itue of the Academy ot Music, but often kill time by dropping in at the shows of marvel lous beasts and five-legged donkeys on Chatham street.	132:139	0:158	@@748120 txt /q/itue of the Academy ot Music , but often kill time by dropping in at the shows of marvel lous beasts and five-legged donkeys on Chatham street .	25	0:30	## txt /q/itue of the academy ot music , but often kill time by drop in at the show of marvel lous beast and five-legged donkey on chatham street .	fo nnu nn1_<sub> io at nn1 jj nn1 y ccb rr vv0 nnt1 ii vvg rp@ ii at nn2 io nn1_vv0 jj nn2 cc jj nn2 ii np1 nn1 y
donkey_nn	nn2	1852	1	fic_1852_2751.txt-4862-10	 	My associates, without an exception, are boors and donkeys, not unfrequently combining the agreeable properties of both in one anomalous animal yclept a clown.	51:58	0:159	My associates , without an exception , are boors and donkeys , not unfrequently combining the agreeable properties of both in one anomalous animal yclept a clown .	10	0:28	my associate , without an exception , be boor and donkey , not unfrequently combine the agreeable property of both in one anomalous animal yclept a clown .	appge nn2 y iw at1 nn1 y vbr nn2 cc nn2 y xx rr_<sub> vvg at jj nn2 io db2_rr ii mc1 jj nn1 vv0_nn1 at1 nn1 y
donkey_nn	nn1	1859	1	fic_1859_270.txt-4207-53	 	Don't be silly and think you'll try To bother the colleges, when you die, With codicil this, and codicil that, That Knowledge may starve while Law grows fat; For there never was pitcher that wouldn't spill, And there's always a flaw in a donkey's will!	238:244	0:252	Do n't be silly and think you 'll try To bother the colleges , when you die , With codicil this , and codicil that , That Knowledge may starve while Law grows fat ; For there never was pitcher that would n't spill , And there 's always a flaw in a donkey 's will !	53	0:57	do n't be silly and think you will try to bother the college , when you die , with codicil this , and codicil that , that knowledge may starve while law grow fat ; for there never be pitcher that would n't spill , and there be always a flaw in a donkey 's will !	vd0 xx vbi jj cc vv0 ppy vm vvi to vvi at nn2 y cs_rrq ppy vv0 y iw nn1_vv0 dd1 y cc vv0 cst_dd1 y dd1 nn1 vm vvi cs nn1 vvz jj_nn1 y if rl rr vbdz nn1 cst_dd1 vm xx vvi y cc ex vbz rr at1 nn1 ii at1 nn1 ge nn1@ !
donkey_nn	nn2	1852	1	mag_1852_504502.txt-398-19	 	These arrangements had scarcely been effected before the crowd of pilgrims came on-men, women, and childrenmounted on donkeys, horses, camels, and mules, and	118:125	0:157	These arrangements had scarcely been effected before the crowd of pilgrims came on-men , women , and childrenmounted on donkeys , horses , camels , and mules , and	19	0:29	these arrangement have scarcely be effect before the crowd of pilgrim come on-men , woman , and childrenmounted on donkey , horse , camel , and mule , and	dd2 nn2 vhd rr vbn vvn ii_cs at nn1 io nn2 vvd nn2_<sub> y nn2 y cc vvd_<sub> ii_rp@ nn2 y nn2 y nn2 y cc nn2 y cc
