lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
fiction_nn	nn1	1828	1	nf_1828_747857.txt-439-40	 	Ludicrous and juvenile indeed, they would say, must be the credulity of any one sitting out to find somewhere, as a fact, what it requires the utmost of their inventive power but to figure out in fiction.	196:203	0:204	Ludicrous and juvenile indeed , they would say , must be the credulity of any one sitting out to find somewhere , as a fact , what it requires the utmost of their inventive power but to figure out in fiction .	40	0:42	ludicrous and juvenile indeed , they would say , must be the credulity of any one sit out to find somewhere , as a fact , what it require the utmost of their inventive power but to figure out in fiction .	jj_np1@ cc jj rr y pphs2 vm vvi y vm vbi at nn1 io dd mc1 vvg rp to vvi rl y csa_ii at1 nn1 y ddq pph1 vvz at nn1@_jj io appge jj nn1 ccb to vvi rp ii nn1 y
fiction_nn	nn1	1852	1	fic_1852_9031.txt-646-7	 	erroneous ones at that -- while historical fiction not only presents the skeleton to our view, but clothes upon it flesh and blood and soul, till it warms into being, and shadows forth the form and body of the time. '	43:50	0:217	erroneous ones at that -- while historical fiction not only presents the skeleton to our view , but clothes upon it flesh and blood and soul , till it warms into being , and shadows forth the form and body of the time . '	7	0:45	erroneous one at that -- while historical fiction not only present the skeleton to our view , but clothes upon it flesh and blood and soul , till it warm into be , and shadow forth the form and body of the time . '	jj nn2 ii dd1 z cs jj nn1 xx rr vvz at nn1 ii appge nn1 y ccb nn2 ii pph1 nn1 cc nn1 cc nn1 y cs pph1 vvz ii vbg_nn1% y cc nn2_vvz@ rr at nn1 cc nn1 io at nnt1 y "@_ge
fiction_nn	nn1	1843	1	fic_1843_7074.txt-24-28	 	Let the book pass for what it is worth: if taken for History, it will be thought I had a somewhat remarkable experience, if for Fiction, that I have tolerable Invention; and then my scull will be in the market -- for the booksellers in my lifetime, -- and the Phrenologists afterwards.	128:135	0:285	Let the book pass for what it is worth : if taken for History , it will be thought I had a somewhat remarkable experience , if for Fiction , that I have tolerable Invention ; and then my scull will be in the market -- for the booksellers in my lifetime , -- and the Phrenologists afterwards .	28	0:59	let the book pass for what it be worth : if take for history , it will be think i have a somewhat remarkable experience , if for fiction , that i have tolerable invention ; and then my scull will be in the market -- for the bookseller in my lifetime , -- and the phrenologist afterwards .	vv0 at nn1 vvi if ddq pph1 vbz ii_nn1@ y cs vvn if nn1 y pph1 vm vbi vvn ppis1 vhd at1 rr jj nn1 y cs_csw@ if nn1 y cst ppis1 vh0 jj nn1 y cc rt appge vv0 vm vbi ii at nn1 z if at nn2 ii appge nnt1 y z cc at nn2_np1 rt y
fiction_nn	nn1	1854	1	fic_1854_3384.txt-2026-7	 	Verily, there was more truth than fiction in these words.	34:41	0:57	Verily , there was more truth than fiction in these words .	7	0:12	verily , there be more truth than fiction in these word .	rr_np1@ y ex vbdz dar_rrr nn1 csn nn1 ii dd2 nn2 y
fiction_nn	nn1	1829	1	mag_1829_553971.txt-99-6	 	It occurs in fact and in fiction, and in either case it is of a high species.	25:32	0:77	It occurs in fact and in fiction , and in either case it is of a high species .	6	0:19	it occur in fact and in fiction , and in either case it be of a high species .	pph1 vvz ii nn1 cc ii nn1 y cc ii dd1 nn1 pph1 vbz io at1 jj nn y
fiction_nn	nn1	1859	1	nf_1859_747504.txt-3129-17	 	There is no question that J. Fenimoro Cooper held the very front rank as a writer of fiction; his popularity in this respect has had no parallel in this country.	85:92	0:161	There is no question that J. Fenimoro Cooper held the very front rank as a writer of fiction ; his popularity in this respect has had no parallel in this country .	17	0:32	there be no question that j.-a fenimoro cooper hold the very front rank as a writer of fiction ; his popularity in this respect have have no parallel in this country .	ex vbz at nn1 cst np1 np1_<sub> np1 vvd at jj jj_nn1 nn1 ii_csa at1 nn1 io nn1 y appge nn1 ii dd1 nn1 vhz vhn at nn1_jj ii dd1 nn1 y
fiction_nn	nn2	1825	1	mag_1825_553604.txt-31-5	 	Some preserve a fondness for fictions // almost as wild as those, which amused their earlier years, while others can be pleased Ofli * with the recital of what is strictly probable.	29:37	0:181	Some preserve a fondness for fictions // almost as wild as those , which amused their earlier years , while others can be pleased Ofli * with the recital of what is strictly probable .	5	0:35	some preserve a fondness for fiction // almost as wild as those , which amuse their early year , while other can be pleased ofli * with the recital of what be strictly probable .	dd vv0 at1 nn1 if nn2 vv0_<sub> rr rg jj_rr@ csa dd2 y ddq vvd@ appge jjr nnt2 y cs nn2 vm vbi jj_vvn@ np1_<sub> nn1_<sub> iw at nn1 io ddq vbz rr jj y
fiction_nn	nn1	1824	1	nf_1824_747685.txt-928-48	 	But the exploits of the oldest heroes among the Greeks, Meleager, Tydeus, and others, before Hercules and Jason, were performed at home; and even those which are said to have been performed by Hercules out of Greece, are probably a later fiction, invented at the time when his name was first added to the number of the Argonauts, and the Grecian Hercules was confounded with the Phoenician.	238:245	0:390	But the exploits of the oldest heroes among the Greeks , Meleager , Tydeus , and others , before Hercules and Jason , were performed at home ; and even those which are said to have been performed by Hercules out of Greece , are probably a later fiction , invented at the time when his name was first added to the number of the Argonauts , and the Grecian Hercules was confounded with the Phoenician .	48	0:77	but the exploit of the old hero among the greek , meleager , tydeus , and other , before hercules and jason , be perform at home ; and even those which be say to have be perform by hercules out of greece , be probably a later fiction , invent at the time when his name be first add to the number of the argonaut , and the grecian hercules be confound with the phoenician .	ccb at nn2 io at jjt nn2 ii at nn2 y np1_vv0_nn1 y np1_<sub> y cc nn2 y cs_ii np1 cc np1 y vbdr vvn ii nn1 y cc rr dd2 ddq vbr vvn@ to vhi vbn vvn ii np1 ii21 ii22 np1 y vbr rr at1 jjr nn1 y vvn_vvd ii at nnt1 rrq appge nn1 vbdz md vvn_vvd ii at nn1 io at nn2_np1 y cc at jj np1 vbdz vvn iw at jj_nn1@ y
fiction_nn	nn1	1845	1	mag_1845_522673.txt-407-14	 	Good people often seem laboring under a great mistake in regard to works of fiction.	76:83	0:84	Good people often seem laboring under a great mistake in regard to works of fiction .	14	0:16	good people often seem labor under a great mistake in regard to work of fiction .	jj nn rr vv0 vvg ii_rp@ at1 jj nn1 ii31 ii32 ii33 nn io nn1 y
fiction_nn	nn1	1844	1	mag_1844_565300.txt-778-39	 	And therefore, as the gospel clearly teaches, we baptize only the household of believers, and do not sufl * r the rite to be made as insignificant as it can be, by interposing the absurd fiction of sponsors, to thrust them out of their place and make their faith of none effect.	187:194	0:278	And therefore , as the gospel clearly teaches , we baptize only the household of believers , and do not sufl * r the rite to be made as insignificant as it can be , by interposing the absurd fiction of sponsors , to thrust them out of their place and make their faith of none effect .	39	0:58	and therefore , as the gospel clearly teach , we baptize only the household of believer , and do not sufl * r the rite to be make as insignificant as it can be , by interpose the absurd fiction of sponsor , to thrust them out of their place and make their faith of none effect .	cc rr y csa_ii at nn1 rr vvz y ppis2 vv0 rr at nn1 io nn2 y cc vd0 xx vv0_<sub> np1_<sub> vv0_<sub> at nn1 to vbi vvn rg jj csa pph1 vm vbi y ii vvg at jj nn1 io nn2 y to vvi ppho2 ii21 ii22 appge nn1 cc vv0 appge nn1 io pn nn1_vv0@ y
fiction_nn	nn2	1840	1	mag_1840_586557.txt-175-3	 	The dreams, fictions, theories which men would substitute for it, soon die.	12:20	0:75	The dreams , fictions , theories which men would substitute for it , soon die .	3	0:16	the dream , fiction , theory which man would substitute for it , soon die .	at nn2 y nn2 y nn2 ddq nn2 vm vvi if pph1 y rr vv0 y
fiction_nn	nn1	1831	1	mag_1831_554103.txt-341-38	 	The original was a friend of the author's youth, who resembled the Antiquary in learning, wit and quaintness of expression; but excepting the scene with the owner of the stage-coach, nothing in the fiction bears any resemblance to the circumstances of the original.	198:205	0:265	The original was a friend of the author 's youth , who resembled the Antiquary in learning , wit and quaintness of expression ; but excepting the scene with the owner of the stage-coach , nothing in the fiction bears any resemblance to the circumstances of the original .	38	0:49	the original be a friend of the author 's youth , who resemble the antiquary in learning , wit and quaintness of expression ; but excepting the scene with the owner of the stage-coach , nothing in the fiction bear any resemblance to the circumstance of the original .	at nn1@_jj vbdz at1 nn1 io at nn1 ge nn1 y pnqs vvd at nn1 ii nn1_vvg y nn1 cc nn1 io nn1 y ccb ii_vvg at nn1 iw at nn1 io at nn1 y pn1 ii at nn1 vvz@_nn2 dd nn1 ii at nn2 io at jj_nn1@ y
fiction_nn	nn1	1827	1	fic_1827_9763.txt-1262-15	 	" Yes, ' said I, this, it is plain, is no fiction of the fancy. '	42:49	0:65	" Yes , ' said I , this , it is plain , is no fiction of the fancy . '	15	0:21	" yes , ' say i , this , it be plain , be no fiction of the fancy . '	" uh y ge_"@ vvd ppis1_mc1% y dd1 y pph1 vbz jj_rr@ y vbz at nn1 io at nn1_jj y "@_ge
fiction_nn	nn1	1849	1	fic_1849_7167.txt-2299-20	 	It demonstrated the fact that an immense amount of injury is perpetrated by the indiscriminate dissemination of works of pure fiction.	126:133	0:134	It demonstrated the fact that an immense amount of injury is perpetrated by the indiscriminate dissemination of works of pure fiction .	20	0:22	it demonstrate the fact that an immense amount of injury be perpetrate by the indiscriminate dissemination of work of pure fiction .	pph1 vvd at nn1 cst at1 jj nn1 io nn1 vbz vvn ii at jj nn1 io nn io jj nn1 y
fiction_nn	nn1	1840	1	fic_1840_7332.txt-371-22	 	But in me, Howard, you behold the truth of your favourite's saying: Truth is strange, stranger than fiction. '	100:107	0:110	But in me , Howard , you behold the truth of your favourite 's saying : Truth is strange , stranger than fiction . '	22	0:25	but in me , howard , you behold the truth of your favourite be say : truth be strange , stranger than fiction . '	ccb ii ppio1 y np1 y ppy vv0 at nn1 io appge nn1 vbz_ge vvg_nn1@ y nn1 vbz jj y jjr csn nn1 y "@_ge
fiction_nn	nn1	1847	1	fic_1847_7123.txt-192-21	 	I wish him in the outset to understand and believe that the narrative of events is truth and verity, not fiction; for I, Paul Peril, am a man, not of straw, but of flesh and blood: and what I record I have seen, and of it bear a part.	105:112	0:234	I wish him in the outset to understand and believe that the narrative of events is truth and verity , not fiction ; for I , Paul Peril , am a man , not of straw , but of flesh and blood : and what I record I have seen , and of it bear a part .	21	0:58	i wish him in the outset to understand and believe that the narrative of event be truth and verity , not fiction ; for i , paul peril , be a man , not of straw , but of flesh and blood : and what i record i have see , and of it bear a part .	ppis1 vv0 ppho1 ii at nn1 to vvi cc vvi cst at nn1 io nn2 vbz nn1 cc nn1 y xx nn1 y cs ppis1 y np1 nn1 y vbm_ra@ at1 nn1 y xx io nn1 y ccb io nn1 cc nn1 y cc ddq ppis1 vv0@ ppis1 vh0 vvn y cc io pph1 vv0 at1 nn1 y
fiction_nn	nn1	1843	1	mag_1843_555129.txt-2-11	 	Some think it necessary to administer truth in the disguise of fiction, in order to make it go down.	63:70	0:100	Some think it necessary to administer truth in the disguise of fiction , in order to make it go down .	11	0:21	some think it necessary to administer truth in the disguise of fiction , in order to make it go down .	dd vv0 pph1 jj to vvi nn1 ii at nn1 io nn1 y bcl21 bcl22 to vvi pph1 vvi rp y
fiction_nn	nn2	1841	1	nf_1841_747994.txt-2145-20	 	This realization can not be easily effected as with the insane, for the maniac feels the contradiction of his fictions with the world; he therefore, finding the world in his turns against it with the hope that by its destruction he may realize the purposes of his diseased will.	110:118	0:278	This realization can not be easily effected as with the insane , for the maniac feels the contradiction of his fictions with the world ; he therefore , finding the world in his turns against it with the hope that by its destruction he may realize the purposes of his diseased will .	20	0:53	this realization can not be easily effect as with the insane , for the maniac feel the contradiction of his fiction with the world ; he therefore , find the world in his turn against it with the hope that by its destruction he may realize the purpose of his diseased will .	dd1 nn1 vm xx vbi rr vvn_vvd csa iw at jj y if at nn1 vvz at nn1 io appge nn2 iw at nn1 y pphs1 rr y vvg at nn1 ii appge_ppge@ nn2@_vvz ii pph1 iw at nn1 cst ii appge nn1 pphs1 vm vvi at nn2 io appge jj nn1@ y
fiction_nn	nn1	1823	1	mag_1823_553456.txt-80-19	 	Few judicious persons would probably hesitate to pronounce such a character impossible in nature, and as much the fiction of a wild imagination, as the ogre with an elephant's head, in the Arabian Nights, or the beautiful sea-maid with a fish's tail; for whose ugly counterfeit, our thrifty townsman, Capt.	114:121	0:306	Few judicious persons would probably hesitate to pronounce such a character impossible in nature , and as much the fiction of a wild imagination , as the ogre with an elephant 's head , in the Arabian Nights , or the beautiful sea-maid with a fish 's tail ; for whose ugly counterfeit , our thrifty townsman , Capt .	19	0:60	few judicious person would probably hesitate to pronounce such a character impossible in nature , and as much the fiction of a wild imagination , as the ogre with an elephant 's head , in the arabian night , or the beautiful sea-maid with a fish 's tail ; for whose ugly counterfeit , our thrifty townsman , capt .	da2 jj nn2 vm rr vvi to vvi da at1 nn1 jj ii nn1 y cc rg@_csa rr_da1 at nn1 io at1 jj nn1 y csa_ii at nn1 iw at1 nn1 ge nn1 y ii at jj nnt2 y cc at jj nn1_<sub> iw at1 nn ge nn1 y if ddqge jj nn1_jj y appge jj nn1 y nn1 y
fiction_nn	nn1	1834	1	mag_1834_564699.txt-307-7	 	History is taught in stories, where fiction and reality are so blended, that the child's instinctive love of truth, and original perception of truth, (a faculty which neither phrenologists nor metaphysicians have yet had the good fortune to discover,) may be fairly exercised in sepa // rating what is true from what is false.	36:43	0:326	History is taught in stories , where fiction and reality are so blended , that the child 's instinctive love of truth , and original perception of truth , ( a faculty which neither phrenologists nor metaphysicians have yet had the good fortune to discover , ) may be fairly exercised in sepa // rating what is true from what is false .	7	0:63	history be teach in story , where fiction and reality be so blend , that the child 's instinctive love of truth , and original perception of truth , ( a faculty which neither phrenologist nor metaphysician have yet have the good fortune to discover , ) may be fairly exercise in sepa // rating what be true from what be false .	nn1 vbz vvn ii nn2 y cs_rrq nn1 cc nn1 vbr rg_rr jj_vvn_vvd y cst at nn1 ge jj nn1 io nn1 y cc jj nn1 io nn1 y y at1 nn1 ddq rr nn2 cc nn2 vh0 rr vhn at jj nn1 to vvi y y vm vbi rr vvn ii nn1 nn1_jj_vv0 nn1_vvg ddq vbz jj ii ddq vbz jj_rr@ y
fiction_nn	nn1	1848	1	nf_1848_765263.txt-282-27	 	Their tradition in regard to the creation of the world, the deluge and the re-peopling of the earth, is a singular mixture of truth and fiction.	136:143	0:144	Their tradition in regard to the creation of the world , the deluge and the re-peopling of the earth , is a singular mixture of truth and fiction .	27	0:29	their tradition in regard to the creation of the world , the deluge and the re-peopling of the earth , be a singular mixture of truth and fiction .	appge nn1 ii31 ii32 ii33 at nn1 io at nn1 y at nn1 cc at nn1@ io at nn1 y vbz at1 jj_nn1 nn1 io nn1 cc nn1 y
