lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
gas_nn	nn1	1834	1	mag_1834_554283.txt-211-22	 	Some physiologists are of opinion, that all the oxygen that has disappeared, may be accounted for by the carbonic acid gas that is formed, while others believe that a portion has united with the blood.	119:122	0:201	Some physiologists are of opinion , that all the oxygen that has disappeared , may be accounted for by the carbonic acid gas that is formed , while others believe that a portion has united with the blood .	22	0:39	some physiologist be of opinion , that all the oxygen that have disappear , may be account for by the carbonic acid gas that be form , while other believe that a portion have unite with the blood .	dd nn2 vbr io nn1 y cst_dd1 db at nn1 cst_dd1 vhz vvn y vm vbi vvn if ii at jj nn1 nn1 cst_dd1 vbz vvn y cs nn2 vv0 cst at1 nn1 vhz vvn iw at nn1 y
gas_nn	nn1	1853	1	fic_1853_9200.txt-2512-29	 	To which the youth replied by thrusting his tongue into one cheek, closing one eye in an indescribable manner, and repeating, emphatically the monosyllable, " Gas! "	159:162	0:165	To which the youth replied by thrusting his tongue into one cheek , closing one eye in an indescribable manner , and repeating , emphatically the monosyllable , " Gas ! "	29	0:32	to which the youth reply by thrust his tongue into one cheek , close one eye in an indescribable manner , and repeat , emphatically the monosyllable , " gas ! "	ii ddq at nn1 vvd ii vvg@ appge nn1 ii mc1 nn1 y vvg mc1 nn1 ii at1 jj nn1 y cc jj_vvg y rr at jj y " nn1 ! "
gas_nn	nn2	1855	1	nf_1855_748018.txt-1333-33	 	Besides these, there are also thrown out from volcanoes fragments of granite and other rocks, almost in an unaltered state; cinders and ashes; also sulphur and various salts and gases.	178:183	0:184	Besides these , there are also thrown out from volcanoes fragments of granite and other rocks , almost in an unaltered state ; cinders and ashes ; also sulphur and various salts and gases .	33	0:35	besides these , there be also throw out from volcano fragment of granite and other rock , almost in an unaltered state ; cinder and ash ; also sulphur and various salt and gas .	ii_rr dd2 y ex vbr rr vvn rp ii nn2 nn2 io nn1 cc jj nn2 y rr ii at1 jj nn1 y nn2 cc nn2 y rr nn1 cc jj nn2 cc nn2 y
gas_nn	nn1	1829	1	mag_1829_553961.txt-124-41	 	The generality of the houses, moreover, offer something attractive in the fine arts; and in returning home on an evening, the city, the bridges, and the Mill-dam are very well lighted, not indeed with gas, but with reflecting lamps, and none of hat disorderly conduct is observed in the // streets, which so often shocks the mind in the cities of England. '	201:204	0:357	The generality of the houses , moreover , offer something attractive in the fine arts ; and in returning home on an evening , the city , the bridges , and the Mill-dam are very well lighted , not indeed with gas , but with reflecting lamps , and none of hat disorderly conduct is observed in the // streets , which so often shocks the mind in the cities of England . '	41	0:74	the generality of the house , moreover , offer something attractive in the fine art ; and in return home on an evening , the city , the bridge , and the mill-dam be very well light , not indeed with gas , but with reflect lamp , and none of hat disorderly conduct be observe in the // street , which so often shock the mind in the city of england . '	at nn1 io at nn2 y rr y vv0 pn1 jj ii at jj nn2 y cc ii vvg rl_nn1 ii at1 nnt1 y at nn1 y at nn2 y cc at nn1_jj vbr rg rr vvn_vvd_jj y xx rr iw nn1 y ccb iw vvg nn2 y cc pn io nn1 jj nn1 vbz vvn ii at jj_nn1 nn2 y ddq rg_rr rr vvz at nn1 ii at nn2 io np1 y "@_ge
gas_nn	nn1	1843	1	nf_1843_752682.txt-232-7	 	If we interrupt the current of the gas, the pores of the platinum become instantaneously filled again with oxygen; and the same phenomenon can be repeated a second time, and so on interminably.	35:38	0:193	If we interrupt the current of the gas , the pores of the platinum become instantaneously filled again with oxygen ; and the same phenomenon can be repeated a second time , and so on interminably .	7	0:37	if we interrupt the current of the gas , the pore of the platinum become instantaneously fill again with oxygen ; and the same phenomenon can be repeat a second time , and so on interminably .	cs ppis2 vv0 at nn1@_jj io at nn1 y at nn2 io at nn1 vv0_vvn@ rr vvn_vvd rt iw nn1 y cc at da nn1 vm vbi vvn at1 md nnt1 y rr31 rr32 rr33 rr y
gas_nn	nn2	1855	1	mag_1855_566564.txt-304-23	 	Our churches, our school rooms, our sleeping apartments, as things are now, are repositories of poison, where deleterious gases are carefully collected and retained as if they were laden with the costliest perfumes, and concealed among tIm cir partides the seeds of perennial youth and an immortal life.	122:127	0:303	Our churches , our school rooms , our sleeping apartments , as things are now , are repositories of poison , where deleterious gases are carefully collected and retained as if they were laden with the costliest perfumes , and concealed among tIm cir partides the seeds of perennial youth and an immortal life .	23	0:55	our church , our school room , our sleep apartment , as thing be now , be repository of poison , where deleterious gas be carefully collect and retain as if they be laden with the costly perfume , and conceal among tim cir partides the seed of perennial youth and an immortal life .	appge nn2 y appge nn1 nn2 y appge jj_nn1 nn2 y csa nn2 vbr rt y vbr nn2 io nn1 y cs_rrq jj nn2 vbr rr vvn_vvd cc vvn_vvd cs21 cs22 pphs2 vbdr vvn iw at jjt nn2 y cc vvn_vvd ii nn1 nn1 vvz at nn2 io jj_nn1 nn1 cc at1 jj nn1 y
gas_nn	nn1	1835	1	mag_1835_554331.txt-58-8	 	Clear as crystal) sparkling with carbonic acid gas, and effervescing quite as much as champagne, it was nevertheless miserably cold; and the first morning, what with the gas, and what with the low temperature of this cold iron water, it was about as much I could do to swallow it; and, for a few seconds, feeling as if it had sluiced my stomach completely by surprise, I stood hardly knowing what was about to happen; when, instead of my teeth chattering as I expected, I felt the water suddenly grow warm within my waistcoat, and a slight intoxication, or rather exhilaration, succeeded	47:50	0:587	Clear as crystal ) sparkling with carbonic acid gas , and effervescing quite as much as champagne , it was nevertheless miserably cold ; and the first morning , what with the gas , and what with the low temperature of this cold iron water , it was about as much I could do to swallow it ; and , for a few seconds , feeling as if it had sluiced my stomach completely by surprise , I stood hardly knowing what was about to happen ; when , instead of my teeth chattering as I expected , I felt the water suddenly grow warm within my waistcoat , and a slight intoxication , or rather exhilaration , succeeded	8	0:119	clear as crystal ) sparkle with carbonic acid gas , and effervesce quite as much as champagne , it be nevertheless miserably cold ; and the first morning , what with the gas , and what with the low temperature of this cold iron water , it be about as much i could do to swallow it ; and , for a few second , feel as if it have sluice my stomach completely by surprise , i stand hardly know what be about to happen ; when , instead of my tooth chatter as i expect , i feel the water suddenly grow warm within my waistcoat , and a slight intoxication , or rather exhilaration , succeed	rr@_jj_vv0@ csa_ii@ nn1 y vvg_jj iw jj nn1 nn1 y cc vvg rg rg da1 csa nn1 y pph1 vbdz rr rr jj y cc at md nnt1 y ddq iw at nn1 y cc ddq iw at jj nn1 io dd1 jj_nn1 nn1 nn1 y pph1 vbdz rg rg da1_rr ppis1 vm vdi to vvi pph1 y cc y if at1 da2 nnt2 y vvg_nn1 cs21 cs22 pph1 vhd vvn appge nn1 rr ii nn1 y ppis1 vvd rr vvg ddq vbdz rpk to vvi y rrq_cs y ii21_cs21% ii22_cs22 appge nn2 vvg_jj_nn1 csa ppis1 vvd y ppis1 vvd at nn1 rr vv0 jj ii appge nn1 y cc at1 jj nn1 y cc rr@_rg nn1 y vvd_vvn
gas_nn	nn2	1843	1	nf_1843_752682.txt-119-17	 	This renders it perfectly impermeable to fluids, and, in a great measure, even to gases.	82:87	0:88	This renders it perfectly impermeable to fluids , and , in a great measure , even to gases .	17	0:19	this render it perfectly impermeable to fluid , and , in a great measure , even to gas .	dd1 vvz pph1 rr jj ii nn2 y cc y ii at1 jj nn1 y rr ii nn2 y
gas_nn	nn2	1846	1	mag_1846_555416.txt-74-57	 	In these cases, it is found necessary to admit the air heated to a proper temperature, without allowing it to come in contact with the fuel, and entirely separated from that which passes through the grate, that it may retain its full amount of oxygen up to the moment it mingles with the gases. "	288:293	0:296	In these cases , it is found necessary to admit the air heated to a proper temperature , without allowing it to come in contact with the fuel , and entirely separated from that which passes through the grate , that it may retain its full amount of oxygen up to the moment it mingles with the gases . "	57	0:60	in these case , it be find necessary to admit the air heat to a proper temperature , without allow it to come in contact with the fuel , and entirely separate from that which pass through the grate , that it may retain its full amount of oxygen up to the moment it mingle with the gas . "	ii dd2 nn2 y pph1 vbz vvn jj to vvi at nn1 vvn ii at1 jj nn1 y iw vvg pph1 to vvi ii31 ii32 ii33 at nn1 y cc rr vvn ii dd1 ddq vvz ii at nn1 y cst pph1 vm vvi appge jj nn1 io nn1 ii21 ii22 at nn1 pph1 vvz iw at nn2 y "
gas_nn	nn1	1845	1	mag_1845_555355.txt-410-12	 	In the course of these experiments, he became acquainted with nitrogen gas, or, as he calls it, // " phlogistic air, " which was discovered by him and Dr. Rutherford at the same time, without communication with each other.	71:74	0:222	In the course of these experiments , he became acquainted with nitrogen gas , or , as he calls it , // " phlogistic air , " which was discovered by him and Dr. Rutherford at the same time , without communication with each other .	12	0:46	in the course of these experiment , he become acquaint with nitrogen gas , or , as he call it , // " phlogistic air , " which be discover by him and dr.-i rutherford at the same time , without communication with each other .	ii at nn1 io dd2 nn2 y pphs1 vvd vvn iw nn1 nn1 y cc y csa pphs1 vvz pph1 y vvz_<sub> " jj_<sub> nn1 y " ddq vbdz vvn ii ppho1 cc nnb np1 ii at da nnt1 y iw nn1 iw ppx221 ppx222 y
