lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
lass_nn	nn2	1815	1	fic_1815_8613.txt-100-9	 	So So, rural damsels; what my pretty lasses, do you attack in ambuscade?	37:43	0:72	So So , rural damsels ; what my pretty lasses , do you attack in ambuscade ?	9	0:17	so so , rural damsel ; what my pretty lass , do you attack in ambuscade ?	rr rr y jj nn2 y ddq appge jj nn2 y vd0 ppy vvi ii_rp@ nn1 y
lass_nn	nn1	1824	1	fic_1824_8753.txt-828-7	 	Give me but a friend and a lass, boys, To drive dull care away.	27:31	0:63	Give me but a friend and a lass , boys , To drive dull care away .	7	0:17	give me but a friend and a lass , boy , to drive dull care away .	vv0 ppio1 ccb at1 nn1 cc at1 nn1 y nn2 y to vvi jj nn1 rl y
lass_nn	nn1	1860	1	fic_1860_9791.txt-1410-4	 	She was a proud lass, but they bowed even her spirit, and at last she yielded.	16:20	0:78	She was a proud lass , but they bowed even her spirit , and at last she yielded .	4	0:19	she be a proud lass , but they bow even her spirit , and at last she yield .	pphs1 vbdz at1 jj nn1 y ccb pphs2 vvd rr appge nn1 y cc rr21 rr22 pphs1 vvd y
lass_nn	nn1	1824	1	fic_1824_7211.txt-2316-18	 	I 'm tauld that Jenny Davis is amaist wud aboot you; an ' she's a nice lass; an ' her father can gie her twa hunner pun ' ony day.	71:75	0:130	I 'm tauld that Jenny Davis is amaist wud aboot you ; an ' she 's a nice lass ; an ' her father can gie her twa hunner pun ' ony day .	18	0:34	i be tauld that jenny davis be amaist wud aboot you ; an ' she be a nice lass ; an ' her father can gie her twa hunner pun ' ony day .	ppis1 vbm jj_<sub> cst np1 np1 vbz jj_<sub> nn1_vv0 vv0 ppy y at1 "@ pphs1 vbz at1 jj nn1 y at1 "@_ge appge nn1 vm vvi appge nn1 nn1_jjr nn1 ge nn1 nnt1 y
lass_nn	nn1	1814	1	fic_1814_8564.txt-739-3	 	What a comely lass thou hast gotten for me here!	14:18	0:48	What a comely lass thou hast gotten for me here !	3	0:11	what a comely lass thou hast get for me here !	ddq at1 jj nn1 ppy vh0 vvn if ppio1 rl !
lass_nn	nn2	1844	1	fic_1844_7114.txt-736-14	 	' Ah, Ben, I see you have an understanding eye to the lasses.	54:60	0:61	' Ah , Ben , I see you have an understanding eye to the lasses .	14	0:16	' ah , ben , i see you have an understanding eye to the lass .	"@_ge uh y np1 y ppis1 vv0 ppy vhi at1 nn1_jj@ nn1 ii at nn2 y
lass_nn	nn2	1846	1	fic_1846_4464.txt-1316-28	 	from the country, and to stare at the uncouth and sturdy forms of the farmers, or admire the black eyes and merry faces of the country lasses.	135:141	0:142	from the country , and to stare at the uncouth and sturdy forms of the farmers , or admire the black eyes and merry faces of the country lasses .	28	0:30	from the country , and to stare at the uncouth and sturdy form of the farmer , or admire the black eye and merry face of the country lass .	ii at nn1 y cc to vvi ii at jj cc jj nn2 io at nn2 y cc vv0 at jj nn2 cc jj nn2 io at nn1 nn2 y
lass_nn	nn1	1852	1	nf_1852_752548.txt-2830-27	 	He's from Lancashire, in England, and came to this country some twenty years ago, with his wife, who was a pretty young lass in those days, and slim enough then, though she's so awful fleshy now.	120:124	0:195	He 's from Lancashire , in England , and came to this country some twenty years ago , with his wife , who was a pretty young lass in those days , and slim enough then , though she 's so awful fleshy now .	27	0:45	he be from lancashire , in england , and come to this country some twenty year ago , with his wife , who be a pretty young lass in those day , and slim enough then , though she be so awful fleshy now .	pphs1 vbz ii np1 y ii np1 y cc vvd ii dd1 nn1 dd mc nnt2 ra y iw appge nn1 y pnqs vbdz at1 rg_jj jj nn1 ii dd2 nnt2 y cc jj_vv0@ rr rt y cs pphs1 vbz rg_rr jj jj rt y
lass_nn	nn2	1823	1	fic_1823_9628.txt-498-19	 	Finale, to Act I Air -- Harriet Sweet the hour, when freed from labour, Lads and lasses thus convene, To the merry pipe and tabor, Dancing gayly on the green.	81:87	0:158	Finale , to Act I Air -- Harriet Sweet the hour , when freed from labour , Lads and lasses thus convene , To the merry pipe and tabor , Dancing gayly on the green .	19	0:36	finale , to act i air -- harriet sweet the hour , when free from labour , lad and lass thus convene , to the merry pipe and tabor , dance gayly on the green .	nn1 y ii nn1 mc1% nn1 z np1 np1@_jj_nn1@ at nnt1 y cs_rrq vvn ii nn1 y nn2 cc nn2 rr vv0 y ii at jj nn1 cc nn1 y vvg rr ii at nn1_jj y
lass_nn	nn1	1832	1	nf_1832_758144.txt-421-17	 	A kind friend, however, exerted herself so effectually for me, that a tall stately lass soon presented herself, saying, " I be come to help you. "	83:87	0:146	A kind friend , however , exerted herself so effectually for me , that a tall stately lass soon presented herself , saying , " I be come to help you . "	17	0:33	a kind friend , however , exert herself so effectually for me , that a tall stately lass soon present herself , say , " i be come to help you . "	at1_zz1 nn1_jj@ nn1 y rr y vvd ppx1 rg_rr rr if ppio1 y cst at1 jj jj nn1 rr vvd_vvn ppx1 y vvg y " ppis1 vbi vvn@ to vvi ppy y "
