identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1851_2590.txt-389-9	fic_1856_9779.txt-12362-10	annotator2	1.0	 	pick_vb	3
fic_1852_3726.txt-438-30	nf_1832_747503.txt-183-39	annotator2	3.0	 	pick_vb	3
fic_1961_781980.txt-1736-4	fic_2000_27747.txt-133-4	annotator2	2.0	 	pick_vb	3
fic_1860_9168.txt-597-1	fic_1852_69.txt-8320-9	annotator2	3.0	 	pick_vb	3
fic_1999_44827.txt-1943-2	fic_1993_14202.txt-767-6	annotator2	1.0	 	pick_vb	3
fic_2008_36135.txt-279-4	fic_1843_7208.txt-9542-27	annotator2	1.0	 	pick_vb	3
fic_1852_3726.txt-438-30	fic_1835_7134.txt-2849-6	annotator2	3.0	 	pick_vb	3
fic_1854_7839.txt-770-8	fic_1835_7134.txt-2847-8	annotator2	3.0	 	pick_vb	3
fic_2007_52034.txt-55-1	mag_1849_555588.txt-11-76	annotator2	2.0	 	pick_vb	3
fic_1852_69.txt-8320-9	mag_1828_553896.txt-106-75	annotator2	1.0	 	pick_vb	3
fic_1849_7006.txt-1503-17	mag_1974_316770.txt-12-3	annotator2	1.0	 	pick_vb	3
news_1990_667268.txt-3-5	fic_1850_7304.txt-6199-15	annotator2	1.0	 	pick_vb	3
fic_2007_52034.txt-55-1	mag_1978_479996.txt-283-21	annotator2	1.0	 	pick_vb	3
fic_1997_54758.txt-86-13	mag_1991_343562.txt-24-6	annotator2	1.0	 	pick_vb	3
fic_1840_8909.txt-1254-28	mag_1991_343562.txt-24-6	annotator2	1.0	 	pick_vb	3
fic_2009_36571.txt-65-2	fic_1962_4573.txt-3187-3	annotator2	2.0	 	pick_vb	3
fic_1856_2655.txt-2882-5	fic_1994_53956.txt-907-11	annotator2	4.0	 	pick_vb	3
fic_1997_42211.txt-43-33	fic_2007_52034.txt-55-1	annotator2	2.0	 	pick_vb	3
fic_1997_42211.txt-43-33	fic_1856_2880.txt-3291-31	annotator2	1.0	 	pick_vb	3
fic_1997_42211.txt-43-33	fic_1856_9779.txt-12362-10	annotator2	1.0	 	pick_vb	3
fic_1962_10420.txt-3439-9	mag_1851_555701.txt-85-38	annotator2	1.0	 	pick_vb	3
fic_1842_7158.txt-552-30	mag_1851_555701.txt-85-38	annotator2	1.0	 	pick_vb	3
nf_1977_774125.txt-2931-1	fic_1847_7190.txt-1258-35	annotator2	1.0	 	pick_vb	3
nf_1832_747503.txt-183-39	fic_1860_9168.txt-597-1	annotator2	3.0	 	pick_vb	3
fic_1843_7208.txt-9542-27	fic_1970_782001.txt-2936-3	annotator2	1.0	 	pick_vb	3
news_1972_729961.txt-36-4	fic_1856_9779.txt-10876-62	annotator2	1.0	 	pick_vb	3
fic_1993_14202.txt-767-6	news_1990_667268.txt-3-5	annotator2	4.0	 	pick_vb	3
nf_1851_771607.txt-895-20	fic_1852_2751.txt-3110-9	annotator2	0.0	S2 ambiguous	pick_vb	3
fic_1995_30737.txt-3-8	fic_1843_7208.txt-9542-27	annotator2	1.0	 	pick_vb	3
news_2002_622956.txt-21-21	nf_1977_774125.txt-2931-1	annotator2	1.0	 	pick_vb	3
fic_1835_7134.txt-2847-8	nf_1851_771607.txt-895-20	annotator2	1.0	 	pick_vb	3
fic_1852_3726.txt-438-30	fic_1854_7839.txt-770-8	annotator2	2.0	 	pick_vb	3
mag_1859_567209.txt-67-52	fic_1993_14202.txt-767-6	annotator2	1.0	 	pick_vb	3
fic_1975_10598.txt-4467-1	fic_1962_4573.txt-3187-3	annotator2	4.0	 	pick_vb	3
fic_1853_9142.txt-2080-11	mag_1991_343562.txt-24-6	annotator2	1.0	 	pick_vb	3
