lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
pin_vb	vvn	1850	1	fic_1850_7222.txt-2195-14	 	Would you believe it, my dear Fritz, that such laurels have been pinned to my ears, as the association of my papers with this Coryphus of letters!	65:71	0:146	Would you believe it , my dear Fritz , that such laurels have been pinned to my ears , as the association of my papers with this Coryphus of letters !	14	0:31	would you believe it , my dear fritz , that such laurel have be pin to my ear , as the association of my paper with this coryphus of letter !	vm ppy vvi pph1 y appge jj_nn1 np1_nn1@ y dd1_cst da nn2 vh0 vbn vvn ii appge nn2 y csa_ii at nn1 io appge nn2 iw dd1 np1_<sub> io nn2 !
pin_vb	vvn	1853	1	fic_1853_2454.txt-536-44	 	Why, this refractory young individual couldn't be persuaded to walk towards home in any other way, when they had him out for an airing, and what does this old friend of mine do, but allow a handkerchief to be pinned to his coat-tail, and go prancing along the street like a horse for the spoiled brat to drive.	209:215	0:310	Why , this refractory young individual could n't be persuaded to walk towards home in any other way , when they had him out for an airing , and what does this old friend of mine do , but allow a handkerchief to be pinned to his coat-tail , and go prancing along the street like a horse for the spoiled brat to drive .	44	0:65	why , this refractory young individual could n't be persuade to walk towards home in any other way , when they have him out for an air , and what do this old friend of mine do , but allow a handkerchief to be pin to his coat-tail , and go prance along the street like a horse for the spoil brat to drive .	rrq y dd1 jj jj nn1 vm xx vbi vvn to vvi ii nn1 ii dd jj nn1 y cs_rrq pphs2 vhd_vhn@ ppho1 rp if at1 nn1 y cc ddq vdz dd1 jj nn1 io ppge vd0 y ccb vv0 at1 nn1 to vbi vvn ii appge nn1_jj y cc vv0 vvg ii_rp at nn1 ii at1 nn1 if at jj@ nn1 to vvi y
pin_vb	vvn_vvd@	1856	1	fic_1856_9852.txt-1992-15	 	The figure of the old negro was low and stooping; and he wore, pinned round his shoulders, a half-handkerchief or shawl of red flannel, arranged much as an old woman would have arranged it.	63:69	0:189	The figure of the old negro was low and stooping ; and he wore , pinned round his shoulders , a half-handkerchief or shawl of red flannel , arranged much as an old woman would have arranged it .	15	0:39	the figure of the old negro be low and stoop ; and he wear , pin round his shoulder , a half-handkerchief or shawl of red flannel , arrange much as an old woman would have arrange it .	at nn1 io at jj nn1 vbdz jj cc vvg_nn1@_jj@ y cc pphs1 vvd y vvn_vvd@ ii_rp appge nn2 y at1 nn1_<sub> cc nn1 io jj nn1 y vvd_vvn da1_rr csa_ii at1 jj nn1 vm vhi vvn pph1 y
pin_vb	vvd@_vvn	1827	1	fic_1827_7270.txt-1517-9	 	Morton had thrown him on his back, and pinned him to the floor, by planting his knee on Sir Philip's breast, and had interrupted his cries, and almost suffocated him, by stuffing his cloak into his mouth.	39:45	0:204	Morton had thrown him on his back , and pinned him to the floor , by planting his knee on Sir Philip 's breast , and had interrupted his cries , and almost suffocated him , by stuffing his cloak into his mouth .	9	0:44	morton have throw him on his back , and pin him to the floor , by plant his knee on sir philip 's breast , and have interrupt his cry , and almost suffocate him , by stuff his cloak into his mouth .	np1 vhd vvn ppho1 ii_rp@ appge nn1 y cc vvd@_vvn ppho1 ii at nn1 y ii vvg appge nn1 ii nnb np1 ge nn1 y cc vhd vvn appge nn2 y cc rr vvd ppho1 y ii vvg appge nn1 ii appge nn1 y
pin_vb	vvn	1845	1	fic_1845_7170.txt-5008-33	 	Dorothy gave her to understand that when her little sister Malvina was sick, and Miss Amy with the Parson came to see her, she wanted a pink which Miss Amy had pinned on her breast, and that having got possession of it she would not part with it, but kept it by her, and	160:166	0:270	Dorothy gave her to understand that when her little sister Malvina was sick , and Miss Amy with the Parson came to see her , she wanted a pink which Miss Amy had pinned on her breast , and that having got possession of it she would not part with it , but kept it by her , and	33	0:59	dorothy give her to understand that when her little sister malvina be sick , and miss amy with the parson come to see her , she want a pink which miss amy have pin on her breast , and that have get possession of it she would not part with it , but keep it by her , and	np1 vvd ppho1 to vvi cst cs appge jj nn1 np1_nn1@ vbdz jj y cc nnb np1 iw at np1 vvd to vvi ppho1 y pphs1 vvd at1 jj_nn1@ ddq nnb np1 vhd vvn ii appge nn1 y cc cst_dd1 vhg vvn nn1 io pph1 pphs1 vm xx nn1_rr% iw pph1 y ccb vvd pph1 ii ppho1 y cc
pin_vb	vvn	1842	1	fic_1842_7206.txt-3523-6	 	There -- we think we have pinned the Bludgeon man to the wall, and now we'll dispose of him of the Trumpet, by suggesting whether it wouldn't be better for him to buy a copy of the works of Mr. Joseph Miller at once, rather than be at the trouble of stealing his jokes from all the newspapers in the country?	26:32	0:308	There -- we think we have pinned the Bludgeon man to the wall , and now we 'll dispose of him of the Trumpet , by suggesting whether it would n't be better for him to buy a copy of the works of Mr. Joseph Miller at once , rather than be at the trouble of stealing his jokes from all the newspapers in the country ?	6	0:67	there -- we think we have pin the bludgeon man to the wall , and now we will dispose of him of the trumpet , by suggest whether it would n't be better for him to buy a copy of the work of mr.- joseph miller at once , rather than be at the trouble of steal his joke from all the newspaper in the country ?	rl_ex z ppis2 vv0 ppis2 vh0 vvn at nn1 nn1 ii at nn1 y cc rt ppis2 vm vvi io ppho1 io at nn1 y ii vvg csw pph1 vm xx vbi jjr if ppho1 to vvi at1 nn1 io at nn io nnb np1 np1 rr21 rr22 y cs21@ cs22@ vbi ii at nn1 io vvg appge nn2 ii db at nn2 ii at nn1 y
pin_vb	vvd@_vvn	1843	1	fic_1843_7074.txt-1808-25	 	These, however, our two dogs, (of whom more hereafter,) soon smelled and finally gnawed clean off; when we pinned on thick half tanned leather, which swagging till the door dragged on the earth, we at last manufactured wooden hinges; and these remained till the dissolution of our colony.	107:113	0:288	These , however , our two dogs , ( of whom more hereafter , ) soon smelled and finally gnawed clean off ; when we pinned on thick half tanned leather , which swagging till the door dragged on the earth , we at last manufactured wooden hinges ; and these remained till the dissolution of our colony .	25	0:59	these , however , our two dog , ( of whom more hereafter , ) soon smell and finally gnaw clean off ; when we pin on thick half tanned leather , which swagging till the door drag on the earth , we at last manufacture wooden hinge ; and these remain till the dissolution of our colony .	dd2 y rr y appge mc nn2 y y io pnqo rrr_dar rt_nn1@ y y rr vvd_vvn@ cc rr vvn_vvd vv0@_jj_rr% rp y cs_rrq ppis2 vvd@_vvn rp@_ii rr@_jj db_nn1@_rr@ jj nn1 y ddq nn1@_vvg_jj@ ii_cs at nn1 vvn_vvd ii at nn1 y ppis2 rr21 rr22 vvn_jj jj nn2 y cc dd2 vvn_vvd ii_cs at nn1 io appge nn1 y
pin_vb	vvn	1859	1	fic_1859_9037.txt-856-13	 	I shuddered and stood still as the two haggish-looking old women wrapped and pinned the sheet about the stiffening limbs, with as much imbecile glee as they apparently were capable of. "	77:83	0:186	I shuddered and stood still as the two haggish-looking old women wrapped and pinned the sheet about the stiffening limbs , with as much imbecile glee as they apparently were capable of . "	13	0:34	i shudder and stand still as the two haggish-looking old woman wrap and pin the sheet about the stiffen limb , with as much imbecile glee as they apparently be capable of . "	ppis1 vvd cc vvd jj ii_csa at mc jj_<sub> jj nn2 vvn_vvd cc vvn at nn1 ii at jj@_nn1@ nn2 y iw rg da1 jj_nn1 nn1 csa pphs2 rr vbdr jj io y "
pin_vb	vvn_vvd@	1847	1	fic_1847_1094.txt-1872-7	 	The consciousness of having one's foot pinned; and the impossibility of getting it anywhere else than just where it was, was most distressing.	39:45	0:142	The consciousness of having one 's foot pinned ; and the impossibility of getting it anywhere else than just where it was , was most distressing .	7	0:27	the consciousness of have one 's foot pin ; and the impossibility of get it anywhere else than just where it be , be most distressing .	at nn1 io vhg pn1 ge nn1 vvn_vvd@ y cc at nn1 io vvg pph1 rl rr csn rr cs_rrq pph1 vbdz y vbdz rgt jj y
pin_vb	vvn_vvd@	1853	1	fic_1853_2486.txt-329-30	 	These entrances were formed by cutting away the logs for the space of three feet by six, and were closed by rude doors, made of rough slabs, pinned strongly to heavy cross bars,	141:147	0:177	These entrances were formed by cutting away the logs for the space of three feet by six , and were closed by rude doors , made of rough slabs , pinned strongly to heavy cross bars ,	30	0:37	these entrance be form by cut away the log for the space of three foot by six , and be close by rude door , make of rough slab , pin strongly to heavy cross bar ,	dd2 nn2 vbdr vvn ii vvg rl at nn2 if at nn1 io mc nn2 ii mc y cc vbdr vvn ii jj nn2 y vvd_vvn io jj nn2 y vvn_vvd@ rr ii jj nn1_jj@ nn2 y
