lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
player_nn	nn2	1859	1	nf_1859_748120.txt-2700-49	 	I KNOW of no one who has acquired and begot this temperance of which Hamlet speaks, in the same degree with Mrs. Kemble; I know of nothing that more exactly describes the style and school of elocution in which she excels, than this advice to the players.	246:253	0:254	I KNOW of no one who has acquired and begot this temperance of which Hamlet speaks , in the same degree with Mrs. Kemble ; I know of nothing that more exactly describes the style and school of elocution in which she excels , than this advice to the players .	49	0:51	i know of no one who have acquire and begot this temperance of which hamlet speak , in the same degree with mrs.- kemble ; i know of nothing that more exactly describe the style and school of elocution in which she excel , than this advice to the player .	ppis1 vv0 io pn121 pn122 pnqs vhz vvn cc vv0 dd1 nn1 io ddq np1 vvz y ii at da nn1 iw nnb np1 y ppis1 vv0 io pn1 cst rgr_dar rr vvz at nn1 cc nn1 io nn1 ii ddq pphs1 vvz y csn dd1 nn1 ii at nn2 y
player_nn	nn2	1847	1	fic_1847_7801.txt-60-20	 	Heard'st thou e'er poetic passion, Music-wrought to thrill the heart, Tamed by some insipid fashion, Or by players with false art?	107:114	0:130	Heard'st thou e'er poetic passion , Music-wrought to thrill the heart , Tamed by some insipid fashion , Or by players with false art ?	20	0:25	heard'st thou e'er poetic passion , music-wrought to thrill the heart , tame by some insipid fashion , or by player with false art ?	np1_<sub> ppy vv0 jj nn1 y np1_<sub> to vvi at nn1 y vvn ii dd jj nn1 y cc ii nn2 iw jj nn1 y
player_nn	nn1	1843	1	fic_1843_7155.txt-1334-5	 	The tresses of the lute player, though black as the bright Persian's ringlets, were as different from them in their nature and disposition as any things can be -- even the most dissimilar -- for they were parted evenly upon her forehead, and flowed down quite uncurled in long and wavy masses, actually resting in loose coils upon the velvet floor-cloth, as she sat near the English girl on a low ottoman, with her back to a great Venetian mirror, which reflected the contour of all her sloping shoulders down nearly to the waist.	24:30	0:530	The tresses of the lute player , though black as the bright Persian 's ringlets , were as different from them in their nature and disposition as any things can be -- even the most dissimilar -- for they were parted evenly upon her forehead , and flowed down quite uncurled in long and wavy masses , actually resting in loose coils upon the velvet floor-cloth , as she sat near the English girl on a low ottoman , with her back to a great Venetian mirror , which reflected the contour of all her sloping shoulders down nearly to the waist .	5	0:103	the tress of the lute player , though black as the bright persian 's ringlet , be as different from them in their nature and disposition as any thing can be -- even the most dissimilar -- for they be part evenly upon her forehead , and flow down quite uncurl in long and wavy mass , actually rest in loose coil upon the velvet floor-cloth , as she sit near the english girl on a low ottoman , with her back to a great venetian mirror , which reflect the contour of all her sloping shoulder down nearly to the waist .	at nn2 io at nn1 nn1 y cs jj ii_csa at jj jj ge nn2 y vbdr rg@ jj ii ppho2 ii_rp@ appge nn1 cc nn1 csa_ii@ dd nn2 vm vbi z rr at rgt jj z cs pphs2 vbdr vvn rr ii appge nn1 y cc vvd_vvn rp rg_rr@ jj@_vvd_vvn@ ii_rp@ jj_rr cc jj nn2 y rr vvg ii_rp@ jj nn2 ii at nn1 rr_<sub> y csa pphs1 vvd ii at jj_nn1 nn1 ii at1 jj nn1 y iw ppho1_appge rp_nn1 ii at1 jj jj nn1 y ddq vvd at nn1 io db appge jj nn2 rp rr ii at nn1 y
player_nn	nn2	1850	1	fic_1850_7304.txt-2438-13	 	Enough that, about ten o'clock at night, we find the rival players placed at the table;	59:66	0:87	Enough that , about ten o'clock at night , we find the rival players placed at the table ;	13	0:19	enough that , about ten o'clock at night , we find the rival player place at the table ;	rr dd1_cst y rg mc ra ii nnt1 y ppis2 vv0 at jj_nn1 nn2 vvn ii at nn1 y
player_nn	nn2	1840	1	fic_1840_7292.txt-119-46	 	Such applauses to one's beard were not in ordinary use in that time and country; and however grateful to such a man as Horsey, were scarcely pleasing to him, unless it were that his companion regarded him also as one of the players just " come hither. "	224:231	0:253	Such applauses to one 's beard were not in ordinary use in that time and country ; and however grateful to such a man as Horsey , were scarcely pleasing to him , unless it were that his companion regarded him also as one of the players just " come hither . "	46	0:53	such applause to one 's beard be not in ordinary use in that time and country ; and however grateful to such a man as horsey , be scarcely pleasing to him , unless it be that his companion regard him also as one of the player just " come hither . "	da nn2_<sub> ii pn1_mc1 ge nn1 vbdr xx ii jj nn1 ii dd1 nnt1 cc nn1 y cc rr_rrqv jj ii da at1 nn1 csa jj y vbdr rr jj ii ppho1 y cs pph1 vbdr cst appge nn1 vvn_vvd@ ppho1 rr ii mc1 io at nn2 rr " vv0_vvn@ rl y "
player_nn	nn1	1819	1	fic_1819_9004.txt-421-21	 	Some call't a dream, and some -- a gossip's story, And some -- the tricksome acting of a player; Forgotten soon as ended.	89:95	0:121	Some call't a dream , and some -- a gossip 's story , And some -- the tricksome acting of a player ; Forgotten soon as ended .	21	0:28	some call't a dream , and some -- a gossip 's story , and some -- the tricksome acting of a player ; forget soon as end .	dd vv0_<sub> at1 nn1 y cc dd z at1 nn1 ge nn1 y cc dd z at jj_<sub> nn1@ io at1 nn1 y vvn rr csa vvn y
player_nn	nn2	1834	1	nf_1834_747621.txt-190-43	 	A party who misses his aim a second time becomes a tenner; ' /q/ he who loses a third time, /a fifteener; ' and when four points are lost the player stands out The game goes on until all the players are out but one; who, of course, wins the game.	191:198	0:246	A party who misses his aim a second time becomes a tenner ; ' /q/ he who loses a third time , /a fifteener ; ' and when four points are lost the player stands out The game goes on until all the players are out but one ; who , of course , wins the game .	43	0:58	a party who miss his aim a second time become a tenner ; ' /q/ he who lose a third time , /a fifteener ; ' and when four point be lose the player stand out the game go on until all the player be out but one ; who , of course , win the game .	at1 nn1 pnqs vvz appge nn1 at1 md nnt1 vvz at1 nn1 y ge nn1_<sub> pphs1 pnqs vvz at1 md nnt1 y fu nn1_<sub> y ge cc rrq_cs mc nn2 vbr vvn at nn1 vvz_nn2 rp_<sub> at nn1 vvz rp@ cs_ii@ db at nn2 vbr rp ccb pn1_mc1 y pnqs y rr21 rr22 y vvz at nn1 y
player_nn	nn1	1836	1	fic_1836_7052.txt-1521-3	 	It is the player, the skilful artist, that gives reality to the pictures of the dramatic poet.	10:16	0:94	It is the player , the skilful artist , that gives reality to the pictures of the dramatic poet .	3	0:20	it be the player , the skilfull artist , that give reality to the picture of the dramatic poet .	pph1 vbz at nn1 y at jj nn1 y dd1_cst vvz nn1 ii at nn2 io at jj nn1 y
player_nn	nn1	1846	1	nf_1846_748061.txt-1602-22	 	After performing in a variety of places, and enduring all the inconveniences and annoyances to which the life of a strolling player is subject, he obtained a situation in Mr. De Camp's company, at Newcastle-upon-Tyne.	125:131	0:217	After performing in a variety of places , and enduring all the inconveniences and annoyances to which the life of a strolling player is subject , he obtained a situation in Mr. De Camp 's company , at Newcastle-upon-Tyne .	22	0:40	after perform in a variety of place , and endure all the inconvenience and annoyance to which the life of a stroll player be subject , he obtain a situation in mr.- de camp 's company , at newcastle-upon-tyne .	ii vvg ii_rp@ at1 nn1 io nn2 y cc vvg db at nn2 cc nn2 ii ddq at nn1 io at1 vvg nn1 vbz nn1_jj@ y pphs1 vvd at1 nn1 ii nnb np1 np1 ge nn1 y ii np1 y
player_nn	nn1	1855	1	fic_1855_9098.txt-6172-11	 	Lowe had also informed her of Roland's beguilement of the player's daughter.	58:64	0:76	Lowe had also informed her of Roland 's beguilement of the player 's daughter .	11	0:15	lowe have also inform her of roland 's beguilement of the player 's daughter .	np1 vhd rr vvn ppho1 io np1 ge nn1 io at nn1 ge nn1 y
