lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
rag_nn	nn2	1845	1	mag_1845_587427.txt-128-16	 	Whole families of men, women, and children, half naked, barefoot, in rags, shivering in the cold, lean and gaunt from hunger, without a hut to shelter them from the storm, or a pillow of straw whereon to lay their heads.	69:73	0:220	Whole families of men , women , and children , half naked , barefoot , in rags , shivering in the cold , lean and gaunt from hunger , without a hut to shelter them from the storm , or a pillow of straw whereon to lay their heads .	16	0:50	whole family of man , woman , and child , half naked , barefoot , in rag , shiver in the cold , lean and gaunt from hunger , without a hut to shelter them from the storm , or a pillow of straw whereon to lay their head .	jj_nn1 nn2 io nn2 y nn2 y cc nn2 y db_rr@ jj y jj y ii nn2 y vvg ii at nn1_jj y jj_vv0 cc jj ii nn1 y iw at1 nn1 to vvi ppho2 ii at nn1 y cc at1 nn1 io nn1 rrq to vvi appge nn2 y
rag_nn	nn2	1849	1	fic_1849_7216.txt-200-17	 	Now, the next pilgrim was a very old and miserable man; stone-blind, covered with rags; and supporting his steps with a staff. "	82:86	0:128	Now , the next pilgrim was a very old and miserable man ; stone-blind , covered with rags ; and supporting his steps with a staff . "	17	0:28	now , the next pilgrim be a very old and miserable man ; stone-blind , cover with rag ; and support his step with a staff . "	rt y at md nn1 vbdz at1 rg jj cc jj nn1 y jj_nn1@ y vvn_vvd iw nn2 y cc vvg appge nn2 iw at1 nn y "
rag_nn	nn1	1847	1	nf_1847_747595.txt-241-22	 	This ornament is considered indispensable, and those who can not afford it, supply its place with a bit of red rag, which equally well answers the intended purpose of pointing them out as disciples of Buddha.	111:114	0:208	This ornament is considered indispensable , and those who can not afford it , supply its place with a bit of red rag , which equally well answers the intended purpose of pointing them out as disciples of Buddha .	22	0:40	this ornament be consider indispensable , and those who can not afford it , supply its place with a bit of red rag , which equally well answer the intend purpose of point them out as disciple of buddha .	dd1 nn1 vbz vvn jj y cc dd2 pnqs vm xx vvi pph1 y vv0 appge nn1 iw at1 nn1 io jj nn1 y ddq rr rr vvz at jj@ nn1 io vvg ppho2 rp csa_ii@ nn2 io np1_nn1@ y
rag_nn	nn2	1856	1	fic_1856_1281.txt-1360-18	 	said Mrs. McCarty, begging them to sit down, and excuse the disordered state of her few rags.	88:92	0:93	said Mrs. McCarty , begging them to sit down , and excuse the disordered state of her few rags .	18	0:20	say mrs.- mccarty , beg them to sit down , and excuse the disordered state of her few rag .	vvd nnb np1 y vvg ppho2 to vvi rp y cc vvi at jj nn1 io appge da2 nn2 y
rag_nn	nn2	1843	1	fic_1843_7208.txt-10511-25	 	; and having drilled a small company of young vagabonds, he made a circuit of the market-places on Saturday nights with these -- their rags flying to the wind, and an expression of doleful gratitude in their faces -- running at his heels; Puffer keeping in the advance, and from time to time ordering a cutlet, or steak, or tender-loin, to be cast in.	135:139	0:351	; and having drilled a small company of young vagabonds , he made a circuit of the market-places on Saturday nights with these -- their rags flying to the wind , and an expression of doleful gratitude in their faces -- running at his heels ; Puffer keeping in the advance , and from time to time ordering a cutlet , or steak , or tender-loin , to be cast in .	25	0:72	; and have drill a small company of young vagabond , he make a circuit of the market-place on saturday night with these -- their rag fly to the wind , and an expression of doleful gratitude in their face -- run at his heel ; puffer keep in the advance , and from time to time order a cutlet , or steak , or tender-loin , to be cast in .	y cc vhg vvn at1 jj nn1 io jj nn2 y pphs1 vvd at1 nn1 io at nn2 ii npd1 nnt2 iw dd2 z appge nn2 vvg ii at nn1 y cc at1 nn1 io jj nn1 ii appge nn2 z nn1_vvg ii appge nn2 y np1 vvg_nn1@ ii at nn1 y cc rr41 rr42 rr43 rr44 vvg at1 nn1 y cc nn1 y cc nn1_<sub> y to vbi vvn rp@_ii y
rag_nn	nn2	1843	1	fic_1843_7208.txt-4905-33	 	In return, gentlemen, for this flattering toast, let me offer you, " The regamuffins and paupers of the ward: they conceal more genuine honor and virtue beneath their rags, than King Solomon in his Sunday clothes, or a Fourth-of-July orator in his new-bought ruffle and wristbands! "	167:171	0:283	In return , gentlemen , for this flattering toast , let me offer you , " The regamuffins and paupers of the ward : they conceal more genuine honor and virtue beneath their rags , than King Solomon in his Sunday clothes , or a Fourth-of-July orator in his new-bought ruffle and wristbands ! "	33	0:55	in return , gentleman , for this flattering toast , let me offer you , " the regamuffins and pauper of the ward : they conceal more genuine honor and virtue beneath their rag , than king solomon in his sunday clothes , or a fourth-of-july orator in his new-bought ruffle and wristband ! "	ii nn1 y nn2 y if dd1 jj nn1 y vv0 ppio1 nn1 ppy y " at nn2_<sub> cc nn2 io at nn1 y pphs2 vv0 rgr_dar jj nn1 cc nn1 ii appge nn2 y csn nnb np1 ii appge np1@_npd1 nn2 y cc at1 npm1 nn1 ii appge jj_nn1 nn1 cc nn2_vvz ! "
rag_nn	nn2	1840	1	mag_1840_586512.txt-853-72	 	It was able, as the end has shown, to set at defiance the very Constitution of the United States, the latter providing that only gold and silver shall be money; w * * ile this bank, by its career of law-breaking, fraud, and despotism, has at length fairly got the better of this Constitutional provision, ard we have seen through its means irredeemable rags legalized as mcney by the legislators og several of the States.	353:357	0:421	It was able , as the end has shown , to set at defiance the very Constitution of the United States , the latter providing that only gold and silver shall be money ; w * * ile this bank , by its career of law-breaking , fraud , and despotism , has at length fairly got the better of this Constitutional provision , ard we have seen through its means irredeemable rags legalized as mcney by the legislators og several of the States .	72	0:85	it be able , as the end have show , to set at defiance the very constitution of the united state , the latter provide that only gold and silver shall be money ; w * * ile this bank , by its career of law-breaking , fraud , and despotism , have at length fairly get the better of this constitutional provision , ard we have see through its mean irredeemable rag legalize as mcney by the legislator og several of the state .	pph1 vbdz jj y csa_ii at nn1 vhz vvn y to vvi ii nn1 at jj nn1 io at np1 np1 y at da cs21 cs22 jj nn1 cc nn1 vm vbi nn1 y cc_<sub> vv0_<sub> np1_<sub> ii_<sub> dd1 nn1 y ii appge nn1 io nn1_jj y nn1 y cc nn1 y vhz rr21 rr22 rr vvn at jjr_nn1%_rrr io dd1 jj nn1 y nn1 ppis2 vh0 vvn ii appge nn jj nn2 vvd_vvn@ csa_ii@ nn1_jj@ ii at nn2 vv0 da2 io at np1 y
rag_nn	nn2	1845	1	nf_1845_747502.txt-339-15	 	The windows were glazed principally with paper, to say nothing of old hats, rags, &c.; The head of this honored house fished in the trout season; and he would have put Izaac Walton to the blush, if that illustrious gentleman's angling virtues had been brought to so severe a proof.	76:80	0:281	The windows were glazed principally with paper , to say nothing of old hats , rags , &c. ; The head of this honored house fished in the trout season ; and he would have put Izaac Walton to the blush , if that illustrious gentleman 's angling virtues had been brought to so severe a proof .	15	0:58	the window be glaze principally with paper , to say nothing of old hat , rag , <temp> ; the head of this honor house fish in the trout season ; and he would have put izaac walton to the blush , if that illustrious gentleman 's angle virtue have be bring to so severe a proof .	at nn2 vbdr vvn rr iw nn1 y to vvi pn1 io jj nn2 y nn2 y <temp> y_<sub> at nn1 io dd1 jj@_vvd nn1 vvn_vvd ii at nn nnt1_vv0% y cc pphs1 vm vhi vvn np1 np1 ii at nn1 y cs_csw@ dd1 jj nn1 ge nn1 nn2 vhd vbn vvn ii rg jj at1 nn1 y
rag_nn	nn2	1853	1	fic_1853_9040.txt-627-24	 	Porch above porch, opening out on the alley, served as dooryards to the different apartments -- places for the drying of miserable rags -- play-grounds for the children -- and look-outs, for the decrepit old women, on sunny afternoons.	131:135	0:235	Porch above porch , opening out on the alley , served as dooryards to the different apartments -- places for the drying of miserable rags -- play-grounds for the children -- and look-outs , for the decrepit old women , on sunny afternoons .	24	0:44	porch above porch , open out on the alley , serve as dooryards to the different apartment -- place for the dry of miserable rag -- play-grounds for the child -- and look-out , for the decrepit old woman , on sunny afternoon .	nn1 ii nn1 y vvg rp ii at nn1 y vvn_vvd csa_ii@ nn2 ii at jj nn2 z nn2 if at nn1 io jj nn2 z nn2_<sub> if at nn2 z cc nn2 y if at jj jj nn2 y ii jj nnt2 y
rag_nn	nn1	1835	1	mag_1835_554357.txt-300-24	 	Chemistry has supplied its bleaching inventions and its medicines, not to speak of the more questionable blessings of dry bone soup, linen rag sugar, and sawdust bread.	139:142	0:168	Chemistry has supplied its bleaching inventions and its medicines , not to speak of the more questionable blessings of dry bone soup , linen rag sugar , and sawdust bread .	24	0:31	chemistry have supply its bleach invention and its medicine , not to speak of the more questionable blessing of dry bone soup , linen rag sugar , and sawdust bread .	nn1 vhz vvn appge jj@_nn1@ nn2 cc appge nn2 y xx to vvi io at rgr jj nn2 io jj nn1 nn1 y nn1 nn1 nn1 y cc nn1 nn1 y
rag_nn	nn2	1852	1	mag_1852_555751.txt-173-80	 	In the first particular, while the standard of intelligence and refinement among our native population is perhaps higher than among our neighbors under the British crown, they are rapidly following our steps as to popular education, and they receive much smaller proportional accessions than we do of a degraded foreign population, whose brutish habits of living have a direct tendency to reduce the price of labor to what will furnish the discomfort, smoke, and rags of a shanty.	463:467	0:480	In the first particular , while the standard of intelligence and refinement among our native population is perhaps higher than among our neighbors under the British crown , they are rapidly following our steps as to popular education , and they receive much smaller proportional accessions than we do of a degraded foreign population , whose brutish habits of living have a direct tendency to reduce the price of labor to what will furnish the discomfort , smoke , and rags of a shanty .	80	0:85	in the first particular , while the standard of intelligence and refinement among our native population be perhaps high than among our neighbor under the british crown , they be rapidly follow our step as to popular education , and they receive much small proportional accession than we do of a degraded foreign population , whose brutish habit of living have a direct tendency to reduce the price of labor to what will furnish the discomfort , smoke , and rag of a shanty .	ii at md jj_nn1@ y cs at nn1 io nn1 cc nn1 ii appge jj nn1 vbz rr jjr csn ii appge nn2 ii at jj nn1 y pphs2 vbr rr vvg appge nn2 ii21 ii22 jj nn1 y cc pphs2 vv0 rr_da1 jjr jj nn2 csn ppis2 vd0 io at1 jj jj nn1 y ddqge jj nn2 io nn1_jj vh0 at1 jj nn1 to vvi at nn1 io nn1 ii ddq vm vvi at nn1 y vv0_nn1 y cc nn2 io at1 nn1 y
rag_nn	nn1	1855	1	fic_1855_602.txt-2752-15	 	In groping my way around the prison, I could not fail to encounter this rag upon completing the circuit.	72:75	0:104	In groping my way around the prison , I could not fail to encounter this rag upon completing the circuit .	15	0:21	in grope my way around the prison , i could not fail to encounter this rag upon complete the circuit .	ii vvg appge nn1 ii at nn1 y ppis1 vm xx vvi to vvi dd1 nn1 ii vvg at nn1 y
rag_nn	nn2	1848	1	fic_1848_7906.txt-111-29	 	Humbly the stranger took the offered crumb Yet ate not of it, standing meek and dumb: Then lifts his eyes, -- the wondering Ahab saw His rags fall from him as the snow in thaw.	137:141	0:176	Humbly the stranger took the offered crumb Yet ate not of it , standing meek and dumb : Then lifts his eyes , -- the wondering Ahab saw His rags fall from him as the snow in thaw .	29	0:39	humbly the stranger take the offer crumb yet eat not of it , stand meek and dumb : then lift his eye , -- the wonder ahab see his rag fall from him as the snow in thaw .	rr at nn1 vvd at jj@ nn1 rr vvd xx io pph1 y vvg jj cc jj y rt vvz appge nn2 y z at vvg_jj%_nn1% np1 vvd appge nn2 vvi ii ppho1 ii_csa at nn1 ii nn1 y
rag_nn	nn1	1856	1	fic_1856_5515.txt-1284-14	 	Isn't your mother in the house, and haven't you a dry rag to put upon that poor child? '	54:57	0:88	Is n't your mother in the house , and have n't you a dry rag to put upon that poor child ? '	14	0:23	be n't your mother in the house , and have n't you a dry rag to put upon that poor child ? '	vbz xx appge nn1 ii at nn1 y cc vh0 xx ppy at1 jj nn1 to vvi ii dd1 jj nn1 y "@_ge
rag_nn	nn2	1823	1	mag_1823_553494.txt-190-75	 	At midday, when the streets seem to run with liquid fire, when scarcely any pedestrian is abroad, and even the policeman has retired to enjoy the luxury of shade, you may see the droshky driver clinging to his post of duty, the carter urging on his dirt-besmeared equipage, the vender offering his wares with the cry which is a shriek, and the beggars, sexless by plenitude of rags, awaiting their copek at the blazing doors of church and catlle (lral.	377:381	0:452	At midday , when the streets seem to run with liquid fire , when scarcely any pedestrian is abroad , and even the policeman has retired to enjoy the luxury of shade , you may see the droshky driver clinging to his post of duty , the carter urging on his dirt-besmeared equipage , the vender offering his wares with the cry which is a shriek , and the beggars , sexless by plenitude of rags , awaiting their copek at the blazing doors of church and catlle ( lral .	75	0:91	at midday , when the street seem to run with liquid fire , when scarcely any pedestrian be abroad , and even the policeman have retire to enjoy the luxury of shade , you may see the droshky driver cling to his post of duty , the carter urge on his dirt-besmeared equipage , the vender offer his ware with the cry which be a shriek , and the beggar , sexless by plenitude of rag , await their copek at the blaze door of church and catlle ( lral .	ii nnt1 y cs_rrq at nn2 vv0 to vvi iw jj nn1 y cs_rrq rr dd nn1 vbz rl y cc rr at nn1 vhz vvn to vvi at nn1 io nn1 y ppy vm vvi at jj nn1 vvg ii appge nn1 io nn1 y at nn1 vvg ii_rp@ appge jj_<sub> nn1 y at nn1 vvg appge nn2 iw at nn1 ddq vbz at1 nn1 y cc at nn2 y jj ii nn1 io nn2 y vvg appge nn1_<sub> ii at jj@ nn2 io nn1 cc nn1_<sub> y jj_<sub> y
rag_nn	nn2	1856	1	fic_1856_1281.txt-4096-4	 	Like revelling witches in rags, and seen through the bedimmed atmosphere at the further end of the den, are half-frantic men, women, and girls	26:30	0:142	Like revelling witches in rags , and seen through the bedimmed atmosphere at the further end of the den , are half-frantic men , women , and girls	4	0:28	like revel witch in rag , and see through the bedimmed atmosphere at the far end of the den , be half-frantic man , woman , and girl	ii vvg_jj@ nn2 ii nn2 y cc vvn ii at jj@ nn1 ii at jjr@ nn1 io at nn1 y vbr jj_<sub> nn2 y nn2 y cc nn2
rag_nn	nn1	1853	1	fic_1853_9069.txt-676-40	 	He had a shining, bulbous forehead, rather scantily thatched with blades of hair; his face, small, meagre, and yet vulgar, was adorned with a pair of short, rusty whiskers, and a rag of a moustache; in all respects not what one would call a face eminently prepossessing.	179:182	0:270	He had a shining , bulbous forehead , rather scantily thatched with blades of hair ; his face , small , meagre , and yet vulgar , was adorned with a pair of short , rusty whiskers , and a rag of a moustache ; in all respects not what one would call a face eminently prepossessing .	40	0:58	he have a shine , bulbous forehead , rather scantily thatched with blade of hair ; his face , small , meager , and yet vulgar , be adorn with a pair of short , rusty whisker , and a rag of a moustache ; in all respect not what one would call a face eminently prepossessing .	pphs1 vhd at1 jj y jj nn1 y rg rr jj_vvn% iw nn2 io nn1 y appge nn1 y jj y jj y cc rr jj y vbdz vvn iw at1 nn io jj y jj nn2 y cc at1 nn1 io at1 nn1 y ii db nn2_vvz xx ddq pn1 vm vvi at1 nn1 rr vvg y
rag_nn	nn2	1856	1	fic_1856_5515.txt-1149-30	 	There was a time when she did not care if the floor was all covered with heaps of dirt, and she would go out into the street with the rags flying all about her, and her hair in masses of thick tangles, and her face quite black and ugly.	134:138	0:236	There was a time when she did not care if the floor was all covered with heaps of dirt , and she would go out into the street with the rags flying all about her , and her hair in masses of thick tangles , and her face quite black and ugly .	30	0:53	there be a time when she do not care if the floor be all cover with heap of dirt , and she would go out into the street with the rag fly all about her , and her hair in mass of thick tangle , and her face quite black and ugly .	ex vbdz at1 nnt1 rrq pphs1 vdd xx vvi csw@_cs at nn1 vbdz rr@_db vvn_vvd iw nn2 io nn1 y cc pphs1 vm vvi rp ii at nn1 iw at nn2 vvg db_rr@ ii ppho1 y cc appge nn1 ii nn2 io jj nn2 y cc appge nn1 rg jj cc jj y
rag_nn	nn2	1848	1	fic_1848_1279.txt-222-47	 	The chords of tender sympathy were at once touched and Bettina followed the old woman outside the walls, and beyond an angle of the ruins a few rods, when the person who had so excited her commiseration suddenly stopped, and tossing off the wretched rags he wore, he stood before her the athletic leader of banditti, Petard! "	250:254	0:326	The chords of tender sympathy were at once touched and Bettina followed the old woman outside the walls , and beyond an angle of the ruins a few rods , when the person who had so excited her commiseration suddenly stopped , and tossing off the wretched rags he wore , he stood before her the athletic leader of banditti , Petard ! "	47	0:64	the chord of tender sympathy be at once touch and bettina follow the old woman outside the wall , and beyond an angle of the ruin a few rod , when the person who have so excite her commiseration suddenly stop , and toss off the wretched rag he wear , he stand before her the athletic leader of banditti , petard ! "	at nn2 io jj nn1 vbdr rr21 rr22 vvn_vvd cc np1 vvd at jj nn1 ii at nn2 y cc ii at1 nn1 io at nn2 at1 da2 nn2 y cs_rrq at nn1 pnqs vhd rr vvn appge nn1 rr vvn_vvd y cc vvg ii_rp at jj nn2 pphs1 vvd y pphs1 vvd ii ppho1 at jj nn1 io nn2 y nn1 ! "
rag_nn	nn2	1839	1	fic_1839_8877.txt-142-20	 	upon The farnish'd wretch before you, poor in all things Save honor; -- on these tatter'd rags you gazed; You thought he might be bought.	90:94	0:137	upon The farnish 'd wretch before you , poor in all things Save honor ; -- on these tatter 'd rags you gazed ; You thought he might be bought .	20	0:31	upon the farnish have wretch before you , poor in all thing save honor ; -- on these tatter have rag you gaze ; you think he might be buy .	ii at jj_<sub> vhd_vm nn1 ii ppy y jj ii db nn2 vv0_ii@ nn1_vv0 y z ii dd2 nn1 vhd nn2 ppy vvd y ppy vvd pphs1 vm vbi vvn y
rag_nn	nn1	1843	1	fic_1843_7208.txt-9818-5	 	next yard with scarcely a rag to their backs.	26:29	0:45	next yard with scarcely a rag to their backs .	5	0:10	next yard with scarcely a rag to their back .	md nn1 iw rr at1 nn1 ii appge nn2 y
rag_nn	nn2	1856	1	fic_1856_5515.txt-1683-24	 	He did not remember how beautiful the contrast must be to Pat as he came from his mother's den of infamy, where rags and dirt prevailed, to the neat and cleanly dwelling, and the pure, bright, happy faces of Mrs. Bates and her two children.	112:116	0:240	He did not remember how beautiful the contrast must be to Pat as he came from his mother 's den of infamy , where rags and dirt prevailed , to the neat and cleanly dwelling , and the pure , bright , happy faces of Mrs. Bates and her two children .	24	0:52	he do not remember how beautiful the contrast must be to pat as he come from his mother 's den of infamy , where rag and dirt prevail , to the neat and cleanly dwell , and the pure , bright , happy face of mrs.- bates and her two child .	pphs1 vdd xx vvi rgq@_rrq jj at nn1 vm vbi ii np1 csa pphs1 vvd ii appge nn1 ge nn1 io nn1_jj y cs_rrq nn2 cc nn1 vvd_vvn y ii at jj cc jj@_rr nn1_vvg@ y cc at jj y jj y jj nn2 io nnb np1 cc appge mc nn2 y
rag_nn	nn2	1853	1	fic_1853_3465.txt-1089-43	 	However, it's my motto never to give up; so, of course I gained the top at last, and, opening a door, found myself in a garret, piled up as high as my waist with old rags, and old papers, and old bits of bones. "	166:170	0:212	However , it 's my motto never to give up ; so , of course I gained the top at last , and , opening a door , found myself in a garret , piled up as high as my waist with old rags , and old papers , and old bits of bones . "	43	0:56	however , it be my motto never to give up ; so , of course i gain the top at last , and , open a door , find myself in a garret , pile up as high as my waist with old rag , and old paper , and old bit of bone . "	rr y pph1 vbz appge nn1 rr to vvi rp y rr y rr21 rr22 ppis1 vvd at nn1_jj rr21 rr22 y cc y vvg at1 nn1 y vvd ppx1 ii at1 nn1 y vvd_vvn rp rg jj_rr@ csa appge nn1 iw jj nn2 y cc jj nn2 y cc jj nn2 io nn2 y "
