lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
relationship_nn	nn1	1859	1	nf_1859_747415.txt-953-2	 	Where the relationship of blood has ceased, do we cease to acknowledge that general bond which unites all men of every nation?	10:22	0:126	Where the relationship of blood has ceased , do we cease to acknowledge that general bond which unites all men of every nation ?	2	0:24	where the relationship of blood have cease , do we cease to acknowledge that general bond which unite all man of every nation ?	cs at nn1 io nn1 vhz vvn y vd0 ppis2 vvi to vvi dd1_cst jj_nn1 nn1 ddq vvz db nn2 io at1 nn1 y
relationship_nn	nn1	1848	1	fic_1848_7009.txt-2768-6	 	-- He would have known their relationship to Coquese at once, from their resemblance to her, had she not before told him of them.	29:41	0:129	-- He would have known their relationship to Coquese at once , from their resemblance to her , had she not before told him of them .	6	0:27	-- he would have know their relationship to coquese at once , from their resemblance to her , have she not before tell him of them .	z pphs1 vm vhi vvn appge nn1 ii nn_np2_jj rr21 rr22 y ii appge nn1 ii ppho1 y vhd pphs1 xx rt vvn ppho1 io ppho2 y
relationship_nn	nn1	1822	1	fic_1822_7243.txt-3802-10	 	Whatever he found was in the wrong place -- all relationship was confounded.	48:60	0:76	Whatever he found was in the wrong place -- all relationship was confounded .	10	0:14	whatever he find be in the wrong place -- all relationship be confound .	ddqv pphs1 vvd vbdz ii at jj nn1 z db nn1 vbdz vvn y
relationship_nn	nn1	1856	1	fic_1856_2470.txt-7240-27	 	It was not until the health of Armstrong seemed completely restored that his brother, in the presence of his son and of Faith, disclosed his relationship.	141:153	0:154	It was not until the health of Armstrong seemed completely restored that his brother , in the presence of his son and of Faith , disclosed his relationship .	27	0:29	it be not until the health of armstrong seem completely restore that his brother , in the presence of his son and of faith , disclose his relationship .	pph1 vbdz xx cs_ii@ at nn1 io np1 vvd rr vvn_vvd cst appge nn1 y ii at nn1 io appge nn1 cc io nn1 y vvn_vvd@ appge nn1 y
relationship_nn	nn1	1817	1	nf_1817_747573.txt-2052-22	 	but she did not arrogantly assume her right to what she had received, or, presuming upon the dignity of her relationship, propose to make immediate application for that support which he was so well able to afford: this would have been the first thought of an ordinary or a selfish mind.	108:120	0:286	but she did not arrogantly assume her right to what she had received , or , presuming upon the dignity of her relationship , propose to make immediate application for that support which he was so well able to afford : this would have been the first thought of an ordinary or a selfish mind .	22	0:56	but she do not arrogantly assume her right to what she have receive , or , presume upon the dignity of her relationship , propose to make immediate application for that support which he be so well able to afford : this would have be the first think of an ordinary or a selfish mind .	ccb pphs1 vdd xx rr vvi appge nn1 ii ddq pphs1 vhd vvn y cc y vvg ii at nn1 io appge nn1 y vv0 to vvi jj nn1 if dd1 nn1 ddq pphs1 vbdz rg_rr jj jj to vvi y dd1 vm vhi vbn at md nn1 io at1 jj cc at1 jj nn1 y
relationship_nn	nn1	1853	1	fic_1853_9040.txt-2057-80	 	The following day I related to Jane the incidents of the evening: how Mr. Widdleton had mended a tub, and his wife had darned and mended; in fact, whatever had been done or said that could interest her, not omitting the conversation about Edward and Delia -- for I was determined to find out something in reference to the affair, as I persuaded myself I had a perfect right to do, considering our relationship; and Delia's pale face haunted me; her supplicating appeal for permission to remain at home I felt assured was not on my account; I saw pots of her flowers standing about, dying from neglect, and I could not help thinking her thoughts had been otherwhere	397:409	0:664	The following day I related to Jane the incidents of the evening : how Mr. Widdleton had mended a tub , and his wife had darned and mended ; in fact , whatever had been done or said that could interest her , not omitting the conversation about Edward and Delia -- for I was determined to find out something in reference to the affair , as I persuaded myself I had a perfect right to do , considering our relationship ; and Delia 's pale face haunted me ; her supplicating appeal for permission to remain at home I felt assured was not on my account ; I saw pots of her flowers standing about , dying from neglect , and I could not help thinking her thoughts had been otherwhere	80	0:132	the following day i relate to jane the incident of the evening : how mr.- widdleton have mend a tub , and his wife have darn and mend ; in fact , whatever have be do or say that could interest her , not omit the conversation about edward and delia -- for i be determine to find out something in reference to the affair , as i persuade myself i have a perfect right to do , consider our relationship ; and delia 's pale face haunt me ; her supplicate appeal for permission to remain at home i feel assure be not on my account ; i see pot of her flower stand about , die from neglect , and i could not help think her thought have be otherwhere	at jj nnt1 ppis1 vvd ii np1 at nn2 io at nnt1 y rrq nnb np1_<sub> vhd vvn at1 nn1 y cc appge nn1 vhd vvn cc vvn y ii nn1 y ddqv vhd vbn vdn cc vvd cst_dd1 vm vvi ppho1 y xx vvg at nn1 ii np1 cc np1 z cs ppis1 vbdz vvn to vvi rp pn1 ii nn1 ii at nn1 y csa ppis1 vvd ppx1 ppis1 vhd at1 jj nn1_jj to vdi y vvg_cs_ii appge nn1 y cc np1 ge jj nn1 vvd ppio1 y appge jj@_nn1@ nn1 if nn1 to vvi ii nn1 ppis1 vvd jj_vvn vbdz xx ii appge nn1 y ppis1 vvd nn2 io appge nn2 vvg rp@ y vvg ii nn1 y cc ppis1 vm xx vvi vvg appge nn2 vhd vbn rr
relationship_nn	nn1	1857	1	fic_1857_290.txt-464-8	 	I could plead none of the rights of relationship; yet I enjoyed the privileges of a son.	36:48	0:88	I could plead none of the rights of relationship ; yet I enjoyed the privileges of a son .	8	0:19	i could plead none of the right of relationship ; yet i enjoy the privilege of a son .	ppis1 vm vvi pn io at nn2 io nn1 y rr ppis1 vvd at nn2 io at1 nn1 y
relationship_nn	nn1	1837	1	nf_1837_747960.txt-2020-33	 	The same fashion has represented the kingdom of grace alone, as connected wiHi the atonement of Jesus Christ; supposing the kingdom of nature and the kingdom of providence to sustain no relationship to his mediation.	186:198	0:216	The same fashion has represented the kingdom of grace alone , as connected wiHi the atonement of Jesus Christ ; supposing the kingdom of nature and the kingdom of providence to sustain no relationship to his mediation .	33	0:38	the same fashion have represent the kingdom of grace alone , as connect wihi the atonement of jesus christ ; supposing the kingdom of nature and the kingdom of providence to sustain no relationship to his mediation .	at da nn1 vhz vvn at nn1 io nn1 rr_jj y csa jj_vvn nn2 at nn1 io np1 np1 y cs_vvg at nn1 io nn1 cc at nn1 io nn1 to vvi at nn1 ii appge nn1 y
relationship_nn	nn1	1859	1	fic_1859_9220.txt-7957-56	 	" Hear me through, Cousin Arthur -- almost improper, I said, but now I think otherwise; and I acknowledge the question to be both reasonable and proper, and I freely concede, that, as a member of the family -- as a dear friend -- to say nothing of our relationship as cousins -- or as brother and sister by adoption	252:264	0:315	" Hear me through , Cousin Arthur -- almost improper , I said , but now I think otherwise ; and I acknowledge the question to be both reasonable and proper , and I freely concede , that , as a member of the family -- as a dear friend -- to say nothing of our relationship as cousins -- or as brother and sister by adoption	56	0:67	" hear me through , cousin arthur -- almost improper , i say , but now i think otherwise ; and i acknowledge the question to be both reasonable and proper , and i freely concede , that , as a member of the family -- as a dear friend -- to say nothing of our relationship as cousin -- or as brother and sister by adoption	" vv0 ppio1 rp@ y nn1 np1 z rr jj y ppis1 vvd y ccb rt ppis1 vv0 rr y cc ppis1 vv0 at nn1 to vbi rr jj cc jj y cc ppis1 rr vv0 y dd1_cst y csa_ii at1 nn1 io at nn1 z ii_csa at1 jj_nn1 nn1 z to vvi pn1 io appge nn1 csa_ii@ nn2 z cc csa_ii@ nn1 cc nn1 ii nn1
relationship_nn	nn1	1823	1	fic_1823_7248.txt-3955-4	 	because the impress of relationship -- the hand of nature, never yet operated upon the countenance of man, and never will, with aught of that terrible distinctness, with which political convulsion chissels out the head and the face of her chosen ones.	23:35	0:251	because the impress of relationship -- the hand of nature , never yet operated upon the countenance of man , and never will , with aught of that terrible distinctness , with which political convulsion chissels out the head and the face of her chosen ones .	4	0:47	because the impress of relationship -- the hand of nature , never yet operate upon the countenance of man , and never will , with aught of that terrible distinctness , with which political convulsion chissels out the head and the face of her choose one .	cs at vv0 io nn1 z at nn1 io nn1 y rr rr vvn ii at nn1 io nn1 y cc rr vm_vv0%_nn1@ y iw pn1 io dd1 jj nn1 y iw ddq jj nn1 nn2_<sub> rp at nn1 cc at nn1 io appge jj@ nn2 y
