lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
savage_nn	nn2	1836	1	fic_1836_7053.txt-4982-56	 	But whether I shall invest my funds in a carriage, horse, and a stock of wooden clocks and tin ware for the western states and territories, and so travel by land; or whether I shall build a vessel, load her, and navigate her round Cape Horn to trade with the savages and cannibals of the South Sea Islands; then cross the Pacific to China, and return by the Cape of Good Hope, I have not yet determined. "	259:266	0:405	But whether I shall invest my funds in a carriage , horse , and a stock of wooden clocks and tin ware for the western states and territories , and so travel by land ; or whether I shall build a vessel , load her , and navigate her round Cape Horn to trade with the savages and cannibals of the South Sea Islands ; then cross the Pacific to China , and return by the Cape of Good Hope , I have not yet determined . "	56	0:88	but whether i shall invest my fund in a carriage , horse , and a stock of wooden clock and tin ware for the western state and territory , and so travel by land ; or whether i shall build a vessel , load her , and navigate her round cape horn to trade with the savage and cannibal of the south sea island ; then cross the pacific to china , and return by the cape of good hope , i have not yet determine . "	ccb csw ppis1 vm vvi appge nn2 ii at1 nn1 y nn1 y cc at1 nn1 io jj nn2 cc nn1 nn1 if at jj nn2 cc nn2 y cc rr vv0 ii nn1 y cc csw ppis1 vm vvi at1 nn1 y vv0 ppho1 y cc vv0 ppho1 ii_rp np1 np1 to vvi iw at nn2 cc nn2 io at nd1 np1 nnl2 y rt vv0 at np1 ii np1 y cc vv0_nn1 ii at nn1 io np1 np1 y ppis1 vh0 xx rr vvn y "
savage_nn	nn1	1850	1	fic_1850_7304.txt-3244-2	 	The subtle savage is about to gird thee in. "	11:17	0:45	The subtle savage is about to gird thee in . "	2	0:11	the subtle savage be about to gird thee in . "	at jj nn1 vbz rpk to vvi ppy rp@ y "
savage_nn	nn1_jj	1841	1	fic_1841_7302.txt-4200-43	 	There is no blue in the transparent softness of the noonday sky -- there is no living green in the fresh sward of the luxuriant earth -- the songs of the one, and the mellow voices of the other, receive their savage or sad tones wholly from the desolate or depraved soul which speaks in the bosom of the fated actor.	209:215	0:316	There is no blue in the transparent softness of the noonday sky -- there is no living green in the fresh sward of the luxuriant earth -- the songs of the one , and the mellow voices of the other , receive their savage or sad tones wholly from the desolate or depraved soul which speaks in the bosom of the fated actor .	43	0:64	there be no blue in the transparent softness of the noonday sky -- there be no live green in the fresh sward of the luxuriant earth -- the song of the one , and the mellow voice of the other , receive their savage or sad tone wholly from the desolate or depraved soul which speak in the bosom of the fated actor .	ex vbz at jj_nn1@ ii at jj nn1 io at nn1 nn1 z ex_rl vbz at jj_nn1 nn1_jj ii at jj nn1 io at jj nn1 z at nn2 io at pn1_mc1 y cc at jj nn2 io at jj_nn1@ y vv0 appge nn1_jj cc jj nn2 rr ii at jj cc jj@_vvd nn1 ddq vvz ii at nn1 io at jj nn1 y
savage_nn	nn2	1828	1	fic_1828_7245.txt-454-112	 	Europe, hunted out of Europe, and cast away upon the shores of America, set up a new war of persecution here -- even here -- in the untrodden -- almost unapproachable domain of the Great Spirit of the Universe; pursued their brethren to death, scourged, fined, imprisoned, banished, mutilated, and where nothing else would do, hung up their bodies between heaven and earth for the good of their souls; drove mother after mother, and babe after babe, into the woods for not believing as their church taught; made war upon the lords of the soil, the savages who had been their stay and support while they were strangers, and sick and poor, and ready to perish, and whom it was therefore a duty for them -- after they had recovered their strength -- to make happy with the edge of the sword; such war as the savages would make upon the wild beast-way-laying them by night, and shooting them to death, as they lie asleep with their young,	548:555	0:934	Europe , hunted out of Europe , and cast away upon the shores of America , set up a new war of persecution here -- even here -- in the untrodden -- almost unapproachable domain of the Great Spirit of the Universe ; pursued their brethren to death , scourged , fined , imprisoned , banished , mutilated , and where nothing else would do , hung up their bodies between heaven and earth for the good of their souls ; drove mother after mother , and babe after babe , into the woods for not believing as their church taught ; made war upon the lords of the soil , the savages who had been their stay and support while they were strangers , and sick and poor , and ready to perish , and whom it was therefore a duty for them -- after they had recovered their strength -- to make happy with the edge of the sword ; such war as the savages would make upon the wild beast-way-laying them by night , and shooting them to death , as they lie asleep with their young ,	112	0:191	europe , hunt out of europe , and cast away upon the shore of america , set up a new war of persecution here -- even here -- in the untrodden -- almost unapproachable domain of the great spirit of the universe ; pursue their brother to death , scourge , fine , imprison , banish , mutilated , and where nothing else would do , hang up their body between heaven and earth for the good of their soul ; drive mother after mother , and babe after babe , into the wood for not believe as their church teach ; make war upon the lord of the soil , the savage who have be their stay and support while they be stranger , and sick and poor , and ready to perish , and whom it be therefore a duty for them -- after they have recover their strength -- to make happy with the edge of the sword ; such war as the savage would make upon the wild beast-way-laying them by night , and shoot them to death , as they lie asleep with their young ,	np1 y vvn_vvd ii21 ii22 np1 y cc vv0_vvn rl ii at nn2 io np1 y vvd_vv0_vvn rp at1 jj nn1 io nn1 rl z rr rl z ii at nn1 z rr jj nn1 io at jj nn1 io at nn1 y vvd_vvn appge nn2 ii nn1 y vvd y vvd_vvn y vvn_jj_vvd@ y vvd_vvn_jj y jj_vvd@ y cc cs_rrq pn1 rr vm vdi y vvd_vvn rp appge nn2 ii nn1 cc nn1 if at jj_nn1% io appge nn2 y vvd_nn1@ nn1 ii_cs nn1 y cc nn1 ii_cs nn1 y ii at nn2 if xx vvg csa_ii@ appge nn1 vvd_vvn y vvd_vvn nn1 ii at nn2 io at nn1 y at nn2 pnqs vhd vbn appge nn1@ cc vv0_nn1 cs pphs2 vbdr nn2 y cc jj cc jj y cc jj to vvi y cc pnqo pph1 vbdz rr at1 nn1 if ppho2 z cs pphs2 vhd vvn appge nn1 z to vvi jj iw at nn1 io at nn1 y da nn1 csa at nn2 vm vvi ii at jj jj_<sub> ppho2 ii nnt1 y cc vvg ppho2 ii nn1 y csa pphs2 vv0 jj iw appge jj y
savage_nn	nn2	1853	1	fic_1853_2486.txt-2111-14	 	Girty now conducted the old man to the lines; and having cautioned the savages, in a loud voice, to beware of taking his life, gave the signal for him to start.	71:78	0:160	Girty now conducted the old man to the lines ; and having cautioned the savages , in a loud voice , to beware of taking his life , gave the signal for him to start .	14	0:36	girty now conduct the old man to the line ; and have caution the savage , in a loud voice , to beware of take his life , give the signal for him to start .	nn1_np1@_jj rt vvd_vvn at jj nn1 ii at nn2 y cc vhg vvn at nn2 y ii at1 jj nn1 y to vvi io vvg appge nn1 y vvd at nn1 if ppho1 to vvi y
savage_nn	nn2	1841	1	nf_1841_747994.txt-1924-0	 	Savages, like Swedenborg, say that their souls are traveling when they dream.	0:7	0:77	Savages , like Swedenborg , say that their souls are traveling when they dream .	0	0:15	savage , like swedenborg , say that their soul be travel when they dream .	nn2 y ii np1 y vv0 cst appge nn2 vbr vvg rrq_cs pphs2 vv0 y
savage_nn	nn2	1822	1	fic_1822_7243.txt-1575-17	 	, God himself only knows where, to be butchered and rent by the damnable invention of savages.	86:93	0:94	, God himself only knows where , to be butchered and rent by the damnable invention of savages .	17	0:19	, god himself only know where , to be butcher and rent by the damnable invention of savage .	y np1 ppx1 rr vvz rrq y to vbi vvn@_jj@ cc vv0_nn1 ii at jj nn1 io nn2 y
savage_nn	nn1	1824	1	mag_1824_553506.txt-13-23	 	It is but a few years since our soil was burdened with impenetrable forests; it is but a short time since the savage wandered in their dusky shades, and with his yells disturbed the cottages of the intrepid settlers.	110:116	0:216	It is but a few years since our soil was burdened with impenetrable forests ; it is but a short time since the savage wandered in their dusky shades , and with his yells disturbed the cottages of the intrepid settlers .	23	0:42	it be but a few year since our soil be burden with impenetrable forest ; it be but a short time since the savage wander in their dusky shade , and with his yell disturb the cottage of the intrepid settler .	pph1 vbz ccb at1 da2 nnt2 cs_ii@ appge nn1 vbdz vvn iw jj nn2 y pph1 vbz ccb at1 jj nnt1 cs_ii@ at nn1 vvn_vvd ii_rp@ appge jj nn2 y cc iw appge nn2 vvn_vvd@ at nn2 io at jj nn2 y
savage_nn	nn2	1842	1	mag_1842_555050.txt-432-20	 	More than ten hours were passed in this agonizing state of suspense, watching the horizon to discover if any savages were approaching, - the heavens, if there were a cloud that might chance to ruffle the smooth surface of the water, - the vessel, whose occasional cracking seemed to warn us of destruction; and, when the tide began to flow, impatiently observing its apparently sluggish advance, while I involuntarily consulted my watch, the hands of which seemed to have forgotten to move.	109:116	0:490	More than ten hours were passed in this agonizing state of suspense , watching the horizon to discover if any savages were approaching , - the heavens , if there were a cloud that might chance to ruffle the smooth surface of the water , - the vessel , whose occasional cracking seemed to warn us of destruction ; and , when the tide began to flow , impatiently observing its apparently sluggish advance , while I involuntarily consulted my watch , the hands of which seemed to have forgotten to move .	20	0:93	more than ten hour be pass in this agonizing state of suspense , watch the horizon to discover if any savage be approach , - the heaven , if there be a cloud that might chance to ruffle the smooth surface of the water , - the vessel , whose occasional crack seem to warn us of destruction ; and , when the tide begin to flow , impatiently observe its apparently sluggish advance , while i involuntarily consult my watch , the hand of which seem to have forget to move .	dar csn mc nnt2 vbdr vvn ii dd1 jj nn1 io nn1 y vvg at nn1 to vvi csw@_cs dd nn2 vbdr vvg y - at nn2 y cs ex vbdr at1 nn1 cst_dd1 vm_nn1% nn1 to vvi at jj nn1 io at nn1 y - at nn1 y ddqge jj jj vvd_vvn@ to vvi ppio2 io nn1 y cc y cs_rrq at nn1 vvd to vvi y rr vvg appge rr jj nn1 y cs ppis1 rr vvn_vvd@ appge nn1 y at nn2 io ddq vvd to vhi vvn to vvi y
savage_nn	nn2	1828	1	fic_1828_7245.txt-1991-52	 	He never knew his father; and he was dropped by his mother, as he said, in the heart of the wilderness, like the young of the wild-beast; but he escaped the bear and the wolf, and the snake, and was bred a savage, among savages, who while he was yet a child, put him upon the track of his unnatural mother, and bid him pursue her.	220:227	0:330	He never knew his father ; and he was dropped by his mother , as he said , in the heart of the wilderness , like the young of the wild-beast ; but he escaped the bear and the wolf , and the snake , and was bred a savage , among savages , who while he was yet a child , put him upon the track of his unnatural mother , and bid him pursue her .	52	0:78	he never know his father ; and he be drop by his mother , as he say , in the heart of the wilderness , like the young of the wild-beast ; but he escape the bear and the wolf , and the snake , and be breed a savage , among savage , who while he be yet a child , put him upon the track of his unnatural mother , and bid him pursue her .	pphs1 rr vvd appge nn1 y cc pphs1 vbdz vvn ii appge nn1 y csa pphs1 vvd y ii at nn1 io at nn1 y ii at jj io at nn1_jj y ccb pphs1 vvd at nn1 cc at nn1 y cc at nn1 y cc vbdz vvn at1 nn1_jj y ii nn2 y pnqs cs pphs1 vbdz rr at1 nn1 y vvd_vv0 ppho1 ii at nn1 io appge jj nn1 y cc vv0_vvd@ ppho1 vv0 ppho1 y
