lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
stab_nn	nn2	1851	1	fic_1851_1184.txt-3020-5	 	His long finger made swift stabs here and there at the canvas.	27:32	0:62	His long finger made swift stabs here and there at the canvas .	5	0:13	his long finger make swift stab here and there at the canvas .	appge jj nn1 vvd_vvn jj nn2 rl cc rl ii at nn1 y
stab_nn	nn1_vv0	1848	1	fic_1848_8147.txt-43-36	 	Yet judge not harshly of mankind for this, It in the end gives justly; but Fame's crown Can ill requite a life of cankering care; Can ill requite the assassin's bloody stab; Or a long	168:172	0:183	Yet judge not harshly of mankind for this , It in the end gives justly ; but Fame 's crown Can ill requite a life of cankering care ; Can ill requite the assassin 's bloody stab ; Or a long	36	0:41	yet judge not harshly of mankind for this , it in the end give justly ; but fame 's crown can ill requite a life of cankering care ; can ill requite the assassin 's bloody stab ; or a long	rr vv0 xx rr io nn1 if dd1 y pph1 ii at nn1 vvz rr y ccb nn1 ge nn1 vm rr% vvi at1 nn1 io vvg_jj@ nn1 y vm rr% vvi at nn1 ge jj_rr nn1_vv0 y cc at1 jj
stab_nn	nn1	1857	1	mag_1857_556291.txt-61-39	 	despair by making them feel too deeply the poverty of the first attempt; how to take down the vanity of these, by making them see how frothy is all that fine writing, without giving a deadly stab to their natural and rightful self-appreciation, - is aL * ays a difficult problem, which it requires great delicacy and sympathy to solve in a satisfactory manner.	191:195	0:360	despair by making them feel too deeply the poverty of the first attempt ; how to take down the vanity of these , by making them see how frothy is all that fine writing , without giving a deadly stab to their natural and rightful self-appreciation , - is aL * ays a difficult problem , which it requires great delicacy and sympathy to solve in a satisfactory manner .	39	0:70	despair by make them feel too deeply the poverty of the first attempt ; how to take down the vanity of these , by make them see how frothy be all that fine writing , without give a deadly stab to their natural and rightful self-appreciation , - be al * ays a difficult problem , which it require great delicacy and sympathy to solve in a satisfactory manner .	vvi ii vvg ppho2 vvi rg rr at nn1 io at md nn1 y rrq to vvi rp_ii@ at nn1 io dd2 y ii vvg ppho2 vvi rgq@_rrq jj vbz db dd1_cst jj nn1 y iw vvg at1 jj nn1 ii appge jj cc jj nn1_jj y - vbz jj_<sub> np1_<sub> vvz_<sub> at1 jj nn1 y ddq pph1 vvz jj nn1 cc nn1 to vvi ii_rp@ at1 jj nn1 y
stab_nn	nn2	1843	1	fic_1843_7026.txt-2497-1	 	The stabs of scorn and contumely are given in the highest halls of liberty, but none can look upon the heart which bleeds or gangrenes as it repels them!	4:9	0:153	The stabs of scorn and contumely are given in the highest halls of liberty , but none can look upon the heart which bleeds or gangrenes as it repels them !	1	0:31	the stab of scorn and contumely be give in the high hall of liberty , but none can look upon the heart which bleed or gangrene as it repel them !	at nn2 io nn1 cc nn1 vbr vvn ii at jjt nn2 io nn1 y ccb pn vm vvi ii at nn1 ddq vvz cc nn2_<sub> csa pph1 vvz ppho2 !
stab_nn	nn1	1859	1	fic_1859_270.txt-2892-15	 	I don't deny that there was a pang in it, yes, a stab; but there was a prayer, too, - - the " Amen " belonged to that.	49:53	0:118	I do n't deny that there was a pang in it , yes , a stab ; but there was a prayer , too , - - the " Amen " belonged to that.	15	0:34	i do n't deny that there be a pang in it , yes , a stab ; but there be a prayer , too , - - the " amen " belong to <nul>	ppis1 vd0 xx vvi cst ex vbdz at1 nn1 ii pph1 y uh_<sub> y at1 nn1 y ccb ex vbdz at1 nn1 y rr@_rg y y_<sub> y_<sub> dd_<sub> " uh " vvd_vvn@ ii nnu
stab_nn	nn1	1835	1	fic_1835_8114.txt-1111-137	 	, nor tastes of food, Till from his cheerless solitude, The exulting voice of balmy spring, The sullen hermit forth shall bring; But can the soul, that slumbers never, Live on, when hope has fled for ever; -- When homage, royalty, and power Have pass'd, the pageant of an hour; -- Live on, through exile, want, and chains, When neither friend nor slave remains; -- Live on, the mark and theme of hate, To bide the smile of frowning fate, -- The single chance, -- not yet to fall, As vulgar souls resign their breath; -- And bear, with gloomy patience, all, One trophy to erect in death; One stab, with dying hand, to give, And know one foeman shall not live?	591:595	0:658	, nor tastes of food , Till from his cheerless solitude , The exulting voice of balmy spring , The sullen hermit forth shall bring ; But can the soul , that slumbers never , Live on , when hope has fled for ever ; -- When homage , royalty , and power Have pass 'd , the pageant of an hour ; -- Live on , through exile , want , and chains , When neither friend nor slave remains ; -- Live on , the mark and theme of hate , To bide the smile of frowning fate , -- The single chance , -- not yet to fall , As vulgar souls resign their breath ; -- And bear , with gloomy patience , all , One trophy to erect in death ; One stab , with dying hand , to give , And know one foeman shall not live ?	137	0:154	, nor taste of food , till from his cheerless solitude , the exult voice of balmy spring , the sullen hermit forth shall bring ; but can the soul , that slumber never , live on , when hope have flee for ever ; -- when homage , royalty , and power have pass have , the pageant of an hour ; -- live on , through exile , want , and chain , when neither friend nor slave remain ; -- live on , the mark and theme of hate , to bide the smile of frown fate , -- the single chance , -- not yet to fall , as vulgar soul resign their breath ; -- and bear , with gloomy patience , all , one trophy to erect in death ; one stab , with die hand , to give , and know one foeman shall not live ?	y cc nn2 io nn1 y cs ii appge jj nn1 y at jj@_nn1@ nn1 io jj nn1 y at jj nn1 rr vm vvi y ccb vm_vv0% at nn1 y dd1_cst vvz rr y vv0 rp@ y cs_rrq nn1 vhz vvn rr21 rr22 y z cs_rrq nn1 y nn1 y cc nn1 vh0 nn1 vhn y at nn1 io at1 nnt1 y z vv0_jj rp@_ii y ii nn1 y vv0 y cc nn2 y cs_rrq rr nn1 cc nn1 vvz y z vv0_jj rp@_ii y at nn1 cc nn1 io nn1 y to vvi at nn1 io vvg nn1 y z at jj nn1 y z xx rr to vvi y csa_rg@ jj nn2 vv0 appge nn1 y z cc nn1_vv0 y iw jj nn1 y db_rr@ y mc1 nn1 to vvi ii nn1 y mc1 nn1 y iw jj_vvg nn1 y to vvi y cc vvi mc1 nn1 vm xx vvi y
stab_nn	nn1_<sub>	1834	1	fic_1834_2652.txt-544-14	 	His glance seemed meant to penetrate the bosom of the youth with a mortal stab -- it was hate, rather than anger, that he looked.	74:78	0:129	His glance seemed meant to penetrate the bosom of the youth with a mortal stab -- it was hate , rather than anger , that he looked .	14	0:28	his glance seem mean to penetrate the bosom of the youth with a mortal stab -- it be hate , rather than anger , that he look .	appge nn1 vvd vvn_vvd to vvi at nn1 io at nn1 iw at1 nn1_jj nn1_<sub> y_<sub> prp_<sub> vbdz nn1 y cs21 cs22 vvi y cst pphs1 vvd y
stab_nn	nn1	1840	1	fic_1840_7292.txt-4202-23	 	was the imprudent reply of the maiden -- her anxiety for the justification of her lover, making her forgetful of the mortal stab which such a suggestion must give to the old gentleman	124:128	0:183	was the imprudent reply of the maiden -- her anxiety for the justification of her lover , making her forgetful of the mortal stab which such a suggestion must give to the old gentleman	23	0:34	be the imprudent reply of the maiden -- her anxiety for the justification of her lover , make her forgetful of the mortal stab which such a suggestion must give to the old gentleman	vbdz at jj nn1 io at jj_nn1 z appge nn1 if at nn1 io appge nn1 y vvg appge_ppho1 jj_nn1% io at jj_nn1 nn1 ddq da at1 nn1 vm vvi ii at jj nn1
stab_nn	nn1	1853	1	mag_1853_566332.txt-217-46	 	* * * * And yet, melancholy to relate, we find this avowed Christian, the author of New Themes, ' instead of sharing the indignation which we should suppose a Christian would feel at such an insult to Christians and such a stab to Christianity, we find him actually triumphing over the insulted clergy as follows	223:227	0:312	* * * * And yet , melancholy to relate , we find this avowed Christian , the author of New Themes , ' instead of sharing the indignation which we should suppose a Christian would feel at such an insult to Christians and such a stab to Christianity , we find him actually triumphing over the insulted clergy as follows	46	0:61	* * * * and yet , melancholy to relate , we find this avow christian , the author of new theme , ' instead of share the indignation which we should suppose a christian would feel at such an insult to christian and such a stab to christianity , we find him actually triumph over the insult clergy as follow	fu fu fu fu cc rr y jj_nn1 to vvi y ppis2 vv0 dd1 vvd_jj@ jj_nn1@ y at nn1 io jj nn2 y ge_"@ ii21 ii22 vvg at nn1 ddq ppis2 vm vvi at1 nn1@_jj vm vvi ii da at1 nn1 ii nn2 cc da at1 nn1 ii nn1 y ppis2 vv0 ppho1 rr vvg ii_rp at jj% nn2 csa vvz
stab_nn	nn1	1835	1	fic_1835_7172.txt-4108-12	 	The man had fainted, but it was not ascertained whether the stab was mortal.	60:64	0:76	The man had fainted , but it was not ascertained whether the stab was mortal .	12	0:16	the man have faint , but it be not ascertain whether the stab be mortal .	at nn1 vhd vvn y ccb pph1 vbdz xx vvn csw at nn1 vbdz jj_nn1 y
stab_nn	nn1_vv0	1826	1	mag_1826_553767.txt-39-32	 	the rashness to bethink them of a tour among the North American Indians; and may perhaps serve to explain how it happens, that a country where men gouge, and stab, and shoot, and play the regulator, ' should have policed cities, and well dressed women, and halls, and assemblies, and operas.	158:162	0:291	the rashness to bethink them of a tour among the North American Indians ; and may perhaps serve to explain how it happens , that a country where men gouge , and stab , and shoot , and play the regulator , ' should have policed cities , and well dressed women , and halls , and assemblies , and operas .	32	0:62	the rashness to bethink them of a tour among the north american indian ; and may perhaps serve to explain how it happen , that a country where man gouge , and stab , and shoot , and play the regulator , ' should have police city , and well dress woman , and hall , and assembly , and opera .	at nn1 to vvi ppho2 io at1 nn1 ii at np1 jj nn2 y cc vm rr vvi to vvi rrq pph1 vvz y cst at1 nn1 rrq_cs nn2 vv0 y cc nn1_vv0 y cc vv0_nn1@ y cc vv0 at nn1 y "@ vm vhi vvn@_jj@ nn2 y cc rr vvn_jj@ nn2 y cc nn2 y cc nn2 y cc nn2 y
stab_nn	nn1	1849	1	nf_1849_749269.txt-2196-8	 	An arrow shot from a ravine, a stab given in the dark, require no great valor, and are especially suited to the Indian genius; but Mahto-Tatonka had a strong protection.	31:35	0:169	An arrow shot from a ravine , a stab given in the dark , require no great valor , and are especially suited to the Indian genius ; but Mahto-Tatonka had a strong protection .	8	0:35	an arrow shoot from a ravine , a stab give in the dark , require no great valor , and be especially suit to the indian genius ; but mahto-tatonka have a strong protection .	at1 nn1 vvn_vvd_nn1 ii at1 nn1 y at1 nn1 vvn ii at nn1_jj y vv0 at jj nn1 y cc vbr rr vvn_vvd ii at jj nn1 y ccb np1_<sub> vhd at1 jj nn1 y
stab_nn	nn1_vv0	1833	1	fic_1833_7240.txt-509-1	 	A stab from a real knife, might save you.	2:6	0:41	A stab from a real knife , might save you .	1	0:11	a stab from a real knife , might save you .	at1_zz1 nn1_vv0 ii at1 jj nn1 y vm vvi ppy y
stab_nn	nn1@	1856	1	fic_1856_9779.txt-6643-19	 	But Henry persevered in his determination to do no murder, for such he persuaded himself would be the stabbing of the sleeping and defenceless man.	102:110	0:147	But Henry persevered in his determination to do no murder , for such he persuaded himself would be the stabbing of the sleeping and defenceless man .	19	0:27	but henry persevere in his determination to do no murder , for such he persuade himself would be the stab of the sleeping and defenceless man .	ccb np1 vvd ii_rp@ appge nn1 to vdi at nn1 y if_cs% da pphs1 vvd ppx1 vm vbi at nn1@ io at nn1_jj cc jj nn1 y
stab_nn	nn1	1832	1	fic_1832_8862.txt-359-3	 	this is a stab to his peace of mind which he will never recover: he loved her to distraction, and she, the dissembling, artful jade, appeared to love him with equal ardour.	10:14	0:172	this is a stab to his peace of mind which he will never recover : he loved her to distraction , and she , the dissembling , artful jade , appeared to love him with equal ardour .	3	0:38	this be a stab to his peace of mind which he will never recover : he love her to distraction , and she , the dissemble , artful jade , appear to love him with equal ardour .	dd1 vbz at1 nn1 ii appge nn1 io nn1 ddq pphs1 vm rr vvi y pphs1 vvd ppho1 ii nn1 y cc pphs1 y at jj@_nn1% y jj nn1 y vvd to vvi ppho1 iw jj nn1 y
stab_nn	nn1	1854	1	mag_1854_566434.txt-95-14	 	A scene of confusion followed, the table was overturned, Rizzio received a stab, was seized, dragged out of the closet through the bed-room into the anteroom, and then left near the outer door, weltering in his blood, having been dispatched by the infliction of fifty-six wounds.	75:79	0:279	A scene of confusion followed , the table was overturned , Rizzio received a stab , was seized , dragged out of the closet through the bed-room into the anteroom , and then left near the outer door , weltering in his blood , having been dispatched by the infliction of fifty-six wounds .	14	0:54	a scene of confusion follow , the table be overturn , rizzio receive a stab , be seize , drag out of the closet through the bed-room into the anteroom , and then leave near the outer door , welter in his blood , have be dispatch by the infliction of fifty-six wound .	at1 nn1 io nn1 vvd_vvn y at nn1 vbdz vvn y np1 vvd at1 nn1 y vbdz vvn y vvn_vvd ii21 ii22 at nn1 ii at nn1 ii at nn1 y cc rt vvn_vvd ii at jj nn1 y vvg ii_rp@ appge nn1 y vhg vbn vvn ii at nn1 io mc nn2 y
stab_nn	nn2_vvz	1835	1	fic_1835_7328.txt-554-4	 	He's got two stabs in him, deep ones, and then, you see, he laid	13:18	0:64	He 's got two stabs in him , deep ones , and then , you see , he laid	4	0:19	he be get two stab in him , deep one , and then , you see , he lay	pphs1 vhz vvn mc nn2_vvz ii ppho1 y jj nn2 y cc rt y ppy vv0 y pphs1 vvd
