identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_1858_1282.txt-3308-9	mag_1982_325204.txt-14-26	annotator2	1.0	 	tip_vb	3
nf_1965_773954.txt-737-3	fic_1827_7168.txt-796-7	annotator2	1.0	 	tip_vb	3
fic_1855_9098.txt-10084-4	fic_1975_10598.txt-5631-8	annotator2	1.0	 	tip_vb	3
mag_1995_396808.txt-43-12	mag_1982_298124.txt-17-12	annotator2	4.0	 	tip_vb	3
fic_2003_48734.txt-434-22	fic_1827_7168.txt-796-7	annotator2	2.0	 	tip_vb	3
mag_1999_407855.txt-38-23	fic_1995_39249.txt-214-11	annotator2	1.0	 	tip_vb	3
news_2004_635173.txt-48-0	news_2006_607719.txt-61-9	annotator2	2.0	 	tip_vb	3
news_2006_607719.txt-61-9	fic_1995_39249.txt-214-11	annotator2	4.0	 	tip_vb	3
mag_2006_385851.txt-108-2	mag_1982_298124.txt-17-12	annotator2	4.0	 	tip_vb	3
fic_1853_9040.txt-443-12	fic_2007_52316.txt-308-10	annotator2	1.0	 	tip_vb	3
fic_1965_10458.txt-2021-5	fic_2006_28613.txt-8-5	annotator2	3.0	 	tip_vb	3
fic_1833_7239.txt-2507-11	mag_1982_325204.txt-14-26	annotator2	1.0	 	tip_vb	3
fic_2003_48734.txt-434-22	mag_1982_325204.txt-14-26	annotator2	1.0	 	tip_vb	3
fic_1824_7277.txt-826-67	fic_1984_780068.txt-1337-11	annotator2	1.0	 	tip_vb	3
fic_1835_5605.txt-2415-40	news_1994_606771.txt-69-5	annotator2	1.0	 	tip_vb	3
fic_1846_7121.txt-955-17	fic_1968_10505.txt-7472-6	annotator2	1.0	 	tip_vb	3
fic_2000_52601.txt-277-24	fic_1839_7336.txt-2484-29	annotator2	1.0	 	tip_vb	3
fic_1841_8921.txt-435-4	fic_2005_780520.txt-572-10	annotator2	1.0	 	tip_vb	3
mag_1858_506205.txt-54-39	mag_2005_380198.txt-2-51	annotator2	4.0	 	tip_vb	3
nf_1851_747930.txt-6012-16	fic_1995_39249.txt-214-11	annotator2	1.0	 	tip_vb	3
fic_1855_7489.txt-867-5	fic_2005_780520.txt-572-10	annotator2	1.0	 	tip_vb	3
fic_1994_54059.txt-352-11	mag_1982_325204.txt-14-26	annotator2	1.0	 	tip_vb	3
fic_1851_746.txt-4461-8	fic_2005_31629.txt-188-12	annotator2	2.0	 	tip_vb	3
mag_1833_564542.txt-49-6	fic_1995_39249.txt-214-11	annotator2	1.0	 	tip_vb	3
nf_1995_777109.txt-3-23	fic_1827_7168.txt-796-7	annotator2	1.0	 	tip_vb	3
news_2000_622039.txt-26-10	fic_2005_780520.txt-572-10	annotator2	1.0	 	tip_vb	3
fic_1858_1282.txt-2252-32	fic_1968_10505.txt-7472-6	annotator2	1.0	 	tip_vb	3
nf_1965_773954.txt-737-3	fic_2005_31629.txt-188-12	annotator2	1.0	 	tip_vb	3
fic_1972_780011.txt-236-15	fic_1984_780068.txt-1337-11	annotator2	1.0	 	tip_vb	3
news_2004_635173.txt-48-0	mag_2005_380198.txt-2-51	annotator2	1.0	 	tip_vb	3
fic_1843_7116.txt-400-18	fic_2007_52316.txt-308-10	annotator2	1.0	 	tip_vb	3
news_2004_648944.txt-1-12	fic_2005_780520.txt-572-10	annotator2	3.0	 	tip_vb	3
fic_2001_55735.txt-589-4	fic_1984_780068.txt-1337-11	annotator2	1.0	 	tip_vb	3
fic_1855_9098.txt-10113-10	mag_1999_403996.txt-20-0	annotator2	1.0	 	tip_vb	3
nf_1854_755030.txt-2999-17	fic_2007_52316.txt-308-10	annotator2	1.0	 	tip_vb	3
mag_1999_408516.txt-13-12	mag_2005_380198.txt-2-51	annotator2	4.0	 	tip_vb	3
fic_1835_5605.txt-2415-40	fic_1984_780068.txt-1337-11	annotator2	1.0	 	tip_vb	3
mag_1837_554498.txt-233-5	fic_1839_7336.txt-2484-29	annotator2	2.0	 	tip_vb	3
nf_1851_747930.txt-6012-16	mag_2005_380198.txt-2-51	annotator2	1.0	 	tip_vb	3
news_1994_606771.txt-69-5	fic_2007_52316.txt-308-10	annotator2	2.0	 	tip_vb	3
mag_1982_325204.txt-14-26	nf_1849_762578.txt-385-36	annotator2	1.0	 	tip_vb	3
mag_1981_480259.txt-1-6	fic_1975_10598.txt-5631-8	annotator2	1.0	 	tip_vb	3
fic_2003_48734.txt-434-22	fic_1834_7323.txt-918-21	annotator2	3.0	 	tip_vb	3
fic_1988_782036.txt-1917-7	fic_1968_10505.txt-7472-6	annotator2	1.0	 	tip_vb	3
fic_1858_1282.txt-3308-9	fic_1827_7168.txt-796-7	annotator2	4.0	 	tip_vb	3
news_2006_604866.txt-35-20	mag_2005_380198.txt-2-51	annotator2	1.0	 	tip_vb	3
news_1995_614426.txt-37-3	fic_1975_10598.txt-5631-8	annotator2	4.0	 	tip_vb	3
mag_2003_414436.txt-106-25	fic_1968_10505.txt-7472-6	annotator2	1.0	 	tip_vb	3
fic_2001_32299.txt-531-24	mag_1982_298124.txt-17-12	annotator2	1.0	 	tip_vb	3
mag_1999_408516.txt-13-12	fic_1847_7124.txt-2094-13	annotator2	2.0	 	tip_vb	3
mag_2006_398384.txt-314-7	mag_1982_298124.txt-17-12	annotator2	1.0	 	tip_vb	3
fic_1839_7204.txt-433-43	news_1994_606771.txt-69-5	annotator2	1.0	 	tip_vb	3
fic_1968_10505.txt-7472-6	fic_2001_32299.txt-531-24	annotator2	1.0	 	tip_vb	3
fic_1968_10505.txt-7472-6	fic_1984_780068.txt-1337-11	annotator2	4.0	 	tip_vb	3
fic_1823_7214.txt-408-11	fic_1975_10598.txt-5631-8	annotator2	1.0	 	tip_vb	3
fic_2007_52316.txt-308-10	fic_1827_7168.txt-796-7	annotator2	2.0	 	tip_vb	3
mag_1837_554498.txt-233-5	fic_1827_7168.txt-796-7	annotator2	4.0	 	tip_vb	3
fic_1838_7250.txt-1578-20	mag_1999_403996.txt-20-0	annotator2	1.0	 	tip_vb	3
mag_1982_325204.txt-14-26	fic_1855_9098.txt-10113-10	annotator2	1.0	 	tip_vb	3
mag_1999_408516.txt-13-12	fic_1851_746.txt-4519-42	annotator2	3.0	 	tip_vb	3
fic_2003_48734.txt-434-22	fic_1840_7681.txt-2114-153	annotator2	1.0	 	tip_vb	3
fic_1836_7330.txt-962-33	mag_1982_298124.txt-17-12	annotator2	1.0	 	tip_vb	3
fic_1838_7250.txt-1578-20	fic_1968_10505.txt-7472-6	annotator2	1.0	 	tip_vb	3
mag_2000_412569.txt-3-14	fic_2007_52316.txt-308-10	annotator2	2.0	 	tip_vb	3
nf_1838_747482.txt-1255-8	mag_1998_404008.txt-87-17	annotator2	1.0	 	tip_vb	3
fic_2006_28613.txt-8-5	nf_1995_777109.txt-3-23	annotator2	3.0	 	tip_vb	3
fic_1849_7006.txt-1314-10	fic_2005_780520.txt-572-10	annotator2	2.0	 	tip_vb	3
mag_1982_325204.txt-14-26	mag_1998_401608.txt-13-26	annotator2	1.0	 	tip_vb	3
fic_1858_1282.txt-2858-67	fic_2005_780520.txt-572-10	annotator2	1.0	 	tip_vb	3
fic_1987_10756.txt-21242-2	fic_1980_10659.txt-1489-9	annotator2	2.0	 	tip_vb	3
fic_2007_52316.txt-308-10	fic_2006_51727.txt-63-8	annotator2	4.0	 	tip_vb	3
mag_1982_325204.txt-14-26	mag_2006_385851.txt-108-2	annotator2	1.0	 	tip_vb	3
fic_1841_8921.txt-435-4	mag_1982_325204.txt-14-26	annotator2	1.0	 	tip_vb	3
fic_1853_3465.txt-428-7	fic_1827_7168.txt-796-7	annotator2	1.0	 	tip_vb	3
nf_1995_777109.txt-3-23	fic_1984_780068.txt-1337-11	annotator2	1.0	 	tip_vb	3
fic_1984_780068.txt-1337-11	fic_1985_780045.txt-3491-17	annotator2	4.0	 	tip_vb	3
fic_1855_9098.txt-10084-4	news_2006_607719.txt-61-9	annotator2	1.0	 	tip_vb	3
fic_1827_7168.txt-909-183	fic_1984_780068.txt-1337-11	annotator2	1.0	 	tip_vb	3
mag_1995_396808.txt-43-12	fic_1839_7336.txt-2484-29	annotator2	1.0	 	tip_vb	3
mag_1996_384075.txt-13-10	fic_2007_52316.txt-308-10	annotator2	3.0	 	tip_vb	3
fic_1849_8065.txt-361-27	mag_1982_325204.txt-14-26	annotator2	1.0	 	tip_vb	3
fic_1995_39274.txt-549-6	mag_1982_298124.txt-17-12	annotator2	1.0	 	tip_vb	3
fic_1993_1040082.txt-1863-8	mag_1982_325204.txt-14-26	annotator6	1.0	 	tip_vb	3
mag_2006_398384.txt-314-7	mag_1999_408516.txt-13-12	annotator6	2.0	 	tip_vb	3
fic_1984_780068.txt-1337-11	mag_1982_325204.txt-14-26	annotator6	4.0	 	tip_vb	3
nf_1849_762578.txt-385-36	fic_2007_52316.txt-308-10	annotator6	1.0	 	tip_vb	3
fic_1858_1282.txt-2252-32	mag_2005_380198.txt-2-51	annotator6	2.0	 	tip_vb	3
fic_1845_7183.txt-3218-5	mag_1982_325204.txt-14-26	annotator6	1.0	 	tip_vb	3
fic_1827_7168.txt-796-7	fic_1995_39249.txt-214-11	annotator6	1.0	 	tip_vb	3
news_1994_606771.txt-69-5	mag_1982_298124.txt-17-12	annotator6	1.0	 	tip_vb	3
fic_1977_780102.txt-2662-16	news_1994_606771.txt-69-5	annotator6	3.0	 	tip_vb	3
