lemma	identifier1	identifier2	judgment	cosine_similarity
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	2532889X_1969-09-07_01_200.tcf.xml-37-16	2.0	0.4415367841720581
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	26120215_1981_07_08_01_073.tcf.xml-4-23	3.0	0.7157884240150452
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	26120215_1989_07_26_01_156.tcf.xml-20-11	2.0	0.41297414898872375
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	baumstark_encyclopaedie_1835-3398-12	4.0	0.7230794429779053
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	baumstark_encyclopaedie_1835-3477-6	4.0	0.3599570393562317
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	baumstark_encyclopaedie_1835-3510-14	3.5	0.49411341547966003
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	beck_eisen01_1884-8131-33	2.5	0.6608966588973999
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	beck_eisen03_1897-15223-9	2.0	0.6497939825057983
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	humboldt_aequinoktial02_1859-3475-27	2.0	0.7603205442428589
abbauen	2532889X_1947-07-02_01_047.tcf.xml-15-13	ledebur_eisenhuettenkunde_1884-8934-38	3.0	0.6963722705841064
abbauen	2532889X_1950-04-12_01_080.tcf.xml-8-22	beck_eisen02_1895-1381-74	2.0	0.3543543219566345
abbauen	2532889X_1950-04-12_01_080.tcf.xml-8-22	beck_eisen03_1897-15223-9	1.5	0.26907777786254883
abbauen	2532889X_1950-04-12_01_080.tcf.xml-8-22	humboldt_aequinoktial02_1859-3475-27	2.0	0.30797308683395386
abbauen	2532889X_1953-05-21_01_026.tcf.xml-149-16	2532889X_1971-09-08_01_056.tcf.xml-14-40	4.0	0.8995553255081177
abbauen	2532889X_1953-05-21_01_026.tcf.xml-149-16	26120215_1990_07_28_01_810.tcf.xml-15-12	3.5	0.8033499717712402
abbauen	2532889X_1959-03-13_01_104.tcf.xml-29-34	2532889X_1986-12-30_01_048.tcf.xml-58-32	3.0	0.7583953142166138
abbauen	2532889X_1959-03-13_01_104.tcf.xml-29-34	beck_eisen02_1895-1381-74	2.5	0.41267919540405273
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	2532889X_1971-09-08_01_056.tcf.xml-14-40	2.0	0.3298594355583191
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	baumstark_encyclopaedie_1835-12861-16	4.0	0.7194370627403259
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	baumstark_encyclopaedie_1835-3425-29	2.5	0.6863038539886475
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	baumstark_encyclopaedie_1835-3469-13	4.0	0.827394962310791
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	beck_eisen01_1884-5379-8	4.0	0.5629205107688904
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	beck_eisen02_1895-18933-5	4.0	0.5831118822097778
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	berg_ostasien04_1873-4058-13	2.5	0.40059491991996765
abbauen	2532889X_1959-10-10_01_117.tcf.xml-33-26	peschel_voelkerkunde_1874-3546-36	4.0	0.8859829902648926
abbauen	2532889X_1960-05-12_01_006.tcf.xml-19-50	2532889X_1971-09-08_01_056.tcf.xml-14-40	4.0	0.7191129326820374
abbauen	2532889X_1960-05-12_01_006.tcf.xml-19-50	beck_eisen02_1895-1381-74	2.0	0.44435110688209534
abbauen	2532889X_1960-06-09_01_020.tcf.xml-2-27	2532889X_1971-09-08_01_056.tcf.xml-14-40	4.0	0.9308226108551025
abbauen	2532889X_1960-06-09_01_020.tcf.xml-2-27	26120215_1990_07_28_01_810.tcf.xml-15-12	3.0	0.6110525131225586
abbauen	2532889X_1961-07-08_01_128.tcf.xml-1-14	26120215_1956_09_28_01_084.tcf.xml-4-19	2.0	0.31248876452445984
abbauen	2532889X_1961-07-08_01_128.tcf.xml-1-14	berg_ostasien04_1873-4058-13	3.0	0.28242313861846924
abbauen	2532889X_1961-07-08_01_128.tcf.xml-1-14	humboldt_aequinoktial03_1859-726-26	3.5	0.8268674612045288
abbauen	2532889X_1961-07-08_01_128.tcf.xml-1-14	lehnert_seehaefen01_1891-4737-54	4.0	0.8706904649734497
abbauen	2532889X_1961-07-08_01_128.tcf.xml-1-14	peschel_voelkerkunde_1874-3546-43	4.0	0.8661098480224609
abbauen	2532889X_1962-12-13_01_083.tcf.xml-9-12	26120215_1990_07_28_01_810.tcf.xml-15-12	3.0	0.5779846906661987
abbauen	2532889X_1962-12-13_01_083.tcf.xml-9-12	gerstner_mechanik03_1834-7860-24	2.0	0.5775777101516724
abbauen	2532889X_1963-03-05_01_016.tcf.xml-3-16	2532889X_1971-09-08_01_056.tcf.xml-14-40	2.0	0.6002030968666077
abbauen	2532889X_1964-01-31_01_179.tcf.xml-239-7	2532889X_1971-09-08_01_056.tcf.xml-14-40	4.0	0.92165607213974
abbauen	2532889X_1964-01-31_01_179.tcf.xml-239-7	2532889X_1986-09-10_01_136.tcf.xml-7-5	3.5	0.6256445646286011
abbauen	2532889X_1964-01-31_01_179.tcf.xml-239-7	humboldt_aequinoktial02_1859-3475-27	2.0	0.4295419454574585
abbauen	2532889X_1964-09-02_01_107.tcf.xml-102-33	2532889X_1986-12-30_01_048.tcf.xml-58-32	3.5	0.6176203489303589
abbauen	2532889X_1964-09-02_01_107.tcf.xml-102-33	26120215_1986_12_31_01_041.tcf.xml-4-25	4.0	0.7296390533447266
abbauen	2532889X_1966-07-10_01_074.tcf.xml-3-18	2532889X_1986-12-30_01_048.tcf.xml-58-32	3.5	0.7231951951980591
abbauen	2532889X_1966-07-10_01_074.tcf.xml-3-18	26120215_1956_09_28_01_084.tcf.xml-4-19	3.5	0.9239082336425781
abbauen	2532889X_1966-08-06_01_046.tcf.xml-13-5	2532889X_1987-03-18_01_013.tcf.xml-25-46	4.0	0.9295293092727661
abbauen	2532889X_1966-08-06_01_046.tcf.xml-13-5	humboldt_bogota_1853-257-34	2.0	0.35953468084335327
abbauen	2532889X_1968-01-24_01_048.tcf.xml-4-12	2532889X_1971-09-08_01_056.tcf.xml-14-40	3.0	0.9497183561325073
abbauen	2532889X_1968-01-24_01_048.tcf.xml-4-12	beck_eisen02_1895-8983-27	1.5	0.3024051785469055
abbauen	2532889X_1968-04-03_01_171.tcf.xml-21-18	2532889X_1971-09-08_01_056.tcf.xml-14-40	4.0	0.9318296909332275
abbauen	2532889X_1968-04-03_01_171.tcf.xml-21-18	humboldt_gutachten_1838-109-17	2.0	0.32798027992248535
abbauen	2532889X_1969-09-07_01_200.tcf.xml-37-16	2532889X_1986-12-30_01_048.tcf.xml-58-32	4.0	0.6606800556182861
