lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1952-07-03_01_121.tcf.xml-66-12	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Der amerikanischen „Neuen -Zeitung blieb es vorbehalten, den traurigen Abgesang anzustimmen:	138:146	71:79	4.0
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1961-03-30_01_045.tcf.xml-6-9	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Die Spatzen von den benachbarten Häusern stimmen bereits den Abgesang an, im Glauben, der Film liege in den letzten Zügen.	138:146	61:69	2.5
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1990-10-01_01_102.tcf.xml-13-1	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Der Abgesang aber paart sich mit der Skepsis, wie's weitergehen wird.	138:146	4:12	4.0
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1952_03_16_01_388.tcf.xml-7-16	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Wo er ein solches Trampelmobil entdecken konnte, schwang er sich hinauf und radelte unter dem Abgesang schmutziger Lieder davon.	138:146	94:102	2.0
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1957_05_16_01_256.tcf.xml-27-15	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Er spielt in der großbürgerlichen Gesellschaft, schildert Frömmelei, Heuchelei und Korruption, den Abgesang einer Schicht, die heute keine Daseinsberechtigung mehr hat.	138:146	99:107	3.5
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1964_02_04_01_177.tcf.xml-12-13	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Hoffen wir nur, daß dieser Vorgriff auf den Sommer picht schon den Abgesang des Wintersports bedeutet.	138:146	67:75	4.0
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1989_05_26_01_048.tcf.xml-10-3	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Union vollzieht seinen Abgesang an der Alten Försterei gegen den 1. FCM. Seit Gründung des Klubs 1966 ist Union damit zum fünften Male abgestiegen.	138:146	23:31	2.5
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17005-6	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Die Zeilenzahl des Aufgesangs wie des Abgesangs stand im Belieben des Dichters.	138:146	38:47	2.0
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17923-12	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Sie gewähren ein gewisses Gefühl der Befriedigung dadurch, daß sie dem Abgesang zwei Zeilen einräumen.	138:146	71:79	2.0
Abgesang	2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-1748-43	Waren die frühen Bücher, zumal die Novelle „Tod in Venedig", der dekadent-romantischen Todessehnsucht verhaftet, die für den bürgerlichen Abgesang charakteristisch ist, so brachte bereits der „Zauberberg" die scharfe Kritik daran.	Die einzelnen Strophen sind von zehn, bei Marot eilf Zeilen, so daß die letzte immer einen Refrain macht, am Schluß des Ganzen kommt ein besonderes renvoi dazu, sonst könnten hier die vier ersten Zeilen die Stollen das übrige den Abgesang abgeben.	138:146	230:238	2.0
