lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Armenhaus	nn_nrhz159b_1848-209-34	26120215_1950_07_08_01_020.tcf.xml-2-8	3.0	kerner_besessene_1834-1423-33	4.0	2532889X_1990-08-09_01_059.tcf.xml-14-14	2.0			['kerner_besessene_1834-1423-33', '26120215_1950_07_08_01_020.tcf.xml-2-8', '2532889X_1990-08-09_01_059.tcf.xml-14-14']		3
Armenhaus	kerner_besessene_1834-1323-10			reil_curmethode_1803-4355-8	4.0	2532889X_1990-08-04_01_072.tcf.xml-6-5	3.0	2532889X_1990-08-15_01_278.tcf.xml-1-9	2.0	['reil_curmethode_1803-4355-8', '2532889X_1990-08-04_01_072.tcf.xml-6-5', '2532889X_1990-08-15_01_278.tcf.xml-1-9']		3
Armenhaus	kerner_besessene_1834-1424-20	polenz_buettnerbauer_1895-9021-12	3.0			becker_arbeiter_1860-251-43	4.0	26120215_1987_08_18_01_292.tcf.xml-35-10	2.0	['becker_arbeiter_1860-251-43', 'polenz_buettnerbauer_1895-9021-12', '26120215_1987_08_18_01_292.tcf.xml-35-10']		3
Armenhaus	marx_kapital01_1867-11481-18	2532889X_1990-08-22_01_065.tcf.xml-13-6	2.0	polenz_buettnerbauer_1895-8647-20	3.0	vischer_aesthetik030201_1852-959-17	4.0			['vischer_aesthetik030201_1852-959-17', 'polenz_buettnerbauer_1895-8647-20', '2532889X_1990-08-22_01_065.tcf.xml-13-6']		3
Armenhaus	savigny_system02_1840-2902-69			polenz_buettnerbauer_1895-2989-18	3.0	becker_arbeiter_1860-251-43	4.0	2532889X_1961-02-05_01_049.tcf.xml-139-6	2.0	['becker_arbeiter_1860-251-43', 'polenz_buettnerbauer_1895-2989-18', '2532889X_1961-02-05_01_049.tcf.xml-139-6']		3
Armenhaus	lehnert_seehaefen01_1891-5214-29	treitschke_geschichte01_1879-9009-6	4.0	hug_familie_1896-5694-25	3.0	2532889X_1989-04-18_01_029.tcf.xml-1-7	2.0			['treitschke_geschichte01_1879-9009-6', 'hug_familie_1896-5694-25', '2532889X_1989-04-18_01_029.tcf.xml-1-7']		3
Armenhaus	bluntschli_staatslehre_1875-3769-43	kerner_besessene_1834-1344-7	4.0			2532889X_1987-10-16_01_089.tcf.xml-8-3	3.0	2532889X_1959-10-23_01_105.tcf.xml-4-5	2.0	['kerner_besessene_1834-1344-7', '2532889X_1987-10-16_01_089.tcf.xml-8-3', '2532889X_1959-10-23_01_105.tcf.xml-4-5']		3
Armenhaus	polenz_buettnerbauer_1895-2989-18	2532889X_1987-05-14_01_038.tcf.xml-13-4	2.0	bluntschli_staatslehre_1875-3769-43	4.0			savigny_system02_1840-2902-69	3.0	['bluntschli_staatslehre_1875-3769-43', 'savigny_system02_1840-2902-69', '2532889X_1987-05-14_01_038.tcf.xml-13-4']		3
Armenhaus	peschel_voelkerkunde_1874-4634-42	polenz_buettnerbauer_1895-9020-2	4.0	2532889X_1964-01-08_01_040.tcf.xml-15-14	2.0			26120215_1969_06_15_01_428.tcf.xml-2-14	3.0	['polenz_buettnerbauer_1895-9020-2', '26120215_1969_06_15_01_428.tcf.xml-2-14', '2532889X_1964-01-08_01_040.tcf.xml-15-14']		3
Armenhaus	nn_nrhz009_1848-584-55			2532889X_1978-12-19_01_168.tcf.xml-1-20	2.0	treitschke_geschichte01_1879-9009-6	4.0	2532889X_1954-09-07_01_024.tcf.xml-18-18	3.0	['treitschke_geschichte01_1879-9009-6', '2532889X_1954-09-07_01_024.tcf.xml-18-18', '2532889X_1978-12-19_01_168.tcf.xml-1-20']		3
