lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Armenhaus	2532889X_1947-04-04_01_040.tcf.xml-92-25	2532889X_1979-04-16_01_183.tcf.xml-10-18	Dann wird kein Grund bestehen, über die Gefahr der Umwandlung Deutschlands in ein übervölkertes Elendsgebiet oder ein Land, das in wirtschaftlicher Hinsicht ein Armenhaus im Mittelpunkte" Europas sein.f,*~.. KL, „uuiuyaa sciu wurde * ZU wurde, sprechen.	Heute vor 90 Jahren in London geboren, verbrachte er Kindheit und Jugend in den Slums und im Armenhaus dieser Stadt.	161:170	93:102	2.0
Armenhaus	2532889X_1947-04-04_01_040.tcf.xml-92-25	26120215_1987_08_18_01_292.tcf.xml-35-10	Dann wird kein Grund bestehen, über die Gefahr der Umwandlung Deutschlands in ein übervölkertes Elendsgebiet oder ein Land, das in wirtschaftlicher Hinsicht ein Armenhaus im Mittelpunkte" Europas sein.f,*~.. KL, „uuiuyaa sciu wurde * ZU wurde, sprechen.	Seinen Krieg gegen die Befreiungsbewegungen dieser drei Staaten kann das Armenhaus Europas freilich nur mit Hilfe der NATO, vor allem der USA und der BRD, finanzieren.	161:170	73:82	4.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	2532889X_1959-10-23_01_105.tcf.xml-4-5	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Schleswig-Holstein, oft als „Armenhaus" Westdeutschlands bezeichnet, wird gegenwartig vom Kriegsministerium und vom NATO-Stab zur Aggressionsbasis Nr. 1 ausgebaut.	139:148	29:38	4.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	2532889X_1964-01-08_01_040.tcf.xml-12-30	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Tatsächlich wird die bloße Andeutung mit Überraschung, sogar ärgerlich begrüßt Hier In Westdeutschland und besonders In Westberlin Ist jeder der Meinung, daß der östliche Teil des Vaterlandes ein Armenhaus Ist Durch diese vorgefaßte Meinung werden die Westdeutschen zu der Überzeugung ermutigt, daß die ostdeutsche kommunistische Wirt -	139:148	196:205	4.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	2532889X_1987-10-16_01_089.tcf.xml-8-3	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	In der als Armenhaus der Bundesrepublik geltenden Region kündigt sich für den kommenden Winter eine noch tiefer greifende, nie	139:148	11:20	4.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	2532889X_1990-08-07_01_163.tcf.xml-4-6	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Sonst wird dxe jetzige DDR zum Armenhaus des künftigen Deutschland.	139:148	31:40	4.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	2532889X_1990-09-26_01_119.tcf.xml-10-7	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Wer nicht wolle, daß aus dem Armenhaus DDR heraus ein Druck billiger Arbeitskräfte auf den Lebensstandard und das erreichte Niveau sozialer Absicherung einwirke, müsse wie die LINKE LISTE/PDS für eine massive Förderung der ostdeutschen Wirtschaft eintreten.	139:148	29:38	4.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	26120215_1946_04_21_01_231.tcf.xml-37-15	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Da er in der hiesigen Gemeinde versorourqsberechtigt war, wurde er mit seiner Familie im Armenhaus untergebracht,	139:148	89:98	2.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	26120215_1958_08_26_01_256.tcf.xml-8-16	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Dann denken sie zurück an früher, als es für ihresgleichen oft nur das Siechen-oder Armenhaus als letzte Zuflucht gab.	139:148	84:93	2.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	hc_1070405_1848-734-33	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Da nun über das Vorhandenseyn von Erben und Nachkommen des Stifters des genannten Armenhauses, Amtmanns Gue, bisher nichts hat ermittelt werden können, so werden auf den Antrag der Jnspectoren des Armenhauses mit ertheilter Genehmigung Herzogl.	139:148	197:208	2.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	marx_kapital01_1867-11481-18	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Ihr trennt das Spinnrad und den Pflug, die Spindel und das Joch, und erhaltet Fabriken und Armenhäuser, Kredit und Paniks, zwei feindliche Nationen, agrikole und kommercielle.“ (David Urquhart l. c. p. 122.)	139:148	91:102	2.0
Armenhaus	2532889X_1949-09-04_01_021.tcf.xml-14-28	mayer_verwaltungsrecht01_1895-4291-82	Je länger Lüdemann regierte, desto öfter lachte sich die CDU ins, Fäustehen und desto mehr wurde das Land, nach einem Wort Lüdemanns, zum „Armenhaus der Bizone".	Vor allem aber giebt es auch auf dem Gebiete der inneren Verwaltung eine Menge Zwang, der nicht Polizei ist: Zwang zur Führung von Ehrenämtern, zur Ausführung von Fronden an Gemeindewegen (O. V.G. 24. Okt. 1876, 14. Okt. 1882), Ausweisung von bestraften Personen im Interesse der Kommunen (O. V.G. 24. Febr. 1883, Samml. IX S. 372, 427), sodann der erhebliche Zwang, der in der Disciplin der Schulen, Irrenhäuser, Armenhäuser stattfindet, die Beitreibung von Gemeindelasten, Schulgeld, Post-und Telegraphengebühren (O. V.G. 1. Febr. 1879).	139:148	414:425	3.0
