lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Behandlung	carus_gynaekologie01_1820-2038-1	2532889X_1951-07-08_01_007.tcf.xml-5-3	4.0	savigny_system01_1840-3857-18	2.0	2532889X_1961-04-04_01_034.tcf.xml-14-1	3.0	beseler_volksrecht_1843-1931-37	1.0	['2532889X_1951-07-08_01_007.tcf.xml-5-3', '2532889X_1961-04-04_01_034.tcf.xml-14-1', 'savigny_system01_1840-3857-18', 'beseler_volksrecht_1843-1931-37']		4
Behandlung	savigny_system07_1848-630-14	2532889X_1988-11-26_01_194.tcf.xml-33-14	2.0	gerland_naturvoelker_1868-1518-21	3.0			jhering_recht01_1852-508-63	4.0	['jhering_recht01_1852-508-63', 'gerland_naturvoelker_1868-1518-21', '2532889X_1988-11-26_01_194.tcf.xml-33-14']		3
Behandlung	zoeckler_lehre_1879-1902-16	carus_zoologie_1872-6709-16	1.0	stein_handbuch_1870-7931-17	3.0	hartwig_erziehung_1847-1238-14	4.0	26120215_1948_03_07_02_047.tcf.xml-4-26	2.0	['hartwig_erziehung_1847-1238-14', 'stein_handbuch_1870-7931-17', '26120215_1948_03_07_02_047.tcf.xml-4-26', 'carus_zoologie_1872-6709-16']		4
Behandlung	stifter_steine02_1853-149-37	2532889X_1981-02-05_01_078.tcf.xml-17-3	2.0			carus_gynaekologie02_1820-5204-1	3.0	dilthey_geisteswissenschaften_1883-3629-12	4.0	['dilthey_geisteswissenschaften_1883-3629-12', 'carus_gynaekologie02_1820-5204-1', '2532889X_1981-02-05_01_078.tcf.xml-17-3']		3
Behandlung	carus_zoologie_1872-6709-16	stein_verwaltungslehre05_1868-4684-16	4.0	2532889X_1951-07-08_01_007.tcf.xml-5-3	1.0			2532889X_1956-06-19_01_082.tcf.xml-6-7	2.0	['stein_verwaltungslehre05_1868-4684-16', '2532889X_1956-06-19_01_082.tcf.xml-6-7', '2532889X_1951-07-08_01_007.tcf.xml-5-3']		3
Behandlung	boeheim_waffenkunde_1890-20-12			2532889X_1953-10-06_01_124.tcf.xml-18-12	3.0	2532889X_1972-01-26_01_193.tcf.xml-5-11	2.0	26120215_1953_02_08_01_319.tcf.xml-38-28	4.0	['26120215_1953_02_08_01_319.tcf.xml-38-28', '2532889X_1953-10-06_01_124.tcf.xml-18-12', '2532889X_1972-01-26_01_193.tcf.xml-5-11']		3
Behandlung	wilamowitz_tragoedie_1889-1638-68	vischer_poetik_1857-2472-55	4.0	rumohr_forschungen02_1827-588-47	3.0			26120215_1975_03_01_01_075.tcf.xml-7-9	2.0	['vischer_poetik_1857-2472-55', 'rumohr_forschungen02_1827-588-47', '26120215_1975_03_01_01_075.tcf.xml-7-9']		3
Behandlung	hartwig_erziehung_1847-1238-14	boeheim_waffenkunde_1890-20-12	3.0	26120215_1972_04_09_01_242.tcf.xml-28-6	1.0	beseler_volksrecht_1843-1931-37	2.0	zoeckler_lehre_1879-1902-16	4.0	['zoeckler_lehre_1879-1902-16', 'boeheim_waffenkunde_1890-20-12', 'beseler_volksrecht_1843-1931-37', '26120215_1972_04_09_01_242.tcf.xml-28-6']		4
Behandlung	beseler_volksrecht_1843-1931-37	carus_gynaekologie01_1820-2038-1	1.0	2532889X_1956-06-19_01_082.tcf.xml-6-7	3.0	26120215_1972_05_05_01_089.tcf.xml-58-12	2.0	gutzkow_zeitgenossen02_1842-2429-15	4.0	['gutzkow_zeitgenossen02_1842-2429-15', '2532889X_1956-06-19_01_082.tcf.xml-6-7', '26120215_1972_05_05_01_089.tcf.xml-58-12', 'carus_gynaekologie01_1820-2038-1']		4
Behandlung	gutzkow_zeitgenossen02_1842-2429-15	2532889X_1953-10-06_01_124.tcf.xml-18-12	3.0			beseler_volksrecht_1843-1931-37	4.0	2532889X_1956-06-19_01_082.tcf.xml-6-7	2.0	['beseler_volksrecht_1843-1931-37', '2532889X_1953-10-06_01_124.tcf.xml-18-12', '2532889X_1956-06-19_01_082.tcf.xml-6-7']		3
Behandlung	marx_kapital01_1867-699-8	26120215_1980_10_18_01_048.tcf.xml-34-10	2.0			26120215_1953_02_08_01_319.tcf.xml-38-28	4.0	2532889X_1947-02-28_01_064.tcf.xml-13-15	3.0	['26120215_1953_02_08_01_319.tcf.xml-38-28', '2532889X_1947-02-28_01_064.tcf.xml-13-15', '26120215_1980_10_18_01_048.tcf.xml-34-10']		3
Behandlung	2532889X_1951-07-08_01_007.tcf.xml-5-3	2532889X_1959-06-13_01_070.tcf.xml-17-45	2.0	2532889X_1961-04-04_01_034.tcf.xml-14-1	1.0	huber_reisejournal_1811-1600-50	3.0	carus_gynaekologie01_1820-2038-1	4.0	['carus_gynaekologie01_1820-2038-1', 'huber_reisejournal_1811-1600-50', '2532889X_1959-06-13_01_070.tcf.xml-17-45', '2532889X_1961-04-04_01_034.tcf.xml-14-1']		4
Behandlung	2532889X_1988-11-26_01_194.tcf.xml-33-14	vischer_poetik_1857-2690-58	2.0	sachs_botanik_1875-1922-53	3.0	26120215_1980_10_18_01_048.tcf.xml-34-10	4.0			['26120215_1980_10_18_01_048.tcf.xml-34-10', 'sachs_botanik_1875-1922-53', 'vischer_poetik_1857-2690-58']		3
Behandlung	26120215_1972_04_09_01_242.tcf.xml-28-6	zoeckler_lehre_1879-1902-16	3.0	2532889X_1951-07-08_01_007.tcf.xml-5-3	2.0	26120215_1953_02_08_01_319.tcf.xml-38-28	4.0	hartwig_erziehung_1847-1238-14	1.0	['26120215_1953_02_08_01_319.tcf.xml-38-28', 'zoeckler_lehre_1879-1902-16', '2532889X_1951-07-08_01_007.tcf.xml-5-3', 'hartwig_erziehung_1847-1238-14']		4
Behandlung	26120215_1953_02_08_01_319.tcf.xml-38-28			huber_reisejournal_1811-1600-50	2.0	boeheim_waffenkunde_1890-20-12	4.0	2532889X_1953-10-06_01_124.tcf.xml-18-12	3.0	['boeheim_waffenkunde_1890-20-12', '2532889X_1953-10-06_01_124.tcf.xml-18-12', 'huber_reisejournal_1811-1600-50']		3
Behandlung	2532889X_1983-11-17_01_029.tcf.xml-4-21	2532889X_1954-01-17_01_008.tcf.xml-16-10	2.0	2532889X_1951-07-08_01_007.tcf.xml-5-3	4.0			2532889X_1961-04-04_01_034.tcf.xml-14-1	3.0	['2532889X_1951-07-08_01_007.tcf.xml-5-3', '2532889X_1961-04-04_01_034.tcf.xml-14-1', '2532889X_1954-01-17_01_008.tcf.xml-16-10']		3
Behandlung	26120215_1971_06_04_01_234.tcf.xml-9-3			gutzkow_zeitgenossen02_1842-2429-15	2.0	vischer_aesthetik030205_1857-1902-20	3.0	26120215_1981_04_18_01_216.tcf.xml-83-27	4.0	['26120215_1981_04_18_01_216.tcf.xml-83-27', 'vischer_aesthetik030205_1857-1902-20', 'gutzkow_zeitgenossen02_1842-2429-15']		3
Behandlung	26120215_1972_05_05_01_089.tcf.xml-58-12	2532889X_1990-02-19_01_019.tcf.xml-3-8	2.0	berg_ostasien01_1864-1194-40	3.0	2532889X_1971-11-16_01_188.tcf.xml-8-15	4.0			['2532889X_1971-11-16_01_188.tcf.xml-8-15', 'berg_ostasien01_1864-1194-40', '2532889X_1990-02-19_01_019.tcf.xml-3-8']		3
Behandlung	26120215_1961_10_13_01_092.tcf.xml-29-2	rosenkranz_aesthetik_1853-2805-17	2.0	2532889X_1972-01-26_01_193.tcf.xml-5-11	4.0	2532889X_1988-11-26_01_194.tcf.xml-33-14	3.0			['2532889X_1972-01-26_01_193.tcf.xml-5-11', '2532889X_1988-11-26_01_194.tcf.xml-33-14', 'rosenkranz_aesthetik_1853-2805-17']		3
