lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Behandlung	2532889X_1947-02-28_01_064.tcf.xml-13-15	2532889X_1949-08-03_01_013.tcf.xml-3-17	Ende 1946 waren von 590000 Berliner Kindern bis zu 14 Jahren 11500 Tbc-erkrankte Kinder In Behandlung.	Der Beschluß ist, wie. mitgeteilt wird, auf die kürzlich enthüllten Tatsachen über die brutale Behandlung der in Jugoslawien lebenden Sowjetbürger. zurückzuführen.	91:101	95:105	2.0
Behandlung	2532889X_1947-02-28_01_064.tcf.xml-13-15	26120215_1948_03_07_02_047.tcf.xml-4-26	Ende 1946 waren von 590000 Berliner Kindern bis zu 14 Jahren 11500 Tbc-erkrankte Kinder In Behandlung.	Die Polizei händigte ihm einen Schein folgenden Inhalts aus: „Herrn Dr. X ist das Tragen einer Pistole gestattet, da er diese für die Behandlung seiner Patienten bei Nacht benotigt In Bahia in Brasilien starb ein Mann, der sidi seit 75 Jahren niemals die Haare hatte schneiden lassen.	91:101	134:144	3.5
Behandlung	2532889X_1947-02-28_01_064.tcf.xml-13-15	beseler_volksrecht_1843-1931-37	Ende 1946 waren von 590000 Berliner Kindern bis zu 14 Jahren 11500 Tbc-erkrankte Kinder In Behandlung.	Damit soll aber natürlich nicht gesagt seyn, daß die historische Forschung und die Philosophie für das Juristenrecht keine Bedeutung haben; denn da es einen Theil des positiven Rechts bildet, so bietet es der wissenschaftlichen Behandlung alle Seiten dar, welche nur an diesem überhaupt zu finden sind.	91:101	228:238	2.5
Behandlung	2532889X_1947-02-28_01_064.tcf.xml-13-15	carus_gynaekologie01_1820-2038-1	Ende 1946 waren von 590000 Berliner Kindern bis zu 14 Jahren 11500 Tbc-erkrankte Kinder In Behandlung.	Die Behandlung der Metritis muß gleichfalls nach Ursachen, Grad und Charakter der Krankheit verschieden seyn.	91:101	4:14	4.0
Behandlung	2532889X_1947-02-28_01_064.tcf.xml-13-15	mueller_hellenische03_1824-5649-2	Ende 1946 waren von 590000 Berliner Kindern bis zu 14 Jahren 11500 Tbc-erkrankte Kinder In Behandlung.	Bei Hekatäos Behandlung der Heraklesfabel beziehe ich mich auf Creuzers Fragm. histor. antiqu. p. 45. Hek. erzählte die Bezwingung der Hyder (Aelian H. A. 9, 23.), den Fang des Erymanthischen Ebers bei Psophis (Steph. B. Ψωφὶς nach Salmas.), deutete aufgeklärt den Kerberos von einer Schlange auf Taenaron (Paus. 3, 25, 4.).	91:101	13:23	2.0
Behandlung	2532889X_1947-02-28_01_064.tcf.xml-13-15	stein_handbuch_1870-7931-17	Ende 1946 waren von 590000 Berliner Kindern bis zu 14 Jahren 11500 Tbc-erkrankte Kinder In Behandlung.	Es ist hier der Punkt, sich über die Unklarheit der Begriffe zu verständigen, welche die Behandlung dieser Gebiete schwierig macht.	91:101	89:99	2.0
Behandlung	2532889X_1947-07-22_01_026.tcf.xml-29-21	26120215_1954_02_14_01_187.tcf.xml-27-12	Diese Männer sind zusammengesperrt mit ihren früheren Peinigern, SS-Offizieren und höheren Parteibonzen, die ihnen gegenüber bedeutende Vorteile in der Behandlung genießen.	Eine groß* Gefahr für das Heranzüchten solcher resistenten Keime ist allerdings die Behandlung mit zu kleinen Dosierungen der Heilmittel.	152:162	84:94	3.0
Behandlung	2532889X_1947-07-22_01_026.tcf.xml-29-21	liszt_voelkerrecht_1898-3450-1	Diese Männer sind zusammengesperrt mit ihren früheren Peinigern, SS-Offizieren und höheren Parteibonzen, die ihnen gegenüber bedeutende Vorteile in der Behandlung genießen.	Die Behandlung der Kriegsgefangenen ist vielfach durch die nationale Gesetzgebung geregelt.	152:162	4:14	4.0
Behandlung	2532889X_1949-08-03_01_013.tcf.xml-3-17	26120215_1953_02_08_01_319.tcf.xml-38-28	Der Beschluß ist, wie. mitgeteilt wird, auf die kürzlich enthüllten Tatsachen über die brutale Behandlung der in Jugoslawien lebenden Sowjetbürger. zurückzuführen.	Trotzdem bleibt für uns schon die von Kruczkowski genauso wie von Rybak angewandte und von uns oben beschriebene Methode, das Volk als die entscheidende Kraft bei der Behandlung historischer Ereignisse in den Mittelpunkt zu stellen, wertvoll genug, um dieses Buch einem größeren Leserkreis zu empfehlen.	95:105	167:177	2.5
Behandlung	2532889X_1949-08-03_01_013.tcf.xml-3-17	beseler_volksrecht_1843-1931-37	Der Beschluß ist, wie. mitgeteilt wird, auf die kürzlich enthüllten Tatsachen über die brutale Behandlung der in Jugoslawien lebenden Sowjetbürger. zurückzuführen.	Damit soll aber natürlich nicht gesagt seyn, daß die historische Forschung und die Philosophie für das Juristenrecht keine Bedeutung haben; denn da es einen Theil des positiven Rechts bildet, so bietet es der wissenschaftlichen Behandlung alle Seiten dar, welche nur an diesem überhaupt zu finden sind.	95:105	228:238	2.5
