lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Engpaß	nn_nrhz037_1848-385-30	mommsen_roemische01_1854-4605-25	4.0	2532889X_1950-03-07_01_127.tcf.xml-15-18	2.0	schwab_sagen01_1838-4563-27	3.0			['mommsen_roemische01_1854-4605-25', 'schwab_sagen01_1838-4563-27', '2532889X_1950-03-07_01_127.tcf.xml-15-18']		3
Engpaß	droysen_alexander_1833-3035-13	vischer_aesthetik030203_1854-1875-31	4.0	2532889X_1960-10-01_01_162.tcf.xml-14-1	1.0	2532889X_1954-04-01_01_021.tcf.xml-204-60	2.0			['vischer_aesthetik030203_1854-1875-31', '2532889X_1954-04-01_01_021.tcf.xml-204-60', '2532889X_1960-10-01_01_162.tcf.xml-14-1']		3
Engpaß	vischer_aesthetik030203_1854-1875-31			2532889X_1978-06-20_01_044.tcf.xml-42-17	2.0	lehnert_seehaefen01_1891-3266-10	4.0	humboldt_aequinoktial04_1859-2016-1	3.0	['lehnert_seehaefen01_1891-3266-10', 'humboldt_aequinoktial04_1859-2016-1', '2532889X_1978-06-20_01_044.tcf.xml-42-17']		3
Engpaß	mommsen_roemische01_1854-1944-42	26120215_1977_12_01_01_218.tcf.xml-48-22	2.0			justi_velazquez02_1888-6324-22	3.0	humboldt_aequinoktial02_1859-811-59	4.0	['humboldt_aequinoktial02_1859-811-59', 'justi_velazquez02_1888-6324-22', '26120215_1977_12_01_01_218.tcf.xml-48-22']		3
Engpaß	humboldt_aequinoktial04_1859-2016-1			hc_1732910_1813-21-10	4.0	vischer_aesthetik030203_1854-1875-31	3.0	26120215_1948_12_21_01_020.tcf.xml-6-1	2.0	['hc_1732910_1813-21-10', 'vischer_aesthetik030203_1854-1875-31', '26120215_1948_12_21_01_020.tcf.xml-6-1']		3
Engpaß	droysen_alexander_1833-1874-35	2532889X_1960-10-01_01_162.tcf.xml-14-1	2.0	schwab_sagen01_1838-4563-27	3.0	droysen_alexander_1833-2064-57	4.0			['droysen_alexander_1833-2064-57', 'schwab_sagen01_1838-4563-27', '2532889X_1960-10-01_01_162.tcf.xml-14-1']		3
Engpaß	erbkam_tagebuch02_1843-2502-22	26120215_1948_12_21_01_020.tcf.xml-6-1	2.0	droysen_alexander_1833-2064-57	4.0			vischer_auch01_1879-2983-42	3.0	['droysen_alexander_1833-2064-57', 'vischer_auch01_1879-2983-42', '26120215_1948_12_21_01_020.tcf.xml-6-1']		3
Engpaß	justi_velazquez02_1888-6257-25	freud_hysterie_1895-3911-8	2.0			schubin_vollmondzauber02_1899-783-5	3.0	droysen_alexander_1833-1200-62	4.0	['droysen_alexander_1833-1200-62', 'schubin_vollmondzauber02_1899-783-5', 'freud_hysterie_1895-3911-8']		3
Engpaß	mommsen_roemische01_1854-4630-10	26120215_1990_02_17_01_042.tcf.xml-36-13	3.0			2532889X_1983-07-12_01_127.tcf.xml-18-2	2.0	nn_nrhz193_1849-455-27	4.0	['nn_nrhz193_1849-455-27', '26120215_1990_02_17_01_042.tcf.xml-36-13', '2532889X_1983-07-12_01_127.tcf.xml-18-2']		3
Engpaß	humboldt_aequinoktial01_1859-1063-13	schwab_sagen01_1838-4563-27	3.0	2532889X_1956-10-12_01_039.tcf.xml-40-34	2.0	vischer_aesthetik030203_1854-1875-31	4.0			['vischer_aesthetik030203_1854-1875-31', 'schwab_sagen01_1838-4563-27', '2532889X_1956-10-12_01_039.tcf.xml-40-34']		3
