lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Engpaß	2532889X_1947-06-10_01_049.tcf.xml-10-2	26120215_1948_12_21_01_020.tcf.xml-6-1	Ein weiterer Engpaß, den wir nur mit Mühe Oberwunden haben, war die schlechte Qualität ' unserer Zugkräfte.	Dieser Engpaß könne nur überwunden werden, wenn in kürzester Frist eme Wasserleitung von der Saale nach Unterwellenborn und im Werk einSO 000 cbm fassendes Wasserreservoir gebaut werden.	13:19	7:13	4.0
Engpaß	2532889X_1948-02-05_01_130.tcf.xml-5-2	26120215_1948_12_21_01_020.tcf.xml-6-1	Als einen Engpaß der Demontage bezeichnete Minister Nölting das Problem der Verpackung der demontierten Maschinen.	Dieser Engpaß könne nur überwunden werden, wenn in kürzester Frist eme Wasserleitung von der Saale nach Unterwellenborn und im Werk einSO 000 cbm fassendes Wasserreservoir gebaut werden.	10:16	7:13	3.5
Engpaß	2532889X_1948-06-27_01_025.tcf.xml-4-1	26120215_1988_08_16_01_035.tcf.xml-12-21	Der Engpaß für die Gaswerke ist seit Beginn der umfangreichen Kohlelieferungen aus Polen nicht mehr die Kohle, sondern die Materialversorgung zur Durchführung der notwendigen Reparaturen.	Weitere Festlegungen betreffen den teilweisen Ausgleich der fehlenden Arbeitekräfte, die Stabilisierung der.Schichtbereiche in der Vorfertigung und dort, wo Engpässe sichtbar geworden sind.	4:10	157:165	3.5
Engpaß	2532889X_1948-06-27_01_025.tcf.xml-4-1	droysen_alexander_1833-2077-10	Der Engpaß für die Gaswerke ist seit Beginn der umfangreichen Kohlelieferungen aus Polen nicht mehr die Kohle, sondern die Materialversorgung zur Durchführung der notwendigen Reparaturen.	Alexander erkannte die außerordentliche Wichtigkeit der Hyrkanischen Satrapie, ihrer Engpässe, ihrer hafenreichen Küsten, ihrer zum Schiffbau trefflichen Waldungen; schon jetzt mochte ihn der große Plan einer Kaspischen Flotte, eines Verkehrs zwischen diesen Küsten und dem Osten Asiens, einer Entdeckungsfahrt in diesem Meere beschäftigen; noch mehr als dies forderte die Communication zwischen den bisherigen Eroberungen und den weiteren Heereszügen vollkommene Besitznahme dieser paßreichen Gebirgslandschaft, die das Südufer des Kaspischen Meeres beherrscht; Alexander hatte sich eben jetzt der Pässe der Tapurischen Distrikte versichert; Parmenion war beauftragt, mit dem Corps, das in Medien stand, im nächsten Frühling durch das nördliche Medien und die Kaspischen Westpässe im Lande der Kadusier nach dem Meeresstrande hinabzurücken, um die Straße, welche Armenien und Medien mit dem Thale des Kur und dem Kaspischen Meere verbindet, zu öffnen; er sollte von dort aus, am Strande entlang, nach Hyrkanien und weiter der großen Armee nachziehen. Die Pässe von Pyl-Rudbar, die aus Medien am Amardusstrom hinab zum Meere führen, und welche durch das kriegerische und raublüsterne Bergvolk der Amardier gesperrt wurden, beschloß Alexander durch einen Streifzug gegen diese Amardier sofort zu öffnen. Während die Hauptmasse des Heeres im Lager von Arvas zurückblieb, zog er selbst an der Spitze der Hypaspisten, der Phalangen Könus und Amyntas, einiger Rittergeschwader und mehrerer leichter Corps gen Westen; die Amardier, im Vertrauen auf die Unzugänglichkeit ihrer Berge, da noch nie ein Feind in ihre Wälder eingedrungen war, hatten sich bisher um die Macedonier nicht viel gekümmert; da rückte Alexander von der Ebene heran; die nächsten Ortschaften wurden genommen, die Bewohner flüchteten sich in die waldigen Gebirge.	4:10	85:93	1.5
Engpaß	2532889X_1948-12-07_01_055.tcf.xml-31-27	2532889X_1952-07-13_01_005.tcf.xml-48-34	Ahnlich wir es auch in der Pettenkoferstraße in der Nähe des Bahnhofs Frankfurter Allee, wo verschiedene Stadtbezirke der SED Friednchshain an der Arbeit w=iren. um Engpässe im Straßenverkehr zu beseitigen.	Die Parteikonferenz lenkt die Aufmerksamkeit der Parteimitglieder im Staatsapparat und in der Industrie auf die Notwendigkeit der Rekonstruktion der Hüttenindustrie, des Bergbaus, des Schwermaschinenbaus und der Energiewirtschaft und der raschesten Beseitigung der Engpässe in der Entwicklung der Energiewirtschaft, des Schwermaschinenbaus, des Hüttenwesens und der Rohstoffbasis, ohne deren Überwindung die erfolgreiche Erfüllung, des Fünfjahrplans nicht möglich ist.	165:173	265:273	1.5
Engpaß	2532889X_1948-12-07_01_055.tcf.xml-31-27	26120215_1988_08_16_01_035.tcf.xml-12-21	Ahnlich wir es auch in der Pettenkoferstraße in der Nähe des Bahnhofs Frankfurter Allee, wo verschiedene Stadtbezirke der SED Friednchshain an der Arbeit w=iren. um Engpässe im Straßenverkehr zu beseitigen.	Weitere Festlegungen betreffen den teilweisen Ausgleich der fehlenden Arbeitekräfte, die Stabilisierung der.Schichtbereiche in der Vorfertigung und dort, wo Engpässe sichtbar geworden sind.	165:173	157:165	3.0
Engpaß	2532889X_1949-02-06_01_163.tcf.xml-82-15	2532889X_1959-12-11_01_033.tcf.xml-12-33	Es sei selbstverständlich, daß jeder im Betrieb alle Kräfte mobilisiere, um Schwierigkeiten und Engpässe ZU überwinden.	Das bedeutet daß der Feldfutterbau umfangreich genug gesteigert und eine Vorratswirtschaft, wie künstliche Trocknung und Silage mit Hilfe von Silokammern verschiedener Größe, schnellstens weaterentwickelt wird, so daß künftig klimatisch bedingte Engpässe der Futterversorgung ausgeglichen werden kön-' nen.	96:104	246:254	4.0
Engpaß	2532889X_1949-02-06_01_163.tcf.xml-82-15	droysen_alexander_1833-2055-28	Es sei selbstverständlich, daß jeder im Betrieb alle Kräfte mobilisiere, um Schwierigkeiten und Engpässe ZU überwinden.	Dies dürfte genau der Weg sein, den Forster nahm (s. G. Forster Journey from Bengal to England, Vol. II, p. 191); der Engpaß von Chaloo ist dreizehn Meilen von Damaghan entfernt, und drei Meilen vor demselben fand Forster eine Reihe Ruinen auf einer Höhe.	96:104	118:124	2.0
Engpaß	2532889X_1949-03-27_01_027.tcf.xml-133-37	2532889X_1977-07-08_01_117.tcf.xml-11-25	Die Verbesserung der technischen Anlagen, die bessere Organisation der Arbeit sowie — und das ist entscheidend wichtig — ein verständnisvolles Zusammenarbeiten mit den Kollegen aus der Werkstatt ermöglichten die Steigerung der Leistung und halfen einen entscheidenden Engpaß in der Normalisierung des Lebens der Werktätigen überwinden.	Sie bedingt, so wird unterstrichen, die Überwindung überholter Auffassungen und Traditionen sowie von anderen Faktoren, welche die Entwicklung hemmen wie Bürokratismus und Engpässe verschiedener Art.	268:274	172:180	3.5
Engpaß	2532889X_1949-04-01_01_034.tcf.xml-76-32	2532889X_1959-12-11_01_033.tcf.xml-12-33	Durch d'e Hilfe der Sowjetunion, durch den Handel mit den osteuropäischen Völkern und nicht zuletzt durch Anspannung aller Kräfte, sei es-den Werktätigen der Ostzone gelungen, den drohenden" Engpaß in der Grundstoffindustrie zu überwinden.	Das bedeutet daß der Feldfutterbau umfangreich genug gesteigert und eine Vorratswirtschaft, wie künstliche Trocknung und Silage mit Hilfe von Silokammern verschiedener Größe, schnellstens weaterentwickelt wird, so daß künftig klimatisch bedingte Engpässe der Futterversorgung ausgeglichen werden kön-' nen.	191:197	246:254	4.0
Engpaß	2532889X_1949-05-06_01_101.tcf.xml-2-2	26120215_1977_02_03_01_293.tcf.xml-15-22	Um den Engpaß auf-dem Gebiete des Zahnersatze « überwinden zu helfen, haben die Techniker und Ingenieure des Betriebes „Elektrische Apparatebau" in Zusammenarbeit" mit Zahnärzten ein Schleudergußgerät entwickelt das bei Behördenvertretern und Fachleuten allgemeine Zustimmung fand.	Die Methoden erinnern an Chile: Vernichtung der Saaten, Wirtschaftssabotage, Anstiftung zu Streiks und Maschinenstürmerei, Preistreiberei, Schaffung von Engpässen bei der Versorgung der Bevölkerung, Zerstörung öffentlicher Transportmittel, finanzielle Spekulationen und — in	7:13	153:162	4.0
Engpaß	2532889X_1949-07-09_01_169.tcf.xml-2-11	2532889X_1949-07-16_01_087.tcf.xml-8-3	Das volksei gene Dachziegelwerk Sömmerda hür.1 konnte trotz Schwierigkeiten und Engpässen bei der Beschaffung von Hilfsmitteln und Rohstoffen das Halb-Jahressoll von 2 300 000 Dachzie gein vorfristig erfüllen.	Um endlich diesen Engpaß zu überwinden, haben die Handwerker des Betriebes nach einer Produktionsbesprechune In zwei Tagen 250 Förderwagen überholt.	80:89	18:24	4.0
Engpaß	2532889X_1949-07-16_01_087.tcf.xml-8-3	2532889X_1953-09-20_01_041.tcf.xml-68-18	Um endlich diesen Engpaß zu überwinden, haben die Handwerker des Betriebes nach einer Produktionsbesprechune In zwei Tagen 250 Förderwagen überholt.	Es ist eine Kontrolle seiner Erfüllung einzuführen, wobei eine volle Ausnutzung der Produktionskapazitäten, die Liquidierung von Engpässen in den Betneben sowie die volle Ausnutzung der Material-und Arbeitskräfte-Reserven unter Berücksichtigung der Erfahrungen in den vorgeschrittenen Betrieben und der Vorschläge der Neuerer der Produktion erzielt werden muß.	18:24	129:138	4.0
Engpaß	2532889X_1949-07-16_01_087.tcf.xml-8-3	2532889X_1954-04-01_01_021.tcf.xml-204-60	Um endlich diesen Engpaß zu überwinden, haben die Handwerker des Betriebes nach einer Produktionsbesprechune In zwei Tagen 250 Förderwagen überholt.	für zu interessieren, den Ausschuß mit aller Kraft zu senken, Ausfall-und Stillstandzeiten zu vermeiden. den Ausfall von Maschinen zu verhindern oder notwendige Reparaturen zu beschleunigen, den Produktions-und Transportprozeß flüssig und störungsfrei zu organisieren, die Kapazitäten voll auszunutzen, keine faulen Ausreden irgendwelcher Betriebs-und Verwaltungsfuruktionäre über sogenannte „objektive" Schwierigkeiten, über Engpässe und Schwierigkeiten der Materialversorgung gelten zu lassen.	18:24	426:434	4.0
Engpaß	2532889X_1949-08-09_01_030.tcf.xml-5-8	26120215_1947_04_24_01_126.tcf.xml-7-9	2. Sonderschichten innerhalb des Betriebs zur Beseitigung von Engpässen bedürfen einer ausdrücklichen Zustimmung der.	Die RöhrenherstelluAq ist nach dem Zusammenbruch auch der schwierigste Engpaß der Rundfunkindustrie.	62:71	71:77	4.0
Engpaß	2532889X_1949-11-05_01_077.tcf.xml-4-3	2532889X_1956-09-07_01_041.tcf.xml-18-6	Nachdem auch der Engpaß in der Besetzung mit Ärzten und Sanitätspersonal zum größten Teil überwunden war, konnte die gesundheitliche -Betreuung der Werkangehörigen und in kleinerem Umfange auch die der Familienmitglieder durchgeführt werden.	Die neue Secura-Kleinregistrierkasse überbrückt den „Engpaß" in der Beschaffung von hochwertigen Kleinregistrierkassen, damit auch in den Ein-Mann-Verkaufsstellen, Kiosken und im ambulanten Handel eine Kontrolle durch die Registrierkassen erfolgen kann.	17:23	53:59	4.0
Engpaß	2532889X_1949-12-01_01_071.tcf.xml-24-5	vischer_aesthetik030203_1854-1875-31	(Eig. Ber.) Den Engpaß „Kugellager will die Leipziger Kugellagerfabrik beseitigen.	So befand sich auf der Kunstausstellung zu Berlin 1852 ein Sittenbild von Lessing: wehrhafte Gebirgsmänner in der Tracht am Ausgang des Mittelalters, von Felsen herab auf Ritter in einem Engpaß schießend, ein Gefangener in vornehmer Kleidung unter ihnen; alles so auffallend porträtartig, bei vortrefflicher Ausführung so local und speziell interessant behandelt, daß man durchaus meinte, im Katalog die Angabe einer bestimmten Begebenheit lesen zu müssen; das Bild wirkte bei allem Werth aus diesem Grunde beunruhigend.	16:22	187:193	2.0
Engpaß	2532889X_1950-01-03_01_082.tcf.xml-2-12	2532889X_1959-12-11_01_033.tcf.xml-12-33	Die Belegschaft versuchte d? her aus den vorhandenen. Mittel diesen Engpaß zu überwinden.	Das bedeutet daß der Feldfutterbau umfangreich genug gesteigert und eine Vorratswirtschaft, wie künstliche Trocknung und Silage mit Hilfe von Silokammern verschiedener Größe, schnellstens weaterentwickelt wird, so daß künftig klimatisch bedingte Engpässe der Futterversorgung ausgeglichen werden kön-' nen.	68:74	246:254	4.0
Engpaß	2532889X_1950-03-07_01_127.tcf.xml-15-18	26120215_1977_12_01_01_218.tcf.xml-48-22	• Alle 10 Tage werden in allen Abteilungen Produktionsberatungen stattfinden, mit deren Hilfe man auftretende Schwierigkeiten urld Engpässe sofort beseitigen will.	Lkw, Bau-und Landmaschinen, Pumpstationen, Ziegeleien, Signal-und Sicherungsanlagen, kurzum Erzeugnisse, die bei der Überwindung jener Engpässe keine geringe Rolle spielen	131:139	135:143	2.0
