lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Entscheidung	2532889X_1947-11-15_01_039.tcf.xml-30-6	26120215_1956_12_13_01_163.tcf.xml-41-12	Die Londoner Vorkonferenz hat zwar kelns Entscheidungen zu fällen, trotzdem verfolgt das deutsche Volk diese Verhandlungen mit größter Aufmerksamkeit, zeichnen sich doch hier bereits die ersten Umrisse der verschie -	Im Hinblick auf das große Risiko wird also jeder Arzt bei der Entscheidung über eine solche Operation äußerst vorsichtig sein.	41:55	62:74	4.0
Entscheidung	2532889X_1950-10-11_01_053.tcf.xml-52-3	26120215_1972_08_08_01_113.tcf.xml-20-29	Und dann die Entscheidung zu den Volkswahlen — für diesen Aufbau aus eigener Kraft —, das wird ein neuer Schlag gegen diejenigen sein, die meine westdeutsche Heimat ins Unglück zu fuhren suchen.	Während über 100 und vielleicht 200 m Konkurrenten wie Mike Wenden (Australien), Michel Rousseau (Frankreich) oder Wladimir Bure (UdSSR) noch in die Entscheidung eingreifen könnten, ist auf den langen Kraulstrecken bisher weit und breit kein ernsthafter Gegner zu sehen.	13:25	149:161	3.0
Entscheidung	2532889X_1951-10-03_01_011.tcf.xml-14-17	2532889X_1989-03-21_01_042.tcf.xml-13-14	Ich protestiere entschieden dagegen, daß sowjetische Kinder von den amerikanischen Besatzungsbehörden zurückgehalten werden und daß die Entscheidung über ihr Schicksal einem amerikanischen Gericht anheimgestellt wird, das keinerlei Recht hat, über das Schicksal sowjetischer Burger zu bestimmen.	Sie hat reiche Erfahrungen, denn seit 19 Jahren trifft sie als Stadtverordnete mit Entscheidungen für das Wohl der Bürger der Bezirksstadt.	136:148	83:97	4.0
Entscheidung	2532889X_1954-11-25_01_012.tcf.xml-10-15	2532889X_1984-06-06_01_020.tcf.xml-5-5	Nach der entschiedenen Erklärung Rechtsanwalt Dr. Kauls und nachdem Rechtsanwalt Dr. Böhmer I eine sofortige Entscheidung des Gerichts über die eingebrachten Anträge verlangte, konnte Wintrich nicht umhin, diesem Antrag stattzugeben.	Das Landesarbeitsgericht hob mit seiner Entscheidung ein Urteil des Arbeitsgerichtes Frankfurt (Main) auf das in der vergangenen Woche die Aussperrung unter Berufung auf die hessische Landesverfas -	109:121	40:52	4.0
Entscheidung	2532889X_1959-07-22_01_091.tcf.xml-64-24	26120215_1983_06_09_01_267.tcf.xml-4-24	Die Zeit stelle den Menschen unausweichlich vor die Entscheidung, die er treffen müsse, um zu leben: denn „ein Leben ohne Entscheidung Ist kein Leben".	Aul einer Eröffnungspressekonferenz sagte der Hannoversche Landesbischof Eduard Lohse, der Kirchentag solle deutlich machen, daß ein Christ, wie immer seine politische Entscheidung im einzelnen aussehen möge, auf jeden Fall der Aufgabe der Erhaltung des Friedens verpflichtet sei.	122:134	168:180	4.0
Entscheidung	2532889X_1961-07-13_01_006.tcf.xml-34-13	2532889X_1979-02-22_01_024.tcf.xml-48-4	Dafür brüstet man ' sich aber im Vorstandskommunique', daß man alle notwendigen Entscheidungen „im Einvernehmen mit unseren Verbündeten treffen muß.	Es ist nicht die Entscheidung des Volkes von Simbabwe.	80:94	17:29	4.0
Entscheidung	2532889X_1961-07-13_01_006.tcf.xml-34-13	klostermann_eigenthum01_1867-2150-7	Dafür brüstet man ' sich aber im Vorstandskommunique', daß man alle notwendigen Entscheidungen „im Einvernehmen mit unseren Verbündeten treffen muß.	Doch mag im Allgemeinen und ohne bestimmte Entscheidung für den privat-beziehungsweise vermögensrechtlichen Charakter der einzelnen Befugnisse hingewiesen werden: auf das Recht zur ausschliesslichen Führung einer bestimmten Firma (deutsches Handelsgesetzbuch Art. 15 ff.), auf das Recht zum ausschliesslichen Gebrauche bestimmter Waarenzeichen und auf die aus Erfindungs-und Einführungspatenten hervorgehenden Rechte. «	80:94	43:55	4.0
Entscheidung	2532889X_1963-09-03_01_106.tcf.xml-15-14	26120215_1978_02_23_01_155.tcf.xml-28-5	Tatsächlich weist eine Reihe von Anzeichen darauf hin.-daß sich Nehru bei seiner Entscheidung, die insgesamt zwölf Minister zu entlassen, nicht allein von „parteipolitischen Gründen im Sinne des Plans der Kongreßführung" leiten ließ.	Heute fällt in Lahti die Entscheidung über 4X10 km der Männerstaffeln.	81:93	25:37	3.0
Entscheidung	2532889X_1964-05-24_01_156.tcf.xml-5-6	2532889X_1978-02-23_01_102.tcf.xml-3-33	Damit haben die Arbeiter Burmas eine Entscheidung getroffen, die für die weitere Entwicklung ihres Landes von großer Bedeutung ist.	In einem am Mittwoch in Algier veröffentlichten Interview sagte er, wenn man von der nächsten Etappe des Kampfes spreche, „muß man die auf den Gipfeltreffen von Tripolis und Algier getroffenen Entscheidungen berücksichtigen".	37:49	193:207	4.0
Entscheidung	2532889X_1965-05-18_01_057.tcf.xml-11-6	26120215_1947_08_03_01_058.tcf.xml-5-21	Der Bundesgerichtshof In Karlsruhe fällte mehrere Entscheidungen, nach denen Scheidungsurteile von DDR-Gerichten in Westdeutschland nicht anerkannt zu werden brauchen.	Ein Bescheid ist nicht erteilt worden, so daß die Folgerung naheliegt, daß die Prüfung noch nicht abgeschlossen oder die Entscheidung nicht gefallen ist, Darüber hinaus liegt unter den vieien Anträgen auf Zulassung der Vereine und Verbände ein solcher alter Boxpioniere, die den Berliner Amateurboxverband. wie er einst im Sinne wahren Volkssportes arbeitete, wieder aufleben lassen wollen, An der Spitze dieses Antrages steht L, Mandlar. der einstige Mitbegründer des Deutschen Amateurboxverbandes, eines verdienten Boxpioniers, der bis 1933 mit dem verstorbenen Max Böhm gemeinsam die Geschicke des Amateurboxsportes lenkte,	50:64	121:133	4.0
