lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Fuß	gerstner_mechanik02_1832-2830-16	berg_ostasienzoologie01_1876-1067-15	1.0	26120215_1978_06_28_01_138.tcf.xml-18-4	2.0			beck_eisen03_1897-18606-9	4.0	['beck_eisen03_1897-18606-9', '26120215_1978_06_28_01_138.tcf.xml-18-4', 'berg_ostasienzoologie01_1876-1067-15']		3
Fuß	gerstner_mechanik02_1832-7575-14	humboldt_kosmos01_1845-1696-49	4.0	26120215_1946_03_20_01_064.tcf.xml-17-24	1.0	2532889X_1987-04-02_01_133.tcf.xml-8-15	2.0			['humboldt_kosmos01_1845-1696-49', '2532889X_1987-04-02_01_133.tcf.xml-8-15', '26120215_1946_03_20_01_064.tcf.xml-17-24']		3
Fuß	brehm_thierleben04_1867-3770-37	chamisso_schlemihl_1814-832-15	3.0	2532889X_1946-12-31_01_185.tcf.xml-36-6	4.0	berg_ostasienzoologie02_1867-6940-9	2.0	beck_eisen03_1897-18606-9	1.0	['2532889X_1946-12-31_01_185.tcf.xml-36-6', 'chamisso_schlemihl_1814-832-15', 'berg_ostasienzoologie02_1867-6940-9', 'beck_eisen03_1897-18606-9']		4
Fuß	humboldt_kosmos04_1858-2162-45	erbkam_tagebuch02_1843-2273-21	4.0	26120215_1963_06_16_01_335.tcf.xml-14-33	1.0	26120215_1952_06_22_01_263.tcf.xml-5-26	2.0			['erbkam_tagebuch02_1843-2273-21', '26120215_1952_06_22_01_263.tcf.xml-5-26', '26120215_1963_06_16_01_335.tcf.xml-14-33']		3
Fuß	gerstaecker_schiesswaffen_1848-33-38	2532889X_1982-07-31_01_468.tcf.xml-75-11	1.0	2532889X_1968-05-25_01_057.tcf.xml-7-15	2.0			brehm_thierleben06_1869-18710-26	4.0	['brehm_thierleben06_1869-18710-26', '2532889X_1968-05-25_01_057.tcf.xml-7-15', '2532889X_1982-07-31_01_468.tcf.xml-75-11']		3
Fuß	arnimb_goethe01_1835-799-56	gerstner_mechanik03_1834-7807-16	2.0	gutzkow_narren_1832-2317-53	4.0	2532889X_1989-05-17_01_030.tcf.xml-24-19	3.0	brehm_thierleben06_1869-18710-26	1.0	['gutzkow_narren_1832-2317-53', '2532889X_1989-05-17_01_030.tcf.xml-24-19', 'gerstner_mechanik03_1834-7807-16', 'brehm_thierleben06_1869-18710-26']		4
Fuß	grimm_maerchen01_1843-1349-46	26120215_1967_07_04_01_045.tcf.xml-28-6	3.0			26120215_1975_03_19_01_119.tcf.xml-76-17	4.0	brehm_thierleben02_1865-13067-13	1.0	['26120215_1975_03_19_01_119.tcf.xml-76-17', '26120215_1967_07_04_01_045.tcf.xml-28-6', 'brehm_thierleben02_1865-13067-13']		3
Fuß	egger_vater_1895-4426-15	brehm_thierleben06_1869-18710-26	1.0	chamisso_schlemihl_1814-832-15	4.0	brehm_thierleben04_1867-14874-30	3.0			['chamisso_schlemihl_1814-832-15', 'brehm_thierleben04_1867-14874-30', 'brehm_thierleben06_1869-18710-26']		3
Fuß	brehm_thierleben02_1865-20071-12	chamisso_schlemihl_1814-832-15	4.0			menzel_maurer_1847-3269-17	2.0	2532889X_1961-09-20_01_030.tcf.xml-3-7	3.0	['chamisso_schlemihl_1814-832-15', '2532889X_1961-09-20_01_030.tcf.xml-3-7', 'menzel_maurer_1847-3269-17']		3
Fuß	humboldt_meer_1833-131-41	mueller_hellenische03_1824-4149-21	2.0	2532889X_1984-03-27_01_120.tcf.xml-15-18	1.0			nettelbeck_lebensbeschreibung02_1821-1836-37	4.0	['nettelbeck_lebensbeschreibung02_1821-1836-37', 'mueller_hellenische03_1824-4149-21', '2532889X_1984-03-27_01_120.tcf.xml-15-18']		3
Fuß	berg_ostasienzoologie01_1876-1067-15	2532889X_1973-12-31_01_327.tcf.xml-5-20	4.0	26120215_1952_06_22_01_263.tcf.xml-5-26	2.0	gerstner_mechanik02_1832-2830-16	1.0	berlepsch_alpen_1861-944-29	3.0	['2532889X_1973-12-31_01_327.tcf.xml-5-20', 'berlepsch_alpen_1861-944-29', '26120215_1952_06_22_01_263.tcf.xml-5-26', 'gerstner_mechanik02_1832-2830-16']		4
