lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Knotenpunkt	treitschke_geschichte05_1894-7592-14	26120215_1962_06_23_01_221.tcf.xml-6-4	4.0	26120215_1980_10_04_01_096.tcf.xml-49-5	3.0			mohr_fachwerk02_1875-108-4	2.0	['26120215_1962_06_23_01_221.tcf.xml-6-4', '26120215_1980_10_04_01_096.tcf.xml-49-5', 'mohr_fachwerk02_1875-108-4']		3
Knotenpunkt	wundt_medizinische_1867-1513-1	vischer_aesthetik030204_1857-934-9	2.0	schubert_naturwissenschaft_1808-2638-7	3.0	2532889X_1950-06-28_01_038.tcf.xml-19-26	1.0	gottschall_poetik_1858-5961-15	4.0	['gottschall_poetik_1858-5961-15', 'schubert_naturwissenschaft_1808-2638-7', 'vischer_aesthetik030204_1857-934-9', '2532889X_1950-06-28_01_038.tcf.xml-19-26']		4
Knotenpunkt	vischer_aesthetik030204_1857-1481-153			mohr_fachwerk02_1875-167-33	4.0	wundt_medizinische_1867-4731-41	3.0	wundt_medizinische_1867-4735-4	2.0	['mohr_fachwerk02_1875-167-33', 'wundt_medizinische_1867-4731-41', 'wundt_medizinische_1867-4735-4']		3
Knotenpunkt	mohr_fachwerk02_1875-172-13			wundt_medizinische_1867-4735-4	4.0	2532889X_1972-08-22_01_060.tcf.xml-8-11	1.0	2532889X_1989-09-27_01_061.tcf.xml-15-5	2.0	['wundt_medizinische_1867-4735-4', '2532889X_1989-09-27_01_061.tcf.xml-15-5', '2532889X_1972-08-22_01_060.tcf.xml-8-11']		3
Knotenpunkt	mueller_festigkeitslehre_1886-361-32	mueller_festigkeitslehre_1886-294-9	4.0	gottschall_poetik_1858-5961-15	3.0	2532889X_1982-02-19_02_118.tcf.xml-7-15	2.0			['mueller_festigkeitslehre_1886-294-9', 'gottschall_poetik_1858-5961-15', '2532889X_1982-02-19_02_118.tcf.xml-7-15']		3
Knotenpunkt	robert_griechische_1881-1228-67	mueller_festigkeitslehre_1886-1234-23	2.0	wundt_medizinische_1867-4735-4	1.0	26120215_1953_01_10_01_038.tcf.xml-76-36	4.0	2532889X_1984-12-19_01_252.tcf.xml-27-2	3.0	['26120215_1953_01_10_01_038.tcf.xml-76-36', '2532889X_1984-12-19_01_252.tcf.xml-27-2', 'mueller_festigkeitslehre_1886-1234-23', 'wundt_medizinische_1867-4735-4']		4
Knotenpunkt	lehnert_seehaefen01_1891-13281-14			ludwig_physiologie01_1852-3467-76	3.0	2532889X_1972-08-22_01_060.tcf.xml-8-11	2.0	2532889X_1968-08-28_01_175.tcf.xml-16-7	4.0	['2532889X_1968-08-28_01_175.tcf.xml-16-7', 'ludwig_physiologie01_1852-3467-76', '2532889X_1972-08-22_01_060.tcf.xml-8-11']		3
Knotenpunkt	mueller_festigkeitslehre_1886-231-2	wundt_medizinische_1867-4735-4	4.0	ludwig_physiologie01_1852-3467-76	3.0	26120215_1985_03_02_01_101.tcf.xml-1-5	2.0	2532889X_1984-12-19_01_252.tcf.xml-27-2	1.0	['wundt_medizinische_1867-4735-4', 'ludwig_physiologie01_1852-3467-76', '26120215_1985_03_02_01_101.tcf.xml-1-5', '2532889X_1984-12-19_01_252.tcf.xml-27-2']		4
Knotenpunkt	mueller_festigkeitslehre_1886-493-55			lehnert_seehaefen01_1891-13281-14	3.0	2532889X_1972-08-22_01_060.tcf.xml-8-11	2.0	mohr_fachwerk01_1874-34-32	4.0	['mohr_fachwerk01_1874-34-32', 'lehnert_seehaefen01_1891-13281-14', '2532889X_1972-08-22_01_060.tcf.xml-8-11']		3
Knotenpunkt	ludwig_physiologie01_1852-2856-30	mohr_fachwerk01_1874-34-32	3.0	robert_griechische_1881-1128-27	2.0	mueller_festigkeitslehre_1886-294-9	4.0			['mueller_festigkeitslehre_1886-294-9', 'mohr_fachwerk01_1874-34-32', 'robert_griechische_1881-1128-27']		3
