lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Lyzeum	2532889X_1947-03-08_01_105.tcf.xml-3-2	26120215_1957_09_19_01_031.tcf.xml-5-7	In einem Lyzeum In Zarskoje-Ssjelo, einem Vorort des Jetzigen Leningrad, das nach der Idee des Zaren für Adelssprößlinge gegründet wurde, wächst auch ein Junger Adliger heran, mütterlicherseits Abkömmling eines Abesslnlers, dessen überempfindliches, sprunghaftes. leidenschaftliches Wesen und freiheitliche Gesinnung Ihn bald mit seinen Lehrern, die Jede eigene Willensäußerung-unterdrücken, in Konflikt bringen.	Ihr Abitur absolvierte sie an einem „Lyzeum für höhere Töchter" in Stettin.	9:15	37:43	4.0
Lyzeum	2532889X_1949-06-05_01_064.tcf.xml-11-13	2532889X_1983-06-10_01_099.tcf.xml-6-5	Aber er war von seiner Jugend an, schon in seinen Studienjahren im Lyzeum zu Zarskoje Selo, ein Empörer gegen die feudale Faulenzerkaste und ein Rebell gegen das auf Rückständigkeit und Untertanentum errichtete zaristische Rußland.	Die Ausbildung der Schüler des Lyzeums wie auch der Lehrerstudenten In diesen naturwissenschaftlichen Fächern erfolgt in Fachkabinetten, die mit Apparaturen und Geräten aus einer Solidaritätssendung der DDR ausgestattet sind.	67:73	31:38	4.0
Lyzeum	2532889X_1952-04-18_01_079.tcf.xml-1-6	duehring_berufsbildung_1885-319-21	Die studierende Jugend des Staatlichen Pädagogischen Lyzeums in Warschau besitzt ein ausgezeichnet organisiertes ultur=Ensemble, dessen Leistungen sich durch hohes künstlerisches Niveau ausz eichnen.	Doch lassen wir die Chemie als Feuerwerk in sechs Vorstellungen auf sich beruhen; denn das ganze Treiben auf dem sogenannten Lyceum ist ja überhaupt Spielerei und Schein.	53:60	125:131	3.5
Lyzeum	2532889X_1955-03-13_01_049.tcf.xml-37-11	2532889X_1978-03-21_01_078.tcf.xml-3-12	In der Grundschule hatte sie oft Tanzschritte erfunden, und im Lyzeum hatte der Turnlehrer erklärt, er habe noch niemals eine derartige Tanzbegabung wie bei Manuela gesehen.	Nach Angaben der vier regionalen Lehrergewerkschaften wurde deren gemeinsamer Streikaufruf in den Lyzeen fast lOOprozentig, in der Mittelstufe zu etwa 90 und in den Elementarschuleinrichtungen Hier sind die Möglichkeiten staatlicher Druckausübung am stärksten -zu 60 bis 70 Prozent befolgt,	63:69	98:104	4.0
Lyzeum	2532889X_1955-03-13_01_049.tcf.xml-37-11	stein_verwaltungslehre05_1868-4712-3	In der Grundschule hatte sie oft Tanzschritte erfunden, und im Lyzeum hatte der Turnlehrer erklärt, er habe noch niemals eine derartige Tanzbegabung wie bei Manuela gesehen.	Da nun das Lyceum auf Pensionnats gegründet ist, so ist das Lyceum dadurch die Vorbildungsanstalt der gesammten besitzenden Klasse für alle Berufszweige geworden.	63:69	11:17	3.5
Lyzeum	2532889X_1955-03-13_01_049.tcf.xml-6-38	2532889X_1980-10-18_01_198.tcf.xml-65-7	Manuela, die für ihr schüchternes Wesen und ihr gutes Betragen bekannt war, empörte sich an Jenem Tag, verteidigte den Lehrer, schimpfte die aufgeregten Eltern der Mitschülerinnen „Carolas" und nannte die Direktion des Lyzeums -unfähig".	Die einstige Folterstätte im Gebäude des ehemaligen Lyzeums Toul Svay Prey ist heute Nationale Mahn-und Gedenkstätte	219:226	52:59	3.5
Lyzeum	2532889X_1960-05-04_01_058.tcf.xml-3-26	stein_verwaltungslehre05_1868-4721-27	Unser Weg hätte uns zu jenem gerundeten Hause aus Holz geführt, in dem Puschkin, der Goethe des russischen Volkes, während seiner Studienzeit im Lyzeum von Zarskoe Selo gelebt hatte.	Unter dem Proviseur, der wieder unter dem Recteur steht; reiner Beamteter, und seit dem Statut vom 4. September 1821 fast souveräner Herr des ganzen Lyceums.	145:151	149:156	4.0
Lyzeum	2532889X_1962-07-02_01_061.tcf.xml-3-4	2532889X_1970-12-12_01_028.tcf.xml-8-9	Beruf: Sportlehrer am Lyzeum und In der Papierfabrik von Tervakoski	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	22:28	99:105	3.5
Lyzeum	2532889X_1965-12-24_01_074.tcf.xml-19-23	nn_turnkunst02_1844-1190-15	Von hier aus kann man das neue Kep gut übersehen; die drei hellen Schulgebäude, das Sportstadion, das Hotel, das Lyzeum, die Verwaltung und das staatliche Warenhaus.	Jm Sommer 1835 wurden dann einige Stunden für den gymnastischen Unterricht an dem damals bestehenden Lyceum Friedericianum festgesetzt; dann aber unterblieb er wieder bis im Frühjahr 1838 ein bleibender Turn-Unterricht am Gymnasium eingerichtet wurde.	113:119	101:107	4.0
Lyzeum	2532889X_1967-03-25_01_098.tcf.xml-195-14	2532889X_1970-12-12_01_028.tcf.xml-8-9	Viet Hong, das älteste von vier Kindern, besuchte In Casablanca das französische Lyzeum bis zum Abitur.	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	81:87	99:105	4.0
Lyzeum	2532889X_1970-12-12_01_028.tcf.xml-8-9	2532889X_1974-06-19_01_169.tcf.xml-12-7	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	Hier trat Puschkin 1811 in das neugegründete Lyzeum des Zaren ein.	99:105	45:51	3.5
Lyzeum	2532889X_1970-12-12_01_028.tcf.xml-8-9	2532889X_1989-08-26_01_238.tcf.xml-45-5	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	Kopfschüttelnd stand der Hausmeister des Lyzeums in einer Ecke, und als einer nach Venezuela rief, wies er auf den Zettel an der Tür.	99:105	41:48	3.5
Lyzeum	2532889X_1970-12-12_01_028.tcf.xml-8-9	2532889X_1990-03-27_01_114.tcf.xml-17-13	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	Und daß man mit dem Geld für eine einzige „Hades" drei Lyzeen bauen kann.	99:105	55:61	3.5
Lyzeum	2532889X_1970-12-12_01_028.tcf.xml-8-9	26120215_1951_01_28_01_049.tcf.xml-7-3	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	zender Welse am Lyzeum von Niortund, ging dann zur Ecole Normale Superieure, einer Anstalt zur Ausbildung von Universitätskräften.	99:105	16:22	4.0
Lyzeum	2532889X_1970-12-12_01_028.tcf.xml-8-9	26120215_1984_02_22_01_191.tcf.xml-17-26	Genosse Neubauer verwirklichte seine sozialistischen Erziehungsgrundsätze sogar am gutbürgerlichen Lyzeum in Erfurt, an der früheren Sophienschule in Weimar und schließlich in Ruhla, wo er, der rote Schulmeister, zu einem echten Volkstribun wurde.	Man lief die Koblenzer Straße hinauf, bog in die Mainzer Straße ein, dann in die Weimarische, und da war es, das Vierte Lyzeum, wie es damals hieß,	99:105	120:126	3.5
