lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1948-11-04_01_149.tcf.xml-3-7	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Dabei entschlüpften ihm Tone, die einen Mißklang in die » westdeutsche Propagandamelodie hineinbringen.	81:89	40:48	3.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1952-12-31_01_044.tcf.xml-12-16	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Dank des großen Sieges der sowjetischen Waffen verschwand im östlichen Teil Deutschlands der tragische, jahrhundertelange Mißklang zwischen der herrschenden Klasse und der demokratischen Strömung des Geisteslebens.	81:89	122:130	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1956-08-14_01_021.tcf.xml-5-18	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Dr. Martin Niemöller, der in der überfüllten Katharinenkirche sprach, bedauerte, daß der Kirchentag nicht ohne Mißklang dahingegangen sei.	81:89	111:119	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1965-08-07_01_112.tcf.xml-23-6	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Leider hat es auch schon einen Mißklang gegeben, der auf das Konto von westdeutschen und schweizerischen Funktionären kommt.	81:89	31:39	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1947_04_06_01_019.tcf.xml-6-7	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Bedauerlicherweise blieb der Streik nicht ohne den Mißklang gehässiger Kommentare arbeiterfeindlicher Kreise, die seit Jahrzehnten bei jedem Streik die gleichen abgetakelten „Argumente" hervorkramen.	81:89	51:59	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1955_09_02_01_229.tcf.xml-8-16	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Die Eigensprache dieser Stadt ist bo stark, daß selbst das internationale Auto-und Menschenßewimmel keinen Mißklang aufkommen läßt.	81:89	107:115	3.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1957_12_24_01_070.tcf.xml-7-6	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Leider endete die Veranstaltung mit einem Mißklang, weil Woll ner (Schwerin) im Schwergewicht gegen Nitzschke bereits nach zwei harten Treffern, kaum das die erste Runde begonnen hatte. aufgab.	81:89	42:50	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1961_05_04_01_148.tcf.xml-3-2	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Mit einem Mißklang, wie er bei solchen Begegnungen nicht vorkommen sollte, endete gestern in Altenburg das Übungsspiel unserer Fußball-National-Elf gegen Slovan Bratislava.	81:89	10:18	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1971_11_11_01_077.tcf.xml-2-11	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	In meinem Beruf muß alles gut stimmen, sonst gibt es Mißklänge, und das hat keiner gern.	81:89	53:62	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	curtius_alterthum01_1875-2140-12	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Mit bewundernswürdiger Energie haben sie das Ungünstige fern zu halten, die Mißklänge zu überwinden und im Schönen zu leben verstanden.	81:89	76:85	4.0
Mißklang	2532889X_1946-07-26_01_006.tcf.xml-71-13	dahlmann_geschichte_1845-2278-24	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	Man muß es bis zu dem Augenblicke, da aus dieser Duldung eine praktische Verletzung der Grundsätze der nationalen Freiheit hervorginge, ein völliger Misklang in der gesellschaftlichen Ordnung.	81:89	149:157	4.0
