lemma	identifier	context	indexes_target_token	context_normalized
Mißklang	vischer_poetik_1857-3155-65	Diese Aussicht darf nicht zu entwickelt sein, wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdieß in die Breite des Empirischen, das neben dem idealen Ausschnitte des Drama's eigentlich nicht existirt, ablenken soll; sie darf nicht fehlen, wie am Schlusse vom Don Carlos und in großen Schicksals = und Effect-Stücken, die mit einem reinen Mißklang endigen.	381:389	Diese Aussicht darf nicht zu entwickelt sein , wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdies in die Breite des Empirischen , das neben dem idealen Ausschnitte des Drama's eigentlich nicht existiert , ablenken soll ; sie darf nicht fehlen , wie am Schlusse vom Don Carlos und in großen Schicksals = und Effekt-Stücken , die mit einem reinen Mißklang endigen .
Mißklang	vischer_aesthetik0201_1847-703-14	Treten nun mehr als zwei Farben zusammen, so wird zwar der Mangel oder Mißklang in ihrer Verbindung auch durch die Fortbewegung des Augs zu weiteren Farben gemildert, die obigen Bestimmungen behaupten aber doch in dem Grade Geltung, in welchem jene sich als zusammengehörig darstellen.	71:79	Treten nun mehr als zwei Farben zusammen , so wird zwar der Mangel oder Mißklang in ihrer Verbindung auch durch die Fortbewegung des Auges zu weiteren Farben gemildert , die obigen Bestimmungen behaupten aber doch in dem Grade Geltung , in welchem jene sich als zusammengehörig darstellen .
Mißklang	vischer_aesthetik030204_1857-1066-9	Unter diesen drei Fällen kann der zweite, der Mißklang, die schlechthinige Dissonanz, nur als kurzes, rasch verklingendes, jedoch auch sehr wirksames Durchgangsmoment gebraucht werden.	46:54	Unter diesen drei Fällen kann der zweite , der Mißklang , die schlechthinnige Dissonanz , nur als kurzes , rasch verklingendes , jedoch auch sehr wirksames Durchgangsmoment gebraucht werden .
Mißklang	vischer_aesthetik0201_1847-692-15	Tritt z. B. mit einem tiefen Blau ein dünnes Grün zusammen, so ist der Mißklang empfindlich; dagegen wo sich dunkles, öligtes, schwärzliches Grün von tiefem Blau absetzt, stellt sich der nöthige Gegensatz her.	71:79	Tritt z. B. mit einem tiefen Blau ein dünnes Grün zusammen , so ist der Mißklang empfindlich ; dagegen wo sich dunkles , öliges , schwärzliches Grün von tiefem Blau absetzt , stellt sich der nötige Gegensatz her .
Mißklang	curtius_alterthum01_1875-2140-12	Mit bewundernswürdiger Energie haben sie das Ungünstige fern zu halten, die Mißklänge zu überwinden und im Schönen zu leben verstanden.	76:85	Mit bewundernswürdiger Energie haben sie das Ungünstige fern zu halten , die Mißklänge zu überwinden und im Schönen zu leben verstanden .
Mißklang	brehm_thierleben06_1869-14813-64	Jndem wir diesen reichhaltigen Abschnitt schließen, hegen wir die Hoffnung, daß diejenigen Leser, welche sich nicht durch die Ueberschriften und den an sich nicht einladenden Gegenstand haben abschrecken lassen, durch das spannende Jnteresse an der Verkettung der Thatsachen volle Entschädigung für den Abgang des poetisch oder gemüthlich Anziehenden gefunden haben, möchten aber überhaupt daran mahnen, daß die vermeintlichen Mißklänge in der Natur ausgeglichen werden, wenn man auf einer höheren Warte sich einen erweiterten Gesichtskreis verschafft hat.	427:436	Indem wir diesen reichhaltigen Abschnitt schließen , hegen wir die Hoffnung , daß diejenigen Leser , welche sich nicht durch die Überschriften und den an sich nicht einladenden Gegenstand haben abschrecken lassen , durch das spannende Interesse an der Verkettung der Tatsachen volle Entschädigung für den Abgang des poetisch oder gemütlich Anziehenden gefunden haben , möchten aber überhaupt daran mahnen , daß die vermeintlichen Mißklänge in der Natur ausgeglichen werden , wenn man auf einer höheren Warte sich einen erweiterten Gesichtskreis verschafft hat .
Mißklang	vischer_aesthetik030205_1857-3107-64	Diese Aussicht darf nicht zu entwickelt sein, wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdieß in die Breite des Empirischen, das neben dem idealen Ausschnitte des Drama’s eigentlich nicht existirt, ablenken soll; sie darf nicht fehlen, wie am Schlusse vom Don Carlos und in großen Schicksals-und Effect-Stücken, die mit einem reinen Mißklang endigen.	379:387	Diese Aussicht darf nicht zu entwickelt sein , wenn sie nicht zu einem gemeinen und trivialen Begriffe von Gerechtigkeit führen und überdies in die Breite des Empirischen , das neben dem idealen Ausschnitte des Drama's eigentlich nicht existiert , ablenken soll ; sie darf nicht fehlen , wie am Schlusse vom Don Carlos und in großen Schicksals- und Effekt-Stücken , die mit einem reinen Mißklang endigen .
Mißklang	falke_trachten02_1858-3064-24	Der Büreaustaat, der bekanntlich alles schematisirt und auf Regeln zieht, liebt die Gleichmacherei, und so waren die bunten Volkstrachten ein schreiender Mißklang in dem farblosen Bilde seiner Weltanschauung.	154:162	Der Büreaustaat , der bekanntlich alles schematisiert und auf Regeln zieht , liebt die Gleichmacherei , und so waren die bunten Volkstrachten ein schreiender Mißklang in dem farblosen Bilde seiner Weltanschauung .
Mißklang	wackernagel_poetik_1873-4626-64	Denn die Sinne haben auf die Seele, der sie das äusserlich Wahrgenommene und Empfundene mittheilen, eine so entschiedene Einwirkung, und Lust oder Unlust der Sinne befördern oder stören so sehr die Seelenthätigkeit, dass auch eine sprachliche Darstellung, welche dem Gehör wohlgethan hat, leichter verstanden, leichter überschaut, leichter reproduciert wird als eine, die das Gehör durch Missklang verletzt.	388:397	Denn die Sinne haben auf die Seele , der sie das äußerlich Wahrgenommene und Empfundene mitteilen , eine so entschiedene Einwirkung , und Lust oder Unlust der Sinne befördern oder stören so sehr die Seelentätigkeit , dass auch eine sprachliche Darstellung , welche dem Gehör wohlgetan hat , leichter verstanden , leichter überschaut , leichter reproduziert wird als eine , die das Gehör durch Missklang verletzt .
Mißklang	varnhagen_denkwuerdigkeiten02_1837-2308-17	Er thut es mit ausdrucksvollem Eifer, der aber doch gegen den andern Inhalt in einem unangenehmen Mißklange bleibt, so daß man zweierlei Richtungen zu sehen glaubt, die getrennt nebeneinander laufen, und sich nicht vereinigen wollen, weil der höhere Standpunkt fehlt, in welchem die Widersprüche sich lösen könnten.	98:107	Er tut es mit ausdrucksvollem Eifer , der aber doch gegen den anderen Inhalt in einem unangenehmen Mißklange bleibt , so daß man zweierlei Richtungen zu sehen glaubt , die getrennt nebeneinander laufen , und sich nicht vereinigen wollen , weil der höhere Standpunkt fehlt , in welchem die Widersprüche sich lösen könnten .
Mißklang	schubin_vollmondzauber01_1899-1107-22	Er ärgerte sich über die Glocken, eine von ihnen war gesprungen, das hörte er ganz deutlich, es brachte einen Mißklang in die dröhnende, schwirrende Feierlichkeit.	110:118	Er ärgerte sich über die Glocken , eine von ihnen war gesprungen , das hörte er ganz deutlich , es brachte einen Mißklang in die dröhnende , schwirrende Feierlichkeit .
Mißklang	schubin_vollmondzauber02_1899-1120-2	Irgend ein Mißklang hatte die Harmonie des sonst rührenden schwesterlichen Verhältnisses getrübt.	11:19	Irgend ein Mißklang hatte die Harmonie des sonst rührenden schwesterlichen Verhältnisses getrübt .
Mißklang	vischer_aesthetik030204_1857-561-39	Auch diejenigen Unterschiede, die durch Tiefe und Höhe jene qualitative Grundform des Gefühls ausdrücken und das Hauptmittel für die Durchführung des Charakters einer Stimmung abgeben, erweisen sich als ursprünglich quantitativ und die innere Beziehung des Einklangs oder Mißklangs, in welche bestimmte Töne aus der Stufenreihe heraus zu einander treten, erklärt sich aus arithmetischer Einfachheit oder Verwicklung.	272:281	Auch diejenigen Unterschiede , die durch Tiefe und Höhe jene qualitative Grundform des Gefühls ausdrücken und das Hauptmittel für die Durchführung des Charakters einer Stimmung abgeben , erweisen sich als ursprünglich quantitativ und die innere Beziehung des Einklangs oder Mißklangs , in welche bestimmte Töne aus der Stufenreihe heraus zu einander treten , erklärt sich aus arithmetischer Einfachheit oder Verwicklung .
