lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Mut	jung_lebensgeschichte_1835-7497-38			arent_dichtercharaktere_1885-2253-27	2.0	avelallemant_gaunerthum03_1862-1769-68	4.0	2532889X_1973-08-05_01_192.tcf.xml-37-7	3.0	['avelallemant_gaunerthum03_1862-1769-68', '2532889X_1973-08-05_01_192.tcf.xml-37-7', 'arent_dichtercharaktere_1885-2253-27']		3
Mut	otto_schloss03_1846-1406-13	2532889X_1946-10-16_01_046.tcf.xml-7-0	4.0	jung_lebensgeschichte_1835-7497-38	3.0	schubin_vollmondzauber01_1899-461-4	2.0			['2532889X_1946-10-16_01_046.tcf.xml-7-0', 'jung_lebensgeschichte_1835-7497-38', 'schubin_vollmondzauber01_1899-461-4']		3
Mut	wedekind_erwachen_1891-2382-6	2532889X_1977-02-04_01_075.tcf.xml-11-26	4.0	hoffmann_floh_1822-1176-20	2.0			26120215_1982_12_20_01_028.tcf.xml-10-17	3.0	['2532889X_1977-02-04_01_075.tcf.xml-11-26', '26120215_1982_12_20_01_028.tcf.xml-10-17', 'hoffmann_floh_1822-1176-20']		3
Mut	2532889X_1946-10-16_01_046.tcf.xml-7-0	fontane_stechlin_1899-9051-6	3.0	otto_schloss03_1846-1406-13	4.0			hoffmann_floh_1822-1176-20	2.0	['otto_schloss03_1846-1406-13', 'fontane_stechlin_1899-9051-6', 'hoffmann_floh_1822-1176-20']		3
Mut	26120215_1987_02_27_01_221.tcf.xml-2-16	nettelbeck_lebensbeschreibung01_1821-1028-8	4.0			alexis_ruhe01_1852-1859-5	1.0	nn_nrhz247b_1849-110-38	3.0	['nettelbeck_lebensbeschreibung01_1821-1028-8', 'nn_nrhz247b_1849-110-38', 'alexis_ruhe01_1852-1859-5']		3
Mut	2532889X_1973-08-05_01_192.tcf.xml-37-7	brehm_thierleben01_1864-12204-61	2.0	26120215_1986_07_22_01_067.tcf.xml-145-4	4.0			26120215_1951_10_11_01_015.tcf.xml-23-22	3.0	['26120215_1986_07_22_01_067.tcf.xml-145-4', '26120215_1951_10_11_01_015.tcf.xml-23-22', 'brehm_thierleben01_1864-12204-61']		3
Mut	26120215_1983_08_09_01_033.tcf.xml-17-23	alexis_ruhe05_1852-33-35	3.0			26120215_1952_03_04_01_009.tcf.xml-9-1	4.0	vischer_aesthetik030204_1857-145-42	2.0	['26120215_1952_03_04_01_009.tcf.xml-9-1', 'alexis_ruhe05_1852-33-35', 'vischer_aesthetik030204_1857-145-42']		3
Mut	2532889X_1983-09-17_01_348.tcf.xml-45-1	jung_lebensgeschichte_1835-7497-38	2.0	26120215_1963_02_22_01_067.tcf.xml-29-11	4.0	2532889X_1959-10-10_01_109.tcf.xml-2-27	3.0			['26120215_1963_02_22_01_067.tcf.xml-29-11', '2532889X_1959-10-10_01_109.tcf.xml-2-27', 'jung_lebensgeschichte_1835-7497-38']		3
Mut	2532889X_1955-10-29_01_050.tcf.xml-103-45	stirner_einzige_1845-2813-13	3.0			jung_lebensgeschichte_1835-7497-38	2.0	brehm_thierleben01_1864-12204-61	4.0	['brehm_thierleben01_1864-12204-61', 'stirner_einzige_1845-2813-13', 'jung_lebensgeschichte_1835-7497-38']		3
Mut	26120215_1962_02_20_01_227.tcf.xml-37-9	nn_nrhz176_1848-260-29	2.0			26120215_1963_07_14_01_177.tcf.xml-37-10	4.0	arnim_wunderhorn01_1806-2004-11	3.0	['26120215_1963_07_14_01_177.tcf.xml-37-10', 'arnim_wunderhorn01_1806-2004-11', 'nn_nrhz176_1848-260-29']		3
