lemma	identifier	context	indexes_target_token	context_normalized
Mut	nn_nrhz100_1848-246-47	Graf Stadion hat vor der Abstimmung auf eine solche Weise auf die galizischen Bauern influenzirt, indem er ihnen gesagt, sie schafften den Kaiser ab, wenn sie mit Ja stimmten, daß … (Zischen, Bravo, Tumult) Wenn die Kammer nicht den Muth hat … (Bravo, Zischen, Tumult) ich habe den Muth zu reden; die Abstimmung ist nichtig! (Lärm).	233:237	Graf Stadion hat vor der Abstimmung auf eine solche Weise auf die galizischen Bauern influenziert , indem er ihnen gesagt , sie schafften den Kaiser ab , wenn sie mit Ja stimmten , daß ... ( Zischen , Bravo , Tumult ) Wenn die Kammer nicht den Mut hat ... ( Bravo , Zischen , Tumult ) ich habe den Mut zu reden ; die Abstimmung ist nichtig ! ( Lärm ) .
Mut	gutzkow_zeitgenossen01_1842-897-30	Man kann die Mittelglieder an Personen und Begebenheiten nicht übersehen, die zwischen seinem Beginnen und dem Risiko desselben inne lagen; ja, daß er im Grunde nur den Muth hatte, eine Stellung vorwegzunehmen, die, wenn er es nicht gethan hätte, sich würden die Andern genommen haben.	169:173	Man kann die Mittelglieder an Personen und Begebenheiten nicht übersehen , die zwischen seinem Beginnen und dem Risiko desselben inne lagen ; ja , daß er im Grunde nur den Mut hatte , eine Stellung vorwegzunehmen , die , wenn er es nicht getan hätte , sich würden die Anderen genommen haben .
Mut	fontane_kinderjahre_1894-1789-24	In kleinen Verhältnissen geboren, hatten sie sich mit Nothgroschen und Stipendien durchgeschlagen und unter Bitternissen und Demüthigungen aller Art doch keinen Augenblick den Muth verloren.	176:180	In kleinen Verhältnissen geboren , hatten sie sich mit Notgroschen und Stipendien durchgeschlagen und unter Bitternissen und Demütigungen aller Art doch keinen Augenblick den Mut verloren .
Mut	dahlmann_geschichte_1845-2713-111	Allein ich will Euch sagen: unter denjenigen, welche meine Lehre annehmen, werdet Ihr alle gemäßigten Männer finden, welche nicht glauben daß die Weisheit in den Extremen bestehe, noch daß der Muth zu zerstören niemals dem Muthe wiederaufzubauen Platz machen dürfe; Ihr werdet dazu die Mehrzahl jener entschlossenen Bürger zählen, welche zu Anfang der Etats-généraux (denn so hieß damals die Nationalversammlung, als sie noch in den Windeln der Freiheit eingeschnürt lag) so viele Vorurtheile mit Füßen traten, so vielen Gefahren Trotz boten, so vielen Widerstand besiegten, um in den Schooß der Gemeinen zu gelangen, welchen diese Hingebung den Muth und die siegende Kraft gab, wovon der Erfolg Eure ruhmvolle Revolution gewesen ist; Ihr werdet dort jene Volkstribunen finden, welche die Nation noch lange, trotz des Gekläffes einer neidischen Mittelmäßigkeit, zu den Befreiern des Vaterlandes zählen wird.	646:650	Allein ich will Euch sagen : unter denjenigen , welche meine Lehre annehmen , werdet Ihr alle gemäßigten Männer finden , welche nicht glauben daß die Weisheit in den Extremen bestehe , noch daß der Mut zu zerstören niemals dem Mute wiederaufzubauen Platz machen dürfe ; Ihr werdet dazu die Mehrzahl jener entschlossenen Bürger zählen , welche zu Anfang der Etats-generaux ( denn so hieß damals die Nationalversammlung , als sie noch in den Windeln der Freiheit eingeschnürt lag ) so viele Vorurteile mit Füßen traten , so vielen Gefahren Trotz boten , so vielen Widerstand besiegten , um in den Schoß der Gemeinen zu gelangen , welchen diese Hingebung den Mut und die siegende Kraft gab , wovon der Erfolg Eure ruhmvolle Revolution gewesen ist ; Ihr werdet dort jene Volkstribunen finden , welche die Nation noch lange , trotz des Gekläffes einer neidischen Mittelmäßigkeit , zu den Befreiern des Vaterlandes zählen wird .
Mut	arnimb_goethe01_1835-910-23	ich bin allein meiner heißen Sehnsucht Zeuge, und sollte mir's nicht gewähren, was ich bitte und flehe, daß ich Muth haben möge?	112:116	ich bin allein meiner heißen Sehnsucht Zeuge , und sollte mir es nicht gewähren , was ich bitte und flehe , daß ich Mut haben möge ?
Mut	droste_gedichte_1844-2451-11	Der Passagier, am Galgen stehend, Hohläugig, mit zerbrochnem Muth, Zu jedem Räuber flüstert flehend:	61:65	Der Passagier , am Galgen stehend , Hohläugig , mit zerbrochenem Mut , Zu jedem Räuber flüstert flehend :
Mut	stirner_einzige_1845-2813-13	Ich bin nur zu Dem nicht berechtigt, was Ich nicht mit freiem Muthe thue, d. h. wozu Ich Mich nicht berechtige.	62:67	Ich bin nur zu Dem nicht berechtigt , was Ich nicht mit freiem Mute tue , d. h. wozu Ich Mich nicht berechtige .
Mut	jung_lebensgeschichte_1835-7497-38	ich lernte sie zwar in Straßburg, aber blos, weil sie zum chirurgischen Studium gehören, vor der Ausübung aber hatte ich einen solchen Schauder und Abscheu, daß ich noch wohl weiß, wie mir zu Muth war, als die arme Frau zu Wichlinghausen, der selige Pastor Müller, der Doktor Dinkler in Elberfeld, und Freund Troost daselbst, mich gleichsam zwangen, die Operation an der so eben gemeldeten armen Frau zu wagen; mit Zittern und Beben machte ich sie erbärmlich schlecht — und die Frau sahe vortrefflich — nun bekam ich zwar mehr Muth, und doch noch jetzt, nachdem ich über fünfzehnhundert Blinde operirt habe, wandelt mich noch immer eine Angst an, wenn ich operiren soll.	192:196	ich lernte sie zwar in Straßburg , aber bloß , weil sie zum chirurgischen Studium gehören , vor der Ausübung aber hatte ich einen solchen Schauder und Abscheu , daß ich noch wohl weiß , wie mir zu Mut war , als die arme Frau zu Weichlinghausen , der selige Pastor Müller , der Doktor Dinkler in Elberfeld , und Freund Trost daselbst , mich gleichsam zwangen , die Operation an der so eben gemeldeten armen Frau zu wagen ; mit Zittern und Beben machte ich sie erbärmlich schlecht -- und die Frau sah vortrefflich -- nun bekam ich zwar mehr Mut , und doch noch jetzt , nachdem ich über fünfzehnhundert Blinde operiert habe , wandelt mich noch immer eine Angst an , wenn ich operieren soll .
Mut	grimm_maerchen02_1850-2617-7	Der König lachte und sprach in gutem Muth ‘ja, es soll so sein, wie du verlangst, Eselein, komm her zu mir. ’ Danach fragte er ‘Eselein, wie gefällt dir meine Tochter? ’ Das Eselein drehte den Kopf nach ihr, schaute sie an, nickte und sprach ‘ aus der Maßen wohl, sie ist so schön wie ich noch keine gesehen habe. ’ ‘ Nun, so sollst du auch neben ihr sitzen ’ sagte der König.	37:41	Der König lachte und sprach in gutem Mut 'ja , es soll so sein , wie du verlangst , Eselein , komme her zu mir . ' Danach fragte er 'Eselein , wie gefällt dir meine Tochter ? ' Das Eselein drehte den Kopf nach ihr , schaute sie an , nickte und sprach ' aus der Maßen wohl , sie ist so schön wie ich noch keine gesehen habe . ' ' Nun , so sollst du auch neben ihr sitzen ' sagte der König .
Mut	koerner_leyer_1814-408-4	Und galt es früherhin Muth und Kraft, Jetzt alle Kräfte zusammengerafft, Sonst scheitert das Schiff noch im Hafen.	22:26	Und galt es früherhin Mut und Kraft , Jetzt alle Kräfte zusammengerafft , Sonst scheitert das Schiff noch im Hafen .
