lemma	identifier	context	indexes_target_token	context_normalized
Ohrwurm	paul_titan01_1800-265-31	Dabei ist der Reichskörper wie das erste Princip der Moral oder wie Jungfernerde sehr unauflöslich; ja gesetzt, einer von uns nähme ein Churschwerdt und schnitte ihn damit wie einen Ohrwurm entzwei, so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterrest rein aufspeisen — und dann wäre ja der gesammte verknüpfte Ohrwurm wieder da und satt dazu.	182:189	Dabei ist der Reichskörper wie das erste Prinzip der Moral oder wie Jungfernerde sehr unauflöslich ; ja gesetzt , einer von uns nähme ein Kurschwert und schnitte ihn damit wie einen Ohrwurm entzwei , so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterst rein aufspeisen -- und dann wäre ja der gesamte verknüpfte Ohrwurm wieder da und satt dazu .
Ohrwurm	blumenbach_naturgeschichte_1814-5476-5	1. †. Auricularia. der Ohrwurm, Oehrling, Ohrhöhler.	23:30	1. +. Auricularia . der Ohrwurm , Öhrlich , Ohrhöhler .
Ohrwurm	brehm_thierleben06_1869-9902-20	Er bemerkte eines Abends Kerfe in einer Richtung über seinen Kopf wegfliegen, sing einige und erkannte sie als kleine Ohrwürmer.	118:127	Er bemerkte eines Abends Kerfe in einer Richtung über seinen Kopf wegfliegen , singe einige und erkannte sie als kleine Ohrwürmer .
Ohrwurm	blumenbach_anatomie2_1805-1004-1	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt.	3:10	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwei Reihen besetzt .
Ohrwurm	brehm_thierleben06_1869-9854-2	Der große Ohrwurm (Forficula oder Labidura gigantea) von fünf bis zehn Linien Länge mag uns hier im Bilde eine kleine über die ganze Erdoberfläche verbreitete Gruppe vergegenwärtigen, welche englische Forscher zu einer eignen Ordnung erhoben wissen wollen, während Leute, welche es nicht besser verstehen, Käfer daraus machen möchten.	10:17	Der große Ohrwurm ( Forficula oder Labidura gigantea ) von fünf bis zehn Linien Länge mag uns hier im Bilde eine kleine über die ganze Erdoberfläche verbreitete Gruppe vergegenwärtigen , welche englische Forscher zu einer eigenen Ordnung erhoben wissen wollen , während Leute , welche es nicht besser verstehen , Käfer daraus machen möchten .
Ohrwurm	brehm_thierleben06_1869-9898-7	Noch eine dritte Art, der kleine Ohrwurm (Forficula minor) kommt ebenfalls in ganz Europa, aber seltener vor, und wird seiner geringen Länge von 3 Linien wegen häufig übersehen.	33:40	Noch eine dritte Art , der kleine Ohrwurm ( Forficula minor ) kommt ebenfalls in ganz Europa , aber seltener vor , und wird seiner geringen Länge von 3 Linien wegen häufig übersehen .
Ohrwurm	blumenbach_anatomie_1815-1035-1	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwey Reihen besetzt.	3:10	Im Ohrwurm ist der obere Magenmund inwendig mit einigen Zähnen in zwei Reihen besetzt .
Ohrwurm	blumenbach_naturgeschichte_1821-5626-5	1. †. Auricularia. der Ohrwurm, Oehrling, Ohrhöhler.	23:30	1. +. Auricularia . der Ohrwurm , Öhrlich , Ohrhöhler .
Ohrwurm	moltke_zustaende_1841-3780-9	Aber auch an garstigem Gewürm, an Taranteln, Ohrwürmern und Schlangen, fehlte es nicht; die Schildkröte schob sich schwerfällig durch das Gras, und Tausende von Johanniswürmchen funkelten in der Finsterniß.	45:55	Aber auch an garstigem Gewürm , an Taranteln , Ohrwürmern und Schlangen , fehlte es nicht ; die Schildkröte schob sich schwerfällig durch das Gras , und Tausende von Johanniswürmchen funkelten in der Finsternis .
Ohrwurm	brehm_thierleben06_1869-9873-5	So hat man beim großen Ohrwurm auf die abgebildete Form der männlichen Zange und den Zahn hinter ihrer Mitte Rücksicht zu nehmen.	23:30	So hat man beim großen Ohrwurm auf die abgebildete Form der männlichen Zange und den Zahn hinter ihrer Mitte Rücksicht zu nehmen .
Ohrwurm	paul_titan01_1800-265-59	Dabei ist der Reichskörper wie das erste Princip der Moral oder wie Jungfernerde sehr unauflöslich; ja gesetzt, einer von uns nähme ein Churschwerdt und schnitte ihn damit wie einen Ohrwurm entzwei, so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterrest rein aufspeisen — und dann wäre ja der gesammte verknüpfte Ohrwurm wieder da und satt dazu.	352:359	Dabei ist der Reichskörper wie das erste Prinzip der Moral oder wie Jungfernerde sehr unauflöslich ; ja gesetzt , einer von uns nähme ein Kurschwert und schnitte ihn damit wie einen Ohrwurm entzwei , so würde sich die gezähnte Hälfte eben wie der gespaltene Ohrwurm umkehren und den Hinterst rein aufspeisen -- und dann wäre ja der gesamte verknüpfte Ohrwurm wieder da und satt dazu .
Ohrwurm	boelsche_liebesleben01_1898-6183-7	Sie bilden eine Insektengruppe, die den Ohrwürmern und Heuschrecken näher steht als den Käfern.	40:50	Sie bilden eine Insektengruppe , die den Ohrwürmern und Heuschrecken näher steht als den Käfern .
Ohrwurm	brehm_thierleben06_1869-9897-2	Daß die Ohrwürmer ausschließlich Pflanzenfresser seien, glaube ich nicht, allerlei Anzeigen bringen mich auf die Vermuthung, daß sie Fleischnahrung nicht verschmähen und auch in dieser Beziehung den Grillen und andern hüpfenden Schrecken nahe stehen.	8:17	Daß die Ohrwürmer ausschließlich Pflanzenfresser seien , glaube ich nicht , allerlei Anzeigen bringen mich auf die Vermutung , daß sie Fleischnahrung nicht verschmähen und auch in dieser Beziehung den Grillen und anderen hüpfenden Schrecken nahe stehen .
Ohrwurm	berg_ostasienzoologie01_1876-1410-27	Die flügellosen Gliederthiere findet man auch hier am leichtesten durch Aufheben des abgefallenen Laubes und der Steine, zwischen Baumwurzeln und dgl., so von eigentlichen Insekten Ohrwürmer, Forficula, hasami-musi, d. h. Scheereninsekt, der Encyclopädie, und Johanniswürmchen, Larven von Lampyris, vermuthlich Japonica Thunberg; ferner verschiedene Spinnen, k’mo (kumo), Tausendfüsse verschiedener Gattungen, wie kleine hellgelbe Iulus, orangegefleckte Polydesmus (Japonicus und Martensi Peters), osamusi der Encyclopädie, Scolopendra, mukade, bis fingerslang und kleine schlanke Geophilus; der Biss der Scolopendra ist schmerzhaft, doch ohne weitere Folgen, wie ich an mir selbst erfuhr.	181:190	Die flügellosen Gliedertiere findet man auch hier am leichtesten durch Aufheben des abgefallenen Laubes und der Steine , zwischen Baumwurzeln und dgl. , so von eigentlichen Insekten Ohrwürmer , Forficula , hasami-musi , d. h. Schereninsekt , der Enzyklopädie , und Johanniswürmchen , Larven von Lampyris , vermutlich Japonica Thunberg ; ferner verschiedene Spinnen , k'mo ( kumo ) , Tausendfüsse verschiedener Gattungen , wie kleine hellgelbe Iulus , orangegefleckte Polydesmus ( Japonicus und Martensi Peters ) , osamusi der Enzyklopädie , Scolopendra , Muckade , bis fingerslang und kleine schlanke Geophilus ; der Biß der Scolopendra ist schmerzhaft , doch ohne weitere Folgen , wie ich an mir selbst erfuhr .
Ohrwurm	blumenbach_naturgeschichte_1803-5233-5	1. †. Auricularia. der Ohrwurm, Oehrling, Ohrhöhler.	23:30	1. +. Auricularia . der Ohrwurm , Öhrlich , Ohrhöhler .
