lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Pachtzins	2532889X_1946-08-02_01_069.tcf.xml-187-0	2532889X_1962-05-27_01_068.tcf.xml-13-23	Pachtzins aus erstkl. Landbesitz biete ich. wo Ich aufgabenreichen Wirkungskreis in frauenlosem Landhaushalt finde.	Nur ein Drittel des geernteten Getreides durfte er für sich behalten. denn der Reisiunker forderte unbarmherzig den größten Teil des Ertrages als Pachtzins.	0:9	146:155	4.0
Pachtzins	2532889X_1946-08-02_01_069.tcf.xml-187-0	26120215_1967_03_31_01_106.tcf.xml-131-3	Pachtzins aus erstkl. Landbesitz biete ich. wo Ich aufgabenreichen Wirkungskreis in frauenlosem Landhaushalt finde.	400 Millionen Rubel Pachtzinsen haben sie jährlich den Großgrundbesitzern zahlen müssen.	0:9	20:31	4.0
Pachtzins	2532889X_1946-09-15_01_053.tcf.xml-11-28	2532889X_1962-05-27_01_068.tcf.xml-13-23	Die aus dem Jahre 1J568 datierte Rechnung stellt fest, dati ein Fischer dem Rat der Stadt für die Berechtigung zur Fischerei und Bienenzucht in der Stadtheide einen Pachtzins von 1 Schock, 24 Groschen für die Fischereireohle und 32 Groschen für das Heidogeld bezahlen mußte.	Nur ein Drittel des geernteten Getreides durfte er für sich behalten. denn der Reisiunker forderte unbarmherzig den größten Teil des Ertrages als Pachtzins.	165:174	146:155	3.5
Pachtzins	2532889X_1946-10-10_01_163.tcf.xml-104-0	2532889X_1963-07-20_01_091.tcf.xml-102-9	Pachtzins 3000 usd stellt ein am Oranienburger Tor mein Einfamilienhaus Berlin Zehlendorf, l~tä*A l »(tdii » lt von 12 bis 1 »	Nimmt er den -Bauern die sie niederdrückende Bürde der Pachtzinsen. der unentgeltlichen Arbeitsleistungen?	0:9	55:66	3.5
Pachtzins	2532889X_1946-10-10_01_163.tcf.xml-104-0	fontane_brandenburg04_1882-3740-3	Pachtzins 3000 usd stellt ein am Oranienburger Tor mein Einfamilienhaus Berlin Zehlendorf, l~tä*A l »(tdii » lt von 12 bis 1 »	Später wurde der Pachtzins ausschließlich in Geld geleistet, von welcher Zeit an wir von einer auf dem Schulzenhofe befindlichen Kasse sprechen hören.	0:9	17:26	3.0
Pachtzins	2532889X_1946-11-15_01_150.tcf.xml-74-0	26120215_1953_09_19_01_003.tcf.xml-79-8	Pachtzins 3000 RM, Fachingenteure, Fachpoliere, Kon. (kompl. m. Vorgelege)! Schallplattenod. mein Einfamilienhaus, R In -Zehlen. strukteure, Banmelster, Maurei schnelder (Awiton, allerbeste Quahdorf, (Zimmer, Zentralheizg., unter-Idr keramische Oelen. Backofen. t&t) i 10 Plattenwechsler (Orig. Patlkellert, 620 gm, 20 Obstbäume, oder mau r er nnd Meister.	Für die Kleinbauern slnrl die Steuern und die Pachtzinsen herabzusetzen.	0:9	46:57	4.0
Pachtzins	2532889X_1947-07-18_02_018.tcf.xml-27-16	2532889X_1968-03-26_01_093.tcf.xml-19-24	Über eine Million Hektar-Gutsherrenland wurden an hunderttausende Landarbeiter, Kleinbauern und Pächter verteilt und der Pachtzins abgeschaü;.	Erstens sollen sie — für einen Zeitraum von 20 Jahren — jährlich 185 Millionen DM für-das von ihnen eingebrachte Verifustvermögen in Form eines Pachtzinses erhalten (einschließlich der noch stillzulegenden Zechen und unabhängig davon, wie sich die Ertragslage der einzelnen Betriebsteile entwickelt).	121:130	144:155	3.5
Pachtzins	2532889X_1948-09-19_01_054.tcf.xml-27-10	2532889X_1962-05-27_01_068.tcf.xml-13-23	Von der gesamten Ernte die Hälfte, das ist der Pachtzins.	Nur ein Drittel des geernteten Getreides durfte er für sich behalten. denn der Reisiunker forderte unbarmherzig den größten Teil des Ertrages als Pachtzins.	47:56	146:155	4.0
Pachtzins	2532889X_1948-09-24_01_052.tcf.xml-6-9	2532889X_1963-07-20_01_091.tcf.xml-126-8	Obwohl die Kleingärtner wußten, daß die Erhebung von Pachtzins in Form von Naturalien rechtswidrig ist, gingen doch die meisten auf, den Zusatzvertrag ein, aus Furcht, ihr kleines Stückchen Land zu verlieren.	Erste soziale Reformen haben begonnen: Verringerung des Pachtzins um 40 Prozent.	53:62	56:65	4.0
Pachtzins	2532889X_1950-04-29_01_036.tcf.xml-64-5	2532889X_1968-03-26_01_093.tcf.xml-19-24	Wenn er sechseinhalb für den Pachtzins zahlte, würde er noch immer mehr als dreißig-Pikuls für sich selbst haben.	Erstens sollen sie — für einen Zeitraum von 20 Jahren — jährlich 185 Millionen DM für-das von ihnen eingebrachte Verifustvermögen in Form eines Pachtzinses erhalten (einschließlich der noch stillzulegenden Zechen und unabhängig davon, wie sich die Ertragslage der einzelnen Betriebsteile entwickelt).	29:38	144:155	4.0
