lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Seminar	ranke_paepste02_1836-5297-18	2532889X_1979-09-14_01_173.tcf.xml-23-5	2.0	heckert_schulgesetzgebung_1847-4972-32	3.0	heckert_schulgesetzgebung_1847-1523-50	4.0			['heckert_schulgesetzgebung_1847-1523-50', 'heckert_schulgesetzgebung_1847-4972-32', '2532889X_1979-09-14_01_173.tcf.xml-23-5']		3
Seminar	strauss_jesus02_1836-14-50	26120215_1968_01_19_01_016.tcf.xml-3-23	3.0	ranke_paepste01_1834-4952-4	2.0	heckert_schulgesetzgebung_1847-1419-17	4.0			['heckert_schulgesetzgebung_1847-1419-17', '26120215_1968_01_19_01_016.tcf.xml-3-23', 'ranke_paepste01_1834-4952-4']		3
Seminar	nn_nrhz202_1849-175-0	26120215_1969_07_17_01_188.tcf.xml-61-7	4.0			steub_tirol_1846-7463-39	3.0	2532889X_1978-10-16_01_049.tcf.xml-4-3	2.0	['26120215_1969_07_17_01_188.tcf.xml-61-7', 'steub_tirol_1846-7463-39', '2532889X_1978-10-16_01_049.tcf.xml-4-3']		3
Seminar	lehnert_seehaefen02_1892-4170-8	2532889X_1979-09-14_01_173.tcf.xml-23-5	2.0	steub_tirol_1846-7463-39	4.0			2532889X_1988-12-17_01_354.tcf.xml-5-6	3.0	['steub_tirol_1846-7463-39', '2532889X_1988-12-17_01_354.tcf.xml-5-6', '2532889X_1979-09-14_01_173.tcf.xml-23-5']		3
Seminar	steub_tirol_1846-7463-39	lehnert_seehaefen02_1892-4170-8	4.0			26120215_1960_11_20_01_291.tcf.xml-19-6	3.0	2532889X_1967-11-25_01_063.tcf.xml-3-10	2.0	['lehnert_seehaefen02_1892-4170-8', '26120215_1960_11_20_01_291.tcf.xml-19-6', '2532889X_1967-11-25_01_063.tcf.xml-3-10']		3
Seminar	heckert_schulgesetzgebung_1847-1419-17			26120215_1969_07_17_01_188.tcf.xml-61-7	2.0	2532889X_1988-10-29_01_008.tcf.xml-3-2	3.0	strauss_jesus02_1836-14-50	4.0	['strauss_jesus02_1836-14-50', '2532889X_1988-10-29_01_008.tcf.xml-3-2', '26120215_1969_07_17_01_188.tcf.xml-61-7']		3
Seminar	lehnert_seehaefen02_1892-6033-27	heckert_schulgesetzgebung_1847-1419-17	4.0	nn_nrhz202_1849-175-12	3.0	2532889X_1946-10-22_01_118.tcf.xml-36-0	2.0			['heckert_schulgesetzgebung_1847-1419-17', 'nn_nrhz202_1849-175-12', '2532889X_1946-10-22_01_118.tcf.xml-36-0']		3
Seminar	treitschke_geschichte04_1889-10829-24	26120215_1968_01_19_01_016.tcf.xml-3-23	2.0	heckert_schulgesetzgebung_1847-1478-8	4.0			2532889X_1983-07-18_01_043.tcf.xml-13-57	3.0	['heckert_schulgesetzgebung_1847-1478-8', '2532889X_1983-07-18_01_043.tcf.xml-13-57', '26120215_1968_01_19_01_016.tcf.xml-3-23']		3
Seminar	ranke_paepste01_1834-4952-4	strauss_jesus02_1836-14-50	2.0			2532889X_1986-02-05_01_206.tcf.xml-2-13	3.0	2532889X_1951-09-04_01_030.tcf.xml-11-12	4.0	['2532889X_1951-09-04_01_030.tcf.xml-11-12', '2532889X_1986-02-05_01_206.tcf.xml-2-13', 'strauss_jesus02_1836-14-50']		3
Seminar	heckert_schulgesetzgebung_1847-1444-90	2532889X_1970-04-17_01_082.tcf.xml-9-5	2.0	hoffmann_elixiere01_1815-159-33	3.0	2532889X_1976-05-29_01_117.tcf.xml-9-4	4.0	heeren_staatensystem_1809-623-4	1.0	['2532889X_1976-05-29_01_117.tcf.xml-9-4', 'hoffmann_elixiere01_1815-159-33', '2532889X_1970-04-17_01_082.tcf.xml-9-5', 'heeren_staatensystem_1809-623-4']		4
Seminar	burckhardt_cicerone_1855-6135-33	2532889X_1969-07-21_01_156.tcf.xml-29-1	2.0	heckert_schulgesetzgebung_1847-1489-32	4.0			heckert_schulgesetzgebung_1847-1500-19	3.0	['heckert_schulgesetzgebung_1847-1489-32', 'heckert_schulgesetzgebung_1847-1500-19', '2532889X_1969-07-21_01_156.tcf.xml-29-1']		3
Seminar	hoffmann_elixiere01_1815-159-33	heckert_schulgesetzgebung_1847-1522-66	3.0			26120215_1980_02_21_01_232.tcf.xml-4-7	2.0	duehring_berufsbildung_1885-255-23	4.0	['duehring_berufsbildung_1885-255-23', 'heckert_schulgesetzgebung_1847-1522-66', '26120215_1980_02_21_01_232.tcf.xml-4-7']		3
Seminar	heckert_schulgesetzgebung_1847-5730-35	nn_turnkunst01_1843-981-3	4.0			2532889X_1955-12-18_01_046.tcf.xml-57-25	3.0	2532889X_1978-10-16_01_049.tcf.xml-4-3	2.0	['nn_turnkunst01_1843-981-3', '2532889X_1955-12-18_01_046.tcf.xml-57-25', '2532889X_1978-10-16_01_049.tcf.xml-4-3']		3
Seminar	heckert_schulgesetzgebung_1847-1523-50	2532889X_1978-09-07_01_052.tcf.xml-18-17	2.0			heckert_schulgesetzgebung_1847-4980-90	3.0	ranke_paepste02_1836-5297-18	4.0	['ranke_paepste02_1836-5297-18', 'heckert_schulgesetzgebung_1847-4980-90', '2532889X_1978-09-07_01_052.tcf.xml-18-17']		3
Seminar	nn_turnkunst01_1843-981-3	2532889X_1983-06-22_01_205.tcf.xml-12-9	3.0	heckert_schulgesetzgebung_1847-1434-16	2.0	heckert_schulgesetzgebung_1847-5730-35	4.0			['heckert_schulgesetzgebung_1847-5730-35', '2532889X_1983-06-22_01_205.tcf.xml-12-9', 'heckert_schulgesetzgebung_1847-1434-16']		3
Seminar	lehnert_seehaefen01_1891-5452-64			2532889X_1986-02-05_01_206.tcf.xml-2-13	3.0	2532889X_1988-10-29_01_008.tcf.xml-3-2	2.0	lehnert_seehaefen02_1892-3892-16	4.0	['lehnert_seehaefen02_1892-3892-16', '2532889X_1986-02-05_01_206.tcf.xml-2-13', '2532889X_1988-10-29_01_008.tcf.xml-3-2']		3
Seminar	heckert_schulgesetzgebung_1847-1434-16	2532889X_1975-08-07_01_035.tcf.xml-11-6	3.0	heckert_schulgesetzgebung_1847-5007-4	4.0	nn_turnkunst01_1843-981-3	2.0			['heckert_schulgesetzgebung_1847-5007-4', '2532889X_1975-08-07_01_035.tcf.xml-11-6', 'nn_turnkunst01_1843-981-3']		3
Seminar	2532889X_1977-06-28_01_080.tcf.xml-7-17	26120215_1968_01_19_01_016.tcf.xml-3-23	4.0	26120215_1977_05_05_01_062.tcf.xml-25-17	3.0	nn_nrhz202_1849-175-12	2.0			['26120215_1968_01_19_01_016.tcf.xml-3-23', '26120215_1977_05_05_01_062.tcf.xml-25-17', 'nn_nrhz202_1849-175-12']		3
Seminar	26120215_1986_06_03_01_240.tcf.xml-10-2			2532889X_1979-09-14_01_173.tcf.xml-23-5	3.0	nn_turnkunst01_1843-981-3	2.0	2532889X_1951-10-17_01_051.tcf.xml-16-2	4.0	['2532889X_1951-10-17_01_051.tcf.xml-16-2', '2532889X_1979-09-14_01_173.tcf.xml-23-5', 'nn_turnkunst01_1843-981-3']		3
Seminar	2532889X_1948-07-21_01_054.tcf.xml-40-40	2532889X_1985-07-12_01_007.tcf.xml-11-1	2.0	heckert_schulgesetzgebung_1847-7650-10	4.0			2532889X_1954-03-02_01_080.tcf.xml-5-7	3.0	['heckert_schulgesetzgebung_1847-7650-10', '2532889X_1954-03-02_01_080.tcf.xml-5-7', '2532889X_1985-07-12_01_007.tcf.xml-11-1']		3
Seminar	26120215_1969_07_17_01_188.tcf.xml-61-7	nn_nrhz202_1849-175-0	4.0	ranke_paepste01_1834-4952-4	3.0			heckert_schulgesetzgebung_1847-1419-17	2.0	['nn_nrhz202_1849-175-0', 'ranke_paepste01_1834-4952-4', 'heckert_schulgesetzgebung_1847-1419-17']		3
Seminar	26120215_1960_11_20_01_291.tcf.xml-19-6	2532889X_1967-11-25_01_063.tcf.xml-3-10	4.0	heeren_staatensystem_1809-623-4	1.0	ranke_paepste02_1836-5297-18	2.0	steub_tirol_1846-7463-39	3.0	['2532889X_1967-11-25_01_063.tcf.xml-3-10', 'steub_tirol_1846-7463-39', 'ranke_paepste02_1836-5297-18', 'heeren_staatensystem_1809-623-4']		4
Seminar	2532889X_1970-04-17_01_082.tcf.xml-9-5			2532889X_1985-07-12_01_007.tcf.xml-11-1	4.0	nn_nrhz202_1849-175-0	3.0	lehnert_seehaefen02_1892-6033-27	2.0	['2532889X_1985-07-12_01_007.tcf.xml-11-1', 'nn_nrhz202_1849-175-0', 'lehnert_seehaefen02_1892-6033-27']		3
Seminar	26120215_1980_02_21_01_232.tcf.xml-4-7	heckert_schulgesetzgebung_1847-5007-4	3.0			hoffmann_elixiere01_1815-159-33	2.0	2532889X_1961-08-04_01_091.tcf.xml-2-2	4.0	['2532889X_1961-08-04_01_091.tcf.xml-2-2', 'heckert_schulgesetzgebung_1847-5007-4', 'hoffmann_elixiere01_1815-159-33']		3
Seminar	2532889X_1975-08-07_01_035.tcf.xml-11-6			2532889X_1960-09-17_01_077.tcf.xml-4-6	4.0	heckert_schulgesetzgebung_1847-1522-66	3.0	heckert_schulgesetzgebung_1847-1419-17	2.0	['2532889X_1960-09-17_01_077.tcf.xml-4-6', 'heckert_schulgesetzgebung_1847-1522-66', 'heckert_schulgesetzgebung_1847-1419-17']		3
Seminar	2532889X_1978-10-16_01_049.tcf.xml-4-3	nn_nrhz202_1849-175-0	2.0	heckert_schulgesetzgebung_1847-1444-90	3.0	2532889X_1970-07-13_01_182.tcf.xml-10-7	4.0			['2532889X_1970-07-13_01_182.tcf.xml-10-7', 'heckert_schulgesetzgebung_1847-1444-90', 'nn_nrhz202_1849-175-0']		3
Seminar	2532889X_1979-09-14_01_173.tcf.xml-23-5	2532889X_1986-02-05_01_206.tcf.xml-2-13	3.0	treitschke_geschichte04_1889-10829-24	4.0			lehnert_seehaefen02_1892-4170-8	2.0	['treitschke_geschichte04_1889-10829-24', '2532889X_1986-02-05_01_206.tcf.xml-2-13', 'lehnert_seehaefen02_1892-4170-8']		3
Seminar	2532889X_1946-10-22_01_118.tcf.xml-36-0			lehnert_seehaefen02_1892-6033-27	2.0	heckert_schulgesetzgebung_1847-7644-10	4.0	heckert_schulgesetzgebung_1847-1522-66	3.0	['heckert_schulgesetzgebung_1847-7644-10', 'heckert_schulgesetzgebung_1847-1522-66', 'lehnert_seehaefen02_1892-6033-27']		3
Seminar	26120215_1977_05_05_01_062.tcf.xml-25-17	ranke_paepste02_1836-5297-18	2.0			2532889X_1971-11-20_01_261.tcf.xml-99-1	4.0	heckert_schulgesetzgebung_1847-1419-17	3.0	['2532889X_1971-11-20_01_261.tcf.xml-99-1', 'heckert_schulgesetzgebung_1847-1419-17', 'ranke_paepste02_1836-5297-18']		3
Seminar	2532889X_1988-10-29_01_008.tcf.xml-3-2	lehnert_seehaefen01_1891-5452-64	2.0	2532889X_1967-11-25_01_063.tcf.xml-3-10	4.0	heckert_schulgesetzgebung_1847-1419-17	3.0			['2532889X_1967-11-25_01_063.tcf.xml-3-10', 'heckert_schulgesetzgebung_1847-1419-17', 'lehnert_seehaefen01_1891-5452-64']		3
