lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Sensation	nn_nrhz139_1848-531-8			freud_hysterie_1895-3241-8	2.0	nn_nrhz011b_1848-6-2	3.0	2532889X_1971-03-10_01_171.tcf.xml-12-1	4.0	['2532889X_1971-03-10_01_171.tcf.xml-12-1', 'nn_nrhz011b_1848-6-2', 'freud_hysterie_1895-3241-8']		3
Sensation	freud_hysterie_1895-3916-28	26120215_1948_10_12_01_041.tcf.xml-21-2	2.0			baumgart_poetik_1887-4801-21	4.0	2532889X_1983-03-23_01_204.tcf.xml-7-11	1.0	['baumgart_poetik_1887-4801-21', '26120215_1948_10_12_01_041.tcf.xml-21-2', '2532889X_1983-03-23_01_204.tcf.xml-7-11']		3
Sensation	varnhagen_rahel03_1834-1540-5	andreas_fenitschka_1898-402-12	2.0	herbart_psychologie02_1825-4886-21	4.0	fessler_eleusinien01_1802-1334-9	1.0			['herbart_psychologie02_1825-4886-21', 'andreas_fenitschka_1898-402-12', 'fessler_eleusinien01_1802-1334-9']		3
Sensation	nn_nrhz287_1849-116-27	26120215_1956_02_04_01_099.tcf.xml-41-3	3.0	freud_hysterie_1895-3241-8	2.0	26120215_1965_09_11_01_206.tcf.xml-60-19	4.0			['26120215_1965_09_11_01_206.tcf.xml-60-19', '26120215_1956_02_04_01_099.tcf.xml-41-3', 'freud_hysterie_1895-3241-8']		3
Sensation	jung_lebensgeschichte_1835-6446-59	herbart_psychologie02_1825-5430-61	1.0	andreas_fenitschka_1898-402-12	3.0			nn_nrhz011b_1848-6-2	4.0	['nn_nrhz011b_1848-6-2', 'andreas_fenitschka_1898-402-12', 'herbart_psychologie02_1825-5430-61']		3
Sensation	freud_hysterie_1895-3241-8			nn_nrhz139_1848-531-8	2.0	griesinger_psychische_1845-1235-4	3.0	2532889X_1966-03-14_01_110.tcf.xml-2-38	4.0	['2532889X_1966-03-14_01_110.tcf.xml-2-38', 'griesinger_psychische_1845-1235-4', 'nn_nrhz139_1848-531-8']		3
Sensation	varnhagen_rahel03_1834-9444-25	2532889X_1966-03-14_01_110.tcf.xml-2-38	3.0	nn_maehrisches71_1886-464-0	2.0	nn_nrhz060b_1848-154-17	1.0	griesinger_psychische_1845-1190-55	4.0	['griesinger_psychische_1845-1190-55', '2532889X_1966-03-14_01_110.tcf.xml-2-38', 'nn_maehrisches71_1886-464-0', 'nn_nrhz060b_1848-154-17']		4
Sensation	varnhagen_rahel01_1834-1632-7	nn_nrhz142ii_1848-384-25	4.0	26120215_1954_04_11_01_235.tcf.xml-10-5	2.0	2532889X_1990-05-26_01_301.tcf.xml-71-1	3.0	andreas_fenitschka_1898-402-12	1.0	['nn_nrhz142ii_1848-384-25', '2532889X_1990-05-26_01_301.tcf.xml-71-1', '26120215_1954_04_11_01_235.tcf.xml-10-5', 'andreas_fenitschka_1898-402-12']		4
Sensation	griesinger_psychische_1845-1198-14	baumgart_poetik_1887-4801-21	3.0	griesinger_psychische_1845-1235-4	4.0	andreas_fenitschka_1898-402-12	2.0	2532889X_1964-11-24_01_060.tcf.xml-5-19	1.0	['griesinger_psychische_1845-1235-4', 'baumgart_poetik_1887-4801-21', 'andreas_fenitschka_1898-402-12', '2532889X_1964-11-24_01_060.tcf.xml-5-19']		4
Sensation	herbart_psychologie02_1825-5430-61	andreas_fenitschka_1898-402-12	3.0	varnhagen_rahel01_1834-1632-7	1.0			nn_nrhz142ii_1848-384-25	2.0	['andreas_fenitschka_1898-402-12', 'nn_nrhz142ii_1848-384-25', 'varnhagen_rahel01_1834-1632-7']		3
