lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Tier	2532889X_1946-05-25_01_033.tcf.xml-74-30	26120215_1984_07_05_01_115.tcf.xml-4-23	Und als ich gerade um das Affenhaus bog, sah ich noch von ferne das Gitter, wo in glühender Sonnenhitze zweitausend Menschen geduldig vor einem großen Tümpel auf das Tier warteten, das jetzt schon 57 Minuten unter Wasser tauchte.	Berliner Bärenlotterie und Tierparklotterie, Sammelaktionen von Berliner Schülern und zahlreiche Spenden von Betrieben sorgten für das nötige Geld, um die ersten Tiere anzuschaffen.	166:170	162:167	4.0
Tier	2532889X_1956-01-15_01_195.tcf.xml-16-9	berg_ostasienzoologie02_1867-3520-68	„Sehr viele kenne ich, die gleichen diesen Tieren, nicht Esel nein, ich denk an hohe Potentaten, die — weiß der Himmel wie — auf Posten sind geraten, wo sie so aufgebläht als Staatsminister walten, als ob sie sich gar selbst für Majestäten halten.	Das einzige Exemplar, das ich fand, war lebend, die äusseren Weichtheile ebenfalls blassbraun, die Schale theilweise vom Mantel überdeckt, der Fuss hinten zusammengedrückt und steil endigend; ich nahm es daher sogleich für einen Helicarion, da mir seine Aehnlichkeit mit dem einen Monat früher beobachteten H. suturalis beim ersten Anblick auffiel, aber leider kam ich nicht mehr dazu, das lebende Thier genauer zu beobachten.	43:49	398:403	3.5
Tier	2532889X_1956-03-02_01_175.tcf.xml-2-18	burckhardt_renaissance_1860-3656-43	Sie umfaßt alinähernd 100 Holzschnitte und einige Plastiken, deren Motive mit ganz wenigen Ausnahmen dem Leben der Tiere und der Pflanzenwelt entnommen sind, (ADN)	Als Bild eines glücklichen Gelehrten erscheint ihm Urbano Valeriano von Belluno, der in Venedig lange Zeit hindurch Lehrer des Griechischen war, Griechenland und den Orient besuchte, noch in späten Jahren bald dieses und bald jenes Land durchlief ohne je ein Thier zu besteigen, nie einen Heller für sich besaß, alle Ehren und Standeserhöhungen zurückwies, und nach einem heitern Alter im 84sten Jahre starb ohne, mit Ausnahme eines Sturzes von der Leiter, eine kranke Stunde gehabt zu haben.	115:120	259:264	3.0
Tier	2532889X_1957-08-28_01_080.tcf.xml-12-13	goethe_wahlverw02_1809-771-10	Das waren „Die Arche Nora", „Keine Angst vor großen Tieren", » Unter den tausend Laternen", „Die Ehe des Dr. med. Danwitz", „Der Hauptmann von Köpenick" und nun der Film „Glucksritter".	Man erniedrigt sich schon, wenn man sie nur als Thiere betrachtet; man wird aber wirklich bösartiger, wenn man dem Reize folgt, bekannte Menschen unter dieser Maske aufzusuchen.“	52:58	48:54	4.0
Tier	2532889X_1958-10-29_01_014.tcf.xml-1-14	grimm_maerchen01_1843-1257-21	Die antike Sagenwelt kennt den Sänger Orpheus, dessen wunderbare Melodien selbst die wilden Tiere besänftigte.	‘Sachte, sachte,’ sprach er, ‘ so geschwind geht das nicht,’ blieb stehen, und wartete bis das Thier ganz nahe war, dann sprang er behendiglich hinter den Baum, und das Einhorn rannte mit aller Kraft gegen den Baum, und spießte sein Horn so fest in den Stamm, daß es nicht Kraft genug hatte es wieder heraus zu ziehen, und gefangen war.	92:97	95:100	3.0
Tier	2532889X_1959-03-22_01_102.tcf.xml-42-9	beyer_poetik02_1883-11636-31	Voller Stolz führten sie ihre Gäste zu ihrer 120 Tiere umfassenden Tbc-freien Herde, deren Milch sie an die Berliner Charite liefern.	Als er in Rußland verschollen war, versuchte sich der Petersburger Mimiker Springer 1831 in Wien als Löwe in „Der großmütige Löwe“, und später ─ als die reißenden Tiere nicht mehr zogen ─ als Affe.	49:54	163:168	3.5
Tier	2532889X_1960-10-01_01_126.tcf.xml-29-2	2532889X_1982-12-24_01_211.tcf.xml-2-6	Viele der Tiere, die Annegret mit großem Pflichtbewußtsein aufgezogen hat. stehen jetzt im Leistungsstall der LPG und bringen eine durchschnittliche Milchleistung von 4000 kg.	Als Ergebnis konnte eine Gewichtszunahme der Tiere um zehn bis zwölf Prozent verzeichnet werden.	10:15	45:50	4.0
Tier	2532889X_1960-10-01_01_126.tcf.xml-29-2	26120215_1956_10_05_01_104.tcf.xml-13-18	Viele der Tiere, die Annegret mit großem Pflichtbewußtsein aufgezogen hat. stehen jetzt im Leistungsstall der LPG und bringen eine durchschnittliche Milchleistung von 4000 kg.	Wollte man es ganz extrem formulieren, so müßte man fragen, ob der Friedrichsfelder Tierpark nur für Tiere da wäre oder ob ihn Menschen auch besuchen dürfen Mir scheint, daß sich dort so nach und nach in der Hauptsache sonntags die Hunde ein Stelldichein geben, wenn auch noch z. Z, sorgsam an der Leine.	10:15	101:106	3.5
Tier	2532889X_1960-10-01_01_126.tcf.xml-29-2	blumenbach_anatomie2_1805-1536-57	Viele der Tiere, die Annegret mit großem Pflichtbewußtsein aufgezogen hat. stehen jetzt im Leistungsstall der LPG und bringen eine durchschnittliche Milchleistung von 4000 kg.	Dieses System, das eben wegen des constanten Verhältnisses, worin es zum wahren Blutumlauf steht, am füglichsten auch hier gleich abgehandelt wird, begreift bekanntlich die aus den dünnen Därmen entspringenden Milchgefässe, und die eigentlich so genannten lymphatischen im übrigen Körper; dann die glandulas conglobatas, die wenigstens bey den mehrsten damit versehenen Thieren bloss aus knaulförmiger Verwickelung jener beiderley Unterarten von Gefässen zu bestehen scheinen; und endlich den ductus thoracicus als den Hauptabführungscanal der durch jene Gefässe dem Blute zuzubringenden Säfte.	10:15	370:377	4.0
Tier	2532889X_1960-10-01_01_126.tcf.xml-29-2	blumenbach_naturgeschichte_1825-5145-40	Viele der Tiere, die Annegret mit großem Pflichtbewußtsein aufgezogen hat. stehen jetzt im Leistungsstall der LPG und bringen eine durchschnittliche Milchleistung von 4000 kg.	Manche sind mit seinen Haaren besetzt, und bey den Schmetterlingen rc. die Flügel mit so genannten Federchen, oder vielmehr Schuppen bedeckt, die zum Theil von den schönsten Farben sind: so wie sich überhaupt unter den Insecten Thiere von unbeschreiblicher Schönheit finden.	10:15	228:234	4.0
Tier	2532889X_1960-10-01_01_126.tcf.xml-29-2	brehm_thierleben01_1864-14349-1	Viele der Tiere, die Annegret mit großem Pflichtbewußtsein aufgezogen hat. stehen jetzt im Leistungsstall der LPG und bringen eine durchschnittliche Milchleistung von 4000 kg.	Das Thier rührte sich nicht, und nach etwa vier Minuten zog ich den Pfeil aus der Brust und wollte dann den aus dem Kopfe ziehen.	10:15	4:9	3.5
Tier	2532889X_1960-10-01_01_126.tcf.xml-29-2	vischer_aesthetik0201_1847-353-0	Viele der Tiere, die Annegret mit großem Pflichtbewußtsein aufgezogen hat. stehen jetzt im Leistungsstall der LPG und bringen eine durchschnittliche Milchleistung von 4000 kg.	Thiere, die nur komisch aufgefaßt werden zu können scheinen, wenn sie nicht häßlich sein sollen, werden doch auch furchtbar, wenn sie in Wuth kommen oder schauderhaft durch verzerrte Nachahmung des Menschlichen wie der Affe.	10:15	0:6	4.0
