lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Titel	heffter_voelkerrecht_1844-5806-17	mayer_verwaltungsrecht02_1896-3088-11	1.0			laband_staatsrecht01_1876-3007-23	3.0	2532889X_1962-09-23_01_096.tcf.xml-8-7	2.0	['laband_staatsrecht01_1876-3007-23', '2532889X_1962-09-23_01_096.tcf.xml-8-7', 'mayer_verwaltungsrecht02_1896-3088-11']		3
Titel	klueber_voelkerrecht01_1821-1410-29	nn_nrhz083_1848-15-17	4.0	2532889X_1962-02-02_01_083.tcf.xml-25-1	3.0	26120215_1962_02_26_01_084.tcf.xml-5-40	1.0	savigny_system03_1840-2580-17	2.0	['nn_nrhz083_1848-15-17', '2532889X_1962-02-02_01_083.tcf.xml-25-1', 'savigny_system03_1840-2580-17', '26120215_1962_02_26_01_084.tcf.xml-5-40']		4
Titel	brunner_rechtsgeschichte02_1892-2711-39	mayer_verwaltungsrecht01_1895-6024-36	1.0	26120215_1953_02_10_01_020.tcf.xml-50-18	2.0	nn_nrhz246b_1849-197-8	3.0	egger_vater_1895-1217-31	4.0	['egger_vater_1895-1217-31', 'nn_nrhz246b_1849-197-8', '26120215_1953_02_10_01_020.tcf.xml-50-18', 'mayer_verwaltungsrecht01_1895-6024-36']		4
Titel	peschel_voelkerkunde_1874-10-8	2532889X_1978-10-30_01_109.tcf.xml-43-6	2.0	klueber_recht_1817-1265-25	4.0			ranke_reformation05_1843-3946-34	3.0	['klueber_recht_1817-1265-25', 'ranke_reformation05_1843-3946-34', '2532889X_1978-10-30_01_109.tcf.xml-43-6']		3
Titel	hundtradowsky_judenschule03_1823-927-37			2532889X_1980-05-05_01_131.tcf.xml-1-9	3.0	robert_griechische_1881-1360-3	2.0	lehnert_seehaefen02_1892-4571-8	4.0	['lehnert_seehaefen02_1892-4571-8', '2532889X_1980-05-05_01_131.tcf.xml-1-9', 'robert_griechische_1881-1360-3']		3
Titel	laband_staatsrecht01_1876-2944-31	ranke_reformation05_1843-3182-14	4.0	kuernberger_amerikamuede_1855-1854-14	3.0	treitschke_geschichte04_1889-11230-24	1.0	klueber_recht_1817-1265-25	2.0	['ranke_reformation05_1843-3182-14', 'kuernberger_amerikamuede_1855-1854-14', 'klueber_recht_1817-1265-25', 'treitschke_geschichte04_1889-11230-24']		4
Titel	treitschke_geschichte04_1889-11230-24	2532889X_1980-08-18_01_126.tcf.xml-12-12	3.0	mayer_verwaltungsrecht02_1896-3088-11	2.0	2532889X_1958-07-06_01_010.tcf.xml-3-23	4.0	laband_staatsrecht01_1876-2944-31	1.0	['2532889X_1958-07-06_01_010.tcf.xml-3-23', '2532889X_1980-08-18_01_126.tcf.xml-12-12', 'mayer_verwaltungsrecht02_1896-3088-11', 'laband_staatsrecht01_1876-2944-31']		4
Titel	egger_vater_1895-1217-31	26120215_1988_06_25_01_114.tcf.xml-13-20	3.0			26120215_1959_03_27_01_277.tcf.xml-2-11	2.0	treitschke_geschichte05_1894-2281-17	4.0	['treitschke_geschichte05_1894-2281-17', '26120215_1988_06_25_01_114.tcf.xml-13-20', '26120215_1959_03_27_01_277.tcf.xml-2-11']		3
Titel	klueber_recht_1817-1868-1	nn_nrhz189b_1849-222-76	3.0	klueber_recht_1817-1867-18	4.0	26120215_1953_02_10_01_020.tcf.xml-50-18	1.0	26120215_1986_08_08_01_012.tcf.xml-26-9	2.0	['klueber_recht_1817-1867-18', 'nn_nrhz189b_1849-222-76', '26120215_1986_08_08_01_012.tcf.xml-26-9', '26120215_1953_02_10_01_020.tcf.xml-50-18']		4
Titel	kuernberger_amerikamuede_1855-1854-14	bluntschli_voelkerrecht_1868-2120-10	4.0			nn_nrhz009_1848-506-28	3.0	26120215_1990_07_21_01_183.tcf.xml-3-9	2.0	['bluntschli_voelkerrecht_1868-2120-10', 'nn_nrhz009_1848-506-28', '26120215_1990_07_21_01_183.tcf.xml-3-9']		3
Titel	marx_kapital0301_1894-52-7	2532889X_1972-02-05_01_223.tcf.xml-5-51	4.0	nn_nrhz097_1848-503-24	2.0	2532889X_1962-09-23_01_096.tcf.xml-8-7	3.0			['2532889X_1972-02-05_01_223.tcf.xml-5-51', '2532889X_1962-09-23_01_096.tcf.xml-8-7', 'nn_nrhz097_1848-503-24']		3
Titel	lehnert_seehaefen02_1892-4571-8	26120215_1953_02_10_01_020.tcf.xml-50-18	3.0	hoffmann_unpolitische02_1841-810-5	2.0	hundtradowsky_judenschule03_1823-927-37	4.0			['hundtradowsky_judenschule03_1823-927-37', '26120215_1953_02_10_01_020.tcf.xml-50-18', 'hoffmann_unpolitische02_1841-810-5']		3
Titel	mayer_verwaltungsrecht02_1896-3088-11	26120215_1959_03_27_01_277.tcf.xml-2-11	2.0			brunner_rechtsgeschichte02_1892-3628-30	3.0	heffter_voelkerrecht_1844-5806-17	1.0	['brunner_rechtsgeschichte02_1892-3628-30', '26120215_1959_03_27_01_277.tcf.xml-2-11', 'heffter_voelkerrecht_1844-5806-17']		3
Titel	nn_nrhz009_1848-506-28	26120215_1990_07_21_01_183.tcf.xml-3-9	2.0			mayer_verwaltungsrecht01_1895-6024-36	4.0	2532889X_1947-02-22_01_028.tcf.xml-13-6	3.0	['mayer_verwaltungsrecht01_1895-6024-36', '2532889X_1947-02-22_01_028.tcf.xml-13-6', '26120215_1990_07_21_01_183.tcf.xml-3-9']		3
Titel	boerne_paris05_1834-133-11	2532889X_1963-04-14_01_049.tcf.xml-276-17	4.0			2532889X_1947-02-22_01_028.tcf.xml-13-6	2.0	klueber_recht_1817-1265-25	3.0	['2532889X_1963-04-14_01_049.tcf.xml-276-17', 'klueber_recht_1817-1265-25', '2532889X_1947-02-22_01_028.tcf.xml-13-6']		3
Titel	hc_261402_1801-328-5	klostermann_eigenthum01_1867-5332-37	4.0	2532889X_1962-02-02_01_083.tcf.xml-25-1	3.0			2532889X_1958-07-06_01_010.tcf.xml-3-23	2.0	['klostermann_eigenthum01_1867-5332-37', '2532889X_1962-02-02_01_083.tcf.xml-25-1', '2532889X_1958-07-06_01_010.tcf.xml-3-23']		3
Titel	robert_griechische_1881-1360-3			2532889X_1983-12-08_01_060.tcf.xml-12-4	3.0	marx_kapital0302_1894-166-3	4.0	mayer_verwaltungsrecht02_1896-3088-11	2.0	['marx_kapital0302_1894-166-3', '2532889X_1983-12-08_01_060.tcf.xml-12-4', 'mayer_verwaltungsrecht02_1896-3088-11']		3
Titel	justi_velazquez01_1888-5612-20	nn_nrhz246b_1849-197-8	2.0	nn_maehrisches166_1893-82-11	3.0	26120215_1953_02_10_01_020.tcf.xml-50-18	1.0	klueber_recht_1817-1868-1	4.0	['klueber_recht_1817-1868-1', 'nn_maehrisches166_1893-82-11', 'nn_nrhz246b_1849-197-8', '26120215_1953_02_10_01_020.tcf.xml-50-18']		4
Titel	ranke_reformation05_1843-3182-14	26120215_1986_08_08_01_012.tcf.xml-26-9	2.0	nn_nrhz246b_1849-197-8	3.0			26120215_1946_03_01_01_032.tcf.xml-5-7	4.0	['26120215_1946_03_01_01_032.tcf.xml-5-7', 'nn_nrhz246b_1849-197-8', '26120215_1986_08_08_01_012.tcf.xml-26-9']		3
Titel	hoffmann_unpolitische02_1841-810-5			26120215_1955_02_04_01_013.tcf.xml-8-6	3.0	lehnert_seehaefen02_1892-4571-8	2.0	justi_velazquez01_1888-5612-20	4.0	['justi_velazquez01_1888-5612-20', '26120215_1955_02_04_01_013.tcf.xml-8-6', 'lehnert_seehaefen02_1892-4571-8']		3
Titel	nn_nrhz133_1848-528-19	nn_nrhz083_1848-15-17	1.0	mayer_verwaltungsrecht02_1896-3088-11	3.0	hundtradowsky_judenschule03_1823-927-37	4.0	treitschke_geschichte04_1889-11230-24	2.0	['hundtradowsky_judenschule03_1823-927-37', 'mayer_verwaltungsrecht02_1896-3088-11', 'treitschke_geschichte04_1889-11230-24', 'nn_nrhz083_1848-15-17']		4
Titel	nn_maehrisches166_1893-82-11			brunner_rechtsgeschichte02_1892-3628-30	4.0	justi_velazquez01_1888-5612-20	3.0	26120215_1971_09_28_01_168.tcf.xml-7-7	2.0	['brunner_rechtsgeschichte02_1892-3628-30', 'justi_velazquez01_1888-5612-20', '26120215_1971_09_28_01_168.tcf.xml-7-7']		3
Titel	brunner_rechtsgeschichte02_1892-3628-30			nn_maehrisches166_1893-82-11	4.0	klostermann_eigenthum01_1867-5332-37	2.0	26120215_1971_09_28_01_168.tcf.xml-7-7	3.0	['nn_maehrisches166_1893-82-11', '26120215_1971_09_28_01_168.tcf.xml-7-7', 'klostermann_eigenthum01_1867-5332-37']		3
Titel	nn_nrhz189b_1849-222-76	klueber_recht_1817-1868-1	3.0	26120215_1978_07_21_01_133.tcf.xml-6-16	2.0			2532889X_1984-08-27_01_231.tcf.xml-1-11	4.0	['2532889X_1984-08-27_01_231.tcf.xml-1-11', 'klueber_recht_1817-1868-1', '26120215_1978_07_21_01_133.tcf.xml-6-16']		3
Titel	bluntschli_voelkerrecht_1868-2120-10	26120215_1978_07_21_01_133.tcf.xml-6-16	3.0			kuernberger_amerikamuede_1855-1854-14	4.0	klueber_recht_1817-1265-25	2.0	['kuernberger_amerikamuede_1855-1854-14', '26120215_1978_07_21_01_133.tcf.xml-6-16', 'klueber_recht_1817-1265-25']		3
Titel	klueber_voelkerrecht01_1821-3214-3	26120215_1990_10_13_01_248.tcf.xml-21-18	4.0	26120215_1978_07_21_01_133.tcf.xml-6-16	2.0			2532889X_1979-04-19_01_038.tcf.xml-28-26	3.0	['26120215_1990_10_13_01_248.tcf.xml-21-18', '2532889X_1979-04-19_01_038.tcf.xml-28-26', '26120215_1978_07_21_01_133.tcf.xml-6-16']		3
Titel	klostermann_eigenthum01_1867-5332-37	nn_nrhz009_1848-506-28	2.0	savigny_system01_1840-2586-21	4.0	laband_staatsrecht01_1876-2998-11	3.0			['savigny_system01_1840-2586-21', 'laband_staatsrecht01_1876-2998-11', 'nn_nrhz009_1848-506-28']		3
Titel	laband_staatsrecht01_1876-3007-23	kuernberger_amerikamuede_1855-1854-14	4.0	26120215_1978_07_21_01_133.tcf.xml-6-16	3.0	klostermann_eigenthum01_1867-5332-37	2.0			['kuernberger_amerikamuede_1855-1854-14', '26120215_1978_07_21_01_133.tcf.xml-6-16', 'klostermann_eigenthum01_1867-5332-37']		3
