lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
Tragfähigkeit	wanderley_bauconstructionslehre01_1877-1085-27	ludwig_physiologie01_1852-5553-21	3.0			2532889X_1971-12-18_01_143.tcf.xml-9-14	4.0	26120215_1966_12_11_01_490.tcf.xml-13-17	2.0	['2532889X_1971-12-18_01_143.tcf.xml-9-14', 'ludwig_physiologie01_1852-5553-21', '26120215_1966_12_11_01_490.tcf.xml-13-17']		3
Tragfähigkeit	freud_hysterie_1895-2393-21	26120215_1966_12_11_01_490.tcf.xml-13-17	4.0			2532889X_1972-09-17_01_066.tcf.xml-3-30	3.0	wanderley_bauconstructionslehre01_1877-284-5	2.0	['26120215_1966_12_11_01_490.tcf.xml-13-17', '2532889X_1972-09-17_01_066.tcf.xml-3-30', 'wanderley_bauconstructionslehre01_1877-284-5']		3
Tragfähigkeit	chamberlain_grundlagen02_1899-2348-52	26120215_1966_12_11_01_490.tcf.xml-13-17	3.0			boeheim_waffenkunde_1890-5712-19	2.0	2532889X_1983-11-16_01_044.tcf.xml-61-32	1.0	['26120215_1966_12_11_01_490.tcf.xml-13-17', 'boeheim_waffenkunde_1890-5712-19', '2532889X_1983-11-16_01_044.tcf.xml-61-32']		3
Tragfähigkeit	boeheim_waffenkunde_1890-5712-19			lehnert_seehaefen02_1892-9535-15	3.0	siemens_abhandlungen_1881-5326-48	4.0	chamberlain_grundlagen02_1899-2348-52	2.0	['siemens_abhandlungen_1881-5326-48', 'lehnert_seehaefen02_1892-9535-15', 'chamberlain_grundlagen02_1899-2348-52']		3
Tragfähigkeit	beck_eisen04_1899-2419-13			26120215_1987_07_11_01_100.tcf.xml-25-16	2.0	26120215_1983_01_04_01_289.tcf.xml-3-7	4.0	freud_hysterie_1895-2393-21	3.0	['26120215_1983_01_04_01_289.tcf.xml-3-7', 'freud_hysterie_1895-2393-21', '26120215_1987_07_11_01_100.tcf.xml-25-16']		3
Tragfähigkeit	wanderley_bauconstructionslehre01_1877-284-5			26120215_1970_11_27_01_011.tcf.xml-22-24	4.0	freud_hysterie_1895-2393-21	2.0	2532889X_1962-03-15_01_044.tcf.xml-15-17	3.0	['26120215_1970_11_27_01_011.tcf.xml-22-24', '2532889X_1962-03-15_01_044.tcf.xml-15-17', 'freud_hysterie_1895-2393-21']		3
Tragfähigkeit	rapsilber_reichstagsgebaeude_1895-531-14	26120215_1966_12_11_01_490.tcf.xml-13-17	2.0			26120215_1987_07_11_01_100.tcf.xml-25-16	4.0	26120215_1947_03_07_01_011.tcf.xml-6-11	3.0	['26120215_1987_07_11_01_100.tcf.xml-25-16', '26120215_1947_03_07_01_011.tcf.xml-6-11', '26120215_1966_12_11_01_490.tcf.xml-13-17']		3
Tragfähigkeit	ludwig_physiologie01_1852-5561-48			26120215_1947_03_07_01_011.tcf.xml-6-11	2.0	samter_erfindungen_1896-1625-21	3.0	nn_maehrisches17_1889-527-8	4.0	['nn_maehrisches17_1889-527-8', 'samter_erfindungen_1896-1625-21', '26120215_1947_03_07_01_011.tcf.xml-6-11']		3
Tragfähigkeit	wanderley_bauconstructionslehre02_1878-2174-24			samter_erfindungen_1896-1625-21	4.0	ludwig_physiologie01_1852-5553-21	3.0	26120215_1968_11_02_01_116.tcf.xml-10-4	2.0	['samter_erfindungen_1896-1625-21', 'ludwig_physiologie01_1852-5553-21', '26120215_1968_11_02_01_116.tcf.xml-10-4']		3
Tragfähigkeit	2532889X_1978-04-22_01_237.tcf.xml-8-11	26120215_1966_12_11_01_490.tcf.xml-13-17	2.0	2532889X_1973-04-07_01_337.tcf.xml-12-18	4.0	2532889X_1984-07-03_01_168.tcf.xml-75-18	3.0			['2532889X_1973-04-07_01_337.tcf.xml-12-18', '2532889X_1984-07-03_01_168.tcf.xml-75-18', '26120215_1966_12_11_01_490.tcf.xml-13-17']		3
