lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Tragfähigkeit	2532889X_1947-06-11_01_051.tcf.xml-8-23	2532889X_1976-12-24_01_029.tcf.xml-4-6	Mit dem Bau einer ruen Saalebrücke bei Nienburg, dl « mit « lner Saalebrtlcke bei Nienburg die mit einer LserJconstruktlon « ine Tragfähigkeit von 24 Tonnen erhalten soll, wird Anfang 1948 begonnen.	Eisenbahndrehkran — ein Riese mit einer Tragfähigkeit von 250 Tonnen — wurde jetzt im Leipziger Schwermaschinenbaubetrieb „S. M. Kirow" ausgeliefert.	129:142	40:53	4.0
Tragfähigkeit	2532889X_1948-02-10_01_197.tcf.xml-41-35	2532889X_1976-12-24_01_029.tcf.xml-4-6	Zuzugsge ehmiaunz wird » icnst. Berlin W 8. ®.P. ER Die Fledermaus Berlin N 54, Postschließfach 37 /---*-Platterieröße etwa 1500 X 1500 mm, wpben wir Berlin N 65. Ostender Str; Tragfähigkeit mindestens 1000 kg, 1 Chemotechniker erwirkt.	Eisenbahndrehkran — ein Riese mit einer Tragfähigkeit von 250 Tonnen — wurde jetzt im Leipziger Schwermaschinenbaubetrieb „S. M. Kirow" ausgeliefert.	177:190	40:53	4.0
Tragfähigkeit	2532889X_1948-02-10_01_197.tcf.xml-41-35	boeheim_waffenkunde_1890-5712-19	Zuzugsge ehmiaunz wird » icnst. Berlin W 8. ®.P. ER Die Fledermaus Berlin N 54, Postschließfach 37 /---*-Platterieröße etwa 1500 X 1500 mm, wpben wir Berlin N 65. Ostender Str; Tragfähigkeit mindestens 1000 kg, 1 Chemotechniker erwirkt.	Damit konnte der Bogen entsprechend stärker und kräftiger gemacht werden, was gleichbedeutend war mit dem Erreichen einer grösseren Tragfähigkeit.	177:190	132:145	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	2532889X_1966-08-02_01_015.tcf.xml-4-4	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Ferner befindet Passagierflugzeug mittlerer Tragfähigkeit, die JAK 40, im Bau.	300:313	44:57	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	2532889X_1978-04-22_01_237.tcf.xml-8-11	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Jedes Schiff dieser für die sowjetische Fischfangflotte bestimmten Bauserie wird eine Tragfähigkeit von 11500tdw besitzen, 178 Meter lang und 24.6 Meter breit sein und über 8800 PS MotorenantriebsJeistung verfügen.	300:313	86:99	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	26120215_1965_08_13_01_279.tcf.xml-8-4	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Achtzehn Schiffe mit einer Tragfähigkeit von 100000 tdw haben die polnischen	300:313	27:40	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	lehnert_seehaefen01_1891-10216-21	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Der riesige, 31 m über dem Quai hohe Dampfkrahn auf der Landspitze zwischen dem Oberländer und dem Segelschiff-Hafen besitzt eine Tragfähigkeit von 150 t und ist der grösste der Erde.	300:313	130:143	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	lehnert_seehaefen01_1891-8926-5	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Die grössten derselben haben eine Tragfähigkeit von 40 Tonnen, und ein fixer Krahn von riesigen Dimensionen vermag Lasten bis zu 140 Tonnen zu heben.	300:313	34:47	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	lehnert_seehaefen01_1891-9241-31	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Im Jahre 1886 liess die Stadt einen hydraulischen Kohlenelevator im Binnenhafen erbauen, mittelst welchem die Seedampfer 200 t Steinkohle in einer Stunde einzuladen vermögen, auch besteht ein Waggonhebewerk (Tragfähigkeit 15 t) zur schnellen Einschiffung des Oels in die Flussdampfer.	300:313	208:221	4.0
Tragfähigkeit	2532889X_1950-02-18_01_162.tcf.xml-34-43	nn_maehrisches271_1898-129-40	Liquifltjkoprttymhr' u&a datoren sind: Suche Schweißelektroden Or. VI des neuen Tarifvertrage », für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau-Abwasserreinigung Albert Schulze, Berlin, Zahnstengen u, Spindel, Wineinige Tiefbau-2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit. nleure mit Erfahrungen auf dem Willy e h m a n n Berlin.	Aber zwei Dinge sind es, die sich Buttenstedts klaren, überall zutreffenden Darlegungen entgegenstellen und ihr die Anerkennung weiterer Kreise erschweren: einmal die große Einfachheit der Theorie, und zweitens die mangelhafte Vorstellung der Menschen von der wirklichen Tragfähigkeit der Luft.	300:313	271:284	3.0
