lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Truppenteil	2532889X_1948-10-30_01_014.tcf.xml-3-16	nn_nrhz096_1848-230-15	Ein Teil der Kuomintang-Truppen kämpft gegen wärtig um die Offenhaltung eines Fluchtweges, während sich andere Truppenteile auf den Haf^n Ying-Kou zurückziehen, um von hl~r auf dem Wasserwege nach Nordchina evakuiert zu werden.	Daß es in Folge des Beschlusses der Versammlung, die an den Schweidnitzer Vorfällen betheiligten Truppentheile aus Schweidnitz zurückgezogen habe.	111:123	97:110	4.0
Truppenteil	2532889X_1953-04-29_01_031.tcf.xml-57-3	26120215_1986_06_30_01_017.tcf.xml-4-6	Unaufhörlich werden amerikanische Truppenteile nach Nordafrika gebracht und längs der Küste Stützpunkte der amerikanischen Luftwaffe angelegt, außerhalb der USA die größten ihrer Art.	An dem Appell im Ehrenhain des Truppenteils nahmen Schüler der „Jörgen-Schmidlchen-Oberschule" teil.	34:46	31:43	4.0
Truppenteil	2532889X_1961-12-21_01_116.tcf.xml-5-13	26120215_1986_02_22_01_321.tcf.xml-139-71	80 ehemalige Angehörige der berüchtigten Legion „Condor inspizierten im Mai 1959 spanische Truppenteile, und im Oktober 1961 meldeten sich 14 Franco-Generale zum Befehlsempfang in der Bonner Ermekeil-Kaserne.	Mit dem Aufbau und der Führung der NVA betraute die Partei Söhne des deutschen Volkes, die sich an den verschiedenen Fronten des antifaschistischen Widerstandskampfes bewährt hatten, die einst den Kittel des faschistischen Konzentrationslagers oder des Zuchthauses, die Uniform der spanischen Volksarmee oder der Roten Armee getragen hatten und denen nun die Generalschulferstücke der Nationalen Volksarmee verliehen wurden, oder die als Kommandeure und Politarbeiter unsere ersten Verbände und Truppenteile führten.	91:103	495:507	4.0
Truppenteil	2532889X_1961-12-21_01_116.tcf.xml-5-13	grabbe_napoleon_1831-4088-20	80 ehemalige Angehörige der berüchtigten Legion „Condor inspizierten im Mai 1959 spanische Truppenteile, und im Oktober 1961 meldeten sich 14 Franco-Generale zum Befehlsempfang in der Bonner Ermekeil-Kaserne.	— Seine paar Bataillone bei Charleroi haben keine Kanonen, und unsere überstarken Avantgarden sind Blücher bei Ligny und meine Truppentheile bei Quatrebras — Vorwärts der Tanz!	91:103	127:140	4.0
Truppenteil	2532889X_1964-05-24_01_221.tcf.xml-6-11	2532889X_1979-04-20_01_166.tcf.xml-48-31	Es ist notwendig, zu jeder Zeit die hohe Gefechtsbereitschaft der Truppenteile und Verbände der Nationalen Volksarmee im Interesse des militärischen Schutzes unserer Republik zu gewährleisten.	Kommandostabs-und Truppenüb ungen sowie bei Überprüfungen de Gefechtsbereitschaft dokumentieren eine hohe Leistungsbereitschaft und den festen Willen der Soldaten, des Vol esv unermüdlich die Kämpfkraft und efechtsbereitschaft der Verbände und Truppenteile zu erhöhen so-wie die Sta atsgrenze der DDR militärisch zuver lässig zu sichern.	66:78	244:256	4.0
Truppenteil	2532889X_1964-05-24_01_221.tcf.xml-6-11	26120215_1983_04_21_01_026.tcf.xml-11-17	Es ist notwendig, zu jeder Zeit die hohe Gefechtsbereitschaft der Truppenteile und Verbände der Nationalen Volksarmee im Interesse des militärischen Schutzes unserer Republik zu gewährleisten.	Bei herzlichen Gesprächen im Gelände sowie bei einem Rundgang durch Unterkünfte und Parks versicherten die Angehörigen des Truppenteils, daß sie bereit und in der Lage sind, jeden Befehl zum Schutz des Sozialismus und des Friedens in Ehren zu erfüllen	66:78	123:135	4.0
Truppenteil	2532889X_1967-10-17_01_041.tcf.xml-8-6	laband_staatsrecht0301_1880-457-2	Die Militärdelegation besuchte am Wochenende mehrere Truppenteile der Koreanischen Volksarmee.	Da alle Truppentheile den Befehlen des Kaisers unbedingt Folge leisten müssen, so ergiebt sich, daß diese Anordnungen unmittelbar vom Kaiser an die betreffenden Truppen-Kommando-Behörden ergehen können.	53:65	8:21	4.0
Truppenteil	2532889X_1967-11-28_01_038.tcf.xml-32-14	laband_staatsrecht0301_1880-3288-20	m Zeichen deutsch-polnischer Waffenbrüderschaft stand ein Freundschaftstreffen zwischen polnischen ' Grenzsoldaten und Angehörigen eines Truppenteils der NVA in Oranienburg.	Der Vorschlag erfolgt durch den Divisionsarzt auf Antrag des rangältesten ärztlichen Vorgesetzten und nach eingeholter schriftlicher Genehmigung des Kommandeurs des Truppentheils.	137:149	165:178	4.0
Truppenteil	2532889X_1968-03-30_01_257.tcf.xml-7-5	2532889X_1972-02-22_01_187.tcf.xml-78-15	In unserem Truppenteil, dem Truppenteil Fuhlbrügge, wird der engen Zusammenarbeit mit den Waffenbrüdern unserer Pateneinheit größte Aufmerksamkeit gewidmet.	Deshalb Ist es unsere vordringliche Aufgabe, die Gefechtsbereitschaft und die Fähigkeit der Einheiten und Truppenteile, unter allen Bedingungen die Kampfhandlungen erfolgreich zu führen, auf feinem hohen Stand zu halten.	28:39	106:118	4.0
Truppenteil	2532889X_1970-10-19_01_024.tcf.xml-14-34	nn_nrhz243ii_1849-635-22	Genossen Armeegeneral Hoffmann, den Verteidigungsministern der Warschauer Vertragsstaaten sowie den Soldaten, Matrosen und Fliegern, den Unteroffizieren und Maaten, den Offizieren, Generalen und Admiralen der am Manöver beteiligten Einheiten, Truppenteile, Verbände und Stäbe den herzlichsten Dank für ihre vorbildlichen Leistungen auszusprechen (Beifall) und sie zu der guten Erfüllung der wahrend des Manövers gestellten Kampfaufgaben zu beglückwünschen.	Die piemontesischen Generale Barguer und Rovero seien abgesetzt worden in Folge des kläglichen Zustandes, worin die gegenwärtige Regierung die ihnen anvertrauten Truppentheile gefunden habe.	243:255	162:175	4.0
