lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Unentschlossenheit	2532889X_1950-03-14_01_099.tcf.xml-3-20	lorinser_branntweinpest_1845-524-64	Der BSV hatte es gegen den Meister Nordstern in der Hand, ein Unentschieden zu erzwingen — mangelnde Einsatzfreudigkeit und Unentschlossenheit dea zusammenhanglosen Wilmersdorfer Sturms -verhinderten iedoch eine Punkteteilung.	Von Anfang bis zu Ende ist die so entstandene Bewegung eine religiöse geblieben und hat in kurzer Zeit ihr Ziel erreicht, gegen alle menschliche Voraussicht und Erwartung, ohne geistigen und physischen Zwang, ohne Beihülfe irgend einer Obrigkeit, und trotz alles Widerstandes, den ihr das Mißtrauen und der Eigennutz, der Spott und die Bosheit, die Schwäche und die Unentschlossenheit der Menschen entgegengesezt.	124:142	366:384	4.0
Unentschlossenheit	2532889X_1951-03-02_01_048.tcf.xml-40-5	26120215_1951_02_11_01_006.tcf.xml-27-78	schaftlichen Übermacht und durch die Unentschlossenheit der europäischen herrschenden Kreise letzt Westeuropa vollkommen in die Gewalt bekommen hat und sich anschickt, die restlichen Teile Europas unter seine Herrschaft zu bringen.	Da kommt es denn zu „Lähmungserscheinungen" der amerikanischen Propaganda, wie „Die Welt" resigniert feststellt -Der Tag" nennt den Zustand „labil, unentschlossen und zögernd" und sucht dabei vergessen zu machen, daß es für einen ehrlichen Deutschen, für einen aufrechten Patrioten, für das ganze deutsche Volk in der Frage der Einheit Deutschlands, des Abzugs der Besatzungsmächte und eines Friedensvertrages überhaupt kein „Zögern und keine „Unentschlossenheit" gibt	37:55	444:462	4.0
Unentschlossenheit	2532889X_1952-11-21_01_058.tcf.xml-8-11	2532889X_1971-02-10_01_068.tcf.xml-30-19	Was bis Ende Oktober durch fehlerhafte Planung, unzulängliche Arbeitsorganisation und Unentschlossenheit in der Anwendung fortschrittlicher Anbaaimethoden versäumt wurde, läßt sich bei Schnee und Frost schließlich nicht mehr nachholen.	Kampflos geben sich die Feinde des Friedens nicht geschlagen, im Gegenteil: Sie nutzen jede Schwäche, jede Unentschlossenheit und Uneinigkeit erbarmungslos aus.	86:104	107:125	4.0
Unentschlossenheit	2532889X_1953-01-16_01_018.tcf.xml-3-9	2532889X_1962-04-26_01_166.tcf.xml-15-9	„An Stelle der zielbewußten Dringlichkeit sind Verzögerung und Unentschlossenheit getreten."	Vcrteidigungsenergie zu demonstneren,-• zu ungewollten Demonstrationen amerikanischer Unentschlossenheit, und Rückzugsfreudigkeit.	63:81	86:104	4.0
Unentschlossenheit	2532889X_1953-11-08_01_100.tcf.xml-16-6	2532889X_1988-12-31_01_244.tcf.xml-8-11	Darüber hinaus kennzeichnet es berhaupt die Unentschlossenheit, das Zaudern, die Anas t vor dem Mißlingen großer Dinge Schwächen also, di e es auch heute nach gibt.	Der „Held" der Erzählung leidet an einem Übermaß an Unentschlossenheit, das auch seine Wegsucherprobleme nivelliert.	44:62	52:70	4.0
Unentschlossenheit	2532889X_1953-11-08_01_100.tcf.xml-16-6	26120215_1954_08_27_01_181.tcf.xml-9-8	Darüber hinaus kennzeichnet es berhaupt die Unentschlossenheit, das Zaudern, die Anas t vor dem Mißlingen großer Dinge Schwächen also, di e es auch heute nach gibt.	Die Zeitung beschuldigte ihn der „Schwäche, Unentschlossenheit und Nachlässigkeit".	44:62	44:62	4.0
Unentschlossenheit	2532889X_1953-11-08_01_100.tcf.xml-16-6	26120215_1961_10_25_01_086.tcf.xml-26-0	Darüber hinaus kennzeichnet es berhaupt die Unentschlossenheit, das Zaudern, die Anas t vor dem Mißlingen großer Dinge Schwächen also, di e es auch heute nach gibt.	Unentschlossenheit und Feigheit können niemals die Charakterzüge eines klugen Menschen sein.	44:62	0:18	4.0
Unentschlossenheit	2532889X_1953-11-08_01_100.tcf.xml-16-6	26120215_1963_03_05_01_199.tcf.xml-3-12	Darüber hinaus kennzeichnet es berhaupt die Unentschlossenheit, das Zaudern, die Anas t vor dem Mißlingen großer Dinge Schwächen also, di e es auch heute nach gibt.	In einem Interview mit UPI warf er dabei der Regierung Kennedy „Unentschlossenheit im Kubaproblem" vor.	44:62	64:82	4.0
Unentschlossenheit	2532889X_1953-11-08_01_100.tcf.xml-16-6	dronke_polizeigeschichten_1846-193-4	Darüber hinaus kennzeichnet es berhaupt die Unentschlossenheit, das Zaudern, die Anas t vor dem Mißlingen großer Dinge Schwächen also, di e es auch heute nach gibt.	Sein Herz pochte in Unentschlossenheit, aber er wandte sich weg, und schritt langsam die Straße weiter.	44:62	20:38	4.0
Unentschlossenheit	2532889X_1953-11-08_01_100.tcf.xml-16-6	lorinser_branntweinpest_1845-524-64	Darüber hinaus kennzeichnet es berhaupt die Unentschlossenheit, das Zaudern, die Anas t vor dem Mißlingen großer Dinge Schwächen also, di e es auch heute nach gibt.	Von Anfang bis zu Ende ist die so entstandene Bewegung eine religiöse geblieben und hat in kurzer Zeit ihr Ziel erreicht, gegen alle menschliche Voraussicht und Erwartung, ohne geistigen und physischen Zwang, ohne Beihülfe irgend einer Obrigkeit, und trotz alles Widerstandes, den ihr das Mißtrauen und der Eigennutz, der Spott und die Bosheit, die Schwäche und die Unentschlossenheit der Menschen entgegengesezt.	44:62	366:384	4.0
