lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
abdecken	nn_nrhz105_1848-528-34	ledebur_eisenhuettenkunde_1884-5694-22	1.0	boerne_paris03_1833-917-12	2.0	26120215_1981_11_21_01_345.tcf.xml-78-47	3.0	2532889X_1962-01-24_01_024.tcf.xml-27-17	4.0	['2532889X_1962-01-24_01_024.tcf.xml-27-17', '26120215_1981_11_21_01_345.tcf.xml-78-47', 'boerne_paris03_1833-917-12', 'ledebur_eisenhuettenkunde_1884-5694-22']		4
abdecken	wanderley_bauconstructionslehre02_1878-1492-27	26120215_1978_03_18_01_155.tcf.xml-9-13	2.0	2532889X_1962-01-24_01_024.tcf.xml-27-17	1.0			26120215_1966_08_24_01_105.tcf.xml-13-10	4.0	['26120215_1966_08_24_01_105.tcf.xml-13-10', '26120215_1978_03_18_01_155.tcf.xml-9-13', '2532889X_1962-01-24_01_024.tcf.xml-27-17']		3
abdecken	ledebur_eisenhuettenkunde_1884-5694-22	beck_eisen02_1895-16179-3	3.0	2532889X_1977-07-23_01_321.tcf.xml-3-11	1.0	26120215_1981_08_01_01_316.tcf.xml-22-21	4.0	2532889X_1953-02-10_01_044.tcf.xml-10-21	2.0	['26120215_1981_08_01_01_316.tcf.xml-22-21', 'beck_eisen02_1895-16179-3', '2532889X_1953-02-10_01_044.tcf.xml-10-21', '2532889X_1977-07-23_01_321.tcf.xml-3-11']		4
abdecken	wanderley_bauconstructionslehre01_1877-2488-7	2532889X_1983-05-14_01_107.tcf.xml-29-16	1.0	26120215_1978_03_18_01_155.tcf.xml-9-13	2.0	26120215_1966_08_24_01_105.tcf.xml-13-10	4.0			['26120215_1966_08_24_01_105.tcf.xml-13-10', '26120215_1978_03_18_01_155.tcf.xml-9-13', '2532889X_1983-05-14_01_107.tcf.xml-29-16']		3
abdecken	wanderley_bauconstructionslehre01_1877-1526-77	ledebur_eisenhuettenkunde_1884-5694-22	3.0	26120215_1988_07_06_01_125.tcf.xml-3-19	1.0	2532889X_1984-03-07_01_115.tcf.xml-22-26	2.0			['ledebur_eisenhuettenkunde_1884-5694-22', '2532889X_1984-03-07_01_115.tcf.xml-22-26', '26120215_1988_07_06_01_125.tcf.xml-3-19']		3
abdecken	polenz_buettnerbauer_1895-6066-22	nn_maehrisches71_1886-490-16	1.0	ledebur_eisenhuettenkunde_1884-12929-25	4.0	26120215_1981_06_24_01_155.tcf.xml-55-9	3.0	2532889X_1971-12-31_01_016.tcf.xml-9-26	2.0	['ledebur_eisenhuettenkunde_1884-12929-25', '26120215_1981_06_24_01_155.tcf.xml-55-9', '2532889X_1971-12-31_01_016.tcf.xml-9-26', 'nn_maehrisches71_1886-490-16']		4
abdecken	wanderley_bauconstructionslehre02_1878-2133-43	26120215_1978_03_18_01_155.tcf.xml-9-13	2.0	ledebur_eisenhuettenkunde_1884-5694-22	4.0			2532889X_1977-07-23_01_321.tcf.xml-3-11	1.0	['ledebur_eisenhuettenkunde_1884-5694-22', '26120215_1978_03_18_01_155.tcf.xml-9-13', '2532889X_1977-07-23_01_321.tcf.xml-3-11']		3
abdecken	beck_eisen02_1895-16179-3	26120215_1981_08_01_01_316.tcf.xml-22-21	3.0	26120215_1976_01_10_01_404.tcf.xml-4-28	2.0	strauss_jesus02_1836-788-64	1.0	26120215_1960_06_26_01_343.tcf.xml-20-8	4.0	['26120215_1960_06_26_01_343.tcf.xml-20-8', '26120215_1981_08_01_01_316.tcf.xml-22-21', '26120215_1976_01_10_01_404.tcf.xml-4-28', 'strauss_jesus02_1836-788-64']		4
abdecken	ledebur_eisenhuettenkunde_1884-5998-32	2532889X_1990-05-16_01_087.tcf.xml-235-35	2.0			nn_nrhz296_1849-189-4	1.0	wanderley_bauconstructionslehre02_1878-4577-74	4.0	['wanderley_bauconstructionslehre02_1878-4577-74', '2532889X_1990-05-16_01_087.tcf.xml-235-35', 'nn_nrhz296_1849-189-4']		3
abdecken	ledebur_eisenhuettenkunde_1884-1403-11	26120215_1981_08_26_01_044.tcf.xml-59-14	4.0	2532889X_1975-05-03_01_099.tcf.xml-5-20	1.0	2532889X_1955-01-08_01_051.tcf.xml-8-26	3.0	26120215_1976_01_10_01_404.tcf.xml-4-28	2.0	['26120215_1981_08_26_01_044.tcf.xml-59-14', '2532889X_1955-01-08_01_051.tcf.xml-8-26', '26120215_1976_01_10_01_404.tcf.xml-4-28', '2532889X_1975-05-03_01_099.tcf.xml-5-20']		4
abdecken	nn_maehrisches71_1886-490-16	dickens_weihnachtsabend_1844-903-11	2.0	becker_arbeiter_1860-165-24	4.0	boerne_paris03_1833-917-12	3.0	nn_nrhz296_1849-189-4	1.0	['becker_arbeiter_1860-165-24', 'boerne_paris03_1833-917-12', 'dickens_weihnachtsabend_1844-903-11', 'nn_nrhz296_1849-189-4']		4
abdecken	menzel_maurer_1847-5350-32	2532889X_1966-02-13_01_235.tcf.xml-6-18	1.0	becker_arbeiter_1860-165-24	4.0			dickens_weihnachtsabend_1844-903-11	3.0	['becker_arbeiter_1860-165-24', 'dickens_weihnachtsabend_1844-903-11', '2532889X_1966-02-13_01_235.tcf.xml-6-18']		3
abdecken	ledebur_eisenhuettenkunde_1884-6299-15	26120215_1950_06_22_01_023.tcf.xml-7-21	2.0			26120215_1966_08_24_01_105.tcf.xml-13-10	4.0	brunn_griechen01_1853-2853-32	1.0	['26120215_1966_08_24_01_105.tcf.xml-13-10', '26120215_1950_06_22_01_023.tcf.xml-7-21', 'brunn_griechen01_1853-2853-32']		3
abdecken	wanderley_bauconstructionslehre02_1878-4577-74	hauptmann_henschel_1899-268-9	1.0	vogt_briefe02_1851-6057-11	4.0	26120215_1966_04_06_01_057.tcf.xml-11-27	2.0	26120215_1981_06_24_01_155.tcf.xml-55-9	3.0	['vogt_briefe02_1851-6057-11', '26120215_1981_06_24_01_155.tcf.xml-55-9', '26120215_1966_04_06_01_057.tcf.xml-11-27', 'hauptmann_henschel_1899-268-9']		4
