lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	2532889X_1955-07-17_01_019.tcf.xml-32-14	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Mellies noch einmal, daß mit der Aufrüstung der Weg zur schnellen Wiedervereinigung Deutschlande verbaut würde, was wohl nur als ungeheuerliche Selbstanklage gewertet werden kann.	134:141	97:104	4.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	2532889X_1956-07-13_01_009.tcf.xml-19-13	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Der Weg zu solchen Verhandlungen dürfe nicht wegen irgendwelcher Ressentiments für die Zukunft verbaut werden.	134:141	95:102	4.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	2532889X_1966-03-08_01_094.tcf.xml-5-16	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Die Anschläge zielten darauf ab, die Spannungen zu verschärfen und einer Verständigung den Weg zu verbauen.	134:141	98:106	4.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	26120215_1952_01_13_01_046.tcf.xml-10-12	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Das ist der Schwur, den wir bei uns Mit jedem Stein verbauen!	134:141	52:60	1.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	26120215_1968_06_29_01_285.tcf.xml-7-14	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Für die 120000 Quadratmeter große Kaltwalzwerkshalle mit ihren 10 Hallenschiffen wurden 15000 Tonnen Stahlkonstruktäonen verbaut.	134:141	121:128	1.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	26120215_1983_01_28_01_048.tcf.xml-9-17	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Gegen die sowjetischen Initiativen, die den Weg zur Fortsetzung des Wettrüstens bei nuklearen Rüstungen in Europa verbauen, wehren sie sich mit allen Kräften und versuchen, sie zu entstellen und in ein falsches Licht zu rücken.	134:141	114:122	4.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	26120215_1983_05_21_01_046.tcf.xml-7-10	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Vielen der Jugendlichen sei somit die berufliche Chance fürs Leben verbaut.	134:141	67:74	4.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	26120215_1985_08_05_01_061.tcf.xml-14-33	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Lange, deutete alles auf einen einsamen „Durchmarsch von Angela Stasiulewitsch hin, die vor dem letzten Durchgang 40 Punkte Vorsprung vor allen Konkurrentinnen hatte, dann aber den dreieinhalbfachen Salto vorwärts verbaute.	134:141	214:222	3.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	fouque_frauen_1826-1137-39	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Und wie man nach großer Unruhe, von Außen und Jnnen, eifersüchtig auf den endlich errungenen Genuß der Erholung wacht, so glaubt man das Dasein nicht eng genug umschließen, der Phantasie die Zugänge nicht dicht genug verbauen zu können.	134:141	217:225	4.0
verbauen	2532889X_1947-01-05_01_170.tcf.xml-2-25	hug_familie_1896-2798-19	„Die Kommunisten haben nicht die Absicht, mit daau beizutragen. daß der einfache Pg um Arbeit und Brot gebracht und ihm seine Zukunft verbaut wird. während der Pg mit. Beziehung ' ungeschoren bleibt Diese Erklärung gab der erste SekretSr der KPD-Kreisleitune Dui&bure.	Wollet ihr, daß diese trüben Wildbäche der Leidenschaften nicht groß werden, nicht Land und Volk verwüsten, verbauet sie in ihren Anfängen, d. h. durch eine tiefe, wahrhaft christliche Erziehung, bändiget diese Leidenschaften in den zarten Kinderseelen.	134:141	108:116	3.0
