lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
vergönnen	2532889X_1950-06-06_01_010.tcf.xml-21-15	2532889X_1970-11-14_01_1204.tcf.xml-63-11	Möge es Ihnen, hochverehrter Herr Thomas Mann, als großem Repräsentanten der deutschen Kultur vergönnt sein, Ihre literarische Arbeit noch viele Jahre in voller Gesundheit und Schaffehskraft '-erfolgreich '-fortK; zufuhren.	Doch dem nimmermüden Kämpfer ist nur noch kurze Zait zu leben vergönnt.	94:102	62:70	4.0
vergönnen	2532889X_1950-12-22_01_060.tcf.xml-7-38	2532889X_1954-08-03_01_034.tcf.xml-10-18	So wie wir von ganzem Herzen wünschen, daß uns der Frieden erhalten bleibt, so wünschen wir gleichzeitig, daß unserem besten Freund, Generalissimus ' Stalin, noch viele Jahre der Arbeit zum Wohle der Menschheit vergönnt sind.	Wir geben der Hoffnung Ausdruck, daß es Ihnen, sehr geehrter Herr Professor, noch viele Jahre vergönnt Eein möge, richtungsweisend und beispielgebend an der Spitze der deutschen Gynäkologie und Geburtshilfe zu wirken.	211:219	94:102	4.0
vergönnen	2532889X_1951-01-05_01_098.tcf.xml-3-26	arent_dichtercharaktere_1885-2171-20	KPD-Fraktion des Bonner Bundestages sandte Wilhelm Pieck zu seinem 75. Geburtstage ein Glückwunschtelegramm, in dem sie der Erwartung Ausdruck gibt, daß es „ihm. vergönnt sein » möge, noch lange Jahre bei bester Gesundheit für die Interessen der Arbeiterklasse und des deutschen Volkes zu wirken".	Einsam, einsam Will ich wandeln und ziehen, Ob fiebernde Brunst auch Die Adern emporschwellt, — Doch eines vergönn’ mir, Allwaltende Weltmacht, Jedes Wort, das ich schmiede, Es werde zum Glied, Das die Menschheit verkettet, Jedes Lied, das ich singe, Wie Thau laß es fallen Auf die Herzen der Armen, Der Sünder und Buhlen — Dann finde ich Frieden.	162:170	107:115	3.0
vergönnen	2532889X_1951-04-12_01_031.tcf.xml-2-12	2532889X_1970-12-12_01_149.tcf.xml-22-18	Durch die Teilnahme an einer mphrwöchicen Dclegationsreise war es mir als Tierzüchter vergönnt, von den grundlegenden Forschungsarbeiten der Sowjetunion zur Steigerung der landwirtschaftlichen Produktion, über die in der deutschen Presse häufig berichtet wird, eigene Eindrücke zu sammeln.	Nur wenige Jahre, von 1917 bis 1923,. war es dem begeisterten und begeisternden Pädagogen Neubauer vergönnt, unmittelbar als Lehrer in der Schulstube arbeiten zu können.	86:94	99:107	4.0
vergönnen	2532889X_1951-10-19_01_042.tcf.xml-10-4	otto_schloss02_1846-411-28	Vnm" war-es vergönnt, vieles von dem zu erleben und heißen Herzens au begrünen, was. er selbst gefordert hatte.	„Sie schweigen — vielleicht weil Sie die Sprache seltsam, finden, welche ich führe, vielleicht weil Sie Ihnen ungeziemend erscheint — aber wenn Sie mir vergönnen, aufrichtig fortzufahrrn — so werden Sie mir vergeben, wenn Sie es nicht schon jetzt thun.“	12:20	152:161	4.0
vergönnen	2532889X_1954-06-15_01_064.tcf.xml-11-5	mommsen_roemische03_1856-5663-52	Nur wenigen Westberlinern ist es vergönnt, ihr Wochenende oder ihren Urlaub in Westdeutschland zu verbringen, denn infolge der niedrigen Löhne und der ständigen Preis-und MietsSteigerungen sind die westberliner Werktätigen nicht in der Lage, die Kosten einer solchen Reise nach Westdeutschland aufzubringen.	Aber die Anmuth und Laune vor allem der menippischen Satiren, welche an Zahl wie an Bedeutung Varros ernsteren Arbeiten weit überlegen scheinen gewesen zu sein, fesselte die Zeitgenossen sowohl wie diejenigen Späteren, die für Originalität und Volksthümlichkeit Sinn hatten; und auch wir noch, denen es nicht mehr vergönnt ist sie zu lesen, mögen aus den erhaltenen Bruchstücken einigermassen es nachempfinden, dass der Schreiber ‚ es verstand zu lachen und mit Mass zu scherzen ‘.	33:41	314:322	4.0
vergönnen	2532889X_1956-07-21_01_022.tcf.xml-12-8	bechstein_dunkelgraf_1854-321-6	Er hüpft immer dorthin, wo es ihm vergönnt bleibt, zu irgendeinem Vorschlag mit entspannungsfreundlichen Tendenzen nein sagen zu können.	Ich danke Gott, daß mir vergönnt war, zu rechter Zeit mich einzumischen, ich wollte es nicht, ich wollte nur ein wenig lauschen, welche Gesinnungen gegen mich sich aussprächen, da geschah das Aeußerste, da mußte ich den Fuß auf die Springfeder setzen, die das Bild wegschiebt, zwei Secunden vielleicht zu spät, und mein Enkel hätte meinen Enkel erschossen, und dieses mein durch Mord noch nie entweihtes Haus mit einer blutigen Unthat befleckt.	34:42	24:32	3.0
vergönnen	2532889X_1956-09-27_01_012.tcf.xml-3-22	26120215_1981_05_06_01_075.tcf.xml-3-18	Mit einer Reisegesellschaft aus dem volksdemokratischen Rumänien kommend, wo ich heute als deutschsprachiger Journalist und Schriftsteller wirke, war es mir vergönnt, nach bald einem Vierteljahrhundert die alte Heimat, mein geliebtes Berlin, aus dem mich — wie so viele andere — ' • im Frühjahr 1933 der Hitlerterror vertrieb, wiederzusehen.	Bei den Box-Europameisterschaften in Tampere war es gestern dem 23iahrigen Elektromonteur Detlef Kästner vom SC Dynamo Berlin nicht vergönnt, den Einzug unter die letzten acht Halbmittelgewichtler zu schaffen.	157:165	132:140	4.0
vergönnen	2532889X_1960-01-30_01_111.tcf.xml-13-14	2532889X_1973-07-24_01_027.tcf.xml-15-13	Ein Stipendium zum Besuch der Universität Göttingen zu erhalten, war ihm jedoch nicht vergönnt.	Im November 1932 war es das letzte Mal, als es mir persönlich vergönnt war, Ernst Thälmann zu sehen, mit ihm zu sprechen und ihn sprechen zu hören.	86:94	62:70	4.0
vergönnen	2532889X_1960-09-11_01_086.tcf.xml-16-4	burckhardt_cicerone_1855-11334-20	Wilhelm Pieck Ist es vergönnt gewesen, die Verwirklichung des Zieles zu erleben, dem er vor mehr als einem halben Jahrhundert sein Leben geweiht hat und dessen -Verwirklichung er seitdem alle seine Kräfte widmete.	Der Verf. hat es besonders an dieser Stelle zu beklagen, dass ihm die Untersuchung der dortigen Sculpturen nicht vergönnt war.	21:29	113:121	4.0
