lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
vorliegen	2532889X_1949-01-20_01_016.tcf.xml-14-20	2532889X_1970-07-14_01_145.tcf.xml-3-28	In verschiedenen SAG-Betrieben machten wir die Feststellung, daß ein von der Zonenverwaltung der einzelnen Fachgruppen ausgearbeiteter konkreter Plan wohl vorliegt, aber meist nur der Geschäftsleitung bekannt ist, nicht aber der Betriebsgruppe, der Betriebsgewerkschaftsleitung und der Belegschaft.	Wir stehen auf diesen Gebieten, obwohl die Praxis immer dringender Ergebnisse benötigt, noch am Anfang unserer Forschungen und sind sehr froh, dafj nun erste Resultate vorliegen	155:163	168:177	4.0
vorliegen	2532889X_1949-01-20_01_016.tcf.xml-14-20	26120215_1984_01_28_01_110.tcf.xml-18-29	In verschiedenen SAG-Betrieben machten wir die Feststellung, daß ein von der Zonenverwaltung der einzelnen Fachgruppen ausgearbeiteter konkreter Plan wohl vorliegt, aber meist nur der Geschäftsleitung bekannt ist, nicht aber der Betriebsgruppe, der Betriebsgewerkschaftsleitung und der Belegschaft.	Einer breiten musikalischen Öffentlichkeit ist J. F. Fasch bisher nur durch sein beliebtes Trompetenkonzert in D-Dur (ca. 1730) bekannt, das bei Eterna bereits in zwei Einspielungen vorliegt.	155:163	182:190	3.0
vorliegen	2532889X_1949-10-06_01_065.tcf.xml-23-26	2532889X_1969-09-06_01_311.tcf.xml-11-21	sie gingen im zweiten Quartal dieses Jahres gegenüber dem gleichen des Vorjahres um etwa 4 Prozent zurück, trotzdem durch Preisermäßigungen. ein weit höherer Umsatz vorliegen müßte.	Hermann Gautier: „Wir haben diese Frage ganz konkret angeschnitten, weil ja ein Protest der DDR bei der Bundesregierung vorliegt gegen die von der Bundesregierung bestätigte Lagerung von biologischen und chemischen Waffen auf dem Territorium der Bundesrepublik.	165:174	120:128	3.0
vorliegen	2532889X_1949-10-06_01_065.tcf.xml-23-26	mayer_verwaltungsrecht02_1896-1949-7	sie gingen im zweiten Quartal dieses Jahres gegenüber dem gleichen des Vorjahres um etwa 4 Prozent zurück, trotzdem durch Preisermäßigungen. ein weit höherer Umsatz vorliegen müßte.	Das bedeutet, daß öffentliches Eigentum nicht vorliegt; es bedeutet nicht, daß durch die Klage und das Urteil öffentliches Eigentum zerstört wurde; es wird nur festgestellt, daß nie solches da war.	165:174	46:54	4.0
vorliegen	2532889X_1949-11-05_01_047.tcf.xml-21-12	26120215_1975_10_22_01_007.tcf.xml-40-27	Wir könnten aber auch die hunderte von Kleinbetrieben nennen, deren Sammelbestellungen vorliegen, von Sparkassenzweigstellen bis zu Friseurläden.	Wie überaus groß das Interesse am Meinungs-und Erfahrungsaustausch zu diesem Thema ist, beweist die Tatsache, daß in der Kommission schon am Mittag 113 Wortmeldungen vorlagen.	87:96	166:174	4.0
vorliegen	2532889X_1949-11-05_01_047.tcf.xml-21-12	chamberlain_grundlagen01_1899-5766-43	Wir könnten aber auch die hunderte von Kleinbetrieben nennen, deren Sammelbestellungen vorliegen, von Sparkassenzweigstellen bis zu Friseurläden.	Hingegen kann nur ein Fachgelehrter entscheiden, ob die beiden Raben, die am Ende der Schlacht bei Kossovo auffliegen, um dem serbischen Volk seinen Untergang zu künden, mit Wotan’s Raben verwandt sind, oder ob hier ein allgemeines indo-germanisches Motiv vorliegt, ein Überbleibsel der Naturmythen, eine Entlehnung, ein Zufall.	87:96	256:264	3.0
vorliegen	2532889X_1949-11-05_01_047.tcf.xml-21-12	steinthal_grammatik_1855-4878-23	Wir könnten aber auch die hunderte von Kleinbetrieben nennen, deren Sammelbestellungen vorliegen, von Sparkassenzweigstellen bis zu Friseurläden.	Daß aber Anschauungen Bewegungen verursachen, die gar nichts mit der Verwirklichung jener Anschauungen zu thun haben, wie dies in der Sprache vorliegt — da das Tönen und Articuliren keine Ausführung der angeschauten Dinge oder Bewegungen ist —: dies scheint mir nur dadurch erklärbar zu sein, daß wir die Anschauungen von Gefühlen begleitet sein lsssen.	87:96	142:150	2.0
vorliegen	2532889X_1950-12-24_01_151.tcf.xml-45-11	2532889X_1981-02-14_01_126.tcf.xml-4-8	Wenn der Wille zur Verständigung ernsthaft und ehrlich bei beiden Teilen vorliegt, kann ich mir nicht denken,-daß die Verhandlungen ohne Erfolg sein werden.	Die Erinnerungen von Heinz Hofifmann, die uns vorliegen, umfassen die ersten drei Jahrzehnte seines Lebens.	73:81	46:55	3.0
vorliegen	2532889X_1950-12-24_01_151.tcf.xml-45-11	26120215_1948_09_09_01_056.tcf.xml-8-41	Wenn der Wille zur Verständigung ernsthaft und ehrlich bei beiden Teilen vorliegt, kann ich mir nicht denken,-daß die Verhandlungen ohne Erfolg sein werden.	Der Gastgeber zürnte mit Recht allerdings dem Unparteiischen, und dessen Unfähigkeit wurde im Mittestadion noch übertreffen, wo der große Favorit der „breiten Masse", nicht der berufenen Sachverständigen, Prenzlauer Berg, zweimal zwei Tore gegen Spandau vorlag und mit einer an Namen repräsentativen Hintermannschaft diesen Vorsprune nicht verteidigen konnte.	73:81	254:260	3.0
vorliegen	2532889X_1950-12-24_01_151.tcf.xml-45-11	mayer_verwaltungsrecht02_1896-978-2	Wenn der Wille zur Verständigung ernsthaft und ehrlich bei beiden Teilen vorliegt, kann ich mir nicht denken,-daß die Verhandlungen ohne Erfolg sein werden.	Wann das vorliegt, namentlich wie lange die Säumnis gedauert haben muß, das würde Thatfrage sein.	73:81	9:17	4.0
vorliegen	2532889X_1950-12-24_01_151.tcf.xml-45-11	weismann_keimplasma_1892-4257-9	Wenn der Wille zur Verständigung ernsthaft und ehrlich bei beiden Teilen vorliegt, kann ich mir nicht denken,-daß die Verhandlungen ohne Erfolg sein werden.	Es fragt sich aber, ob nicht anderweitige Thatsachen vorliegen, die nur in dieser Annahme ihre Erklärung finden können, und dies soll besonders noch nach einer Seite hin beleuchtet werden.	73:81	53:62	4.0
vorliegen	2532889X_1951-04-19_01_072.tcf.xml-25-11	2532889X_1972-09-08_01_036.tcf.xml-19-3	Ohne Zweifel werden jetzt unsere Konstrukteure, nachdem ein brauchbarer Vorschlag vorliegt, die Diskussion über diese Frage eröffnen.	Je mehr Informationen vorliegen, desto geneigter ist man, die Handlungsweise der Behörden in diesem Fall in Frage zu setzen.	82:90	22:31	4.0
vorliegen	2532889X_1952-02-26_01_042.tcf.xml-44-5	fontane_brandenburg02_1863-2752-16	Nachdem die Antwort der Sowjetregierung vorliegt, erwartet das deutsche Volk eine klare Stellungnahme der Bonner Regierung und der Abgeordneten des Bonner Bundesparlaments, denn die Regierung der Deutschen Demokratischen Republik hatte bekanntlich ihr Schreiben an die vier Großmächte zugleich an die Bonner Regierung gesandt, mit dem Ersuchen diesen den Wünschen und Interessen des deutschen Volkes entsprechenden Vorschlägen beizutreten.	Mit andern Worten, er vermuthet da wendisch-ursprüngliches oder im Oderbruch gewachsenes, wo nur deutsch-importirtes vorliegt.	40:48	117:125	2.0
vorliegen	2532889X_1952-02-26_01_042.tcf.xml-44-5	vischer_aesthetik0201_1847-1026-17	Nachdem die Antwort der Sowjetregierung vorliegt, erwartet das deutsche Volk eine klare Stellungnahme der Bonner Regierung und der Abgeordneten des Bonner Bundesparlaments, denn die Regierung der Deutschen Demokratischen Republik hatte bekanntlich ihr Schreiben an die vier Großmächte zugleich an die Bonner Regierung gesandt, mit dem Ersuchen diesen den Wünschen und Interessen des deutschen Volkes entsprechenden Vorschlägen beizutreten.	Hier ist denn zu sagen, daß ein überschaulicher Theil des Gebirges (oder der Ebene) vorliegen muß, der eine Vorstellung von der übrigen Form, Höhe, Breite, Länge des Gebirges gibt.	40:48	84:93	3.0
vorliegen	2532889X_1952-08-30_01_040.tcf.xml-9-26	2532889X_1972-09-14_01_106.tcf.xml-4-6	Tatsache ist demgegenüber, daß ein großer Teil der Mitglieder des Bundes deutscher katholischer Jugend nicht hinter dieser Erklärung steht, und daß kein zustandegekommener Beschluß vorliegt, der den Bundesführer des Bundes deutscher katholischer Jugend ermächtigt haben könnte.	Chaiyasutr, gegen den erdrückende Indizien vorliegen, war in schweren Verdacht geraten, nachdem sich bei den Ermittlungen u. a. herausgestellt hatte, daß er vor dem Abflug seine Tochter gleichzeitig bei drei verschiedenen Gesellschaften für insgesamt 250000 Dollar versichert hatte.	181:189	43:52	4.0
vorliegen	2532889X_1962-03-26_01_043.tcf.xml-5-19	2532889X_1979-11-10_01_146.tcf.xml-9-14	Die FDP hatte diesen Antrag damit begründet, daß ihr Material über die unhaltbaren hygienischen Zustände Im Kreis Monschau vorliegt.	Wir wußten, daß in Ihrem Land zu diesem Thema gute Erfahrungen und Ergebnisse vorliegen, deshalb sind wir nach Berlin gekommen.	123:131	78:87	3.0
vorliegen	2532889X_1962-03-26_01_043.tcf.xml-5-19	nn_maehrisches29_1887-161-17	Die FDP hatte diesen Antrag damit begründet, daß ihr Material über die unhaltbaren hygienischen Zustände Im Kreis Monschau vorliegt.	Diese sei vielmehr die, daß eine Anzahl von Abgeordneten gegen deren rechtsgiltige Wahl die schwersten Bedenken vorliegen, hier Jahr für Jahr an der Abstimmung theilnehmen und bei der schwankenden Mehrheit, über welche die Regierungspartei verfügt, sehr häufig den Ausschlag geben.	123:131	112:121	3.0
