lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
vorweisen	nn_nrhz081_1848-231-15	raabe_odfeld_1889-460-12	2.0	2532889X_1968-03-08_01_081.tcf.xml-5-13	3.0			2532889X_1985-10-26_01_196.tcf.xml-4-12	4.0	['2532889X_1985-10-26_01_196.tcf.xml-4-12', '2532889X_1968-03-08_01_081.tcf.xml-5-13', 'raabe_odfeld_1889-460-12']		3
vorweisen	nn_nrhz161_1848-115-15			2532889X_1966-12-01_01_160.tcf.xml-19-13	4.0	vogt_briefe02_1851-2852-56	3.0	2532889X_1970-06-13_01_033.tcf.xml-51-17	2.0	['2532889X_1966-12-01_01_160.tcf.xml-19-13', 'vogt_briefe02_1851-2852-56', '2532889X_1970-06-13_01_033.tcf.xml-51-17']		3
vorweisen	raabe_odfeld_1889-460-12	nn_nrhz081_1848-231-15	2.0	baumgart_poetik_1887-7809-17	3.0			nn_nrhz099b_1848-302-29	4.0	['nn_nrhz099b_1848-302-29', 'baumgart_poetik_1887-7809-17', 'nn_nrhz081_1848-231-15']		3
vorweisen	goethe_leben02_1812-1153-34			26120215_1973_01_11_01_051.tcf.xml-16-29	4.0	26120215_1974_05_26_01_330.tcf.xml-28-14	2.0	2532889X_1976-08-21_01_350.tcf.xml-5-8	3.0	['26120215_1973_01_11_01_051.tcf.xml-16-29', '2532889X_1976-08-21_01_350.tcf.xml-5-8', '26120215_1974_05_26_01_330.tcf.xml-28-14']		3
vorweisen	nn_nrhz099b_1848-302-29	ranke_reformation05_1843-205-5	4.0	2532889X_1978-08-01_01_039.tcf.xml-30-17	2.0			2532889X_1958-12-06_01_123.tcf.xml-14-4	3.0	['ranke_reformation05_1843-205-5', '2532889X_1958-12-06_01_123.tcf.xml-14-4', '2532889X_1978-08-01_01_039.tcf.xml-30-17']		3
vorweisen	vogt_briefe02_1851-2852-56			2532889X_1978-08-01_01_039.tcf.xml-30-17	4.0	26120215_1948_10_03_01_231.tcf.xml-98-48	2.0	2532889X_1985-10-26_01_196.tcf.xml-4-12	3.0	['2532889X_1978-08-01_01_039.tcf.xml-30-17', '2532889X_1985-10-26_01_196.tcf.xml-4-12', '26120215_1948_10_03_01_231.tcf.xml-98-48']		3
vorweisen	26120215_1976_03_27_01_216.tcf.xml-7-10			2532889X_1970-04-29_01_061.tcf.xml-41-14	2.0	bluntschli_voelkerrecht_1868-2065-21	4.0	oken_biologie_1805-476-25	3.0	['bluntschli_voelkerrecht_1868-2065-21', 'oken_biologie_1805-476-25', '2532889X_1970-04-29_01_061.tcf.xml-41-14']		3
vorweisen	26120215_1948_10_03_01_231.tcf.xml-98-48	vogt_briefe02_1851-2852-56	2.0	2532889X_1970-06-13_01_033.tcf.xml-51-17	3.0			2532889X_1976-08-21_01_350.tcf.xml-5-8	4.0	['2532889X_1976-08-21_01_350.tcf.xml-5-8', '2532889X_1970-06-13_01_033.tcf.xml-51-17', 'vogt_briefe02_1851-2852-56']		3
vorweisen	26120215_1975_11_21_01_118.tcf.xml-9-17	2532889X_1987-06-06_01_262.tcf.xml-21-8	4.0			bechstein_dunkelgraf_1854-4071-23	3.0	oken_biologie_1805-476-25	2.0	['2532889X_1987-06-06_01_262.tcf.xml-21-8', 'bechstein_dunkelgraf_1854-4071-23', 'oken_biologie_1805-476-25']		3
vorweisen	2532889X_1989-06-30_01_133.tcf.xml-33-19	nn_nrhz081_1848-231-15	2.0	26120215_1982_01_16_01_112.tcf.xml-6-15	3.0			26120215_1976_01_24_01_314.tcf.xml-8-10	4.0	['26120215_1976_01_24_01_314.tcf.xml-8-10', '26120215_1982_01_16_01_112.tcf.xml-6-15', 'nn_nrhz081_1848-231-15']		3
vorweisen	2532889X_1976-08-21_01_350.tcf.xml-5-8	26120215_1975_04_19_01_106.tcf.xml-5-10	2.0	nn_nrhz058b_1848-256-20	4.0	26120215_1976_01_24_01_314.tcf.xml-8-10	3.0			['nn_nrhz058b_1848-256-20', '26120215_1976_01_24_01_314.tcf.xml-8-10', '26120215_1975_04_19_01_106.tcf.xml-5-10']		3
vorweisen	26120215_1973_01_11_01_051.tcf.xml-16-29	2532889X_1958-12-06_01_123.tcf.xml-14-4	3.0	2532889X_1984-09-14_01_071.tcf.xml-42-42	2.0	goethe_leben02_1812-1153-34	4.0			['goethe_leben02_1812-1153-34', '2532889X_1958-12-06_01_123.tcf.xml-14-4', '2532889X_1984-09-14_01_071.tcf.xml-42-42']		3
vorweisen	2532889X_1985-10-26_01_196.tcf.xml-4-12	bluntschli_voelkerrecht_1868-3052-15	3.0			26120215_1976_01_24_01_314.tcf.xml-8-10	2.0	26120215_1963_09_05_01_005.tcf.xml-23-20	4.0	['26120215_1963_09_05_01_005.tcf.xml-23-20', 'bluntschli_voelkerrecht_1868-3052-15', '26120215_1976_01_24_01_314.tcf.xml-8-10']		3
vorweisen	26120215_1976_01_24_01_314.tcf.xml-8-10	2532889X_1989-06-30_01_133.tcf.xml-33-19	4.0	2532889X_1985-10-26_01_196.tcf.xml-4-12	2.0	2532889X_1976-08-21_01_350.tcf.xml-5-8	3.0			['2532889X_1989-06-30_01_133.tcf.xml-33-19', '2532889X_1976-08-21_01_350.tcf.xml-5-8', '2532889X_1985-10-26_01_196.tcf.xml-4-12']		3
vorweisen	26120215_1948_04_01_01_009.tcf.xml-10-55	2532889X_1976-08-21_01_350.tcf.xml-5-8	3.0	2532889X_1986-10-30_01_137.tcf.xml-13-7	2.0	26120215_1948_10_06_01_040.tcf.xml-21-11	4.0			['26120215_1948_10_06_01_040.tcf.xml-21-11', '2532889X_1976-08-21_01_350.tcf.xml-5-8', '2532889X_1986-10-30_01_137.tcf.xml-13-7']		3
vorweisen	2532889X_1986-10-30_01_137.tcf.xml-13-7	26120215_1948_04_01_01_009.tcf.xml-10-55	2.0			2532889X_1985-10-26_01_196.tcf.xml-4-12	4.0	2532889X_1978-08-27_01_028.tcf.xml-9-8	3.0	['2532889X_1985-10-26_01_196.tcf.xml-4-12', '2532889X_1978-08-27_01_028.tcf.xml-9-8', '26120215_1948_04_01_01_009.tcf.xml-10-55']		3
vorweisen	2532889X_1966-12-01_01_160.tcf.xml-19-13	2532889X_1986-10-30_01_137.tcf.xml-13-7	2.0	2532889X_1978-08-01_01_039.tcf.xml-30-17	3.0			holtei_vagabunden03_1852-2562-20	4.0	['holtei_vagabunden03_1852-2562-20', '2532889X_1978-08-01_01_039.tcf.xml-30-17', '2532889X_1986-10-30_01_137.tcf.xml-13-7']		3
vorweisen	2532889X_1978-08-01_01_039.tcf.xml-30-17	nn_nrhz099b_1848-302-29	2.0			2532889X_1969-09-20_01_164.tcf.xml-16-18	4.0	2532889X_1966-12-01_01_160.tcf.xml-19-13	3.0	['2532889X_1969-09-20_01_164.tcf.xml-16-18', '2532889X_1966-12-01_01_160.tcf.xml-19-13', 'nn_nrhz099b_1848-302-29']		3
vorweisen	2532889X_1970-06-13_01_033.tcf.xml-51-17			nn_nrhz161_1848-115-15	2.0	26120215_1973_01_11_01_051.tcf.xml-16-29	3.0	2532889X_1987-09-29_01_042.tcf.xml-17-21	4.0	['2532889X_1987-09-29_01_042.tcf.xml-17-21', '26120215_1973_01_11_01_051.tcf.xml-16-29', 'nn_nrhz161_1848-115-15']		3
vorweisen	26120215_1974_05_26_01_330.tcf.xml-28-14	2532889X_1976-08-21_01_350.tcf.xml-5-8	4.0	goethe_leben02_1812-1153-34	2.0			26120215_1973_01_11_01_051.tcf.xml-16-29	3.0	['2532889X_1976-08-21_01_350.tcf.xml-5-8', '26120215_1973_01_11_01_051.tcf.xml-16-29', 'goethe_leben02_1812-1153-34']		3
