lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
überspannen	gerstner_mechanik01_1831-7908-49	26120215_1964_09_13_01_407.tcf.xml-27-16	2.0			2532889X_1984-03-30_01_253.tcf.xml-4-14	3.0	26120215_1985_07_23_01_051.tcf.xml-9-26	4.0	['26120215_1985_07_23_01_051.tcf.xml-9-26', '2532889X_1984-03-30_01_253.tcf.xml-4-14', '26120215_1964_09_13_01_407.tcf.xml-27-16']		3
überspannen	arnimb_guenderode01_1840-770-48	26120215_1975_10_23_01_356.tcf.xml-7-3	1.0	niethammer_philantropinismus_1808-173-56	2.0	wackernagel_poetik_1873-3635-58	3.0			['wackernagel_poetik_1873-3635-58', 'niethammer_philantropinismus_1808-173-56', '26120215_1975_10_23_01_356.tcf.xml-7-3']		3
überspannen	lehnert_seehaefen01_1891-13579-13	26120215_1964_09_13_01_407.tcf.xml-27-16	1.0	2532889X_1981-02-14_01_071.tcf.xml-7-20	3.0	2532889X_1979-11-05_01_025.tcf.xml-2-1	4.0			['2532889X_1979-11-05_01_025.tcf.xml-2-1', '2532889X_1981-02-14_01_071.tcf.xml-7-20', '26120215_1964_09_13_01_407.tcf.xml-27-16']		3
überspannen	pocci_komoedienbuechlein01_1859-3910-27	2532889X_1978-07-15_01_224.tcf.xml-31-11	4.0	gerstner_mechanik01_1831-7915-29	3.0	vischer_aesthetik030201_1852-574-37	2.0	spielhagen_problematische03_1861-1574-13	1.0	['2532889X_1978-07-15_01_224.tcf.xml-31-11', 'gerstner_mechanik01_1831-7915-29', 'vischer_aesthetik030201_1852-574-37', 'spielhagen_problematische03_1861-1574-13']		4
überspannen	baumstark_encyclopaedie_1835-10729-28	2532889X_1955-05-03_01_035.tcf.xml-56-13	4.0	wackernagel_poetik_1873-3635-58	1.0	gerstner_mechanik02_1832-8452-83	3.0			['2532889X_1955-05-03_01_035.tcf.xml-56-13', 'gerstner_mechanik02_1832-8452-83', 'wackernagel_poetik_1873-3635-58']		3
überspannen	rosegger_waldschulmeister_1875-504-12	wackernagel_poetik_1873-3635-58	3.0	gerstner_mechanik01_1831-8106-63	1.0	2532889X_1979-11-05_01_025.tcf.xml-2-1	2.0			['wackernagel_poetik_1873-3635-58', '2532889X_1979-11-05_01_025.tcf.xml-2-1', 'gerstner_mechanik01_1831-8106-63']		3
überspannen	berlepsch_alpen_1861-1071-7	26120215_1964_09_13_01_407.tcf.xml-27-16	4.0			2532889X_1955-05-03_01_035.tcf.xml-56-13	1.0	26120215_1979_01_09_01_052.tcf.xml-67-14	2.0	['26120215_1964_09_13_01_407.tcf.xml-27-16', '26120215_1979_01_09_01_052.tcf.xml-67-14', '2532889X_1955-05-03_01_035.tcf.xml-56-13']		3
überspannen	vischer_aesthetik030201_1852-574-37	bluntschli_staatslehre_1875-4658-26	3.0	26120215_1973_04_27_01_335.tcf.xml-3-1	2.0	2532889X_1952-10-14_01_100.tcf.xml-139-10	1.0			['bluntschli_staatslehre_1875-4658-26', '26120215_1973_04_27_01_335.tcf.xml-3-1', '2532889X_1952-10-14_01_100.tcf.xml-139-10']		3
überspannen	dilthey_geisteswissenschaften_1883-2172-1	menzel_maurer_1847-2542-12	2.0	wackernagel_poetik_1873-3635-58	3.0	2532889X_1983-07-26_01_034.tcf.xml-17-18	1.0	strauss_jesus01_1835-2171-1	4.0	['strauss_jesus01_1835-2171-1', 'wackernagel_poetik_1873-3635-58', 'menzel_maurer_1847-2542-12', '2532889X_1983-07-26_01_034.tcf.xml-17-18']		4
überspannen	herbart_psychologie02_1825-45-36	26120215_1964_09_13_01_407.tcf.xml-27-16	4.0	erbkam_tagebuch01_1842-1580-46	1.0	menzel_maurer_1847-3296-7	2.0	wackernagel_poetik_1873-693-21	3.0	['26120215_1964_09_13_01_407.tcf.xml-27-16', 'wackernagel_poetik_1873-693-21', 'menzel_maurer_1847-3296-7', 'erbkam_tagebuch01_1842-1580-46']		4
