lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
afternoon	fic_1822_7275.txt-216-23	fic_1850_2310.txt-1321-9	Mrs. Daggett, nettled by her sister's hint, rose and said, " that, as she was going in the afternoon to attend a meeting in a distant part of the town, (for, " said she, " no one can say that distance or weather ever keeps me from my duties,) she had no more time to waste. "	She remained in company with the cows all the afternoon.	91:100	46:55	4.0
afternoon	fic_1822_7275.txt-530-41	fic_1971_14051.txt-667-2	Elvira had just got possession, by stealth, of a new novel; that species of reading being absolutely prohibited in Mrs. Wilson's house, she had crept up to the garret, and was promising herself a long afternoon of stolen pleasure. "	On those afternoons by the sea, we knitted, Sheila and I, and talked about poetry and children.	201:210	9:19	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1843_7208.txt-10502-5	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	He had caught, one afternoon, in company with a crew of political cronies, a small carful of striped-bass and Lafayette fish, in the East river, and was declared the " Hero of Kipp's bay. "	7:16	19:28	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1853_7732.txt-4-29	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	and the hollow moan Of the fitful breeze had a plaintive tone; And it seemed, though in the heart of June, Like the year's autumnal afternoon.	7:16	132:141	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1859_1191.txt-2358-42	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	He was very anxious to see his mother; but Doctor R --, desirous of making as great a change in the child's appearance and manner as possible, kept him at his house all night, and until the afternoon of the next day.	7:16	190:199	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1860_615.txt-1132-40	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	Owing, it may be, to this moral estrangement, - - this chill remoteness of their position, - - there have come to us but a few vague whisperings of what passed in Miriam's interview that afternoon with the sinister personage who had dogged her footsteps ever since the visit to the catacomb.	7:16	187:196	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1977_780095.txt-3981-5	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	It was openly a fall afternoon, the sun soft and warm in the hills, the trees whispering, trading shadows right up the side of | the mountains, into the high pines and the dark ravines and canyons, and then back down again under the aspens.	7:16	21:30	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1988_10770.txt-925-3	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	Rememberinghis exhaustion that afternoon, he thought he'd drop off to sleep quickly.	7:16	31:40	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1993_25005.txt-782-34	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	Mrs Stark, to compensate for not having been any help to him in finding somewhere to live, offered to contribute homemade snacks and left with him a little early on a Friday afternoon to help with preparations.	7:16	174:183	4.0
afternoon	fic_1825_7041.txt-1647-2	fic_1996_54472.txt-133-9	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	And what the hell, it's only one afternoon a week for me but it's like the whole rest of their lives for some of these people. "	7:16	33:42	4.0
afternoon	fic_1825_7041.txt-1647-2	mag_1979_431971.txt-179-14	On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.	He and Joanne were going to play the lead roles in Picnic at that afternoon's matinee.	7:16	66:75	4.0
afternoon	fic_1831_7210.txt-510-4	fic_1846_7036.txt-2381-16	He had passed the afternoon in his favourite recreation, that of fowling in the woods, and was returning home with about twenty wild pigeons, as the trophies of his success, when, late in the evening, in the vicinity of his mother's residence, he overheard some voices in a thick wood through which he was passing.	By some accident, Big Elk became separated from his hunting companions, late in the afternoon of a winter's day.	18:27	84:93	3.0
afternoon	fic_1833_7321.txt-162-45	nf_2006_776561.txt-30-8	If one of the neighbors came in to chat awhile in an evening, my grandfather was always sure to go through with the fatigue of Burgwine; and if a stranger was travelling through Downingville and stopt at my grandfather's in a warm afternoon to get a drink of water, it was ten chances to one if he could get away till my grandfather had been through the whole story of the fatigue of Burgwine.	Sitting in on a class in the late afternoon, listening to him draw on his experiences from his Stanley days, I imagined that beyond the nineteen young peo- ple seated in the room, he was speaking to all those he knew back home, explaining that he had done as well as any executive could, in a very changed world, to preserve Stanley as it was.	231:240	34:43	4.0
afternoon	fic_1834_7252.txt-206-4	mag_1845_587596.txt-153-9	About two of the afternoon they reached the river, almost exhausted.	If you walk or drive among them in the afternoon, they are panting like gourminds after a turtle dinner.	17:26	39:48	4.0
afternoon	fic_1834_7252.txt-206-4	nf_1849_762578.txt-1803-0	About two of the afternoon they reached the river, almost exhausted.	afternoon that the Indian bought me, he started with me to his residence, which was fifty or sixty miles distant.	17:26	0:9	4.0
afternoon	fic_1834_7323.txt-604-27	fic_1850_2310.txt-1321-9	The national republicans said they'd heard thunder before now, and seen dreadful black clouds all over the sky, and they'd seen a fair afternoon and a bright rainbow after all that.	She remained in company with the cows all the afternoon.	135:144	46:55	4.0
afternoon	fic_1835_7272.txt-2343-15	fic_1852_9832.txt-757-5	You understood the intimation in the Italian stanza I gave you from the carriage this afternoon? "	We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!	86:95	24:33	4.0
